,0
0,SPY
1,CMCSA
2,KMI
3,INTC
4,MU
5,GDX
6,GE
7,BAC
8,EEM
9,XLF
10,AAPL
11,MSFT
12,SIRI
13,HPQ
14,CX
15,EFA
16,CZR
17,QQQ
18,F
19,AMD
20,SNAP
21,FB
22,WFC
23,AIG
24,T
25,C
26,VALE
27,MS
28,JPM
29,ORCL
30,NKE
31,VWO
32,PG
33,FXI
34,IWM
35,GSM
36,BBD
37,PFE
38,JD
39,NOK
40,TWTR
41,AMLP
42,AVGO
43,AMAT
44,UVXY
45,VXX
46,VEA
47,ZNGA
48,XOM
49,QCOM
50,VIPS
51,GLD
52,CSCO
53,AXP
54,BMY
55,V
56,USO
57,GRPN
58,OIH
59,GERN
60,KEY
61,RF
62,KR
63,HAL
64,BABA
65,MRO
66,GILD
67,IEMG
68,GM
69,FCX
70,CRM
71,ATVI
72,SQ
73,XLK
74,NUE
75,XOP
76,SWN
77,LOW
78,RAD
79,VEON
80,HYG
81,JNK
82,EWJ
83,XLU
84,SLB
85,FLEX
86,FOXA
87,ABBV
88,GIS
89,VZ
90,XRX
91,CVLT
92,IEFA
93,X
94,MAT
95,DVN
96,BKLN
97,IBN
98,MPC
99,EZU
100,PM
101,MSCI
102,RDN
103,KO
104,SRC
105,COP
106,CHK
107,DIS
108,LEN
109,CVX
110,PYPL
111,GDXJ
112,AUY
113,DBEF
114,WMT
115,CLF
116,MRK
117,MDLZ
118,MGM
119,GFI
120,KGC
121,SCHW
122,NBR
123,NVDA
124,JNJ
125,WDC
126,BSX
127,ON
128,ITUB
129,BK
130,HMY
131,APA
132,HOME
133,NGD
134,KOS
135,DAL
136,INFY
137,CCL
138,MFGP
139,PBR
140,DISCA
141,LPI
142,ABT
143,FITB
144,PTEN
145,USB
146,BA
147,GGB
148,JBLU
149,EBAY
150,HBAN
151,DB
152,MRVL
153,WBA
154,CDNA
155,RSX
156,KNX
157,KBH
158,DISCK
159,PGR
160,XLE
161,MO
162,MDT
163,RIG
164,BCS
165,CDEV
166,EOG
167,XLP
168,HPE
169,TXN
170,OAS
171,OKE
172,CVS
173,SVXY
174,HES
175,GDDY
176,BX
177,NLSN
178,TS
179,BOX
180,OXY
181,CVE
182,SYF
183,IAU
184,MTG
185,LUV
186,FTI
187,AA
188,ABEV
189,VTI
190,EQR
191,EWG
192,ETSY
193,TAL
194,UNH
195,GES
196,AMZN
197,NFLX
198,ENTG
199,CSX
200,WYNN
201,FOX
202,CNC
203,ZION
204,CLDR
205,RES
206,CI
207,KRE
208,WMB
209,SYNH
210,HBI
211,XL
212,PAYX
213,D
214,CHS
215,CFG
216,XLI
217,SU
218,SLV
219,MMM
220,BIIB
221,JBL
222,ACN
223,NTR
224,BRFS
225,SBUX
226,EWU
227,LVS
228,EGO
229,GSK
230,TEVA
231,PAA
232,SQQQ
233,VLO
234,IMAX
235,FNB
236,ADSK
237,HD
238,BIDU
239,AR
240,ARNC
241,VOYA
242,SPXU
243,MLCO
244,SJNK
245,CWB
246,SM
247,NTRS
248,DHI
249,UAL
250,HRB
251,BTU
252,JBGS
253,IPG
254,DE
255,KHC
256,COG
257,IBM
258,NYT
259,DBJP
260,AAL
261,OLN
262,JCI
263,VICI
264,VST
265,NWL
266,EPD
267,KMB
268,AEP
269,IT
270,CAT
271,AU
272,XRAY
273,KKR
274,IEUR
275,LQD
276,CMC
277,XBI
278,TMUS
279,EWW
280,NRG
281,CPB
282,ATHM
283,WRB
284,MOMO
285,TGT
286,TV
287,GLW
288,MAS
289,DOV
290,HRL
291,TECK
292,AES
293,PPL
294,IXUS
295,SEE
296,NLY
297,FRC
298,EWT
299,STX
