date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,GOOGL_adj_close,GOOGL_cashflow,GOOGL_cml_units,GOOGL_cml_cost,GOOGL_gain_loss,GOOGL_avg_price,GOOGL_mktvalue
2019-01-01,0.0,-453.84,3.0,453.84,101.932,151.28,0.0,0.0,-8931.12,3.0,8931.12,883.29,2977.04,0.0
2019-01-02,38.44,-453.84,3.0,453.84,101.932,151.28,115.319,1054.68,-8931.12,3.0,8931.12,883.29,2977.04,3164.04
2019-01-03,34.611,-453.84,3.0,453.84,101.932,151.28,103.833,1025.47,-8931.12,3.0,8931.12,883.29,2977.04,3076.41
2019-01-04,36.088,-453.84,3.0,453.84,101.932,151.28,108.265,1078.07,-8931.12,3.0,8931.12,883.29,2977.04,3234.21
2019-01-07,36.008,-453.84,3.0,453.84,101.932,151.28,108.024,1075.92,-8931.12,3.0,8931.12,883.29,2977.04,3227.76
2019-01-08,36.694,-453.84,3.0,453.84,101.932,151.28,110.083,1085.37,-8931.12,3.0,8931.12,883.29,2977.04,3256.11
2019-01-09,37.318,-453.84,3.0,453.84,101.932,151.28,111.953,1081.65,-8931.12,3.0,8931.12,883.29,2977.04,3244.95
2019-01-10,37.437,-453.84,3.0,453.84,101.932,151.28,112.311,1078.83,-8931.12,3.0,8931.12,883.29,2977.04,3236.49
2019-01-11,37.069,-453.84,3.0,453.84,101.932,151.28,111.208,1064.47,-8931.12,3.0,8931.12,883.29,2977.04,3193.41
2019-01-14,36.512,-453.84,3.0,453.84,101.932,151.28,109.536,1051.51,-8931.12,3.0,8931.12,883.29,2977.04,3154.53
2019-01-15,37.259,-453.84,3.0,453.84,101.932,151.28,111.778,1086.51,-8931.12,3.0,8931.12,883.29,2977.04,3259.53
2019-01-16,37.714,-453.84,3.0,453.84,101.932,151.28,113.143,1089.51,-8931.12,3.0,8931.12,883.29,2977.04,3268.53
2019-01-17,37.938,-453.84,3.0,453.84,101.932,151.28,113.815,1099.12,-8931.12,3.0,8931.12,883.29,2977.04,3297.36
2019-01-18,38.172,-453.84,3.0,453.84,101.932,151.28,114.516,1107.3,-8931.12,3.0,8931.12,883.29,2977.04,3321.9
2019-01-22,37.315,-453.84,3.0,453.84,101.932,151.28,111.946,1078.63,-8931.12,3.0,8931.12,883.29,2977.04,3235.89
2019-01-23,37.466,-453.84,3.0,453.84,101.932,151.28,112.398,1084.41,-8931.12,3.0,8931.12,883.29,2977.04,3253.23
2019-01-24,37.169,-453.84,3.0,453.84,101.932,151.28,111.507,1084.0,-8931.12,3.0,8931.12,883.29,2977.04,3252.0
2019-01-25,38.401,-453.84,3.0,453.84,101.932,151.28,115.202,1101.51,-8931.12,3.0,8931.12,883.29,2977.04,3304.53
2019-01-28,38.045,-453.84,3.0,453.84,101.932,151.28,114.136,1079.86,-8931.12,3.0,8931.12,883.29,2977.04,3239.58
2019-01-29,37.651,-453.84,3.0,453.84,101.932,151.28,112.953,1070.06,-8931.12,3.0,8931.12,883.29,2977.04,3210.18
2019-01-30,40.224,-453.84,3.0,453.84,101.932,151.28,120.672,1097.99,-8931.12,3.0,8931.12,883.29,2977.04,3293.97
2019-01-31,40.514,-453.84,3.0,453.84,101.932,151.28,121.541,1125.89,-8931.12,3.0,8931.12,883.29,2977.04,3377.67
2019-02-01,40.533,-453.84,3.0,453.84,101.932,151.28,121.599,1118.62,-8931.12,3.0,8931.12,883.29,2977.04,3355.86
2019-02-04,41.684,-453.84,3.0,453.84,101.932,151.28,125.053,1141.42,-8931.12,3.0,8931.12,883.29,2977.04,3424.26
2019-02-05,42.398,-453.84,3.0,453.84,101.932,151.28,127.193,1151.87,-8931.12,3.0,8931.12,883.29,2977.04,3455.61
2019-02-06,42.412,-453.84,3.0,453.84,101.932,151.28,127.237,1122.89,-8931.12,3.0,8931.12,883.29,2977.04,3368.67
2019-02-07,41.609,-453.84,3.0,453.84,101.932,151.28,124.827,1105.91,-8931.12,3.0,8931.12,883.29,2977.04,3317.73
2019-02-08,41.658,-453.84,3.0,453.84,101.932,151.28,124.974,1102.38,-8931.12,3.0,8931.12,883.29,2977.04,3307.14
2019-02-11,41.418,-453.84,3.0,453.84,101.932,151.28,124.255,1102.12,-8931.12,3.0,8931.12,883.29,2977.04,3306.36
2019-02-12,41.775,-453.84,3.0,453.84,101.932,151.28,125.326,1127.58,-8931.12,3.0,8931.12,883.29,2977.04,3382.74
2019-02-13,41.602,-453.84,3.0,453.84,101.932,151.28,124.805,1128.63,-8931.12,3.0,8931.12,883.29,2977.04,3385.89
2019-02-14,41.753,-453.84,3.0,453.84,101.932,151.28,125.26,1129.2,-8931.12,3.0,8931.12,883.29,2977.04,3387.6
2019-02-15,41.66,-453.84,3.0,453.84,101.932,151.28,124.981,1119.63,-8931.12,3.0,8931.12,883.29,2977.04,3358.89
2019-02-19,41.785,-453.84,3.0,453.84,101.932,151.28,125.355,1126.51,-8931.12,3.0,8931.12,883.29,2977.04,3379.53
2019-02-20,42.054,-453.84,3.0,453.84,101.932,151.28,126.162,1120.59,-8931.12,3.0,8931.12,883.29,2977.04,3361.77
2019-02-21,41.817,-453.84,3.0,453.84,101.932,151.28,125.45,1104.21,-8931.12,3.0,8931.12,883.29,2977.04,3312.63
2019-02-22,42.284,-453.84,3.0,453.84,101.932,151.28,126.851,1116.56,-8931.12,3.0,8931.12,883.29,2977.04,3349.68
2019-02-25,42.592,-453.84,3.0,453.84,101.932,151.28,127.775,1117.33,-8931.12,3.0,8931.12,883.29,2977.04,3351.99
2019-02-26,42.616,-453.84,3.0,453.84,101.932,151.28,127.848,1122.01,-8931.12,3.0,8931.12,883.29,2977.04,3366.03
2019-02-27,42.748,-453.84,3.0,453.84,101.932,151.28,128.244,1122.89,-8931.12,3.0,8931.12,883.29,2977.04,3368.67
2019-02-28,42.328,-453.84,3.0,453.84,101.932,151.28,126.983,1126.55,-8931.12,3.0,8931.12,883.29,2977.04,3379.65
2019-03-01,42.773,-453.84,3.0,453.84,101.932,151.28,128.318,1148.52,-8931.12,3.0,8931.12,883.29,2977.04,3445.56
2019-03-04,42.988,-453.84,3.0,453.84,101.932,151.28,128.963,1153.42,-8931.12,3.0,8931.12,883.29,2977.04,3460.26
2019-03-05,42.909,-453.84,3.0,453.84,101.932,151.28,128.728,1169.19,-8931.12,3.0,8931.12,883.29,2977.04,3507.57
2019-03-06,42.663,-453.84,3.0,453.84,101.932,151.28,127.988,1164.94,-8931.12,3.0,8931.12,883.29,2977.04,3494.82
2019-03-07,42.169,-453.84,3.0,453.84,101.932,151.28,126.506,1150.85,-8931.12,3.0,8931.12,883.29,2977.04,3452.55
2019-03-08,42.269,-453.84,3.0,453.84,101.932,151.28,126.807,1149.97,-8931.12,3.0,8931.12,883.29,2977.04,3449.91
2019-03-11,43.733,-453.84,3.0,453.84,101.932,151.28,131.2,1179.26,-8931.12,3.0,8931.12,883.29,2977.04,3537.78
2019-03-12,44.225,-453.84,3.0,453.84,101.932,151.28,132.674,1197.25,-8931.12,3.0,8931.12,883.29,2977.04,3591.75
2019-03-13,44.42,-453.84,3.0,453.84,101.932,151.28,133.261,1199.06,-8931.12,3.0,8931.12,883.29,2977.04,3597.18
2019-03-14,44.914,-453.84,3.0,453.84,101.932,151.28,134.742,1192.53,-8931.12,3.0,8931.12,883.29,2977.04,3577.59
2019-03-15,45.498,-453.84,3.0,453.84,101.932,151.28,136.495,1190.3,-8931.12,3.0,8931.12,883.29,2977.04,3570.9
2019-03-18,45.963,-453.84,3.0,453.84,101.932,151.28,137.888,1188.55,-8931.12,3.0,8931.12,883.29,2977.04,3565.65
2019-03-19,45.599,-453.84,3.0,453.84,101.932,151.28,136.796,1202.46,-8931.12,3.0,8931.12,883.29,2977.04,3607.38
2019-03-20,45.997,-453.84,3.0,453.84,101.932,151.28,137.991,1226.43,-8931.12,3.0,8931.12,883.29,2977.04,3679.29
2019-03-21,47.691,-453.84,3.0,453.84,101.932,151.28,143.073,1236.13,-8931.12,3.0,8931.12,883.29,2977.04,3708.39
2019-03-22,46.703,-453.84,3.0,453.84,101.932,151.28,140.11,1207.65,-8931.12,3.0,8931.12,883.29,2977.04,3622.95
2019-03-25,46.139,-453.84,3.0,453.84,101.932,151.28,138.416,1197.38,-8931.12,3.0,8931.12,883.29,2977.04,3592.14
2019-03-26,45.662,-453.84,3.0,453.84,101.932,151.28,136.986,1189.84,-8931.12,3.0,8931.12,883.29,2977.04,3569.52
2019-03-27,46.073,-453.84,3.0,453.84,101.932,151.28,138.218,1178.01,-8931.12,3.0,8931.12,883.29,2977.04,3534.03
2019-03-28,46.134,-453.84,3.0,453.84,101.932,151.28,138.402,1172.27,-8931.12,3.0,8931.12,883.29,2977.04,3516.81
2019-03-29,46.435,-453.84,3.0,453.84,101.932,151.28,139.304,1176.89,-8931.12,3.0,8931.12,883.29,2977.04,3530.67
2019-04-01,46.75,-453.84,3.0,453.84,101.932,151.28,140.25,1198.98,-8931.12,3.0,8931.12,883.29,2977.04,3596.94
2019-04-02,47.429,-453.84,3.0,453.84,101.932,151.28,142.288,1205.54,-8931.12,3.0,8931.12,883.29,2977.04,3616.62
2019-04-03,47.755,-453.84,3.0,453.84,101.932,151.28,143.264,1210.81,-8931.12,3.0,8931.12,883.29,2977.04,3632.43
2019-04-04,47.838,-453.84,3.0,453.84,101.932,151.28,143.513,1219.45,-8931.12,3.0,8931.12,883.29,2977.04,3658.35
2019-04-05,48.158,-453.84,3.0,453.84,101.932,151.28,144.474,1211.45,-8931.12,3.0,8931.12,883.29,2977.04,3634.35
2019-04-08,48.916,-453.84,3.0,453.84,101.932,151.28,146.747,1208.28,-8931.12,3.0,8931.12,883.29,2977.04,3624.84
2019-04-09,48.769,-453.84,3.0,453.84,101.932,151.28,146.307,1202.69,-8931.12,3.0,8931.12,883.29,2977.04,3608.07
2019-04-10,49.043,-453.84,3.0,453.84,101.932,151.28,147.129,1206.45,-8931.12,3.0,8931.12,883.29,2977.04,3619.35
2019-04-11,48.635,-453.84,3.0,453.84,101.932,151.28,145.904,1209.59,-8931.12,3.0,8931.12,883.29,2977.04,3628.77
2019-04-12,48.615,-453.84,3.0,453.84,101.932,151.28,145.845,1222.73,-8931.12,3.0,8931.12,883.29,2977.04,3668.19
2019-04-15,48.703,-453.84,3.0,453.84,101.932,151.28,146.109,1226.53,-8931.12,3.0,8931.12,883.29,2977.04,3679.59
2019-04-16,48.708,-453.84,3.0,453.84,101.932,151.28,146.124,1231.91,-8931.12,3.0,8931.12,883.29,2977.04,3695.73
2019-04-17,49.656,-453.84,3.0,453.84,101.932,151.28,148.969,1240.14,-8931.12,3.0,8931.12,883.29,2977.04,3720.42
2019-04-18,49.835,-453.84,3.0,453.84,101.932,151.28,149.505,1241.47,-8931.12,3.0,8931.12,883.29,2977.04,3724.41
2019-04-22,49.999,-453.84,3.0,453.84,101.932,151.28,149.996,1253.76,-8931.12,3.0,8931.12,883.29,2977.04,3761.28
2019-04-23,50.72,-453.84,3.0,453.84,101.932,151.28,152.16,1270.59,-8931.12,3.0,8931.12,883.29,2977.04,3811.77
2019-04-24,50.642,-453.84,3.0,453.84,101.932,151.28,151.925,1260.05,-8931.12,3.0,8931.12,883.29,2977.04,3780.15
2019-04-25,50.182,-453.84,3.0,453.84,101.932,151.28,150.546,1267.34,-8931.12,3.0,8931.12,883.29,2977.04,3802.02
2019-04-26,49.942,-453.84,3.0,453.84,101.932,151.28,149.827,1277.42,-8931.12,3.0,8931.12,883.29,2977.04,3832.26
2019-04-29,50.018,-453.84,3.0,453.84,101.932,151.28,150.055,1296.2,-8931.12,3.0,8931.12,883.29,2977.04,3888.6
2019-04-30,49.055,-453.84,3.0,453.84,101.932,151.28,147.165,1198.96,-8931.12,3.0,8931.12,883.29,2977.04,3596.88
2019-05-01,51.463,-453.84,3.0,453.84,101.932,151.28,154.389,1173.32,-8931.12,3.0,8931.12,883.29,2977.04,3519.96
2019-05-02,51.128,-453.84,3.0,453.84,101.932,151.28,153.384,1166.51,-8931.12,3.0,8931.12,883.29,2977.04,3499.53
2019-05-03,51.764,-453.84,3.0,453.84,101.932,151.28,155.291,1189.55,-8931.12,3.0,8931.12,883.29,2977.04,3568.65
2019-05-06,50.964,-453.84,3.0,453.84,101.932,151.28,152.893,1193.46,-8931.12,3.0,8931.12,883.29,2977.04,3580.38
2019-05-07,49.59,-453.84,3.0,453.84,101.932,151.28,148.771,1178.86,-8931.12,3.0,8931.12,883.29,2977.04,3536.58
2019-05-08,49.6,-453.84,3.0,453.84,101.932,151.28,148.801,1170.78,-8931.12,3.0,8931.12,883.29,2977.04,3512.34
2019-05-09,49.067,-453.84,3.0,453.84,101.932,151.28,147.202,1167.97,-8931.12,3.0,8931.12,883.29,2977.04,3503.91
2019-05-10,48.388,-453.84,3.0,453.84,101.932,151.28,145.163,1167.64,-8931.12,3.0,8931.12,883.29,2977.04,3502.92
2019-05-13,45.575,-453.84,3.0,453.84,101.932,151.28,136.726,1136.59,-8931.12,3.0,8931.12,883.29,2977.04,3409.77
2019-05-14,46.297,-453.84,3.0,453.84,101.932,151.28,138.89,1124.86,-8931.12,3.0,8931.12,883.29,2977.04,3374.58
2019-05-15,46.851,-453.84,3.0,453.84,101.932,151.28,140.554,1170.8,-8931.12,3.0,8931.12,883.29,2977.04,3512.4
2019-05-16,46.645,-453.84,3.0,453.84,101.932,151.28,139.936,1184.5,-8931.12,3.0,8931.12,883.29,2977.04,3553.5
2019-05-17,46.38,-453.84,3.0,453.84,101.932,151.28,139.141,1168.78,-8931.12,3.0,8931.12,883.29,2977.04,3506.34
2019-05-20,44.93,-453.84,3.0,453.84,101.932,151.28,134.79,1144.66,-8931.12,3.0,8931.12,883.29,2977.04,3433.98
2019-05-21,45.791,-453.84,3.0,453.84,101.932,151.28,137.374,1154.44,-8931.12,3.0,8931.12,883.29,2977.04,3463.32
2019-05-22,44.854,-453.84,3.0,453.84,101.932,151.28,134.562,1155.85,-8931.12,3.0,8931.12,883.29,2977.04,3467.55
2019-05-23,44.088,-453.84,3.0,453.84,101.932,151.28,132.265,1145.34,-8931.12,3.0,8931.12,883.29,2977.04,3436.02
2019-05-24,43.919,-453.84,3.0,453.84,101.932,151.28,131.757,1138.61,-8931.12,3.0,8931.12,883.29,2977.04,3415.83
2019-05-28,43.737,-453.84,3.0,453.84,101.932,151.28,131.212,1139.56,-8931.12,3.0,8931.12,883.29,2977.04,3418.68
2019-05-29,43.529,-453.84,3.0,453.84,101.932,151.28,130.586,1119.94,-8931.12,3.0,8931.12,883.29,2977.04,3359.82
2019-05-30,43.754,-453.84,3.0,453.84,101.932,151.28,131.263,1121.41,-8931.12,3.0,8931.12,883.29,2977.04,3364.23
2019-05-31,42.962,-453.84,3.0,453.84,101.932,151.28,128.886,1106.5,-8931.12,3.0,8931.12,883.29,2977.04,3319.5
2019-06-03,42.527,-453.84,3.0,453.84,101.932,151.28,127.582,1038.74,-8931.12,3.0,8931.12,883.29,2977.04,3116.22
2019-06-04,44.083,-453.84,3.0,453.84,101.932,151.28,132.25,1054.49,-8931.12,3.0,8931.12,883.29,2977.04,3163.47
2019-06-05,44.795,-453.84,3.0,453.84,101.932,151.28,134.385,1044.64,-8931.12,3.0,8931.12,883.29,2977.04,3133.92
2019-06-06,45.453,-453.84,3.0,453.84,101.932,151.28,136.358,1047.76,-8931.12,3.0,8931.12,883.29,2977.04,3143.28
2019-06-07,46.662,-453.84,3.0,453.84,101.932,151.28,139.987,1068.37,-8931.12,3.0,8931.12,883.29,2977.04,3205.11
2019-06-10,47.259,-453.84,3.0,453.84,101.932,151.28,141.776,1082.76,-8931.12,3.0,8931.12,883.29,2977.04,3248.28
2019-06-11,47.806,-453.84,3.0,453.84,101.932,151.28,143.418,1081.04,-8931.12,3.0,8931.12,883.29,2977.04,3243.12
2019-06-12,47.654,-453.84,3.0,453.84,101.932,151.28,142.962,1079.1,-8931.12,3.0,8931.12,883.29,2977.04,3237.3
2019-06-13,47.644,-453.84,3.0,453.84,101.932,151.28,142.932,1091.01,-8931.12,3.0,8931.12,883.29,2977.04,3273.03
2019-06-14,47.298,-453.84,3.0,453.84,101.932,151.28,141.894,1086.3,-8931.12,3.0,8931.12,883.29,2977.04,3258.9
2019-06-17,47.58,-453.84,3.0,453.84,101.932,151.28,142.741,1093.89,-8931.12,3.0,8931.12,883.29,2977.04,3281.67
2019-06-18,48.699,-453.84,3.0,453.84,101.932,151.28,146.098,1105.24,-8931.12,3.0,8931.12,883.29,2977.04,3315.72
2019-06-19,48.557,-453.84,3.0,453.84,101.932,151.28,145.671,1104.51,-8931.12,3.0,8931.12,883.29,2977.04,3313.53
2019-06-20,48.947,-453.84,3.0,453.84,101.932,151.28,146.841,1113.2,-8931.12,3.0,8931.12,883.29,2977.04,3339.6
2019-06-21,48.78,-453.84,3.0,453.84,101.932,151.28,146.341,1125.37,-8931.12,3.0,8931.12,883.29,2977.04,3376.11
2019-06-24,48.731,-453.84,3.0,453.84,101.932,151.28,146.193,1116.7,-8931.12,3.0,8931.12,883.29,2977.04,3350.1
2019-06-25,47.993,-453.84,3.0,453.84,101.932,151.28,143.978,1087.58,-8931.12,3.0,8931.12,883.29,2977.04,3262.74
2019-06-26,49.031,-453.84,3.0,453.84,101.932,151.28,147.092,1080.32,-8931.12,3.0,8931.12,883.29,2977.04,3240.96
2019-06-27,49.016,-453.84,3.0,453.84,101.932,151.28,147.047,1076.63,-8931.12,3.0,8931.12,883.29,2977.04,3229.89
2019-06-28,48.569,-453.84,3.0,453.84,101.932,151.28,145.708,1082.8,-8931.12,3.0,8931.12,883.29,2977.04,3248.4
2019-07-01,49.46,-453.84,3.0,453.84,101.932,151.28,148.38,1100.0,-8931.12,3.0,8931.12,883.29,2977.04,3300.0
2019-07-02,49.75,-453.84,3.0,453.84,101.932,151.28,149.249,1112.6,-8931.12,3.0,8931.12,883.29,2977.04,3337.8
2019-07-03,50.162,-453.84,3.0,453.84,101.932,151.28,150.485,1122.99,-8931.12,3.0,8931.12,883.29,2977.04,3368.97
2019-07-05,50.118,-453.84,3.0,453.84,101.932,151.28,150.353,1132.67,-8931.12,3.0,8931.12,883.29,2977.04,3398.01
2019-07-08,49.085,-453.84,3.0,453.84,101.932,151.28,147.254,1116.79,-8931.12,3.0,8931.12,883.29,2977.04,3350.37
2019-07-09,49.384,-453.84,3.0,453.84,101.932,151.28,148.152,1124.29,-8931.12,3.0,8931.12,883.29,2977.04,3372.87
2019-07-10,49.872,-453.84,3.0,453.84,101.932,151.28,149.617,1140.91,-8931.12,3.0,8931.12,883.29,2977.04,3422.73
2019-07-11,49.509,-453.84,3.0,453.84,101.932,151.28,148.527,1144.08,-8931.12,3.0,8931.12,883.29,2977.04,3432.24
2019-07-12,49.889,-453.84,3.0,453.84,101.932,151.28,149.668,1145.34,-8931.12,3.0,8931.12,883.29,2977.04,3436.02
2019-07-15,50.358,-453.84,3.0,453.84,101.932,151.28,151.074,1150.51,-8931.12,3.0,8931.12,883.29,2977.04,3451.53
2019-07-16,50.184,-453.84,3.0,453.84,101.932,151.28,150.552,1153.46,-8931.12,3.0,8931.12,883.29,2977.04,3460.38
2019-07-17,49.902,-453.84,3.0,453.84,101.932,151.28,149.705,1146.74,-8931.12,3.0,8931.12,883.29,2977.04,3440.22
2019-07-18,50.469,-453.84,3.0,453.84,101.932,151.28,151.406,1147.24,-8931.12,3.0,8931.12,883.29,2977.04,3441.72
2019-07-19,49.715,-453.84,3.0,453.84,101.932,151.28,149.146,1131.55,-8931.12,3.0,8931.12,883.29,2977.04,3394.65
2019-07-22,50.851,-453.84,3.0,453.84,101.932,151.28,152.554,1139.21,-8931.12,3.0,8931.12,883.29,2977.04,3417.63
2019-07-23,51.249,-453.84,3.0,453.84,101.932,151.28,153.747,1148.05,-8931.12,3.0,8931.12,883.29,2977.04,3444.15
2019-07-24,51.207,-453.84,3.0,453.84,101.932,151.28,153.622,1139.73,-8931.12,3.0,8931.12,883.29,2977.04,3419.19
2019-07-25,50.802,-453.84,3.0,453.84,101.932,151.28,152.407,1135.94,-8931.12,3.0,8931.12,883.29,2977.04,3407.82
2019-07-26,50.979,-453.84,3.0,453.84,101.932,151.28,152.937,1245.22,-8931.12,3.0,8931.12,883.29,2977.04,3735.66
2019-07-29,51.455,-453.84,3.0,453.84,101.932,151.28,154.365,1241.84,-8931.12,3.0,8931.12,883.29,2977.04,3725.52
2019-07-30,51.234,-453.84,3.0,453.84,101.932,151.28,153.703,1228.0,-8931.12,3.0,8931.12,883.29,2977.04,3684.0
2019-07-31,52.28,-453.84,3.0,453.84,101.932,151.28,156.839,1218.2,-8931.12,3.0,8931.12,883.29,2977.04,3654.6
2019-08-01,51.148,-453.84,3.0,453.84,101.932,151.28,153.445,1211.78,-8931.12,3.0,8931.12,883.29,2977.04,3635.34
2019-08-02,50.066,-453.84,3.0,453.84,101.932,151.28,150.198,1196.32,-8931.12,3.0,8931.12,883.29,2977.04,3588.96
2019-08-05,47.445,-453.84,3.0,453.84,101.932,151.28,142.336,1154.75,-8931.12,3.0,8931.12,883.29,2977.04,3464.25
2019-08-06,48.343,-453.84,3.0,453.84,101.932,151.28,145.03,1171.08,-8931.12,3.0,8931.12,883.29,2977.04,3513.24
2019-08-07,48.844,-453.84,3.0,453.84,101.932,151.28,146.532,1175.91,-8931.12,3.0,8931.12,883.29,2977.04,3527.73
2019-08-08,49.921,-453.84,3.0,453.84,101.932,151.28,149.764,1206.19,-8931.12,3.0,8931.12,883.29,2977.04,3618.57
2019-08-09,49.51,-453.84,3.0,453.84,101.932,151.28,148.53,1188.9,-8931.12,3.0,8931.12,883.29,2977.04,3566.7
2019-08-12,49.384,-453.84,3.0,453.84,101.932,151.28,148.153,1174.5,-8931.12,3.0,8931.12,883.29,2977.04,3523.5
2019-08-13,51.476,-453.84,3.0,453.84,101.932,151.28,154.427,1196.73,-8931.12,3.0,8931.12,883.29,2977.04,3590.19
2019-08-14,49.943,-453.84,3.0,453.84,101.932,151.28,149.83,1164.25,-8931.12,3.0,8931.12,883.29,2977.04,3492.75
2019-08-15,49.695,-453.84,3.0,453.84,101.932,151.28,149.084,1169.32,-8931.12,3.0,8931.12,883.29,2977.04,3507.96
2019-08-16,50.867,-453.84,3.0,453.84,101.932,151.28,152.602,1179.21,-8931.12,3.0,8931.12,883.29,2977.04,3537.63
2019-08-19,51.816,-453.84,3.0,453.84,101.932,151.28,155.447,1200.44,-8931.12,3.0,8931.12,883.29,2977.04,3601.32
2019-08-20,51.818,-453.84,3.0,453.84,101.932,151.28,155.454,1183.53,-8931.12,3.0,8931.12,883.29,2977.04,3550.59
