date,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2019-01-01,0.0,-4947.6,42.0,4947.6,889.98,117.8,0.0
2019-01-02,33.575,-4947.6,42.0,4947.6,889.98,117.8,1410.158
2019-01-03,31.589,-4947.6,42.0,4947.6,889.98,117.8,1326.753
2019-01-04,32.15,-4947.6,42.0,4947.6,889.98,117.8,1350.307
2019-01-07,32.389,-4947.6,42.0,4947.6,889.98,117.8,1360.346
2019-01-08,32.123,-4947.6,42.0,4947.6,889.98,117.8,1349.148
2019-01-09,32.739,-4947.6,42.0,4947.6,889.98,117.8,1375.02
2019-01-10,33.483,-4947.6,42.0,4947.6,889.98,117.8,1406.296
2019-01-11,33.658,-4947.6,42.0,4947.6,889.98,117.8,1413.633
2019-01-14,32.876,-4947.6,42.0,4947.6,889.98,117.8,1380.812
2019-01-15,33.134,-4947.6,42.0,4947.6,889.98,117.8,1391.623
2019-01-16,32.766,-4947.6,42.0,4947.6,889.98,117.8,1376.178
2019-01-17,33.364,-4947.6,42.0,4947.6,889.98,117.8,1401.277
2019-01-18,33.869,-4947.6,42.0,4947.6,889.98,117.8,1422.514
2019-01-22,33.437,-4947.6,42.0,4947.6,889.98,117.8,1404.366
2019-01-23,33.548,-4947.6,42.0,4947.6,889.98,117.8,1408.999
2019-01-24,34.605,-4947.6,42.0,4947.6,889.98,117.8,1453.404
2019-01-25,35.065,-4947.6,42.0,4947.6,889.98,117.8,1472.711
2019-01-28,34.421,-4947.6,42.0,4947.6,889.98,117.8,1445.682
2019-01-29,33.401,-4947.6,42.0,4947.6,889.98,117.8,1402.821
2019-01-30,34.366,-4947.6,42.0,4947.6,889.98,117.8,1443.365
2019-01-31,34.586,-4947.6,42.0,4947.6,889.98,117.8,1452.632
2019-02-01,34.541,-4947.6,42.0,4947.6,889.98,117.8,1450.701
2019-02-04,34.881,-4947.6,42.0,4947.6,889.98,117.8,1464.988
2019-02-05,35.166,-4947.6,42.0,4947.6,889.98,117.8,1476.959
2019-02-06,35.616,-4947.6,42.0,4947.6,889.98,117.8,1495.879
2019-02-07,35.046,-4947.6,42.0,4947.6,889.98,117.8,1471.939
2019-02-08,34.743,-4947.6,42.0,4947.6,889.98,117.8,1459.196
2019-02-11,35.202,-4947.6,42.0,4947.6,889.98,117.8,1478.503
2019-02-12,35.524,-4947.6,42.0,4947.6,889.98,117.8,1492.018
2019-02-13,35.055,-4947.6,42.0,4947.6,889.98,117.8,1472.325
2019-02-14,34.991,-4947.6,42.0,4947.6,889.98,117.8,1469.622
2019-02-15,35.019,-4947.6,42.0,4947.6,889.98,117.8,1470.781
2019-02-19,35.359,-4947.6,42.0,4947.6,889.98,117.8,1485.067
2019-02-20,35.855,-4947.6,42.0,4947.6,889.98,117.8,1505.919
2019-02-21,35.837,-4947.6,42.0,4947.6,889.98,117.8,1505.146
2019-02-22,36.214,-4947.6,42.0,4947.6,889.98,117.8,1520.978
2019-02-25,36.388,-4947.6,42.0,4947.6,889.98,117.8,1528.314
2019-02-26,36.407,-4947.6,42.0,4947.6,889.98,117.8,1529.087
2019-02-27,36.269,-4947.6,42.0,4947.6,889.98,117.8,1523.295
2019-02-28,35.901,-4947.6,42.0,4947.6,889.98,117.8,1507.849
2019-03-01,36.214,-4947.6,42.0,4947.6,889.98,117.8,1520.978
2019-03-04,35.993,-4947.6,42.0,4947.6,889.98,117.8,1511.711
2019-03-05,35.874,-4947.6,42.0,4947.6,889.98,117.8,1506.691
2019-03-06,35.662,-4947.6,42.0,4947.6,889.98,117.8,1497.81
2019-03-07,35.515,-4947.6,42.0,4947.6,889.98,117.8,1491.632
2019-03-08,35.12,-4947.6,42.0,4947.6,889.98,117.8,1475.028
2019-03-11,35.524,-4947.6,42.0,4947.6,889.98,117.8,1492.018
2019-03-12,35.763,-4947.6,42.0,4947.6,889.98,117.8,1502.057
2019-03-13,36.048,-4947.6,42.0,4947.6,889.98,117.8,1514.027
2019-03-14,35.69,-4947.6,42.0,4947.6,889.98,117.8,1498.968
2019-03-15,36.453,-4947.6,42.0,4947.6,889.98,117.8,1531.017
2019-03-18,36.637,-4947.6,42.0,4947.6,889.98,117.8,1538.74
2019-03-19,36.554,-4947.6,42.0,4947.6,889.98,117.8,1535.265
2019-03-20,36.637,-4947.6,42.0,4947.6,889.98,117.8,1538.74
2019-03-21,37.731,-4947.6,42.0,4947.6,889.98,117.8,1584.69
2019-03-22,37.17,-4947.6,42.0,4947.6,889.98,117.8,1561.136
2019-03-25,36.701,-4947.6,42.0,4947.6,889.98,117.8,1541.443
2019-03-26,37.142,-4947.6,42.0,4947.6,889.98,117.8,1559.977
2019-03-27,36.958,-4947.6,42.0,4947.6,889.98,117.8,1552.254
2019-03-28,37.087,-4947.6,42.0,4947.6,889.98,117.8,1557.661
2019-03-29,37.657,-4947.6,42.0,4947.6,889.98,117.8,1581.601
2019-04-01,38.034,-4947.6,42.0,4947.6,889.98,117.8,1597.432
2019-04-02,37.942,-4947.6,42.0,4947.6,889.98,117.8,1593.571
2019-04-03,38.42,-4947.6,42.0,4947.6,889.98,117.8,1613.65
2019-04-04,38.65,-4947.6,42.0,4947.6,889.98,117.8,1623.303
2019-04-05,38.825,-4947.6,42.0,4947.6,889.98,117.8,1630.639
2019-04-08,38.972,-4947.6,42.0,4947.6,889.98,117.8,1636.818
2019-04-09,38.806,-4947.6,42.0,4947.6,889.98,117.8,1629.867
2019-04-10,38.953,-4947.6,42.0,4947.6,889.98,117.8,1636.046
2019-04-11,38.705,-4947.6,42.0,4947.6,889.98,117.8,1625.62
2019-04-12,39.147,-4947.6,42.0,4947.6,889.98,117.8,1644.154
2019-04-15,39.174,-4947.6,42.0,4947.6,889.98,117.8,1645.313
2019-04-16,39.542,-4947.6,42.0,4947.6,889.98,117.8,1660.758
2019-04-17,40.811,-4947.6,42.0,4947.6,889.98,117.8,1714.044
2019-04-18,41.739,-4947.6,42.0,4947.6,889.98,117.8,1753.044
2019-04-22,41.509,-4947.6,42.0,4947.6,889.98,117.8,1743.39
2019-04-23,41.758,-4947.6,42.0,4947.6,889.98,117.8,1753.816
2019-04-24,41.748,-4947.6,42.0,4947.6,889.98,117.8,1753.43
2019-04-25,40.893,-4947.6,42.0,4947.6,889.98,117.8,1717.519
2019-04-26,40.397,-4947.6,42.0,4947.6,889.98,117.8,1696.668
2019-04-29,40.296,-4947.6,42.0,4947.6,889.98,117.8,1692.421
2019-04-30,40.287,-4947.6,42.0,4947.6,889.98,117.8,1692.035
2019-05-01,40.287,-4947.6,42.0,4947.6,889.98,117.8,1692.035
2019-05-02,40.82,-4947.6,42.0,4947.6,889.98,117.8,1714.43
2019-05-03,41.105,-4947.6,42.0,4947.6,889.98,117.8,1726.401
2019-05-06,40.231,-4947.6,42.0,4947.6,889.98,117.8,1689.718
2019-05-07,40.231,-4947.6,42.0,4947.6,889.98,117.8,1689.718
2019-05-08,40.176,-4947.6,42.0,4947.6,889.98,117.8,1687.401
2019-05-09,39.763,-4947.6,42.0,4947.6,889.98,117.8,1670.025
2019-05-10,39.376,-4947.6,42.0,4947.6,889.98,117.8,1653.808
2019-05-13,37.685,-4947.6,42.0,4947.6,889.98,117.8,1582.759
2019-05-14,38.586,-4947.6,42.0,4947.6,889.98,117.8,1620.6
2019-05-15,38.586,-4947.6,42.0,4947.6,889.98,117.8,1620.6
2019-05-16,38.181,-4947.6,42.0,4947.6,889.98,117.8,1603.61
2019-05-17,37.004,-4947.6,42.0,4947.6,889.98,117.8,1554.185
2019-05-20,35.543,-4947.6,42.0,4947.6,889.98,117.8,1492.79
2019-05-21,36.131,-4947.6,42.0,4947.6,889.98,117.8,1517.503
2019-05-22,35.763,-4947.6,42.0,4947.6,889.98,117.8,1502.057
