date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2019-01-01,0.0,-4992.24,33.0,4992.24,1121.257,151.28,0.0,0.0,-4947.6,42.0,4947.6,889.98,117.8,0.0
2019-01-02,38.326,-4992.24,33.0,4992.24,1121.257,151.28,1264.768,33.575,-4947.6,42.0,4947.6,889.98,117.8,1410.158
2019-01-03,34.509,-4992.24,33.0,4992.24,1121.257,151.28,1138.787,31.589,-4947.6,42.0,4947.6,889.98,117.8,1326.753
2019-01-04,35.982,-4992.24,33.0,4992.24,1121.257,151.28,1187.401,32.15,-4947.6,42.0,4947.6,889.98,117.8,1350.307
2019-01-07,35.902,-4992.24,33.0,4992.24,1121.257,151.28,1184.758,32.389,-4947.6,42.0,4947.6,889.98,117.8,1360.346
2019-01-08,36.586,-4992.24,33.0,4992.24,1121.257,151.28,1207.344,32.123,-4947.6,42.0,4947.6,889.98,117.8,1349.148
2019-01-09,37.207,-4992.24,33.0,4992.24,1121.257,151.28,1227.847,32.739,-4947.6,42.0,4947.6,889.98,117.8,1375.02
2019-01-10,37.326,-4992.24,33.0,4992.24,1121.257,151.28,1231.771,33.483,-4947.6,42.0,4947.6,889.98,117.8,1406.296
2019-01-11,36.96,-4992.24,33.0,4992.24,1121.257,151.28,1219.677,33.658,-4947.6,42.0,4947.6,889.98,117.8,1413.633
2019-01-14,36.404,-4992.24,33.0,4992.24,1121.257,151.28,1201.337,32.876,-4947.6,42.0,4947.6,889.98,117.8,1380.812
2019-01-15,37.149,-4992.24,33.0,4992.24,1121.257,151.28,1225.924,33.134,-4947.6,42.0,4947.6,889.98,117.8,1391.623
2019-01-16,37.603,-4992.24,33.0,4992.24,1121.257,151.28,1240.901,32.766,-4947.6,42.0,4947.6,889.98,117.8,1376.178
2019-01-17,37.826,-4992.24,33.0,4992.24,1121.257,151.28,1248.269,33.364,-4947.6,42.0,4947.6,889.98,117.8,1401.276
2019-01-18,38.059,-4992.24,33.0,4992.24,1121.257,151.28,1255.958,33.869,-4947.6,42.0,4947.6,889.98,117.8,1422.514
2019-01-22,37.205,-4992.24,33.0,4992.24,1121.257,151.28,1227.767,33.437,-4947.6,42.0,4947.6,889.98,117.8,1404.366
2019-01-23,37.356,-4992.24,33.0,4992.24,1121.257,151.28,1232.732,33.548,-4947.6,42.0,4947.6,889.98,117.8,1409.0
2019-01-24,37.059,-4992.24,33.0,4992.24,1121.257,151.28,1222.961,34.605,-4947.6,42.0,4947.6,889.98,117.8,1453.405
2019-01-25,38.287,-4992.24,33.0,4992.24,1121.257,151.28,1263.486,35.065,-4947.6,42.0,4947.6,889.98,117.8,1472.711
2019-01-28,37.933,-4992.24,33.0,4992.24,1121.257,151.28,1251.793,34.421,-4947.6,42.0,4947.6,889.98,117.8,1445.682
2019-01-29,37.54,-4992.24,33.0,4992.24,1121.257,151.28,1238.819,33.401,-4947.6,42.0,4947.6,889.98,117.8,1402.821
2019-01-30,40.105,-4992.24,33.0,4992.24,1121.257,151.28,1323.473,34.366,-4947.6,42.0,4947.6,889.98,117.8,1443.365
2019-01-31,40.394,-4992.24,33.0,4992.24,1121.257,151.28,1333.004,34.586,-4947.6,42.0,4947.6,889.98,117.8,1452.632
2019-02-01,40.413,-4992.24,33.0,4992.24,1121.257,151.28,1333.644,34.541,-4947.6,42.0,4947.6,889.98,117.8,1450.701
2019-02-04,41.561,-4992.24,33.0,4992.24,1121.257,151.28,1371.526,34.881,-4947.6,42.0,4947.6,889.98,117.8,1464.989
2019-02-05,42.272,-4992.24,33.0,4992.24,1121.257,151.28,1394.992,35.166,-4947.6,42.0,4947.6,889.98,117.8,1476.959
2019-02-06,42.287,-4992.24,33.0,4992.24,1121.257,151.28,1395.473,35.616,-4947.6,42.0,4947.6,889.98,117.8,1495.879
2019-02-07,41.486,-4992.24,33.0,4992.24,1121.257,151.28,1369.044,35.046,-4947.6,42.0,4947.6,889.98,117.8,1471.939
2019-02-08,41.535,-4992.24,33.0,4992.24,1121.257,151.28,1370.652,34.743,-4947.6,42.0,4947.6,889.98,117.8,1459.197
2019-02-11,41.296,-4992.24,33.0,4992.24,1121.257,151.28,1362.77,35.202,-4947.6,42.0,4947.6,889.98,117.8,1478.503
2019-02-12,41.652,-4992.24,33.0,4992.24,1121.257,151.28,1374.513,35.524,-4947.6,42.0,4947.6,889.98,117.8,1492.018
2019-02-13,41.479,-4992.24,33.0,4992.24,1121.257,151.28,1368.802,35.055,-4947.6,42.0,4947.6,889.98,117.8,1472.325
2019-02-14,41.63,-4992.24,33.0,4992.24,1121.257,151.28,1373.789,34.991,-4947.6,42.0,4947.6,889.98,117.8,1469.622
2019-02-15,41.537,-4992.24,33.0,4992.24,1121.257,151.28,1370.733,35.019,-4947.6,42.0,4947.6,889.98,117.8,1470.781
2019-02-19,41.662,-4992.24,33.0,4992.24,1121.257,151.28,1374.835,35.359,-4947.6,42.0,4947.6,889.98,117.8,1485.067
2019-02-20,41.93,-4992.24,33.0,4992.24,1121.257,151.28,1383.682,35.855,-4947.6,42.0,4947.6,889.98,117.8,1505.919
2019-02-21,41.693,-4992.24,33.0,4992.24,1121.257,151.28,1375.88,35.837,-4947.6,42.0,4947.6,889.98,117.8,1505.146
2019-02-22,42.159,-4992.24,33.0,4992.24,1121.257,151.28,1391.243,36.214,-4947.6,42.0,4947.6,889.98,117.8,1520.978
2019-02-25,42.466,-4992.24,33.0,4992.24,1121.257,151.28,1401.377,36.388,-4947.6,42.0,4947.6,889.98,117.8,1528.314
2019-02-26,42.49,-4992.24,33.0,4992.24,1121.257,151.28,1402.182,36.407,-4947.6,42.0,4947.6,889.98,117.8,1529.087
2019-02-27,42.622,-4992.24,33.0,4992.24,1121.257,151.28,1406.525,36.269,-4947.6,42.0,4947.6,889.98,117.8,1523.295
2019-02-28,42.203,-4992.24,33.0,4992.24,1121.257,151.28,1392.691,35.901,-4947.6,42.0,4947.6,889.98,117.8,1507.849
2019-03-01,42.646,-4992.24,33.0,4992.24,1121.257,151.28,1407.33,36.214,-4947.6,42.0,4947.6,889.98,117.8,1520.978
2019-03-04,42.861,-4992.24,33.0,4992.24,1121.257,151.28,1414.408,35.993,-4947.6,42.0,4947.6,889.98,117.8,1511.711
2019-03-05,42.783,-4992.24,33.0,4992.24,1121.257,151.28,1411.834,35.874,-4947.6,42.0,4947.6,889.98,117.8,1506.691
2019-03-06,42.537,-4992.24,33.0,4992.24,1121.257,151.28,1403.71,35.662,-4947.6,42.0,4947.6,889.98,117.8,1497.81
2019-03-07,42.044,-4992.24,33.0,4992.24,1121.257,151.28,1387.463,35.515,-4947.6,42.0,4947.6,889.98,117.8,1491.632
2019-03-08,42.144,-4992.24,33.0,4992.24,1121.257,151.28,1390.761,35.12,-4947.6,42.0,4947.6,889.98,117.8,1475.028
2019-03-11,43.604,-4992.24,33.0,4992.24,1121.257,151.28,1438.94,35.524,-4947.6,42.0,4947.6,889.98,117.8,1492.018
2019-03-12,44.094,-4992.24,33.0,4992.24,1121.257,151.28,1455.106,35.763,-4947.6,42.0,4947.6,889.98,117.8,1502.057
2019-03-13,44.289,-4992.24,33.0,4992.24,1121.257,151.28,1461.542,36.048,-4947.6,42.0,4947.6,889.98,117.8,1514.027
2019-03-14,44.781,-4992.24,33.0,4992.24,1121.257,151.28,1477.789,35.69,-4947.6,42.0,4947.6,889.98,117.8,1498.968
2019-03-15,45.364,-4992.24,33.0,4992.24,1121.257,151.28,1497.012,36.453,-4947.6,42.0,4947.6,889.98,117.8,1531.017
2019-03-18,45.827,-4992.24,33.0,4992.24,1121.257,151.28,1512.294,36.637,-4947.6,42.0,4947.6,889.98,117.8,1538.74
2019-03-19,45.464,-4992.24,33.0,4992.24,1121.257,151.28,1500.31,36.554,-4947.6,42.0,4947.6,889.98,117.8,1535.265
2019-03-20,45.861,-4992.24,33.0,4992.24,1121.257,151.28,1513.42,36.637,-4947.6,42.0,4947.6,889.98,117.8,1538.74
2019-03-21,47.55,-4992.24,33.0,4992.24,1121.257,151.28,1569.16,37.731,-4947.6,42.0,4947.6,889.98,117.8,1584.69
2019-03-22,46.566,-4992.24,33.0,4992.24,1121.257,151.28,1536.665,37.17,-4947.6,42.0,4947.6,889.98,117.8,1561.136
2019-03-25,46.003,-4992.24,33.0,4992.24,1121.257,151.28,1518.085,36.701,-4947.6,42.0,4947.6,889.98,117.8,1541.443
2019-03-26,45.527,-4992.24,33.0,4992.24,1121.257,151.28,1502.401,37.142,-4947.6,42.0,4947.6,889.98,117.8,1559.977
2019-03-27,45.937,-4992.24,33.0,4992.24,1121.257,151.28,1515.914,36.958,-4947.6,42.0,4947.6,889.98,117.8,1552.255
2019-03-28,45.998,-4992.24,33.0,4992.24,1121.257,151.28,1517.924,37.087,-4947.6,42.0,4947.6,889.98,117.8,1557.66
2019-03-29,46.298,-4992.24,33.0,4992.24,1121.257,151.28,1527.818,37.657,-4947.6,42.0,4947.6,889.98,117.8,1581.601
2019-04-01,46.612,-4992.24,33.0,4992.24,1121.257,151.28,1538.193,38.034,-4947.6,42.0,4947.6,889.98,117.8,1597.432
2019-04-02,47.29,-4992.24,33.0,4992.24,1121.257,151.28,1560.554,37.942,-4947.6,42.0,4947.6,889.98,117.8,1593.571
2019-04-03,47.614,-4992.24,33.0,4992.24,1121.257,151.28,1571.251,38.42,-4947.6,42.0,4947.6,889.98,117.8,1613.65
2019-04-04,47.697,-4992.24,33.0,4992.24,1121.257,151.28,1573.986,38.65,-4947.6,42.0,4947.6,889.98,117.8,1623.303
2019-04-05,48.016,-4992.24,33.0,4992.24,1121.257,151.28,1584.523,38.825,-4947.6,42.0,4947.6,889.98,117.8,1630.64
2019-04-08,48.771,-4992.24,33.0,4992.24,1121.257,151.28,1609.457,38.972,-4947.6,42.0,4947.6,889.98,117.8,1636.817
2019-04-09,48.625,-4992.24,33.0,4992.24,1121.257,151.28,1604.631,38.806,-4947.6,42.0,4947.6,889.98,117.8,1629.867
2019-04-10,48.898,-4992.24,33.0,4992.24,1121.257,151.28,1613.639,38.953,-4947.6,42.0,4947.6,889.98,117.8,1636.045
2019-04-11,48.491,-4992.24,33.0,4992.24,1121.257,151.28,1600.207,38.705,-4947.6,42.0,4947.6,889.98,117.8,1625.62
2019-04-12,48.472,-4992.24,33.0,4992.24,1121.257,151.28,1599.564,39.147,-4947.6,42.0,4947.6,889.98,117.8,1644.154
