date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,MSFT_adj_close,MSFT_cashflow,MSFT_cml_units,MSFT_cml_cost,MSFT_gain_loss,MSFT_avg_price,MSFT_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue
2019-01-01,0.0,-4992.24,33.0,4992.24,1121.257,151.28,0.0,0.0,-4704.84,14.0,4704.84,785.82,336.06,0.0,0.0,-4947.6,42.0,4947.6,889.98,117.8,0.0
2019-01-02,38.326,-4992.24,33.0,4992.24,1121.257,151.28,1264.768,97.961,-4704.84,14.0,4704.84,785.82,336.06,1371.458,33.575,-4947.6,42.0,4947.6,889.98,117.8,1410.158
2019-01-03,34.509,-4992.24,33.0,4992.24,1121.257,151.28,1138.787,94.358,-4704.84,14.0,4704.84,785.82,336.06,1321.005,31.589,-4947.6,42.0,4947.6,889.98,117.8,1326.753
2019-01-04,35.982,-4992.24,33.0,4992.24,1121.257,151.28,1187.402,98.746,-4704.84,14.0,4704.84,785.82,336.06,1382.444,32.15,-4947.6,42.0,4947.6,889.98,117.8,1350.307
2019-01-07,35.902,-4992.24,33.0,4992.24,1121.257,151.28,1184.758,98.872,-4704.84,14.0,4704.84,785.82,336.06,1384.207,32.389,-4947.6,42.0,4947.6,889.98,117.8,1360.346
2019-01-08,36.586,-4992.24,33.0,4992.24,1121.257,151.28,1207.344,99.589,-4704.84,14.0,4704.84,785.82,336.06,1394.244,32.123,-4947.6,42.0,4947.6,889.98,117.8,1349.149
2019-01-09,37.207,-4992.24,33.0,4992.24,1121.257,151.28,1227.847,101.013,-4704.84,14.0,4704.84,785.82,336.06,1414.181,32.739,-4947.6,42.0,4947.6,889.98,117.8,1375.02
2019-01-10,37.326,-4992.24,33.0,4992.24,1121.257,151.28,1231.771,100.364,-4704.84,14.0,4704.84,785.82,336.06,1405.094,33.483,-4947.6,42.0,4947.6,889.98,117.8,1406.296
2019-01-11,36.96,-4992.24,33.0,4992.24,1121.257,151.28,1219.677,99.589,-4704.84,14.0,4704.84,785.82,336.06,1394.244,33.658,-4947.6,42.0,4947.6,889.98,117.8,1413.633
2019-01-14,36.404,-4992.24,33.0,4992.24,1121.257,151.28,1201.337,98.862,-4704.84,14.0,4704.84,785.82,336.06,1384.072,32.876,-4947.6,42.0,4947.6,889.98,117.8,1380.812
2019-01-15,37.149,-4992.24,33.0,4992.24,1121.257,151.28,1225.924,101.73,-4704.84,14.0,4704.84,785.82,336.06,1424.217,33.134,-4947.6,42.0,4947.6,889.98,117.8,1391.623
2019-01-16,37.603,-4992.24,33.0,4992.24,1121.257,151.28,1240.901,102.088,-4704.84,14.0,4704.84,785.82,336.06,1429.236,32.766,-4947.6,42.0,4947.6,889.98,117.8,1376.178
2019-01-17,37.826,-4992.24,33.0,4992.24,1121.257,151.28,1248.269,102.805,-4704.84,14.0,4704.84,785.82,336.06,1439.272,33.364,-4947.6,42.0,4947.6,889.98,117.8,1401.277
2019-01-18,38.059,-4992.24,33.0,4992.24,1121.257,151.28,1255.958,104.345,-4704.84,14.0,4704.84,785.82,336.06,1460.836,33.869,-4947.6,42.0,4947.6,889.98,117.8,1422.514
2019-01-22,37.205,-4992.24,33.0,4992.24,1121.257,151.28,1227.767,102.379,-4704.84,14.0,4704.84,785.82,336.06,1433.304,33.437,-4947.6,42.0,4947.6,889.98,117.8,1404.366
2019-01-23,37.356,-4992.24,33.0,4992.24,1121.257,151.28,1232.732,103.377,-4704.84,14.0,4704.84,785.82,336.06,1447.274,33.548,-4947.6,42.0,4947.6,889.98,117.8,1409.0
2019-01-24,37.059,-4992.24,33.0,4992.24,1121.257,151.28,1222.961,102.883,-4704.84,14.0,4704.84,785.82,336.06,1440.357,34.605,-4947.6,42.0,4947.6,889.98,117.8,1453.405
2019-01-25,38.287,-4992.24,33.0,4992.24,1121.257,151.28,1263.486,103.822,-4704.84,14.0,4704.84,785.82,336.06,1453.513,35.065,-4947.6,42.0,4947.6,889.98,117.8,1472.711
2019-01-28,37.933,-4992.24,33.0,4992.24,1121.257,151.28,1251.793,101.798,-4704.84,14.0,4704.84,785.82,336.06,1425.167,34.421,-4947.6,42.0,4947.6,889.98,117.8,1445.682
2019-01-29,37.54,-4992.24,33.0,4992.24,1121.257,151.28,1238.819,99.724,-4704.84,14.0,4704.84,785.82,336.06,1396.143,33.401,-4947.6,42.0,4947.6,889.98,117.8,1402.821
2019-01-30,40.105,-4992.24,33.0,4992.24,1121.257,151.28,1323.473,103.057,-4704.84,14.0,4704.84,785.82,336.06,1442.798,34.366,-4947.6,42.0,4947.6,889.98,117.8,1443.365
2019-01-31,40.394,-4992.24,33.0,4992.24,1121.257,151.28,1333.004,101.168,-4704.84,14.0,4704.84,785.82,336.06,1416.351,34.586,-4947.6,42.0,4947.6,889.98,117.8,1452.632
2019-02-01,40.413,-4992.24,33.0,4992.24,1121.257,151.28,1333.644,99.569,-4704.84,14.0,4704.84,785.82,336.06,1393.972,34.541,-4947.6,42.0,4947.6,889.98,117.8,1450.701
2019-02-04,41.561,-4992.24,33.0,4992.24,1121.257,151.28,1371.526,102.437,-4704.84,14.0,4704.84,785.82,336.06,1434.118,34.881,-4947.6,42.0,4947.6,889.98,117.8,1464.989
2019-02-05,42.273,-4992.24,33.0,4992.24,1121.257,151.28,1394.993,103.871,-4704.84,14.0,4704.84,785.82,336.06,1454.191,35.166,-4947.6,42.0,4947.6,889.98,117.8,1476.959
2019-02-06,42.287,-4992.24,33.0,4992.24,1121.257,151.28,1395.473,102.718,-4704.84,14.0,4704.84,785.82,336.06,1438.051,35.616,-4947.6,42.0,4947.6,889.98,117.8,1495.879
2019-02-07,41.486,-4992.24,33.0,4992.24,1121.257,151.28,1369.044,101.982,-4704.84,14.0,4704.84,785.82,336.06,1427.744,35.046,-4947.6,42.0,4947.6,889.98,117.8,1471.939
2019-02-08,41.535,-4992.24,33.0,4992.24,1121.257,151.28,1370.652,102.369,-4704.84,14.0,4704.84,785.82,336.06,1433.169,34.743,-4947.6,42.0,4947.6,889.98,117.8,1459.196
2019-02-11,41.296,-4992.24,33.0,4992.24,1121.257,151.28,1362.77,101.962,-4704.84,14.0,4704.84,785.82,336.06,1427.472,35.202,-4947.6,42.0,4947.6,889.98,117.8,1478.503
2019-02-12,41.652,-4992.24,33.0,4992.24,1121.257,151.28,1374.513,103.551,-4704.84,14.0,4704.84,785.82,336.06,1449.715,35.524,-4947.6,42.0,4947.6,889.98,117.8,1492.018
2019-02-13,41.479,-4992.24,33.0,4992.24,1121.257,151.28,1368.802,103.474,-4704.84,14.0,4704.84,785.82,336.06,1448.63,35.055,-4947.6,42.0,4947.6,889.98,117.8,1472.325
2019-02-14,41.63,-4992.24,33.0,4992.24,1121.257,151.28,1373.789,103.561,-4704.84,14.0,4704.84,785.82,336.06,1449.851,34.991,-4947.6,42.0,4947.6,889.98,117.8,1469.622
2019-02-15,41.537,-4992.24,33.0,4992.24,1121.257,151.28,1370.733,104.84,-4704.84,14.0,4704.84,785.82,336.06,1467.754,35.019,-4947.6,42.0,4947.6,889.98,117.8,1470.781
2019-02-19,41.662,-4992.24,33.0,4992.24,1121.257,151.28,1374.835,104.791,-4704.84,14.0,4704.84,785.82,336.06,1467.075,35.359,-4947.6,42.0,4947.6,889.98,117.8,1485.067
2019-02-20,41.93,-4992.24,33.0,4992.24,1121.257,151.28,1383.682,104.246,-4704.84,14.0,4704.84,785.82,336.06,1459.448,35.855,-4947.6,42.0,4947.6,889.98,117.8,1505.919
2019-02-21,41.693,-4992.24,33.0,4992.24,1121.257,151.28,1375.88,106.445,-4704.84,14.0,4704.84,785.82,336.06,1490.23,35.837,-4947.6,42.0,4947.6,889.98,117.8,1505.146
2019-02-22,42.159,-4992.24,33.0,4992.24,1121.257,151.28,1391.243,107.963,-4704.84,14.0,4704.84,785.82,336.06,1511.478,36.214,-4947.6,42.0,4947.6,889.98,117.8,1520.978
2019-02-25,42.466,-4992.24,33.0,4992.24,1121.257,151.28,1401.378,108.566,-4704.84,14.0,4704.84,785.82,336.06,1519.923,36.388,-4947.6,42.0,4947.6,889.98,117.8,1528.314
2019-02-26,42.49,-4992.24,33.0,4992.24,1121.257,151.28,1402.182,109.315,-4704.84,14.0,4704.84,785.82,336.06,1530.411,36.407,-4947.6,42.0,4947.6,889.98,117.8,1529.087
2019-02-27,42.622,-4992.24,33.0,4992.24,1121.257,151.28,1406.525,109.13,-4704.84,14.0,4704.84,785.82,336.06,1527.823,36.269,-4947.6,42.0,4947.6,889.98,117.8,1523.294
2019-02-28,42.203,-4992.24,33.0,4992.24,1121.257,151.28,1392.691,108.994,-4704.84,14.0,4704.84,785.82,336.06,1525.916,35.901,-4947.6,42.0,4947.6,889.98,117.8,1507.849
2019-03-01,42.646,-4992.24,33.0,4992.24,1121.257,151.28,1407.33,109.48,-4704.84,14.0,4704.84,785.82,336.06,1532.727,36.214,-4947.6,42.0,4947.6,889.98,117.8,1520.978
2019-03-04,42.861,-4992.24,33.0,4992.24,1121.257,151.28,1414.408,109.218,-4704.84,14.0,4704.84,785.82,336.06,1529.049,35.993,-4947.6,42.0,4947.6,889.98,117.8,1511.711
2019-03-05,42.783,-4992.24,33.0,4992.24,1121.257,151.28,1411.834,108.673,-4704.84,14.0,4704.84,785.82,336.06,1521.421,35.874,-4947.6,42.0,4947.6,889.98,117.8,1506.691
2019-03-06,42.537,-4992.24,33.0,4992.24,1121.257,151.28,1403.71,108.722,-4704.84,14.0,4704.84,785.82,336.06,1522.103,35.662,-4947.6,42.0,4947.6,889.98,117.8,1497.81
2019-03-07,42.044,-4992.24,33.0,4992.24,1121.257,151.28,1387.463,107.398,-4704.84,14.0,4704.84,785.82,336.06,1503.579,35.515,-4947.6,42.0,4947.6,889.98,117.8,1491.632
2019-03-08,42.144,-4992.24,33.0,4992.24,1121.257,151.28,1390.761,107.515,-4704.84,14.0,4704.84,785.82,336.06,1505.213,35.12,-4947.6,42.0,4947.6,889.98,117.8,1475.028
2019-03-11,43.604,-4992.24,33.0,4992.24,1121.257,151.28,1438.94,109.772,-4704.84,14.0,4704.84,785.82,336.06,1536.813,35.524,-4947.6,42.0,4947.6,889.98,117.8,1492.018
2019-03-12,44.094,-4992.24,33.0,4992.24,1121.257,151.28,1455.107,110.541,-4704.84,14.0,4704.84,785.82,336.06,1547.573,35.763,-4947.6,42.0,4947.6,889.98,117.8,1502.057
2019-03-13,44.289,-4992.24,33.0,4992.24,1121.257,151.28,1461.541,111.397,-4704.84,14.0,4704.84,785.82,336.06,1559.559,36.048,-4947.6,42.0,4947.6,889.98,117.8,1514.027
2019-03-14,44.781,-4992.24,33.0,4992.24,1121.257,151.28,1477.788,111.485,-4704.84,14.0,4704.84,785.82,336.06,1560.785,35.69,-4947.6,42.0,4947.6,889.98,117.8,1498.968
2019-03-15,45.364,-4992.24,33.0,4992.24,1121.257,151.28,1497.012,112.769,-4704.84,14.0,4704.84,785.82,336.06,1578.764,36.453,-4947.6,42.0,4947.6,889.98,117.8,1531.017
2019-03-18,45.827,-4992.24,33.0,4992.24,1121.257,151.28,1512.294,114.384,-4704.84,14.0,4704.84,785.82,336.06,1601.374,36.637,-4947.6,42.0,4947.6,889.98,117.8,1538.74
2019-03-19,45.464,-4992.24,33.0,4992.24,1121.257,151.28,1500.31,114.462,-4704.84,14.0,4704.84,785.82,336.06,1602.464,36.554,-4947.6,42.0,4947.6,889.98,117.8,1535.265
2019-03-20,45.861,-4992.24,33.0,4992.24,1121.257,151.28,1513.42,114.335,-4704.84,14.0,4704.84,785.82,336.06,1600.694,36.637,-4947.6,42.0,4947.6,889.98,117.8,1538.74
2019-03-21,47.55,-4992.24,33.0,4992.24,1121.257,151.28,1569.16,116.962,-4704.84,14.0,4704.84,785.82,336.06,1637.469,37.731,-4947.6,42.0,4947.6,889.98,117.8,1584.69
2019-03-22,46.566,-4992.24,33.0,4992.24,1121.257,151.28,1536.665,113.878,-4704.84,14.0,4704.84,785.82,336.06,1594.292,37.17,-4947.6,42.0,4947.6,889.98,117.8,1561.136
2019-03-25,46.003,-4992.24,33.0,4992.24,1121.257,151.28,1518.086,114.471,-4704.84,14.0,4704.84,785.82,336.06,1602.601,36.701,-4947.6,42.0,4947.6,889.98,117.8,1541.442
2019-03-26,45.527,-4992.24,33.0,4992.24,1121.257,151.28,1502.401,114.715,-4704.84,14.0,4704.84,785.82,336.06,1606.006,37.142,-4947.6,42.0,4947.6,889.98,117.8,1559.977
2019-03-27,45.937,-4992.24,33.0,4992.24,1121.257,151.28,1515.914,113.606,-4704.84,14.0,4704.84,785.82,336.06,1590.478,36.958,-4947.6,42.0,4947.6,889.98,117.8,1552.255
2019-03-28,45.998,-4992.24,33.0,4992.24,1121.257,151.28,1517.924,113.761,-4704.84,14.0,4704.84,785.82,336.06,1592.657,37.087,-4947.6,42.0,4947.6,889.98,117.8,1557.66
2019-03-29,46.298,-4992.24,33.0,4992.24,1121.257,151.28,1527.818,114.744,-4704.84,14.0,4704.84,785.82,336.06,1606.414,37.657,-4947.6,42.0,4947.6,889.98,117.8,1581.601
2019-04-01,46.612,-4992.24,33.0,4992.24,1121.257,151.28,1538.194,115.795,-4704.84,14.0,4704.84,785.82,336.06,1621.124,38.034,-4947.6,42.0,4947.6,889.98,117.8,1597.432
2019-04-02,47.29,-4992.24,33.0,4992.24,1121.257,151.28,1560.554,115.96,-4704.84,14.0,4704.84,785.82,336.06,1623.44,37.942,-4947.6,42.0,4947.6,889.98,117.8,1593.571
2019-04-03,47.614,-4992.24,33.0,4992.24,1121.257,151.28,1571.252,116.719,-4704.84,14.0,4704.84,785.82,336.06,1634.064,38.42,-4947.6,42.0,4947.6,889.98,117.8,1613.65
2019-04-04,47.697,-4992.24,33.0,4992.24,1121.257,151.28,1573.986,116.125,-4704.84,14.0,4704.84,785.82,336.06,1625.755,38.65,-4947.6,42.0,4947.6,889.98,117.8,1623.303
2019-04-05,48.016,-4992.24,33.0,4992.24,1121.257,151.28,1584.523,116.641,-4704.84,14.0,4704.84,785.82,336.06,1632.974,38.825,-4947.6,42.0,4947.6,889.98,117.8,1630.64
2019-04-08,48.771,-4992.24,33.0,4992.24,1121.257,151.28,1609.457,116.68,-4704.84,14.0,4704.84,785.82,336.06,1633.519,38.972,-4947.6,42.0,4947.6,889.98,117.8,1636.818
2019-04-09,48.625,-4992.24,33.0,4992.24,1121.257,151.28,1604.631,116.048,-4704.84,14.0,4704.84,785.82,336.06,1624.666,38.806,-4947.6,42.0,4947.6,889.98,117.8,1629.867
2019-04-10,48.898,-4992.24,33.0,4992.24,1121.257,151.28,1613.639,116.933,-4704.84,14.0,4704.84,785.82,336.06,1637.06,38.953,-4947.6,42.0,4947.6,889.98,117.8,1636.046
2019-04-11,48.491,-4992.24,33.0,4992.24,1121.257,151.28,1600.207,117.069,-4704.84,14.0,4704.84,785.82,336.06,1638.967,38.705,-4947.6,42.0,4947.6,889.98,117.8,1625.62
2019-04-12,48.472,-4992.24,33.0,4992.24,1121.257,151.28,1599.564,117.672,-4704.84,14.0,4704.84,785.82,336.06,1647.412,39.147,-4947.6,42.0,4947.6,889.98,117.8,1644.154
2019-04-15,48.559,-4992.24,33.0,4992.24,1121.257,151.28,1602.459,117.77,-4704.84,14.0,4704.84,785.82,336.06,1648.774,39.174,-4947.6,42.0,4947.6,889.98,117.8,1645.313
2019-04-16,48.564,-4992.24,33.0,4992.24,1121.257,151.28,1602.62,117.497,-4704.84,14.0,4704.84,785.82,336.06,1644.96,39.542,-4947.6,42.0,4947.6,889.98,117.8,1660.758
2019-04-17,49.51,-4992.24,33.0,4992.24,1121.257,151.28,1633.828,118.47,-4704.84,14.0,4704.84,785.82,336.06,1658.581,40.811,-4947.6,42.0,4947.6,889.98,117.8,1714.044
2019-04-18,49.688,-4992.24,33.0,4992.24,1121.257,151.28,1639.699,120.027,-4704.84,14.0,4704.84,785.82,336.06,1680.374,41.739,-4947.6,42.0,4947.6,889.98,117.8,1753.044
2019-04-22,49.851,-4992.24,33.0,4992.24,1121.257,151.28,1645.088,120.406,-4704.84,14.0,4704.84,785.82,336.06,1685.686,41.509,-4947.6,42.0,4947.6,889.98,117.8,1743.39
2019-04-23,50.57,-4992.24,33.0,4992.24,1121.257,151.28,1668.816,122.041,-4704.84,14.0,4704.84,785.82,336.06,1708.569,41.758,-4947.6,42.0,4947.6,889.98,117.8,1753.816
2019-04-24,50.492,-4992.24,33.0,4992.24,1121.257,151.28,1666.242,121.622,-4704.84,14.0,4704.84,785.82,336.06,1702.712,41.748,-4947.6,42.0,4947.6,889.98,117.8,1753.43
2019-04-25,50.034,-4992.24,33.0,4992.24,1121.257,151.28,1651.121,125.65,-4704.84,14.0,4704.84,785.82,336.06,1759.101,40.893,-4947.6,42.0,4947.6,889.98,117.8,1717.519
2019-04-26,49.795,-4992.24,33.0,4992.24,1121.257,151.28,1643.239,126.37,-4704.84,14.0,4704.84,785.82,336.06,1769.18,40.397,-4947.6,42.0,4947.6,889.98,117.8,1696.668
2019-04-29,49.871,-4992.24,33.0,4992.24,1121.257,151.28,1645.732,126.253,-4704.84,14.0,4704.84,785.82,336.06,1767.546,40.296,-4947.6,42.0,4947.6,889.98,117.8,1692.421
2019-04-30,48.91,-4992.24,33.0,4992.24,1121.257,151.28,1614.042,127.061,-4704.84,14.0,4704.84,785.82,336.06,1778.851,40.287,-4947.6,42.0,4947.6,889.98,117.8,1692.035
2019-05-01,51.311,-4992.24,33.0,4992.24,1121.257,151.28,1693.268,124.415,-4704.84,14.0,4704.84,785.82,336.06,1741.803,40.287,-4947.6,42.0,4947.6,889.98,117.8,1692.035
