date,AAPL_adj_close,AAPL_cashflow,AAPL_cml_units,AAPL_cml_cost,AAPL_gain_loss,AAPL_avg_price,AAPL_mktvalue,MSFT_adj_close,MSFT_cashflow,MSFT_cml_units,MSFT_cml_cost,MSFT_gain_loss,MSFT_avg_price,MSFT_mktvalue,QCOM_adj_close,QCOM_cashflow,QCOM_cml_units,QCOM_cml_cost,QCOM_gain_loss,QCOM_avg_price,QCOM_mktvalue,TSM_adj_close,TSM_cashflow,TSM_cml_units,TSM_cml_cost,TSM_gain_loss,TSM_avg_price,TSM_mktvalue,ASX_adj_close,ASX_cashflow,ASX_cml_units,ASX_cml_cost,ASX_gain_loss,ASX_avg_price,ASX_mktvalue,TTD_adj_close,TTD_cashflow,TTD_cml_units,TTD_cml_cost,TTD_gain_loss,TTD_avg_price,TTD_mktvalue,VRNS_adj_close,VRNS_cashflow,VRNS_cml_units,VRNS_cml_cost,VRNS_gain_loss,VRNS_avg_price,VRNS_mktvalue,FIVN_adj_close,FIVN_cashflow,FIVN_cml_units,FIVN_cml_cost,FIVN_gain_loss,FIVN_avg_price,FIVN_mktvalue,VHC_adj_close,VHC_cashflow,VHC_cml_units,VHC_cml_cost,VHC_gain_loss,VHC_avg_price,VHC_mktvalue
2019-01-01,0.0,-4992.24,33.0,4992.24,1121.257,151.28,0.0,0.0,-4704.84,14.0,4704.84,785.82,336.06,0.0,0.0,-4890.9,30.0,4890.9,939.6,163.03,0.0,0.0,-4947.6,42.0,4947.6,889.98,117.8,0.0,0.0,-4995.25,689.0,4995.25,1247.09,7.25,0.0,0.0,-4935.6,72.0,4935.6,1034.784,68.55,0.0,0.0,-4978.4,80.0,4978.4,661.6,62.23,0.0,0.0,-4882.02,33.0,4882.02,721.38,147.94,0.0,0.0,-4996.56,1146.0,4996.56,1604.4,4.36,0.0
2019-01-02,38.44,-4992.24,33.0,4992.24,1121.257,151.28,1268.511,98.149,-4704.84,14.0,4704.84,785.82,336.06,1374.084,53.444,-4890.9,30.0,4890.9,939.6,163.03,1603.307,33.572,-4947.6,42.0,4947.6,889.98,117.8,1410.021,3.321,-4995.25,689.0,4995.25,1247.09,7.25,2288.421,11.616,-4935.6,72.0,4935.6,1034.784,68.55,836.352,17.133,-4978.4,80.0,4978.4,661.6,62.23,1370.667,42.59,-4882.02,33.0,4882.02,721.38,147.94,1405.47,2.136,-4996.56,1146.0,4996.56,1604.4,4.36,2447.631
2019-01-03,34.611,-4992.24,33.0,4992.24,1121.257,151.28,1142.158,94.538,-4704.84,14.0,4704.84,785.82,336.06,1323.534,51.861,-4890.9,30.0,4890.9,939.6,163.03,1555.823,31.586,-4947.6,42.0,4947.6,889.98,117.8,1326.625,3.213,-4995.25,689.0,4995.25,1247.09,7.25,2213.595,10.956,-4935.6,72.0,4935.6,1034.784,68.55,788.832,16.337,-4978.4,80.0,4978.4,661.6,62.23,1306.933,40.98,-4882.02,33.0,4882.02,721.38,147.94,1352.34,2.059,-4996.56,1146.0,4996.56,1604.4,4.36,2359.163
2019-01-04,36.088,-4992.24,33.0,4992.24,1121.257,151.28,1190.916,98.935,-4704.84,14.0,4704.84,785.82,336.06,1385.091,52.699,-4890.9,30.0,4890.9,939.6,163.03,1580.961,32.147,-4947.6,42.0,4947.6,889.98,117.8,1350.176,3.168,-4995.25,689.0,4995.25,1247.09,7.25,2182.418,11.792,-4935.6,72.0,4935.6,1034.784,68.55,849.024,17.163,-4978.4,80.0,4978.4,661.6,62.23,1373.067,42.52,-4882.02,33.0,4882.02,721.38,147.94,1403.16,2.222,-4996.56,1146.0,4996.56,1604.4,4.36,2545.929
2019-01-07,36.008,-4992.24,33.0,4992.24,1121.257,151.28,1188.265,99.061,-4704.84,14.0,4704.84,785.82,336.06,1386.857,52.55,-4890.9,30.0,4890.9,939.6,163.03,1576.492,32.386,-4947.6,42.0,4947.6,889.98,117.8,1360.214,3.195,-4995.25,689.0,4995.25,1247.09,7.25,2201.124,12.457,-4935.6,72.0,4935.6,1034.784,68.55,896.904,17.627,-4978.4,80.0,4978.4,661.6,62.23,1410.133,45.89,-4882.02,33.0,4882.02,721.38,147.94,1514.37,2.35,-4996.56,1146.0,4996.56,1604.4,4.36,2693.377
2019-01-08,36.694,-4992.24,33.0,4992.24,1121.257,151.28,1210.917,99.78,-4704.84,14.0,4704.84,785.82,336.06,1396.913,52.094,-4890.9,30.0,4890.9,939.6,163.03,1562.806,32.119,-4947.6,42.0,4947.6,889.98,117.8,1349.018,3.177,-4995.25,689.0,4995.25,1247.09,7.25,2188.653,12.805,-4935.6,72.0,4935.6,1034.784,68.55,921.96,18.213,-4978.4,80.0,4978.4,661.6,62.23,1457.067,46.94,-4882.02,33.0,4882.02,721.38,147.94,1549.02,3.886,-4996.56,1146.0,4996.56,1604.4,4.36,4452.919
2019-01-09,37.318,-4992.24,33.0,4992.24,1121.257,151.28,1231.481,101.206,-4704.84,14.0,4704.84,785.82,336.06,1416.888,52.708,-4890.9,30.0,4890.9,939.6,163.03,1581.241,32.735,-4947.6,42.0,4947.6,889.98,117.8,1374.886,3.312,-4995.25,689.0,4995.25,1247.09,7.25,2282.186,12.88,-4935.6,72.0,4935.6,1034.784,68.55,927.36,18.237,-4978.4,80.0,4978.4,661.6,62.23,1458.933,46.49,-4882.02,33.0,4882.02,721.38,147.94,1534.17,3.011,-4996.56,1146.0,4996.56,1604.4,4.36,3450.275
2019-01-10,37.437,-4992.24,33.0,4992.24,1121.257,151.28,1235.417,100.556,-4704.84,14.0,4704.84,785.82,336.06,1407.784,52.885,-4890.9,30.0,4890.9,939.6,163.03,1586.548,33.48,-4947.6,42.0,4947.6,889.98,117.8,1406.16,3.303,-4995.25,689.0,4995.25,1247.09,7.25,2275.95,12.967,-4935.6,72.0,4935.6,1034.784,68.55,933.624,17.7,-4978.4,80.0,4978.4,661.6,62.23,1416.0,47.02,-4882.02,33.0,4882.02,721.38,147.94,1551.66,3.311,-4996.56,1146.0,4996.56,1604.4,4.36,3794.32
2019-01-11,37.069,-4992.24,33.0,4992.24,1121.257,151.28,1223.287,99.78,-4704.84,14.0,4704.84,785.82,336.06,1396.913,53.537,-4890.9,30.0,4890.9,939.6,163.03,1606.1,33.655,-4947.6,42.0,4947.6,889.98,117.8,1413.496,3.394,-4995.25,689.0,4995.25,1247.09,7.25,2338.305,12.73,-4935.6,72.0,4935.6,1034.784,68.55,916.56,17.567,-4978.4,80.0,4978.4,661.6,62.23,1405.333,46.38,-4882.02,33.0,4882.02,721.38,147.94,1530.54,3.328,-4996.56,1146.0,4996.56,1604.4,4.36,3813.979
2019-01-14,36.512,-4992.24,33.0,4992.24,1121.257,151.28,1204.893,99.052,-4704.84,14.0,4704.84,785.82,336.06,1386.721,53.35,-4890.9,30.0,4890.9,939.6,163.03,1600.514,32.873,-4947.6,42.0,4947.6,889.98,117.8,1380.678,3.303,-4995.25,689.0,4995.25,1247.09,7.25,2275.95,12.849,-4935.6,72.0,4935.6,1034.784,68.55,925.128,16.887,-4978.4,80.0,4978.4,661.6,62.23,1350.933,44.47,-4882.02,33.0,4882.02,721.38,147.94,1467.51,3.32,-4996.56,1146.0,4996.56,1604.4,4.36,3804.149
2019-01-15,37.259,-4992.24,33.0,4992.24,1121.257,151.28,1229.553,101.925,-4704.84,14.0,4704.84,785.82,336.06,1426.944,51.889,-4890.9,30.0,4890.9,939.6,163.03,1556.66,33.131,-4947.6,42.0,4947.6,889.98,117.8,1391.489,3.412,-4995.25,689.0,4995.25,1247.09,7.25,2350.776,13.041,-4935.6,72.0,4935.6,1034.784,68.55,938.952,17.407,-4978.4,80.0,4978.4,661.6,62.23,1392.533,45.63,-4882.02,33.0,4882.02,721.38,147.94,1505.79,5.43,-4996.56,1146.0,4996.56,1604.4,4.36,6222.291
2019-01-16,37.714,-4992.24,33.0,4992.24,1121.257,151.28,1244.574,102.284,-4704.84,14.0,4704.84,785.82,336.06,1431.972,51.46,-4890.9,30.0,4890.9,939.6,163.03,1543.812,32.763,-4947.6,42.0,4947.6,889.98,117.8,1376.044,3.403,-4995.25,689.0,4995.25,1247.09,7.25,2344.54,13.051,-4935.6,72.0,4935.6,1034.784,68.55,939.672,16.78,-4978.4,80.0,4978.4,661.6,62.23,1342.4,45.82,-4882.02,33.0,4882.02,721.38,147.94,1512.06,4.392,-4996.56,1146.0,4996.56,1604.4,4.36,5032.88
2019-01-17,37.938,-4992.24,33.0,4992.24,1121.257,151.28,1251.964,103.002,-4704.84,14.0,4704.84,785.82,336.06,1442.027,50.995,-4890.9,30.0,4890.9,939.6,163.03,1529.846,33.36,-4947.6,42.0,4947.6,889.98,117.8,1401.141,3.421,-4995.25,689.0,4995.25,1247.09,7.25,2357.012,13.318,-4935.6,72.0,4935.6,1034.784,68.55,958.896,16.917,-4978.4,80.0,4978.4,661.6,62.23,1353.333,47.29,-4882.02,33.0,4882.02,721.38,147.94,1560.57,4.932,-4996.56,1146.0,4996.56,1604.4,4.36,5652.16
2019-01-18,38.172,-4992.24,33.0,4992.24,1121.257,151.28,1259.675,104.545,-4704.84,14.0,4704.84,785.82,336.06,1463.633,51.46,-4890.9,30.0,4890.9,939.6,163.03,1543.812,33.866,-4947.6,42.0,4947.6,889.98,117.8,1422.376,3.466,-4995.25,689.0,4995.25,1247.09,7.25,2388.189,13.899,-4935.6,72.0,4935.6,1034.784,68.55,1000.728,17.383,-4978.4,80.0,4978.4,661.6,62.23,1390.667,46.87,-4882.02,33.0,4882.02,721.38,147.94,1546.71,4.735,-4996.56,1146.0,4996.56,1604.4,4.36,5426.074
