date,BAC_adj_close,BAC_cashflow,BAC_cml_units,BAC_cml_cost,BAC_gain_loss,BAC_avg_price,BAC_mktvalue
2019-01-01,0.0,-4969.28,106.0,4969.28,1121.48,46.88,0.0
2019-01-02,23.431,-4969.28,106.0,4969.28,1121.48,46.88,2483.654
2019-01-03,23.055,-4969.28,106.0,4969.28,1121.48,46.88,2443.852
2019-01-04,24.013,-4969.28,106.0,4969.28,1121.48,46.88,2545.347
2019-01-07,23.994,-4969.28,106.0,4969.28,1121.48,46.88,2543.357
2019-01-08,23.947,-4969.28,106.0,4969.28,1121.48,46.88,2538.382
2019-01-09,24.182,-4969.28,106.0,4969.28,1121.48,46.88,2563.258
2019-01-10,24.154,-4969.28,106.0,4969.28,1121.48,46.88,2560.273
2019-01-11,24.435,-4969.28,106.0,4969.28,1121.48,46.88,2590.125
2019-01-14,24.754,-4969.28,106.0,4969.28,1121.48,46.88,2623.956
2019-01-15,24.923,-4969.28,106.0,4969.28,1121.48,46.88,2641.867
2019-01-16,26.707,-4969.28,106.0,4969.28,1121.48,46.88,2830.928
2019-01-17,27.214,-4969.28,106.0,4969.28,1121.48,46.88,2884.661
2019-01-18,27.505,-4969.28,106.0,4969.28,1121.48,46.88,2915.507
2019-01-22,27.308,-4969.28,106.0,4969.28,1121.48,46.88,2894.611
2019-01-23,27.148,-4969.28,106.0,4969.28,1121.48,46.88,2877.695
2019-01-24,27.298,-4969.28,106.0,4969.28,1121.48,46.88,2893.616
2019-01-25,27.768,-4969.28,106.0,4969.28,1121.48,46.88,2943.369
2019-01-28,27.815,-4969.28,106.0,4969.28,1121.48,46.88,2948.344
2019-01-29,27.589,-4969.28,106.0,4969.28,1121.48,46.88,2924.463
2019-01-30,27.289,-4969.28,106.0,4969.28,1121.48,46.88,2892.621
2019-01-31,26.726,-4969.28,106.0,4969.28,1121.48,46.88,2832.918
2019-02-01,26.641,-4969.28,106.0,4969.28,1121.48,46.88,2823.962
2019-02-04,27.111,-4969.28,106.0,4969.28,1121.48,46.88,2873.715
2019-02-05,27.017,-4969.28,106.0,4969.28,1121.48,46.88,2863.764
2019-02-06,26.97,-4969.28,106.0,4969.28,1121.48,46.88,2858.789
2019-02-07,26.51,-4969.28,106.0,4969.28,1121.48,46.88,2810.032
2019-02-08,26.557,-4969.28,106.0,4969.28,1121.48,46.88,2815.007
2019-02-11,26.669,-4969.28,106.0,4969.28,1121.48,46.88,2826.947
2019-02-12,26.932,-4969.28,106.0,4969.28,1121.48,46.88,2854.809
2019-02-13,26.942,-4969.28,106.0,4969.28,1121.48,46.88,2855.804
2019-02-14,26.651,-4969.28,106.0,4969.28,1121.48,46.88,2824.957
2019-02-15,27.326,-4969.28,106.0,4969.28,1121.48,46.88,2896.601
2019-02-19,27.345,-4969.28,106.0,4969.28,1121.48,46.88,2898.591
2019-02-20,27.608,-4969.28,106.0,4969.28,1121.48,46.88,2926.453
2019-02-21,27.495,-4969.28,106.0,4969.28,1121.48,46.88,2914.512
2019-02-22,27.298,-4969.28,106.0,4969.28,1121.48,46.88,2893.616
2019-02-25,27.477,-4969.28,106.0,4969.28,1121.48,46.88,2912.522
2019-02-26,27.495,-4969.28,106.0,4969.28,1121.48,46.88,2914.512
2019-02-27,27.721,-4969.28,106.0,4969.28,1121.48,46.88,2938.393
2019-02-28,27.438,-4969.28,106.0,4969.28,1121.48,46.88,2908.389
2019-03-01,27.655,-4969.28,106.0,4969.28,1121.48,46.88,2931.392
2019-03-04,27.39,-4969.28,106.0,4969.28,1121.48,46.88,2903.388
2019-03-05,27.438,-4969.28,106.0,4969.28,1121.48,46.88,2908.389
2019-03-06,27.211,-4969.28,106.0,4969.28,1121.48,46.88,2884.386
2019-03-07,26.938,-4969.28,106.0,4969.28,1121.48,46.88,2855.382
2019-03-08,27.032,-4969.28,106.0,4969.28,1121.48,46.88,2865.383
2019-03-11,27.306,-4969.28,106.0,4969.28,1121.48,46.88,2894.387
2019-03-12,27.306,-4969.28,106.0,4969.28,1121.48,46.88,2894.387
2019-03-13,27.636,-4969.28,106.0,4969.28,1121.48,46.88,2929.392
2019-03-14,27.796,-4969.28,106.0,4969.28,1121.48,46.88,2946.394
2019-03-15,27.645,-4969.28,106.0,4969.28,1121.48,46.88,2930.392
2019-03-18,28.136,-4969.28,106.0,4969.28,1121.48,46.88,2982.399
2019-03-19,27.975,-4969.28,106.0,4969.28,1121.48,46.88,2965.397
2019-03-20,27.022,-4969.28,106.0,4969.28,1121.48,46.88,2864.383
2019-03-21,26.588,-4969.28,106.0,4969.28,1121.48,46.88,2818.377
2019-03-22,25.485,-4969.28,106.0,4969.28,1121.48,46.88,2701.362
2019-03-25,25.324,-4969.28,106.0,4969.28,1121.48,46.88,2684.36
2019-03-26,25.673,-4969.28,106.0,4969.28,1121.48,46.88,2721.364
2019-03-27,25.503,-4969.28,106.0,4969.28,1121.48,46.88,2703.362
2019-03-28,25.786,-4969.28,106.0,4969.28,1121.48,46.88,2733.366
2019-03-29,26.032,-4969.28,106.0,4969.28,1121.48,46.88,2759.37
2019-04-01,26.928,-4969.28,106.0,4969.28,1121.48,46.88,2854.382
2019-04-02,27.239,-4969.28,106.0,4969.28,1121.48,46.88,2887.387
2019-04-03,27.211,-4969.28,106.0,4969.28,1121.48,46.88,2884.386
2019-04-04,27.504,-4969.28,106.0,4969.28,1121.48,46.88,2915.39
2019-04-05,27.438,-4969.28,106.0,4969.28,1121.48,46.88,2908.389
2019-04-08,27.523,-4969.28,106.0,4969.28,1121.48,46.88,2917.391
2019-04-09,27.258,-4969.28,106.0,4969.28,1121.48,46.88,2889.387
2019-04-10,27.428,-4969.28,106.0,4969.28,1121.48,46.88,2907.389
2019-04-11,27.428,-4969.28,106.0,4969.28,1121.48,46.88,2907.389
2019-04-12,28.466,-4969.28,106.0,4969.28,1121.48,46.88,3017.404
2019-04-15,28.155,-4969.28,106.0,4969.28,1121.48,46.88,2984.399
2019-04-16,28.192,-4969.28,106.0,4969.28,1121.48,46.88,2988.4
2019-04-17,28.334,-4969.28,106.0,4969.28,1121.48,46.88,3003.402
2019-04-18,28.334,-4969.28,106.0,4969.28,1121.48,46.88,3003.402
2019-04-22,28.353,-4969.28,106.0,4969.28,1121.48,46.88,3005.402
2019-04-23,28.372,-4969.28,106.0,4969.28,1121.48,46.88,3007.402
2019-04-24,28.325,-4969.28,106.0,4969.28,1121.48,46.88,3002.402
2019-04-25,28.381,-4969.28,106.0,4969.28,1121.48,46.88,3008.403
2019-04-26,28.636,-4969.28,106.0,4969.28,1121.48,46.88,3035.406
2019-04-29,29.032,-4969.28,106.0,4969.28,1121.48,46.88,3077.412
2019-04-30,28.853,-4969.28,106.0,4969.28,1121.48,46.88,3058.41
2019-05-01,28.551,-4969.28,106.0,4969.28,1121.48,46.88,3026.405
2019-05-02,28.777,-4969.28,106.0,4969.28,1121.48,46.88,3050.408
2019-05-03,28.976,-4969.28,106.0,4969.28,1121.48,46.88,3071.412
2019-05-06,28.749,-4969.28,106.0,4969.28,1121.48,46.88,3047.408
2019-05-07,28.23,-4969.28,106.0,4969.28,1121.48,46.88,2992.4
2019-05-08,28.117,-4969.28,106.0,4969.28,1121.48,46.88,2980.399
2019-05-09,28.032,-4969.28,106.0,4969.28,1121.48,46.88,2971.397
2019-05-10,27.909,-4969.28,106.0,4969.28,1121.48,46.88,2958.396
2019-05-13,26.655,-4969.28,106.0,4969.28,1121.48,46.88,2825.378
2019-05-14,27.004,-4969.28,106.0,4969.28,1121.48,46.88,2862.383
2019-05-15,26.692,-4969.28,106.0,4969.28,1121.48,46.88,2829.379
2019-05-16,26.975,-4969.28,106.0,4969.28,1121.48,46.88,2859.383
2019-05-17,26.796,-4969.28,106.0,4969.28,1121.48,46.88,2840.38
2019-05-20,26.796,-4969.28,106.0,4969.28,1121.48,46.88,2840.38
2019-05-21,27.07,-4969.28,106.0,4969.28,1121.48,46.88,2869.384
2019-05-22,26.881,-4969.28,106.0,4969.28,1121.48,46.88,2849.381
2019-05-23,26.192,-4969.28,106.0,4969.28,1121.48,46.88,2776.372
2019-05-24,26.588,-4969.28,106.0,4969.28,1121.48,46.88,2818.377
2019-05-28,26.324,-4969.28,106.0,4969.28,1121.48,46.88,2790.374
2019-05-29,26.183,-4969.28,106.0,4969.28,1121.48,46.88,2775.372
2019-05-30,25.626,-4969.28,106.0,4969.28,1121.48,46.88,2716.364
2019-05-31,25.098,-4969.28,106.0,4969.28,1121.48,46.88,2660.356
2019-06-03,25.173,-4969.28,106.0,4969.28,1121.48,46.88,2668.357
2019-06-04,26.343,-4969.28,106.0,4969.28,1121.48,46.88,2792.374
2019-06-05,26.334,-4969.28,106.0,4969.28,1121.48,46.88,2791.374
2019-06-06,26.448,-4969.28,106.0,4969.28,1121.48,46.88,2803.44
2019-06-07,26.116,-4969.28,106.0,4969.28,1121.48,46.88,2768.246
2019-06-10,26.628,-4969.28,106.0,4969.28,1121.48,46.88,2822.545
2019-06-11,26.789,-4969.28,106.0,4969.28,1121.48,46.88,2839.64
2019-06-12,26.514,-4969.28,106.0,4969.28,1121.48,46.88,2810.479
2019-06-13,26.504,-4969.28,106.0,4969.28,1121.48,46.88,2809.474
2019-06-14,26.599,-4969.28,106.0,4969.28,1121.48,46.88,2819.529
2019-06-17,26.495,-4969.28,106.0,4969.28,1121.48,46.88,2808.468
2019-06-18,27.15,-4969.28,106.0,4969.28,1121.48,46.88,2877.85
2019-06-19,26.865,-4969.28,106.0,4969.28,1121.48,46.88,2847.684
2019-06-20,26.818,-4969.28,106.0,4969.28,1121.48,46.88,2842.656
2019-06-21,26.675,-4969.28,106.0,4969.28,1121.48,46.88,2827.573
2019-06-24,26.542,-4969.28,106.0,4969.28,1121.48,46.88,2813.496
2019-06-25,26.334,-4969.28,106.0,4969.28,1121.48,46.88,2791.373
2019-06-26,26.476,-4969.28,106.0,4969.28,1121.48,46.88,2806.457
2019-06-27,26.761,-4969.28,106.0,4969.28,1121.48,46.88,2836.623
2019-06-28,27.51,-4969.28,106.0,4969.28,1121.48,46.88,2916.06
2019-07-01,27.908,-4969.28,106.0,4969.28,1121.48,46.88,2958.293
2019-07-02,27.652,-4969.28,106.0,4969.28,1121.48,46.88,2931.143
