date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,MAA_adj_close,MAA_cashflow,MAA_cml_units,MAA_cml_cost,MAA_gain_loss,MAA_avg_price,MAA_mktvalue,TGTX_adj_close,TGTX_cashflow,TGTX_cml_units,TGTX_cml_cost,TGTX_gain_loss,TGTX_avg_price,TGTX_mktvalue,AYX_adj_close,AYX_cashflow,AYX_cml_units,AYX_cml_cost,AYX_gain_loss,AYX_avg_price,AYX_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,HASI_adj_close,HASI_cashflow,HASI_cml_units,HASI_cml_cost,HASI_gain_loss,HASI_avg_price,HASI_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,SKY_adj_close,SKY_cashflow,SKY_cml_units,SKY_cml_cost,SKY_gain_loss,SKY_avg_price,SKY_mktvalue,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2019-01-01,0.0,-4989.6,240.0,4989.6,1152.0,20.79,0.0,0.0,-4994.055,171.0,4994.055,1157.67,29.205,0.0,0.0,-4848.084,24.0,4848.084,867.84,202.004,0.0,0.0,-4992.12,147.0,4992.12,1029.0,33.96,0.0,0.0,-4936.48,64.0,4936.48,2598.4,77.132,0.0,0.0,-4969.84,148.0,4969.84,2470.12,33.58,0.0,0.0,-4997.558,975.0,4997.558,1784.25,5.126,0.0,0.0,-4939.888,80.0,4939.888,1050.4,61.749,0.0,0.0,-4999.54,871.0,4999.54,2456.22,5.74,0.0,0.0,-4973.8,65.0,4973.8,1105.65,76.52,0.0,0.0,-4998.92,2659.0,4998.92,2366.51,1.88,0.0
2019-01-02,10.403,-4989.6,240.0,4989.6,1152.0,20.79,2496.798,15.965,-4994.055,171.0,4994.055,1157.67,29.205,2729.957,84.395,-4848.084,24.0,4848.084,867.84,202.004,2025.488,4.31,-4992.12,147.0,4992.12,1029.0,33.96,633.57,58.52,-4936.48,64.0,4936.48,2598.4,77.132,3745.28,36.902,-4969.84,148.0,4969.84,2470.12,33.58,5461.531,1.15,-4997.558,975.0,4997.558,1784.25,5.126,1121.25,17.752,-4939.888,80.0,4939.888,1050.4,61.749,1420.138,5.384,-4999.54,871.0,4999.54,2456.22,5.74,4689.212,14.75,-4973.8,65.0,4973.8,1105.65,76.52,958.75,1.57,-4998.92,2659.0,4998.92,2366.51,1.88,4174.63
2019-01-03,10.095,-4989.6,240.0,4989.6,1152.0,20.79,2422.801,16.215,-4994.055,171.0,4994.055,1157.67,29.205,2772.797,85.006,-4848.084,24.0,4848.084,867.84,202.004,2040.136,4.21,-4992.12,147.0,4992.12,1029.0,33.96,618.87,57.33,-4936.48,64.0,4936.48,2598.4,77.132,3669.12,36.677,-4969.84,148.0,4969.84,2470.12,33.58,5428.204,1.25,-4997.558,975.0,4997.558,1784.25,5.126,1218.75,18.335,-4939.888,80.0,4939.888,1050.4,61.749,1466.806,5.419,-4999.54,871.0,4999.54,2456.22,5.74,4720.112,14.24,-4973.8,65.0,4973.8,1105.65,76.52,925.6,1.58,-4998.92,2659.0,4998.92,2366.51,1.88,4201.22
2019-01-04,10.443,-4989.6,240.0,4989.6,1152.0,20.79,2506.346,16.397,-4994.055,171.0,4994.055,1157.67,29.205,2803.82,85.015,-4848.084,24.0,4848.084,867.84,202.004,2040.354,4.61,-4992.12,147.0,4992.12,1029.0,33.96,677.67,62.38,-4936.48,64.0,4936.48,2598.4,77.132,3992.32,38.263,-4969.84,148.0,4969.84,2470.12,33.58,5662.883,1.24,-4997.558,975.0,4997.558,1784.25,5.126,1209.0,18.838,-4939.888,80.0,4939.888,1050.4,61.749,1507.012,5.721,-4999.54,871.0,4999.54,2456.22,5.74,4982.771,14.99,-4973.8,65.0,4973.8,1105.65,76.52,974.35,1.68,-4998.92,2659.0,4998.92,2366.51,1.88,4467.12
2019-01-07,10.393,-4989.6,240.0,4989.6,1152.0,20.79,2494.411,16.44,-4994.055,171.0,4994.055,1157.67,29.205,2811.207,84.896,-4848.084,24.0,4848.084,867.84,202.004,2037.512,4.84,-4992.12,147.0,4992.12,1029.0,33.96,711.48,67.64,-4936.48,64.0,4936.48,2598.4,77.132,4328.96,38.178,-4969.84,148.0,4969.84,2470.12,33.58,5650.385,1.19,-4997.558,975.0,4997.558,1784.25,5.126,1160.25,19.295,-4939.888,80.0,4939.888,1050.4,61.749,1543.628,5.73,-4999.54,871.0,4999.54,2456.22,5.74,4990.495,15.97,-4973.8,65.0,4973.8,1105.65,76.52,1038.05,1.71,-4998.92,2659.0,4998.92,2366.51,1.88,4546.89
2019-01-08,10.702,-4989.6,240.0,4989.6,1152.0,20.79,2568.409,16.941,-4994.055,171.0,4994.055,1157.67,29.205,2896.887,86.609,-4848.084,24.0,4848.084,867.84,202.004,2078.612,4.81,-4992.12,147.0,4992.12,1029.0,33.96,707.07,65.98,-4936.48,64.0,4936.48,2598.4,77.132,4222.72,38.966,-4969.84,148.0,4969.84,2470.12,33.58,5767.031,1.2,-4997.558,975.0,4997.558,1784.25,5.126,1170.0,19.592,-4939.888,80.0,4939.888,1050.4,61.749,1567.321,5.756,-4999.54,871.0,4999.54,2456.22,5.74,5013.67,15.76,-4973.8,65.0,4973.8,1105.65,76.52,1024.4,1.7,-4998.92,2659.0,4998.92,2366.51,1.88,4520.3
2019-01-09,10.722,-4989.6,240.0,4989.6,1152.0,20.79,2573.182,17.165,-4994.055,171.0,4994.055,1157.67,29.205,2935.295,86.527,-4848.084,24.0,4848.084,867.84,202.004,2076.645,4.92,-4992.12,147.0,4992.12,1029.0,33.96,723.24,65.56,-4936.48,64.0,4936.48,2598.4,77.132,4195.84,40.421,-4969.84,148.0,4969.84,2470.12,33.58,5982.272,1.18,-4997.558,975.0,4997.558,1784.25,5.126,1150.5,19.34,-4939.888,80.0,4939.888,1050.4,61.749,1547.218,5.845,-4999.54,871.0,4999.54,2456.22,5.74,5090.923,15.57,-4973.8,65.0,4973.8,1105.65,76.52,1012.05,1.75,-4998.92,2659.0,4998.92,2366.51,1.88,4653.25
2019-01-10,10.712,-4989.6,240.0,4989.6,1152.0,20.79,2570.796,17.338,-4994.055,171.0,4994.055,1157.67,29.205,2964.84,87.966,-4848.084,24.0,4848.084,867.84,202.004,2111.186,4.92,-4992.12,147.0,4992.12,1029.0,33.96,723.24,68.49,-4936.48,64.0,4936.48,2598.4,77.132,4383.36,40.646,-4969.84,148.0,4969.84,2470.12,33.58,6015.599,1.2,-4997.558,975.0,4997.558,1784.25,5.126,1170.0,19.385,-4939.888,80.0,4939.888,1050.4,61.749,1550.808,6.04,-4999.54,871.0,4999.54,2456.22,5.74,5260.877,15.43,-4973.8,65.0,4973.8,1105.65,76.52,1002.95,1.75,-4998.92,2659.0,4998.92,2366.51,1.88,4653.25
2019-01-11,10.612,-4989.6,240.0,4989.6,1152.0,20.79,2546.925,17.537,-4994.055,171.0,4994.055,1157.67,29.205,2998.817,88.531,-4848.084,24.0,4848.084,867.84,202.004,2124.741,4.83,-4992.12,147.0,4992.12,1029.0,33.96,710.01,69.08,-4936.48,64.0,4936.48,2598.4,77.132,4421.12,40.796,-4969.84,148.0,4969.84,2470.12,33.58,6037.817,1.21,-4997.558,975.0,4997.558,1784.25,5.126,1179.75,19.448,-4939.888,80.0,4939.888,1050.4,61.749,1555.834,6.067,-4999.54,871.0,4999.54,2456.22,5.74,5284.054,15.14,-4973.8,65.0,4973.8,1105.65,76.52,984.1,1.85,-4998.92,2659.0,4998.92,2366.51,1.88,4919.15
2019-01-14,10.373,-4989.6,240.0,4989.6,1152.0,20.79,2489.638,17.667,-4994.055,171.0,4994.055,1157.67,29.205,3020.975,88.798,-4848.084,24.0,4848.084,867.84,202.004,2131.144,4.58,-4992.12,147.0,4992.12,1029.0,33.96,673.26,64.98,-4936.48,64.0,4936.48,2598.4,77.132,4158.72,40.909,-4969.84,148.0,4969.84,2470.12,33.58,6054.481,1.12,-4997.558,975.0,4997.558,1784.25,5.126,1092.0,19.233,-4939.888,80.0,4939.888,1050.4,61.749,1538.603,6.084,-4999.54,871.0,4999.54,2456.22,5.74,5299.505,15.25,-4973.8,65.0,4973.8,1105.65,76.52,991.25,1.84,-4998.92,2659.0,4998.92,2366.51,1.88,4892.56
