date,GWRE_adj_close,GWRE_cashflow,GWRE_cml_units,GWRE_cml_cost,GWRE_gain_loss,GWRE_avg_price,GWRE_mktvalue,VIV_adj_close,VIV_cashflow,VIV_cml_units,VIV_cml_cost,VIV_gain_loss,VIV_avg_price,VIV_mktvalue,PAM_adj_close,PAM_cashflow,PAM_cml_units,PAM_cml_cost,PAM_gain_loss,PAM_avg_price,PAM_mktvalue,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2019-01-01,0.0,-4915.56,39.0,4915.56,1152.06,126.04,0.0,0.0,-4992.225,555.0,4992.225,1326.45,8.995,0.0,0.0,-4987.71,261.0,4987.71,-4014.18,19.11,0.0,0.0,-4999.54,2747.0,4999.54,2444.83,1.82,0.0
2019-01-02,78.73,-4915.56,39.0,4915.56,1152.06,126.04,3070.47,10.988,-4992.225,555.0,4992.225,1326.45,8.995,6098.551,33.3,-4987.71,261.0,4987.71,-4014.18,19.11,8691.3,1.57,-4999.54,2747.0,4999.54,2444.83,1.82,4312.79
2019-01-03,76.84,-4915.56,39.0,4915.56,1152.06,126.04,2996.76,11.032,-4992.225,555.0,4992.225,1326.45,8.995,6122.905,33.41,-4987.71,261.0,4987.71,-4014.18,19.11,8720.01,1.58,-4999.54,2747.0,4999.54,2444.83,1.82,4340.26
2019-01-04,79.54,-4915.56,39.0,4915.56,1152.06,126.04,3102.06,11.199,-4992.225,555.0,4992.225,1326.45,8.995,6215.455,35.35,-4987.71,261.0,4987.71,-4014.18,19.11,9226.35,1.68,-4999.54,2747.0,4999.54,2444.83,1.82,4614.96
2019-01-07,82.66,-4915.56,39.0,4915.56,1152.06,126.04,3223.74,11.234,-4992.225,555.0,4992.225,1326.45,8.995,6234.941,35.81,-4987.71,261.0,4987.71,-4014.18,19.11,9346.41,1.71,-4999.54,2747.0,4999.54,2444.83,1.82,4697.37
2019-01-08,84.07,-4915.56,39.0,4915.56,1152.06,126.04,3278.73,11.322,-4992.225,555.0,4992.225,1326.45,8.995,6283.65,36.49,-4987.71,261.0,4987.71,-4014.18,19.11,9523.89,1.7,-4999.54,2747.0,4999.54,2444.83,1.82,4669.9
2019-01-09,84.31,-4915.56,39.0,4915.56,1152.06,126.04,3288.09,11.568,-4992.225,555.0,4992.225,1326.45,8.995,6420.04,36.96,-4987.71,261.0,4987.71,-4014.18,19.11,9646.56,1.75,-4999.54,2747.0,4999.54,2444.83,1.82,4807.25
2019-01-10,83.56,-4915.56,39.0,4915.56,1152.06,126.04,3258.84,11.454,-4992.225,555.0,4992.225,1326.45,8.995,6356.716,35.8,-4987.71,261.0,4987.71,-4014.18,19.11,9343.8,1.75,-4999.54,2747.0,4999.54,2444.83,1.82,4807.25
2019-01-11,82.9,-4915.56,39.0,4915.56,1152.06,126.04,3233.1,11.322,-4992.225,555.0,4992.225,1326.45,8.995,6283.65,36.4,-4987.71,261.0,4987.71,-4014.18,19.11,9500.4,1.85,-4999.54,2747.0,4999.54,2444.83,1.82,5081.95
2019-01-14,81.26,-4915.56,39.0,4915.56,1152.06,126.04,3169.14,11.418,-4992.225,555.0,4992.225,1326.45,8.995,6337.232,35.79,-4987.71,261.0,4987.71,-4014.18,19.11,9341.19,1.84,-4999.54,2747.0,4999.54,2444.83,1.82,5054.48
2019-01-15,83.32,-4915.56,39.0,4915.56,1152.06,126.04,3249.48,11.278,-4992.225,555.0,4992.225,1326.45,8.995,6259.295,36.01,-4987.71,261.0,4987.71,-4014.18,19.11,9398.61,1.92,-4999.54,2747.0,4999.54,2444.83,1.82,5274.24
2019-01-16,83.06,-4915.56,39.0,4915.56,1152.06,126.04,3239.34,10.997,-4992.225,555.0,4992.225,1326.45,8.995,6103.422,35.92,-4987.71,261.0,4987.71,-4014.18,19.11,9375.12,1.95,-4999.54,2747.0,4999.54,2444.83,1.82,5356.65
2019-01-17,83.75,-4915.56,39.0,4915.56,1152.06,126.04,3266.25,10.909,-4992.225,555.0,4992.225,1326.45,8.995,6054.711,35.35,-4987.71,261.0,4987.71,-4014.18,19.11,9226.35,2.14,-4999.54,2747.0,4999.54,2444.83,1.82,5878.58
2019-01-18,85.71,-4915.56,39.0,4915.56,1152.06,126.04,3342.69,10.927,-4992.225,555.0,4992.225,1326.45,8.995,6064.453,35.77,-4987.71,261.0,4987.71,-4014.18,19.11,9335.97,2.26,-4999.54,2747.0,4999.54,2444.83,1.82,6208.22
2019-01-22,84.94,-4915.56,39.0,4915.56,1152.06,126.04,3312.66,10.681,-4992.225,555.0,4992.225,1326.45,8.995,5928.064,34.97,-4987.71,261.0,4987.71,-4014.18,19.11,9127.17,2.26,-4999.54,2747.0,4999.54,2444.83,1.82,6208.22
2019-01-23,84.01,-4915.56,39.0,4915.56,1152.06,126.04,3276.39,10.971,-4992.225,555.0,4992.225,1326.45,8.995,6088.809,34.98,-4987.71,261.0,4987.71,-4014.18,19.11,9129.78,2.23,-4999.54,2747.0,4999.54,2444.83,1.82,6125.81
2019-01-24,84.5,-4915.56,39.0,4915.56,1152.06,126.04,3295.5,11.094,-4992.225,555.0,4992.225,1326.45,8.995,6157.003,35.61,-4987.71,261.0,4987.71,-4014.18,19.11,9294.21,2.21,-4999.54,2747.0,4999.54,2444.83,1.82,6070.87
