date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,YUM_adj_close,YUM_cashflow,YUM_cml_units,YUM_cml_cost,YUM_gain_loss,YUM_avg_price,YUM_mktvalue,CHTR_adj_close,CHTR_cashflow,CHTR_cml_units,CHTR_cml_cost,CHTR_gain_loss,CHTR_avg_price,CHTR_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,DPZ_adj_close,DPZ_cashflow,DPZ_cml_units,DPZ_cml_cost,DPZ_gain_loss,DPZ_avg_price,DPZ_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,GWRE_adj_close,GWRE_cashflow,GWRE_cml_units,GWRE_cml_cost,GWRE_gain_loss,GWRE_avg_price,GWRE_mktvalue,AMPE_adj_close,AMPE_cashflow,AMPE_cml_units,AMPE_cml_cost,AMPE_gain_loss,AMPE_avg_price,AMPE_mktvalue,TGTX_adj_close,TGTX_cashflow,TGTX_cml_units,TGTX_cml_cost,TGTX_gain_loss,TGTX_avg_price,TGTX_mktvalue,VIV_adj_close,VIV_cashflow,VIV_cml_units,VIV_cml_cost,VIV_gain_loss,VIV_avg_price,VIV_mktvalue,AM_adj_close,AM_cashflow,AM_cml_units,AM_cml_cost,AM_gain_loss,AM_avg_price,AM_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,PAM_adj_close,PAM_cashflow,PAM_cml_units,PAM_cml_cost,PAM_gain_loss,PAM_avg_price,PAM_mktvalue,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,JE_adj_close,JE_cashflow,JE_cml_units,JE_cml_cost,JE_gain_loss,JE_avg_price,JE_mktvalue,SKY_adj_close,SKY_cashflow,SKY_cml_units,SKY_cml_cost,SKY_gain_loss,SKY_avg_price,SKY_mktvalue,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue,MARK_adj_close,MARK_cashflow,MARK_cml_units,MARK_cml_cost,MARK_gain_loss,MARK_avg_price,MARK_mktvalue
2019-01-01,0.0,-4989.6,240.0,4989.6,1152.0,20.79,0.0,0.0,-4971.65,170.0,4971.65,1150.9,29.245,0.0,0.0,-4907.76,39.0,4907.76,343.59,125.84,0.0,0.0,-4928.14,7.0,4928.14,1400.77,704.02,0.0,0.0,-4985.82,126.0,4985.82,429.66,39.57,0.0,0.0,-4975.55,10.0,4975.55,457.9,497.555,0.0,0.0,-4997.71,337.0,4997.71,1374.96,14.83,0.0,0.0,-4920.825,39.0,4920.825,1152.06,126.175,0.0,0.0,-4999.325,3215.0,4999.325,610.85,1.555,0.0,0.0,-4991.385,147.0,4991.385,1029.0,33.955,0.0,0.0,-4992.225,555.0,4992.225,1326.45,8.995,0.0,0.0,-4992.64,464.0,4992.64,-1665.76,10.76,0.0,0.0,-4992.99,149.0,4992.99,2486.81,33.51,0.0,0.0,-4987.71,261.0,4987.71,-4014.18,19.11,0.0,0.0,-4998.098,980.0,4998.098,1793.4,5.1,0.0,0.0,-4999.425,2865.0,4999.425,-4641.3,1.745,0.0,0.0,-4966.0,65.0,4966.0,1105.65,76.4,0.0,0.0,-4999.54,2747.0,4999.54,2444.83,1.82,0.0,0.0,-4999.875,2985.0,4999.875,-2059.65,1.675,0.0
2019-01-02,10.403,-4989.6,240.0,4989.6,1152.0,20.79,2496.798,15.965,-4971.65,170.0,4971.65,1150.9,29.245,2713.993,87.13,-4907.76,39.0,4907.76,343.59,125.84,3398.051,287.99,-4928.14,7.0,4928.14,1400.77,704.02,2015.93,19.777,-4985.82,126.0,4985.82,429.66,39.57,2491.847,237.356,-4975.55,10.0,4975.55,457.9,497.555,2373.555,13.554,-4997.71,337.0,4997.71,1374.96,14.83,4567.725,78.73,-4920.825,39.0,4920.825,1152.06,126.175,3070.47,0.44,-4999.325,3215.0,4999.325,610.85,1.555,1414.6,4.31,-4991.385,147.0,4991.385,1029.0,33.955,633.57,10.988,-4992.225,555.0,4992.225,1326.45,8.995,6098.551,7.33,-4992.64,464.0,4992.64,-1665.76,10.76,3401.206,36.902,-4992.99,149.0,4992.99,2486.81,33.51,5498.433,33.3,-4987.71,261.0,4987.71,-4014.18,19.11,8691.3,1.15,-4998.098,980.0,4998.098,1793.4,5.1,1127.0,-0.014,-4999.425,2865.0,4999.425,-4641.3,1.745,-41.066,14.75,-4966.0,65.0,4966.0,1105.65,76.4,958.75,1.57,-4999.54,2747.0,4999.54,2444.83,1.82,4312.79,1.28,-4999.875,2985.0,4999.875,-2059.65,1.675,3820.8
2019-01-03,10.095,-4989.6,240.0,4989.6,1152.0,20.79,2422.801,16.215,-4971.65,170.0,4971.65,1150.9,29.245,2756.582,84.938,-4907.76,39.0,4907.76,343.59,125.84,3312.579,287.5,-4928.14,7.0,4928.14,1400.77,704.02,2012.5,19.849,-4985.82,126.0,4985.82,429.66,39.57,2501.035,233.834,-4975.55,10.0,4975.55,457.9,497.555,2338.338,13.587,-4997.71,337.0,4997.71,1374.96,14.83,4578.826,76.84,-4920.825,39.0,4920.825,1152.06,126.175,2996.76,0.43,-4999.325,3215.0,4999.325,610.85,1.555,1382.45,4.21,-4991.385,147.0,4991.385,1029.0,33.955,618.87,11.032,-4992.225,555.0,4992.225,1326.45,8.995,6122.905,7.53,-4992.64,464.0,4992.64,-1665.76,10.76,3493.776,36.677,-4992.99,149.0,4992.99,2486.81,33.51,5464.88,33.41,-4987.71,261.0,4987.71,-4014.18,19.11,8720.01,1.25,-4998.098,980.0,4998.098,1793.4,5.1,1225.0,-0.014,-4999.425,2865.0,4999.425,-4641.3,1.745,-40.946,14.24,-4966.0,65.0,4966.0,1105.65,76.4,925.6,1.58,-4999.54,2747.0,4999.54,2444.83,1.82,4340.26,1.25,-4999.875,2985.0,4999.875,-2059.65,1.675,3731.25
2019-01-04,10.443,-4989.6,240.0,4989.6,1152.0,20.79,2506.346,16.397,-4971.65,170.0,4971.65,1150.9,29.245,2787.423,87.149,-4907.76,39.0,4907.76,343.59,125.84,3398.794,302.74,-4928.14,7.0,4928.14,1400.77,704.02,2119.18,20.097,-4985.82,126.0,4985.82,429.66,39.57,2532.275,237.648,-4975.55,10.0,4975.55,457.9,497.555,2376.482,14.419,-4997.71,337.0,4997.71,1374.96,14.83,4859.106,79.54,-4920.825,39.0,4920.825,1152.06,126.175,3102.06,0.43,-4999.325,3215.0,4999.325,610.85,1.555,1382.45,4.61,-4991.385,147.0,4991.385,1029.0,33.955,677.67,11.199,-4992.225,555.0,4992.225,1326.45,8.995,6215.456,8.109,-4992.64,464.0,4992.64,-1665.76,10.76,3762.528,38.263,-4992.99,149.0,4992.99,2486.81,33.51,5701.146,35.35,-4987.71,261.0,4987.71,-4014.18,19.11,9226.35,1.24,-4998.098,980.0,4998.098,1793.4,5.1,1215.2,-0.014,-4999.425,2865.0,4999.425,-4641.3,1.745,-41.424,14.99,-4966.0,65.0,4966.0,1105.65,76.4,974.35,1.68,-4999.54,2747.0,4999.54,2444.83,1.82,4614.96,1.44,-4999.875,2985.0,4999.875,-2059.65,1.675,4298.4
2019-01-07,10.393,-4989.6,240.0,4989.6,1152.0,20.79,2494.411,16.44,-4971.65,170.0,4971.65,1150.9,29.245,2794.766,87.053,-4907.76,39.0,4907.76,343.59,125.84,3395.078,301.47,-4928.14,7.0,4928.14,1400.77,704.02,2110.29,20.455,-4985.82,126.0,4985.82,429.66,39.57,2577.298,240.409,-4975.55,10.0,4975.55,457.9,497.555,2404.09,14.633,-4997.71,337.0,4997.71,1374.96,14.83,4931.257,82.66,-4920.825,39.0,4920.825,1152.06,126.175,3223.74,0.47,-4999.325,3215.0,4999.325,610.85,1.555,1511.05,4.84,-4991.385,147.0,4991.385,1029.0,33.955,711.48,11.234,-4992.225,555.0,4992.225,1326.45,8.995,6234.941,8.373,-4992.64,464.0,4992.64,-1665.76,10.76,3884.959,38.178,-4992.99,149.0,4992.99,2486.81,33.51,5688.564,35.81,-4987.71,261.0,4987.71,-4014.18,19.11,9346.41,1.19,-4998.098,980.0,4998.098,1793.4,5.1,1166.2,-0.015,-4999.425,2865.0,4999.425,-4641.3,1.745,-41.782,15.97,-4966.0,65.0,4966.0,1105.65,76.4,1038.05,1.71,-4999.54,2747.0,4999.54,2444.83,1.82,4697.37,1.5,-4999.875,2985.0,4999.875,-2059.65,1.675,4477.5
2019-01-08,10.702,-4989.6,240.0,4989.6,1152.0,20.79,2568.409,16.941,-4971.65,170.0,4971.65,1150.9,29.245,2879.946,86.882,-4907.76,39.0,4907.76,343.59,125.84,3388.389,300.71,-4928.14,7.0,4928.14,1400.77,704.02,2104.97,20.644,-4985.82,126.0,4985.82,429.66,39.57,2601.186,236.292,-4975.55,10.0,4975.55,457.9,497.555,2362.922,15.053,-4997.71,337.0,4997.71,1374.96,14.83,5072.784,84.07,-4920.825,39.0,4920.825,1152.06,126.175,3278.73,0.52,-4999.325,3215.0,4999.325,610.85,1.555,1671.8,4.81,-4991.385,147.0,4991.385,1029.0,33.955,707.07,11.322,-4992.225,555.0,4992.225,1326.45,8.995,6283.651,8.585,-4992.64,464.0,4992.64,-1665.76,10.76,3983.502,38.966,-4992.99,149.0,4992.99,2486.81,33.51,5805.999,36.49,-4987.71,261.0,4987.71,-4014.18,19.11,9523.89,1.2,-4998.098,980.0,4998.098,1793.4,5.1,1176.0,-0.015,-4999.425,2865.0,4999.425,-4641.3,1.745,-42.14,15.76,-4966.0,65.0,4966.0,1105.65,76.4,1024.4,1.7,-4999.54,2747.0,4999.54,2444.83,1.82,4669.9,1.54,-4999.875,2985.0,4999.875,-2059.65,1.675,4596.9
2019-01-09,10.722,-4989.6,240.0,4989.6,1152.0,20.79,2573.182,17.165,-4971.65,170.0,4971.65,1150.9,29.245,2918.13,86.844,-4907.76,39.0,4907.76,343.59,125.84,3386.902,297.64,-4928.14,7.0,4928.14,1400.77,704.02,2083.48,20.834,-4985.82,126.0,4985.82,429.66,39.57,2625.077,240.565,-4975.55,10.0,4975.55,457.9,497.555,2405.652,15.448,-4997.71,337.0,4997.71,1374.96,14.83,5205.986,84.31,-4920.825,39.0,4920.825,1152.06,126.175,3288.09,0.48,-4999.325,3215.0,4999.325,610.85,1.555,1543.2,4.92,-4991.385,147.0,4991.385,1029.0,33.955,723.24,11.568,-4992.225,555.0,4992.225,1326.45,8.995,6420.04,8.308,-4992.64,464.0,4992.64,-1665.76,10.76,3855.099,40.421,-4992.99,149.0,4992.99,2486.81,33.51,6022.692,36.96,-4987.71,261.0,4987.71,-4014.18,19.11,9646.56,1.18,-4998.098,980.0,4998.098,1793.4,5.1,1156.4,-0.015,-4999.425,2865.0,4999.425,-4641.3,1.745,-42.14,15.57,-4966.0,65.0,4966.0,1105.65,76.4,1012.05,1.75,-4999.54,2747.0,4999.54,2444.83,1.82,4807.25,1.56,-4999.875,2985.0,4999.875,-2059.65,1.675,4656.6
2019-01-10,10.712,-4989.6,240.0,4989.6,1152.0,20.79,2570.796,17.338,-4971.65,170.0,4971.65,1150.9,29.245,2947.502,87.463,-4907.76,39.0,4907.76,343.59,125.84,3411.057,292.67,-4928.14,7.0,4928.14,1400.77,704.02,2048.69,20.812,-4985.82,126.0,4985.82,429.66,39.57,2622.32,240.175,-4975.55,10.0,4975.55,457.9,497.555,2401.749,15.39,-4997.71,337.0,4997.71,1374.96,14.83,5186.561,83.56,-4920.825,39.0,4920.825,1152.06,126.175,3258.84,0.49,-4999.325,3215.0,4999.325,610.85,1.555,1575.35,4.92,-4991.385,147.0,4991.385,1029.0,33.955,723.24,11.454,-4992.225,555.0,4992.225,1326.45,8.995,6356.716,8.096,-4992.64,464.0,4992.64,-1665.76,10.76,3756.556,40.646,-4992.99,149.0,4992.99,2486.81,33.51,6056.244,35.8,-4987.71,261.0,4987.71,-4014.18,19.11,9343.8,1.2,-4998.098,980.0,4998.098,1793.4,5.1,1176.0,-0.015,-4999.425,2865.0,4999.425,-4641.3,1.745,-43.692,15.43,-4966.0,65.0,4966.0,1105.65,76.4,1002.95,1.75,-4999.54,2747.0,4999.54,2444.83,1.82,4807.25,1.61,-4999.875,2985.0,4999.875,-2059.65,1.675,4805.85
2019-01-11,10.612,-4989.6,240.0,4989.6,1152.0,20.79,2546.925,17.537,-4971.65,170.0,4971.65,1150.9,29.245,2981.28,86.653,-4907.76,39.0,4907.76,343.59,125.84,3379.47,294.54,-4928.14,7.0,4928.14,1400.77,704.02,2061.78,20.593,-4985.82,126.0,4985.82,429.66,39.57,2594.755,242.907,-4975.55,10.0,4975.55,457.9,497.555,2429.065,15.168,-4997.71,337.0,4997.71,1374.96,14.83,5111.635,82.9,-4920.825,39.0,4920.825,1152.06,126.175,3233.1,0.5,-4999.325,3215.0,4999.325,610.85,1.555,1607.5,4.83,-4991.385,147.0,4991.385,1029.0,33.955,710.01,11.322,-4992.225,555.0,4992.225,1326.45,8.995,6283.651,7.884,-4992.64,464.0,4992.64,-1665.76,10.76,3658.014,40.796,-4992.99,149.0,4992.99,2486.81,33.51,6078.613,36.4,-4987.71,261.0,4987.71,-4014.18,19.11,9500.4,1.21,-4998.098,980.0,4998.098,1793.4,5.1,1185.8,-0.016,-4999.425,2865.0,4999.425,-4641.3,1.745,-44.408,15.14,-4966.0,65.0,4966.0,1105.65,76.4,984.1,1.85,-4999.54,2747.0,4999.54,2444.83,1.82,5081.95,1.56,-4999.875,2985.0,4999.875,-2059.65,1.675,4656.6
2019-01-14,10.373,-4989.6,240.0,4989.6,1152.0,20.79,2489.638,17.667,-4971.65,170.0,4971.65,1150.9,29.245,3003.309,85.757,-4907.76,39.0,4907.76,343.59,125.84,3344.538,291.56,-4928.14,7.0,4928.14,1400.77,704.02,2040.92,21.009,-4985.82,126.0,4985.82,429.66,39.57,2647.128,238.204,-4975.55,10.0,4975.55,457.9,497.555,2382.043,15.012,-4997.71,337.0,4997.71,1374.96,14.83,5058.909,81.26,-4920.825,39.0,4920.825,1152.06,126.175,3169.14,0.49,-4999.325,3215.0,4999.325,610.85,1.555,1575.35,4.58,-4991.385,147.0,4991.385,1029.0,33.955,673.26,11.418,-4992.225,555.0,4992.225,1326.45,8.995,6337.231,7.749,-4992.64,464.0,4992.64,-1665.76,10.76,3595.305,40.909,-4992.99,149.0,4992.99,2486.81,33.51,6095.389,35.79,-4987.71,261.0,4987.71,-4014.18,19.11,9341.19,1.12,-4998.098,980.0,4998.098,1793.4,5.1,1097.6,-0.016,-4999.425,2865.0,4999.425,-4641.3,1.745,-44.528,15.25,-4966.0,65.0,4966.0,1105.65,76.4,991.25,1.84,-4999.54,2747.0,4999.54,2444.83,1.82,5054.48,1.55,-4999.875,2985.0,4999.875,-2059.65,1.675,4626.75
