date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,GWRE_adj_close,GWRE_cashflow,GWRE_cml_units,GWRE_cml_cost,GWRE_gain_loss,GWRE_avg_price,GWRE_mktvalue,VIV_adj_close,VIV_cashflow,VIV_cml_units,VIV_cml_cost,VIV_gain_loss,VIV_avg_price,VIV_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,JE_adj_close,JE_cashflow,JE_cml_units,JE_cml_cost,JE_gain_loss,JE_avg_price,JE_mktvalue,SKY_adj_close,SKY_cashflow,SKY_cml_units,SKY_cml_cost,SKY_gain_loss,SKY_avg_price,SKY_mktvalue,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue,MARK_adj_close,MARK_cashflow,MARK_cml_units,MARK_cml_cost,MARK_gain_loss,MARK_avg_price,MARK_mktvalue
2019-01-01,0.0,-4975.05,170.0,4975.05,1150.9,29.265,0.0,0.0,-4988.34,126.0,4988.34,429.66,39.59,0.0,0.0,-4911.075,39.0,4911.075,1152.06,125.925,0.0,0.0,-4999.075,557.0,4999.075,1331.23,8.975,0.0,0.0,-4999.5,150.0,4999.5,2503.5,33.33,0.0,0.0,-4997.355,977.0,4997.355,1787.91,5.115,0.0,0.0,-4999.02,2873.0,4999.02,-4654.26,1.74,0.0,0.0,-4971.85,65.0,4971.85,1105.65,76.49,0.0,0.0,-4999.308,2759.0,4999.308,2455.51,1.812,0.0,0.0,-4999.395,2967.0,4999.395,-2047.23,1.685,0.0
2019-01-02,15.965,-4975.05,170.0,4975.05,1150.9,29.265,2714.061,19.778,-4988.34,126.0,4988.34,429.66,39.59,2492.08,78.73,-4911.075,39.0,4911.075,1152.06,125.925,3070.47,10.209,-4999.075,557.0,4999.075,1331.23,8.975,5686.377,36.444,-4999.5,150.0,4999.5,2503.5,33.33,5466.548,1.15,-4997.355,977.0,4997.355,1787.91,5.115,1123.55,-0.014,-4999.02,2873.0,4999.02,-4654.26,1.74,-41.181,14.75,-4971.85,65.0,4971.85,1105.65,76.49,958.75,1.57,-4999.308,2759.0,4999.308,2455.51,1.812,4331.63,1.28,-4999.395,2967.0,4999.395,-2047.23,1.685,3797.76
2019-01-03,16.216,-4975.05,170.0,4975.05,1150.9,29.265,2756.652,19.851,-4988.34,126.0,4988.34,429.66,39.59,2501.269,76.84,-4911.075,39.0,4911.075,1152.06,125.925,2996.76,10.25,-4999.075,557.0,4999.075,1331.23,8.975,5709.086,36.221,-4999.5,150.0,4999.5,2503.5,33.33,5433.189,1.25,-4997.355,977.0,4997.355,1787.91,5.115,1221.25,-0.014,-4999.02,2873.0,4999.02,-4654.26,1.74,-41.061,14.24,-4971.85,65.0,4971.85,1105.65,76.49,925.6,1.58,-4999.308,2759.0,4999.308,2455.51,1.812,4359.22,1.25,-4999.395,2967.0,4999.395,-2047.23,1.685,3708.75
2019-01-04,16.397,-4975.05,170.0,4975.05,1150.9,29.265,2787.494,20.099,-4988.34,126.0,4988.34,429.66,39.59,2532.512,79.54,-4911.075,39.0,4911.075,1152.06,125.925,3102.06,10.405,-4999.075,557.0,4999.075,1331.23,8.975,5795.382,37.787,-4999.5,150.0,4999.5,2503.5,33.33,5668.086,1.24,-4997.355,977.0,4997.355,1787.91,5.115,1211.48,-0.014,-4999.02,2873.0,4999.02,-4654.26,1.74,-41.54,14.99,-4971.85,65.0,4971.85,1105.65,76.49,974.35,1.68,-4999.308,2759.0,4999.308,2455.51,1.812,4635.12,1.44,-4999.395,2967.0,4999.395,-2047.23,1.685,4272.48
2019-01-07,16.44,-4975.05,170.0,4975.05,1150.9,29.265,2794.837,20.457,-4988.34,126.0,4988.34,429.66,39.59,2577.538,82.66,-4911.075,39.0,4911.075,1152.06,125.925,3223.74,10.437,-4999.075,557.0,4999.075,1331.23,8.975,5813.55,37.704,-4999.5,150.0,4999.5,2503.5,33.33,5655.576,1.19,-4997.355,977.0,4997.355,1787.91,5.115,1162.63,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-41.899,15.97,-4971.85,65.0,4971.85,1105.65,76.49,1038.05,1.71,-4999.308,2759.0,4999.308,2455.51,1.812,4717.89,1.5,-4999.395,2967.0,4999.395,-2047.23,1.685,4450.5
2019-01-08,16.941,-4975.05,170.0,4975.05,1150.9,29.265,2880.019,20.646,-4988.34,126.0,4988.34,429.66,39.59,2601.43,84.07,-4911.075,39.0,4911.075,1152.06,125.925,3278.73,10.519,-4999.075,557.0,4999.075,1331.23,8.975,5858.968,38.482,-4999.5,150.0,4999.5,2503.5,33.33,5772.33,1.2,-4997.355,977.0,4997.355,1787.91,5.115,1172.4,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-42.258,15.76,-4971.85,65.0,4971.85,1105.65,76.49,1024.4,1.7,-4999.308,2759.0,4999.308,2455.51,1.812,4690.3,1.54,-4999.395,2967.0,4999.395,-2047.23,1.685,4569.18
2019-01-09,17.166,-4975.05,170.0,4975.05,1150.9,29.265,2918.204,20.836,-4988.34,126.0,4988.34,429.66,39.59,2625.322,84.31,-4911.075,39.0,4911.075,1152.06,125.925,3288.09,10.747,-4999.075,557.0,4999.075,1331.23,8.975,5986.14,39.918,-4999.5,150.0,4999.5,2503.5,33.33,5987.767,1.18,-4997.355,977.0,4997.355,1787.91,5.115,1152.86,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-42.258,15.57,-4971.85,65.0,4971.85,1105.65,76.49,1012.05,1.75,-4999.308,2759.0,4999.308,2455.51,1.812,4828.25,1.56,-4999.395,2967.0,4999.395,-2047.23,1.685,4628.52
2019-01-10,17.339,-4975.05,170.0,4975.05,1150.9,29.265,2947.577,20.814,-4988.34,126.0,4988.34,429.66,39.59,2622.565,83.56,-4911.075,39.0,4911.075,1152.06,125.925,3258.84,10.641,-4999.075,557.0,4999.075,1331.23,8.975,5927.096,40.141,-4999.5,150.0,4999.5,2503.5,33.33,6021.125,1.2,-4997.355,977.0,4997.355,1787.91,5.115,1172.4,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-43.814,15.43,-4971.85,65.0,4971.85,1105.65,76.49,1002.95,1.75,-4999.308,2759.0,4999.308,2455.51,1.812,4828.25,1.61,-4999.395,2967.0,4999.395,-2047.23,1.685,4776.87
2019-01-11,17.537,-4975.05,170.0,4975.05,1150.9,29.265,2981.355,20.595,-4988.34,126.0,4988.34,429.66,39.59,2594.998,82.9,-4911.075,39.0,4911.075,1152.06,125.925,3233.1,10.519,-4999.075,557.0,4999.075,1331.23,8.975,5858.968,40.289,-4999.5,150.0,4999.5,2503.5,33.33,6043.363,1.21,-4997.355,977.0,4997.355,1787.91,5.115,1182.17,-0.016,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.533,15.14,-4971.85,65.0,4971.85,1105.65,76.49,984.1,1.85,-4999.308,2759.0,4999.308,2455.51,1.812,5104.15,1.56,-4999.395,2967.0,4999.395,-2047.23,1.685,4628.52
2019-01-14,17.667,-4975.05,170.0,4975.05,1150.9,29.265,3003.386,21.011,-4988.34,126.0,4988.34,429.66,39.59,2647.376,81.26,-4911.075,39.0,4911.075,1152.06,125.925,3169.14,10.608,-4999.075,557.0,4999.075,1331.23,8.975,5908.928,40.4,-4999.5,150.0,4999.5,2503.5,33.33,6060.042,1.12,-4997.355,977.0,4997.355,1787.91,5.115,1094.24,-0.016,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.652,15.25,-4971.85,65.0,4971.85,1105.65,76.49,991.25,1.84,-4999.308,2759.0,4999.308,2455.51,1.812,5076.56,1.55,-4999.395,2967.0,4999.395,-2047.23,1.685,4598.85
2019-01-15,17.779,-4975.05,170.0,4975.05,1150.9,29.265,3022.477,21.128,-4988.34,126.0,4988.34,429.66,39.59,2662.078,83.32,-4911.075,39.0,4911.075,1152.06,125.925,3249.48,10.478,-4999.075,557.0,4999.075,1331.23,8.975,5836.259,40.317,-4999.5,150.0,4999.5,2503.5,33.33,6047.533,1.1,-4997.355,977.0,4997.355,1787.91,5.115,1074.7,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.413,15.44,-4971.85,65.0,4971.85,1105.65,76.49,1003.6,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28,1.56,-4999.395,2967.0,4999.395,-2047.23,1.685,4628.52
2019-01-16,18.03,-4975.05,170.0,4975.05,1150.9,29.265,3065.068,21.142,-4988.34,126.0,4988.34,429.66,39.59,2663.916,83.06,-4911.075,39.0,4911.075,1152.06,125.925,3239.34,10.217,-4999.075,557.0,4999.075,1331.23,8.975,5690.919,40.558,-4999.5,150.0,4999.5,2503.5,33.33,6083.671,1.11,-4997.355,977.0,4997.355,1787.91,5.115,1084.47,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-43.695,15.63,-4971.85,65.0,4971.85,1105.65,76.49,1015.95,1.95,-4999.308,2759.0,4999.308,2455.51,1.812,5380.05,1.69,-4999.395,2967.0,4999.395,-2047.23,1.685,5014.23
2019-01-17,18.133,-4975.05,170.0,4975.05,1150.9,29.265,3082.692,21.193,-4988.34,126.0,4988.34,429.66,39.59,2670.348,83.75,-4911.075,39.0,4911.075,1152.06,125.925,3266.25,10.136,-4999.075,557.0,4999.075,1331.23,8.975,5645.501,40.271,-4999.5,150.0,4999.5,2503.5,33.33,6040.584,1.13,-4997.355,977.0,4997.355,1787.91,5.115,1104.01,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.413,15.82,-4971.85,65.0,4971.85,1105.65,76.49,1028.3,2.14,-4999.308,2759.0,4999.308,2455.51,1.812,5904.26,1.82,-4999.395,2967.0,4999.395,-2047.23,1.685,5399.94
2019-01-18,18.237,-4975.05,170.0,4975.05,1150.9,29.265,3100.316,21.244,-4988.34,126.0,4988.34,429.66,39.59,2676.78,85.71,-4911.075,39.0,4911.075,1152.06,125.925,3342.69,10.152,-4999.075,557.0,4999.075,1331.23,8.975,5654.586,40.752,-4999.5,150.0,4999.5,2503.5,33.33,6112.859,1.16,-4997.355,977.0,4997.355,1787.91,5.115,1133.32,-0.016,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.772,15.99,-4971.85,65.0,4971.85,1105.65,76.49,1039.35,2.26,-4999.308,2759.0,4999.308,2455.51,1.812,6235.34,2.12,-4999.395,2967.0,4999.395,-2047.23,1.685,6290.04
2019-01-22,18.108,-4975.05,170.0,4975.05,1150.9,29.265,3078.286,21.303,-4988.34,126.0,4988.34,429.66,39.59,2684.131,84.94,-4911.075,39.0,4911.075,1152.06,125.925,3312.66,9.924,-4999.075,557.0,4999.075,1331.23,8.975,5527.415,40.511,-4999.5,150.0,4999.5,2503.5,33.33,6076.721,1.12,-4997.355,977.0,4997.355,1787.91,5.115,1094.24,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-43.336,15.13,-4971.85,65.0,4971.85,1105.65,76.49,983.45,2.26,-4999.308,2759.0,4999.308,2455.51,1.812,6235.34,2.27,-4999.395,2967.0,4999.395,-2047.23,1.685,6735.09
2019-01-23,18.159,-4975.05,170.0,4975.05,1150.9,29.265,3087.098,21.558,-4988.34,126.0,4988.34,429.66,39.59,2716.293,84.01,-4911.075,39.0,4911.075,1152.06,125.925,3276.39,10.193,-4999.075,557.0,4999.075,1331.23,8.975,5677.294,40.317,-4999.5,150.0,4999.5,2503.5,33.33,6047.533,1.17,-4997.355,977.0,4997.355,1787.91,5.115,1143.09,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-42.737,15.13,-4971.85,65.0,4971.85,1105.65,76.49,983.45,2.23,-4999.308,2759.0,4999.308,2455.51,1.812,6152.57,2.28,-4999.395,2967.0,4999.395,-2047.23,1.685,6764.76
2019-01-24,18.254,-4975.05,170.0,4975.05,1150.9,29.265,3103.253,21.857,-4988.34,126.0,4988.34,429.66,39.59,2753.969,84.5,-4911.075,39.0,4911.075,1152.06,125.925,3295.5,10.307,-4999.075,557.0,4999.075,1331.23,8.975,5740.88,40.447,-4999.5,150.0,4999.5,2503.5,33.33,6066.992,1.17,-4997.355,977.0,4997.355,1787.91,5.115,1143.09,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-42.976,15.85,-4971.85,65.0,4971.85,1105.65,76.49,1030.25,2.21,-4999.308,2759.0,4999.308,2455.51,1.812,6097.39,2.2,-4999.395,2967.0,4999.395,-2047.23,1.685,6527.4
2019-01-25,18.531,-4975.05,170.0,4975.05,1150.9,29.265,3150.25,22.236,-4988.34,126.0,4988.34,429.66,39.59,2801.752,86.26,-4911.075,39.0,4911.075,1152.06,125.925,3364.14,10.339,-4999.075,557.0,4999.075,1331.23,8.975,5759.048,40.382,-4999.5,150.0,4999.5,2503.5,33.33,6057.263,1.16,-4997.355,977.0,4997.355,1787.91,5.115,1133.32,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.413,16.2,-4971.85,65.0,4971.85,1105.65,76.49,1053.0,2.17,-4999.308,2759.0,4999.308,2455.51,1.812,5987.03,2.2,-4999.395,2967.0,4999.395,-2047.23,1.685,6527.4
2019-01-28,18.54,-4975.05,170.0,4975.05,1150.9,29.265,3151.718,21.995,-4988.34,126.0,4988.34,429.66,39.59,2771.429,85.34,-4911.075,39.0,4911.075,1152.06,125.925,3328.26,10.405,-4999.075,557.0,4999.075,1331.23,8.975,5795.382,40.169,-4999.5,150.0,4999.5,2503.5,33.33,6025.294,1.12,-4997.355,977.0,4997.355,1787.91,5.115,1094.24,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.413,16.2,-4971.85,65.0,4971.85,1105.65,76.49,1053.0,2.13,-4999.308,2759.0,4999.308,2455.51,1.812,5876.67,2.0,-4999.395,2967.0,4999.395,-2047.23,1.685,5934.0
2019-01-29,18.583,-4975.05,170.0,4975.05,1150.9,29.265,3159.062,22.01,-4988.34,126.0,4988.34,429.66,39.59,2773.266,84.15,-4911.075,39.0,4911.075,1152.06,125.925,3281.85,10.405,-4999.075,557.0,4999.075,1331.23,8.975,5795.382,40.243,-4999.5,150.0,4999.5,2503.5,33.33,6036.413,1.11,-4997.355,977.0,4997.355,1787.91,5.115,1084.47,-0.016,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.772,16.48,-4971.85,65.0,4971.85,1105.65,76.49,1071.2,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9,1.96,-4999.395,2967.0,4999.395,-2047.23,1.685,5815.32
2019-01-30,18.479,-4975.05,170.0,4975.05,1150.9,29.265,3141.438,22.353,-4988.34,126.0,4988.34,429.66,39.59,2816.455,85.55,-4911.075,39.0,4911.075,1152.06,125.925,3336.45,10.657,-4999.075,557.0,4999.075,1331.23,8.975,5936.18,40.391,-4999.5,150.0,4999.5,2503.5,33.33,6058.653,1.17,-4997.355,977.0,4997.355,1787.91,5.115,1143.09,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.174,17.12,-4971.85,65.0,4971.85,1105.65,76.49,1112.8,2.08,-4999.308,2759.0,4999.308,2455.51,1.812,5738.72,1.92,-4999.395,2967.0,4999.395,-2047.23,1.685,5696.64
2019-01-31,18.6,-4975.05,170.0,4975.05,1150.9,29.265,3162.0,22.338,-4988.34,126.0,4988.34,429.66,39.59,2814.617,86.68,-4911.075,39.0,4911.075,1152.06,125.925,3380.52,10.927,-4999.075,557.0,4999.075,1331.23,8.975,6086.061,41.327,-4999.5,150.0,4999.5,2503.5,33.33,6199.035,1.18,-4997.355,977.0,4997.355,1787.91,5.115,1152.86,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.054,18.06,-4971.85,65.0,4971.85,1105.65,76.49,1173.9,2.21,-4999.308,2759.0,4999.308,2455.51,1.812,6097.39,2.0,-4999.395,2967.0,4999.395,-2047.23,1.685,5934.0
2019-02-01,18.695,-4975.05,170.0,4975.05,1150.9,29.265,3178.154,22.564,-4988.34,126.0,4988.34,429.66,39.59,2843.103,89.59,-4911.075,39.0,4911.075,1152.06,125.925,3494.01,10.943,-4999.075,557.0,4999.075,1331.23,8.975,6095.144,41.698,-4999.5,150.0,4999.5,2503.5,33.33,6254.631,1.19,-4997.355,977.0,4997.355,1787.91,5.115,1162.63,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-43.814,17.79,-4971.85,65.0,4971.85,1105.65,76.49,1156.35,2.29,-4999.308,2759.0,4999.308,2455.51,1.812,6318.11,2.0,-4999.395,2967.0,4999.395,-2047.23,1.685,5934.0
2019-02-04,18.591,-4975.05,170.0,4975.05,1150.9,29.265,3160.531,22.681,-4988.34,126.0,4988.34,429.66,39.59,2857.805,93.11,-4911.075,39.0,4911.075,1152.06,125.925,3631.29,10.894,-4999.075,557.0,4999.075,1331.23,8.975,6067.892,43.087,-4999.5,150.0,4999.5,2503.5,33.33,6463.118,1.22,-4997.355,977.0,4997.355,1787.91,5.115,1191.94,-0.016,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.652,17.69,-4971.85,65.0,4971.85,1105.65,76.49,1149.85,2.22,-4999.308,2759.0,4999.308,2455.51,1.812,6124.98,2.05,-4999.395,2967.0,4999.395,-2047.23,1.685,6082.35
2019-02-05,18.591,-4975.05,170.0,4975.05,1150.9,29.265,3160.531,22.633,-4988.34,126.0,4988.34,429.66,39.59,2851.764,93.15,-4911.075,39.0,4911.075,1152.06,125.925,3632.85,10.927,-4999.075,557.0,4999.075,1331.23,8.975,6086.061,43.384,-4999.5,150.0,4999.5,2503.5,33.33,6507.595,1.24,-4997.355,977.0,4997.355,1787.91,5.115,1211.48,-0.016,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.652,16.85,-4971.85,65.0,4971.85,1105.65,76.49,1095.25,2.15,-4999.308,2759.0,4999.308,2455.51,1.812,5931.85,2.0,-4999.395,2967.0,4999.395,-2047.23,1.685,5934.0
2019-02-06,18.54,-4975.05,170.0,4975.05,1150.9,29.265,3151.718,22.004,-4988.34,126.0,4988.34,429.66,39.59,2772.47,92.99,-4911.075,39.0,4911.075,1152.06,125.925,3626.61,10.519,-4999.075,557.0,4999.075,1331.23,8.975,5858.968,43.338,-4999.5,150.0,4999.5,2503.5,33.33,6500.646,1.27,-4997.355,977.0,4997.355,1787.91,5.115,1240.79,-0.016,-4999.02,2873.0,4999.02,-4654.26,1.74,-44.772,19.62,-4971.85,65.0,4971.85,1105.65,76.49,1275.3,2.2,-4999.308,2759.0,4999.308,2455.51,1.812,6069.8,1.93,-4999.395,2967.0,4999.395,-2047.23,1.685,5726.31
2019-02-07,18.54,-4975.05,170.0,4975.05,1150.9,29.265,3151.718,21.764,-4988.34,126.0,4988.34,429.66,39.59,2742.262,91.99,-4911.075,39.0,4911.075,1152.06,125.925,3587.61,10.413,-4999.075,557.0,4999.075,1331.23,8.975,5799.925,42.995,-4999.5,150.0,4999.5,2503.5,33.33,6449.22,1.23,-4997.355,977.0,4997.355,1787.91,5.115,1201.71,-0.014,-4999.02,2873.0,4999.02,-4654.26,1.74,-39.624,19.22,-4971.85,65.0,4971.85,1105.65,76.49,1249.3,2.32,-4999.308,2759.0,4999.308,2455.51,1.812,6400.88,1.99,-4999.395,2967.0,4999.395,-2047.23,1.685,5904.33
2019-02-08,18.738,-4975.05,170.0,4975.05,1150.9,29.265,3185.498,21.771,-4988.34,126.0,4988.34,429.66,39.59,2743.206,93.24,-4911.075,39.0,4911.075,1152.06,125.925,3636.36,10.405,-4999.075,557.0,4999.075,1331.23,8.975,5795.382,42.772,-4999.5,150.0,4999.5,2503.5,33.33,6415.861,1.36,-4997.355,977.0,4997.355,1787.91,5.115,1328.72,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-42.019,19.26,-4971.85,65.0,4971.85,1105.65,76.49,1251.9,2.3,-4999.308,2759.0,4999.308,2455.51,1.812,6345.7,1.99,-4999.395,2967.0,4999.395,-2047.23,1.685,5904.33
2019-02-11,18.755,-4975.05,170.0,4975.05,1150.9,29.265,3188.434,22.056,-4988.34,126.0,4988.34,429.66,39.59,2779.077,93.96,-4911.075,39.0,4911.075,1152.06,125.925,3664.44,10.372,-4999.075,557.0,4999.075,1331.23,8.975,5777.215,42.216,-4999.5,150.0,4999.5,2503.5,33.33,6332.466,1.41,-4997.355,977.0,4997.355,1787.91,5.115,1377.57,-0.015,-4999.02,2873.0,4999.02,-4654.26,1.74,-41.66,19.2,-4971.85,65.0,4971.85,1105.65,76.49,1248.0,2.29,-4999.308,2759.0,4999.308,2455.51,1.812,6318.11,1.99,-4999.395,2967.0,4999.395,-2047.23,1.685,5904.33
2019-02-12,18.626,-4975.05,170.0,4975.05,1150.9,29.265,3166.405,22.543,-4988.34,126.0,4988.34,429.66,39.59,2840.436,95.51,-4911.075,39.0,4911.075,1152.06,125.925,3724.89,10.519,-4999.075,557.0,4999.075,1331.23,8.975,5858.968,42.059,-4999.5,150.0,4999.5,2503.5,33.33,6308.838,1.36,-4997.355,977.0,4997.355,1787.91,5.115,1328.72,-0.014,-4999.02,2873.0,4999.02,-4654.26,1.74,-41.3,19.7,-4971.85,65.0,4971.85,1105.65,76.49,1280.5,2.32,-4999.308,2759.0,4999.308,2455.51,1.812,6400.88,1.98,-4999.395,2967.0,4999.395,-2047.23,1.685,5874.66
