date,NYMX_adj_close,NYMX_cashflow,NYMX_cml_units,NYMX_cml_cost,NYMX_gain_loss,NYMX_avg_price,NYMX_mktvalue
2019-01-01,0.0,-4999.308,2759.0,4999.308,2455.51,1.812,0.0
2019-01-02,1.57,-4999.308,2759.0,4999.308,2455.51,1.812,4331.63
2019-01-03,1.58,-4999.308,2759.0,4999.308,2455.51,1.812,4359.22
2019-01-04,1.68,-4999.308,2759.0,4999.308,2455.51,1.812,4635.12
2019-01-07,1.71,-4999.308,2759.0,4999.308,2455.51,1.812,4717.89
2019-01-08,1.7,-4999.308,2759.0,4999.308,2455.51,1.812,4690.3
2019-01-09,1.75,-4999.308,2759.0,4999.308,2455.51,1.812,4828.25
2019-01-10,1.75,-4999.308,2759.0,4999.308,2455.51,1.812,4828.25
2019-01-11,1.85,-4999.308,2759.0,4999.308,2455.51,1.812,5104.15
2019-01-14,1.84,-4999.308,2759.0,4999.308,2455.51,1.812,5076.56
2019-01-15,1.92,-4999.308,2759.0,4999.308,2455.51,1.812,5297.28
2019-01-16,1.95,-4999.308,2759.0,4999.308,2455.51,1.812,5380.05
2019-01-17,2.14,-4999.308,2759.0,4999.308,2455.51,1.812,5904.26
2019-01-18,2.26,-4999.308,2759.0,4999.308,2455.51,1.812,6235.34
2019-01-22,2.26,-4999.308,2759.0,4999.308,2455.51,1.812,6235.34
2019-01-23,2.23,-4999.308,2759.0,4999.308,2455.51,1.812,6152.57
2019-01-24,2.21,-4999.308,2759.0,4999.308,2455.51,1.812,6097.39
2019-01-25,2.17,-4999.308,2759.0,4999.308,2455.51,1.812,5987.03
2019-01-28,2.13,-4999.308,2759.0,4999.308,2455.51,1.812,5876.67
2019-01-29,2.1,-4999.308,2759.0,4999.308,2455.51,1.812,5793.9
2019-01-30,2.08,-4999.308,2759.0,4999.308,2455.51,1.812,5738.72
2019-01-31,2.21,-4999.308,2759.0,4999.308,2455.51,1.812,6097.39
2019-02-01,2.29,-4999.308,2759.0,4999.308,2455.51,1.812,6318.11
2019-02-04,2.22,-4999.308,2759.0,4999.308,2455.51,1.812,6124.98
2019-02-05,2.15,-4999.308,2759.0,4999.308,2455.51,1.812,5931.85
