date,MAA_adj_close,MAA_cashflow,MAA_cml_units,MAA_cml_cost,MAA_gain_loss,MAA_avg_price,MAA_mktvalue
2019-01-01,0.0,-4920.96,24.0,4920.96,867.84,205.04,0.0
2019-01-02,84.395,-4920.96,24.0,4920.96,867.84,205.04,2025.488
2019-01-03,85.006,-4920.96,24.0,4920.96,867.84,205.04,2040.135
2019-01-04,85.015,-4920.96,24.0,4920.96,867.84,205.04,2040.354
2019-01-07,84.896,-4920.96,24.0,4920.96,867.84,205.04,2037.512
2019-01-08,86.609,-4920.96,24.0,4920.96,867.84,205.04,2078.612
2019-01-09,86.527,-4920.96,24.0,4920.96,867.84,205.04,2076.645
2019-01-10,87.966,-4920.96,24.0,4920.96,867.84,205.04,2111.186
2019-01-11,88.531,-4920.96,24.0,4920.96,867.84,205.04,2124.741
2019-01-14,88.798,-4920.96,24.0,4920.96,867.84,205.04,2131.144
2019-01-15,90.132,-4920.96,24.0,4920.96,867.84,205.04,2163.159
2019-01-16,91.429,-4920.96,24.0,4920.96,867.84,205.04,2194.292
2019-01-17,91.999,-4920.96,24.0,4920.96,867.84,205.04,2207.982
2019-01-18,92.128,-4920.96,24.0,4920.96,867.84,205.04,2211.073
2019-01-22,91.861,-4920.96,24.0,4920.96,867.84,205.04,2204.669
2019-01-23,91.659,-4920.96,24.0,4920.96,867.84,205.04,2199.812
2019-01-24,91.972,-4920.96,24.0,4920.96,867.84,205.04,2207.319
2019-01-25,92.984,-4920.96,24.0,4920.96,867.84,205.04,2231.607
2019-01-28,94.161,-4920.96,24.0,4920.96,867.84,205.04,2259.869
2019-01-29,95.09,-4920.96,24.0,4920.96,867.84,205.04,2282.17
2019-01-30,95.799,-4920.96,24.0,4920.96,867.84,205.04,2299.171
2019-01-31,93.177,-4920.96,24.0,4920.96,867.84,205.04,2236.244
2019-02-01,92.698,-4920.96,24.0,4920.96,867.84,205.04,2224.762
2019-02-04,94.428,-4920.96,24.0,4920.96,867.84,205.04,2266.272
2019-02-05,94.483,-4920.96,24.0,4920.96,867.84,205.04,2267.597
2019-02-06,94.465,-4920.96,24.0,4920.96,867.84,205.04,2267.156
2019-02-07,95.21,-4920.96,24.0,4920.96,867.84,205.04,2285.04
2019-02-08,95.523,-4920.96,24.0,4920.96,867.84,205.04,2292.547
2019-02-11,95.587,-4920.96,24.0,4920.96,867.84,205.04,2294.093
2019-02-12,94.833,-4920.96,24.0,4920.96,867.84,205.04,2275.988
2019-02-13,95.716,-4920.96,24.0,4920.96,867.84,205.04,2297.184
2019-02-14,95.339,-4920.96,24.0,4920.96,867.84,205.04,2288.131
2019-02-15,95.845,-4920.96,24.0,4920.96,867.84,205.04,2300.275
2019-02-19,95.679,-4920.96,24.0,4920.96,867.84,205.04,2296.301
2019-02-20,94.952,-4920.96,24.0,4920.96,867.84,205.04,2278.858
2019-02-21,95.937,-4920.96,24.0,4920.96,867.84,205.04,2302.483
2019-02-22,96.139,-4920.96,24.0,4920.96,867.84,205.04,2307.341
2019-02-25,95.412,-4920.96,24.0,4920.96,867.84,205.04,2289.898
2019-02-26,95.679,-4920.96,24.0,4920.96,867.84,205.04,2296.301
2019-02-27,94.943,-4920.96,24.0,4920.96,867.84,205.04,2278.637
2019-02-28,95.293,-4920.96,24.0,4920.96,867.84,205.04,2287.027
2019-03-01,94.851,-4920.96,24.0,4920.96,867.84,205.04,2276.429
2019-03-04,95.753,-4920.96,24.0,4920.96,867.84,205.04,2298.067
2019-03-05,96.029,-4920.96,24.0,4920.96,867.84,205.04,2304.691
2019-03-06,96.112,-4920.96,24.0,4920.96,867.84,205.04,2306.678
2019-03-07,96.581,-4920.96,24.0,4920.96,867.84,205.04,2317.939
2019-03-08,96.986,-4920.96,24.0,4920.96,867.84,205.04,2327.654
2019-03-11,98.246,-4920.96,24.0,4920.96,867.84,205.04,2357.904
2019-03-12,98.798,-4920.96,24.0,4920.96,867.84,205.04,2371.151
2019-03-13,98.862,-4920.96,24.0,4920.96,867.84,205.04,2372.697
2019-03-14,99.589,-4920.96,24.0,4920.96,867.84,205.04,2390.14
2019-03-15,99.056,-4920.96,24.0,4920.96,867.84,205.04,2377.334
2019-03-18,98.062,-4920.96,24.0,4920.96,867.84,205.04,2353.487
2019-03-19,97.685,-4920.96,24.0,4920.96,867.84,205.04,2344.435
2019-03-20,97.878,-4920.96,24.0,4920.96,867.84,205.04,2349.072
2019-03-21,99.184,-4920.96,24.0,4920.96,867.84,205.04,2380.425
2019-03-22,99.304,-4920.96,24.0,4920.96,867.84,205.04,2383.295
2019-03-25,99.81,-4920.96,24.0,4920.96,867.84,205.04,2395.439
2019-03-26,100.528,-4920.96,24.0,4920.96,867.84,205.04,2412.661
2019-03-27,100.04,-4920.96,24.0,4920.96,867.84,205.04,2400.959
2019-03-28,100.85,-4920.96,24.0,4920.96,867.84,205.04,2420.389
2019-03-29,100.583,-4920.96,24.0,4920.96,867.84,205.04,2413.986
2019-04-01,100.123,-4920.96,24.0,4920.96,867.84,205.04,2402.946
2019-04-02,101.144,-4920.96,24.0,4920.96,867.84,205.04,2427.455
2019-04-03,101.107,-4920.96,24.0,4920.96,867.84,205.04,2426.572
2019-04-04,100.62,-4920.96,24.0,4920.96,867.84,205.04,2414.869
2019-04-05,101.07,-4920.96,24.0,4920.96,867.84,205.04,2425.688
2019-04-08,100.537,-4920.96,24.0,4920.96,867.84,205.04,2412.882
2019-04-09,100.574,-4920.96,24.0,4920.96,867.84,205.04,2413.766
2019-04-10,101.346,-4920.96,24.0,4920.96,867.84,205.04,2432.312
2019-04-11,101.788,-4920.96,24.0,4920.96,867.84,205.04,2442.911
2019-04-12,102.233,-4920.96,24.0,4920.96,867.84,205.04,2453.602
2019-04-15,102.02,-4920.96,24.0,4920.96,867.84,205.04,2448.479
2019-04-16,98.911,-4920.96,24.0,4920.96,867.84,205.04,2373.864
2019-04-17,97.37,-4920.96,24.0,4920.96,867.84,205.04,2336.891
2019-04-18,98.892,-4920.96,24.0,4920.96,867.84,205.04,2373.419
2019-04-22,97.602,-4920.96,24.0,4920.96,867.84,205.04,2342.459
2019-04-23,98.902,-4920.96,24.0,4920.96,867.84,205.04,2373.642
2019-04-24,100.201,-4920.96,24.0,4920.96,867.84,205.04,2404.824
2019-04-25,100.22,-4920.96,24.0,4920.96,867.84,205.04,2405.269
2019-04-26,101.129,-4920.96,24.0,4920.96,867.84,205.04,2427.097
2019-04-29,99.821,-4920.96,24.0,4920.96,867.84,205.04,2395.692
2019-04-30,101.537,-4920.96,24.0,4920.96,867.84,205.04,2436.897
2019-05-01,101.389,-4920.96,24.0,4920.96,867.84,205.04,2433.333
2019-05-02,101.686,-4920.96,24.0,4920.96,867.84,205.04,2440.461
2019-05-03,101.946,-4920.96,24.0,4920.96,867.84,205.04,2446.697
2019-05-06,101.927,-4920.96,24.0,4920.96,867.84,205.04,2446.252
2019-05-07,100.21,-4920.96,24.0,4920.96,867.84,205.04,2405.047
2019-05-08,101.12,-4920.96,24.0,4920.96,867.84,205.04,2426.874
2019-05-09,101.76,-4920.96,24.0,4920.96,867.84,205.04,2442.243
2019-05-10,103.041,-4920.96,24.0,4920.96,867.84,205.04,2472.979
2019-05-13,103.087,-4920.96,24.0,4920.96,867.84,205.04,2474.093
2019-05-14,103.458,-4920.96,24.0,4920.96,867.84,205.04,2483.002
2019-05-15,104.535,-4920.96,24.0,4920.96,867.84,205.04,2508.839
2019-05-16,105.333,-4920.96,24.0,4920.96,867.84,205.04,2527.994
2019-05-17,106.772,-4920.96,24.0,4920.96,867.84,205.04,2562.517
2019-05-20,105.454,-4920.96,24.0,4920.96,867.84,205.04,2530.889
2019-05-21,105.806,-4920.96,24.0,4920.96,867.84,205.04,2539.353
2019-05-22,106.215,-4920.96,24.0,4920.96,867.84,205.04,2549.153
2019-05-23,106.697,-4920.96,24.0,4920.96,867.84,205.04,2560.735
2019-05-24,106.558,-4920.96,24.0,4920.96,867.84,205.04,2557.395
2019-05-28,105.12,-4920.96,24.0,4920.96,867.84,205.04,2522.871
2019-05-29,104.377,-4920.96,24.0,4920.96,867.84,205.04,2505.053
2019-05-30,105.185,-4920.96,24.0,4920.96,867.84,205.04,2524.43
2019-05-31,105.964,-4920.96,24.0,4920.96,867.84,205.04,2543.139
2019-06-03,106.428,-4920.96,24.0,4920.96,867.84,205.04,2554.276
2019-06-04,105.491,-4920.96,24.0,4920.96,867.84,205.04,2531.78
2019-06-05,108.488,-4920.96,24.0,4920.96,867.84,205.04,2603.722
2019-06-06,109.082,-4920.96,24.0,4920.96,867.84,205.04,2617.977
2019-06-07,108.887,-4920.96,24.0,4920.96,867.84,205.04,2613.3
2019-06-10,108.683,-4920.96,24.0,4920.96,867.84,205.04,2608.4
2019-06-11,108.646,-4920.96,24.0,4920.96,867.84,205.04,2607.509
2019-06-12,109.017,-4920.96,24.0,4920.96,867.84,205.04,2616.418
2019-06-13,109.546,-4920.96,24.0,4920.96,867.84,205.04,2629.113
2019-06-14,109.314,-4920.96,24.0,4920.96,867.84,205.04,2623.545
2019-06-17,110.261,-4920.96,24.0,4920.96,867.84,205.04,2646.264
2019-06-18,109.314,-4920.96,24.0,4920.96,867.84,205.04,2623.545
2019-06-19,110.623,-4920.96,24.0,4920.96,867.84,205.04,2654.95
2019-06-20,111.347,-4920.96,24.0,4920.96,867.84,205.04,2672.324
2019-06-21,110.521,-4920.96,24.0,4920.96,867.84,205.04,2652.5
