date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue
2019-01-01,0.0,-4933.95,37.0,4933.95,2776.11,133.35,0.0
2019-01-02,136.7,-4933.95,37.0,4933.95,2776.11,133.35,5057.9
2019-01-03,130.6,-4933.95,37.0,4933.95,2776.11,133.35,4832.2
2019-01-04,139.75,-4933.95,37.0,4933.95,2776.11,133.35,5170.75
2019-01-07,143.1,-4933.95,37.0,4933.95,2776.11,133.35,5294.7
2019-01-08,146.79,-4933.95,37.0,4933.95,2776.11,133.35,5431.23
2019-01-09,151.92,-4933.95,37.0,4933.95,2776.11,133.35,5621.04
2019-01-10,151.69,-4933.95,37.0,4933.95,2776.11,133.35,5612.53
2019-01-11,151.32,-4933.95,37.0,4933.95,2776.11,133.35,5598.84
2019-01-14,149.27,-4933.95,37.0,4933.95,2776.11,133.35,5522.99
2019-01-15,150.88,-4933.95,37.0,4933.95,2776.11,133.35,5582.56
2019-01-16,154.84,-4933.95,37.0,4933.95,2776.11,133.35,5729.08
2019-01-17,155.97,-4933.95,37.0,4933.95,2776.11,133.35,5770.89
2019-01-18,157.02,-4933.95,37.0,4933.95,2776.11,133.35,5809.74
2019-01-22,152.15,-4933.95,37.0,4933.95,2776.11,133.35,5629.55
2019-01-23,152.03,-4933.95,37.0,4933.95,2776.11,133.35,5625.11
2019-01-24,155.86,-4933.95,37.0,4933.95,2776.11,133.35,5766.82
2019-01-25,159.21,-4933.95,37.0,4933.95,2776.11,133.35,5890.77
2019-01-28,158.92,-4933.95,37.0,4933.95,2776.11,133.35,5880.04
2019-01-29,156.88,-4933.95,37.0,4933.95,2776.11,133.35,5804.56
2019-01-30,166.82,-4933.95,37.0,4933.95,2776.11,133.35,6172.34
2019-01-31,168.49,-4933.95,37.0,4933.95,2776.11,133.35,6234.13
2019-02-01,167.97,-4933.95,37.0,4933.95,2776.11,133.35,6214.89
2019-02-04,166.7,-4933.95,37.0,4933.95,2776.11,133.35,6167.9
2019-02-05,171.83,-4933.95,37.0,4933.95,2776.11,133.35,6357.71
2019-02-06,171.52,-4933.95,37.0,4933.95,2776.11,133.35,6346.24
2019-02-07,166.96,-4933.95,37.0,4933.95,2776.11,133.35,6177.52
2019-02-08,167.36,-4933.95,37.0,4933.95,2776.11,133.35,6192.32
2019-02-11,167.45,-4933.95,37.0,4933.95,2776.11,133.35,6195.65
2019-02-12,168.71,-4933.95,37.0,4933.95,2776.11,133.35,6242.27
2019-02-13,169.4,-4933.95,37.0,4933.95,2776.11,133.35,6267.8
2019-02-14,168.38,-4933.95,37.0,4933.95,2776.11,133.35,6230.06
2019-02-15,166.15,-4933.95,37.0,4933.95,2776.11,133.35,6147.55
2019-02-19,170.18,-4933.95,37.0,4933.95,2776.11,133.35,6296.66
2019-02-20,170.71,-4933.95,37.0,4933.95,2776.11,133.35,6316.27
2019-02-21,171.66,-4933.95,37.0,4933.95,2776.11,133.35,6351.42
2019-02-22,176.92,-4933.95,37.0,4933.95,2776.11,133.35,6546.04
2019-02-25,183.25,-4933.95,37.0,4933.95,2776.11,133.35,6780.25
2019-02-26,183.54,-4933.95,37.0,4933.95,2776.11,133.35,6790.98
2019-02-27,184.58,-4933.95,37.0,4933.95,2776.11,133.35,6829.46
2019-02-28,183.03,-4933.95,37.0,4933.95,2776.11,133.35,6772.11
2019-03-01,183.88,-4933.95,37.0,4933.95,2776.11,133.35,6803.56
2019-03-04,187.25,-4933.95,37.0,4933.95,2776.11,133.35,6928.25
2019-03-05,185.0,-4933.95,37.0,4933.95,2776.11,133.35,6845.0
2019-03-06,184.17,-4933.95,37.0,4933.95,2776.11,133.35,6814.29
2019-03-07,177.32,-4933.95,37.0,4933.95,2776.11,133.35,6560.84
2019-03-08,175.03,-4933.95,37.0,4933.95,2776.11,133.35,6476.11
2019-03-11,180.41,-4933.95,37.0,4933.95,2776.11,133.35,6675.17
2019-03-12,180.63,-4933.95,37.0,4933.95,2776.11,133.35,6683.31
2019-03-13,180.7,-4933.95,37.0,4933.95,2776.11,133.35,6685.9
2019-03-14,180.36,-4933.95,37.0,4933.95,2776.11,133.35,6673.32
2019-03-15,180.97,-4933.95,37.0,4933.95,2776.11,133.35,6695.89
2019-03-18,181.83,-4933.95,37.0,4933.95,2776.11,133.35,6727.71
2019-03-19,182.14,-4933.95,37.0,4933.95,2776.11,133.35,6739.18
2019-03-20,181.28,-4933.95,37.0,4933.95,2776.11,133.35,6707.36
2019-03-21,181.5,-4933.95,37.0,4933.95,2776.11,133.35,6715.5
2019-03-22,176.26,-4933.95,37.0,4933.95,2776.11,133.35,6521.62
2019-03-25,178.77,-4933.95,37.0,4933.95,2776.11,133.35,6614.49
2019-03-26,178.08,-4933.95,37.0,4933.95,2776.11,133.35,6588.96
2019-03-27,177.03,-4933.95,37.0,4933.95,2776.11,133.35,6550.11
2019-03-28,177.73,-4933.95,37.0,4933.95,2776.11,133.35,6576.01
2019-03-29,182.45,-4933.95,37.0,4933.95,2776.11,133.35,6750.65
2019-04-01,180.89,-4933.95,37.0,4933.95,2776.11,133.35,6692.93
2019-04-02,181.74,-4933.95,37.0,4933.95,2776.11,133.35,6724.38
2019-04-03,178.32,-4933.95,37.0,4933.95,2776.11,133.35,6597.84
2019-04-04,181.07,-4933.95,37.0,4933.95,2776.11,133.35,6699.59
2019-04-05,185.35,-4933.95,37.0,4933.95,2776.11,133.35,6857.95
2019-04-08,186.5,-4933.95,37.0,4933.95,2776.11,133.35,6900.5
2019-04-09,187.19,-4933.95,37.0,4933.95,2776.11,133.35,6926.03
2019-04-10,186.19,-4933.95,37.0,4933.95,2776.11,133.35,6889.03
2019-04-11,184.98,-4933.95,37.0,4933.95,2776.11,133.35,6844.26
2019-04-12,188.91,-4933.95,37.0,4933.95,2776.11,133.35,6989.67
2019-04-15,183.07,-4933.95,37.0,4933.95,2776.11,133.35,6773.59
2019-04-16,185.78,-4933.95,37.0,4933.95,2776.11,133.35,6873.86
2019-04-17,187.55,-4933.95,37.0,4933.95,2776.11,133.35,6939.35
2019-04-18,186.94,-4933.95,37.0,4933.95,2776.11,133.35,6916.78
2019-04-22,185.38,-4933.95,37.0,4933.95,2776.11,133.35,6859.06
2019-04-23,187.29,-4933.95,37.0,4933.95,2776.11,133.35,6929.73
2019-04-24,185.67,-4933.95,37.0,4933.95,2776.11,133.35,6869.79
2019-04-25,187.88,-4933.95,37.0,4933.95,2776.11,133.35,6951.56
2019-04-26,187.09,-4933.95,37.0,4933.95,2776.11,133.35,6922.33
2019-04-29,186.94,-4933.95,37.0,4933.95,2776.11,133.35,6916.78
2019-04-30,185.57,-4933.95,37.0,4933.95,2776.11,133.35,6866.09
2019-05-01,189.31,-4933.95,37.0,4933.95,2776.11,133.35,7004.47
2019-05-02,190.39,-4933.95,37.0,4933.95,2776.11,133.35,7044.43
2019-05-03,195.21,-4933.95,37.0,4933.95,2776.11,133.35,7222.77
2019-05-06,188.24,-4933.95,37.0,4933.95,2776.11,133.35,6964.88
2019-05-07,181.43,-4933.95,37.0,4933.95,2776.11,133.35,6712.91
2019-05-08,179.59,-4933.95,37.0,4933.95,2776.11,133.35,6644.83
2019-05-09,179.04,-4933.95,37.0,4933.95,2776.11,133.35,6624.48
2019-05-10,178.0,-4933.95,37.0,4933.95,2776.11,133.35,6586.0
2019-05-13,170.01,-4933.95,37.0,4933.95,2776.11,133.35,6290.37
2019-05-14,174.84,-4933.95,37.0,4933.95,2776.11,133.35,6469.08
2019-05-15,177.6,-4933.95,37.0,4933.95,2776.11,133.35,6571.2
2019-05-16,175.57,-4933.95,37.0,4933.95,2776.11,133.35,6496.09
2019-05-17,169.57,-4933.95,37.0,4933.95,2776.11,133.35,6274.09
2019-05-20,160.65,-4933.95,37.0,4933.95,2776.11,133.35,5944.05
2019-05-21,163.43,-4933.95,37.0,4933.95,2776.11,133.35,6046.91
2019-05-22,158.83,-4933.95,37.0,4933.95,2776.11,133.35,5876.71
2019-05-23,156.0,-4933.95,37.0,4933.95,2776.11,133.35,5772.0
2019-05-24,155.0,-4933.95,37.0,4933.95,2776.11,133.35,5735.0
2019-05-28,154.81,-4933.95,37.0,4933.95,2776.11,133.35,5727.97
2019-05-29,152.48,-4933.95,37.0,4933.95,2776.11,133.35,5641.76
2019-05-30,151.07,-4933.95,37.0,4933.95,2776.11,133.35,5589.59
2019-05-31,149.26,-4933.95,37.0,4933.95,2776.11,133.35,5522.62
2019-06-03,149.91,-4933.95,37.0,4933.95,2776.11,133.35,5546.67
2019-06-04,154.15,-4933.95,37.0,4933.95,2776.11,133.35,5703.55
2019-06-05,151.65,-4933.95,37.0,4933.95,2776.11,133.35,5611.05
2019-06-06,151.5,-4933.95,37.0,4933.95,2776.11,133.35,5605.5
2019-06-07,154.23,-4933.95,37.0,4933.95,2776.11,133.35,5706.51
2019-06-10,159.85,-4933.95,37.0,4933.95,2776.11,133.35,5914.45
2019-06-11,162.65,-4933.95,37.0,4933.95,2776.11,133.35,6018.05
2019-06-12,160.04,-4933.95,37.0,4933.95,2776.11,133.35,5921.48
2019-06-13,160.33,-4933.95,37.0,4933.95,2776.11,133.35,5932.21
2019-06-14,158.1,-4933.95,37.0,4933.95,2776.11,133.35,5849.7
2019-06-17,159.91,-4933.95,37.0,4933.95,2776.11,133.35,5916.67
2019-06-18,165.51,-4933.95,37.0,4933.95,2776.11,133.35,6123.87
2019-06-19,165.46,-4933.95,37.0,4933.95,2776.11,133.35,6122.02
2019-06-20,168.25,-4933.95,37.0,4933.95,2776.11,133.35,6225.25
2019-06-21,167.55,-4933.95,37.0,4933.95,2776.11,133.35,6199.35
