date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue
2019-01-01,0.0,-4995.9,390.0,4995.9,1591.2,12.81,0.0
2019-01-02,13.554,-4995.9,390.0,4995.9,1591.2,12.81,5286.092
2019-01-03,13.587,-4995.9,390.0,4995.9,1591.2,12.81,5298.938
2019-01-04,14.419,-4995.9,390.0,4995.9,1591.2,12.81,5623.297
2019-01-07,14.633,-4995.9,390.0,4995.9,1591.2,12.81,5706.796
2019-01-08,15.053,-4995.9,390.0,4995.9,1591.2,12.81,5870.581
2019-01-09,15.448,-4995.9,390.0,4995.9,1591.2,12.81,6024.732
2019-01-10,15.39,-4995.9,390.0,4995.9,1591.2,12.81,6002.252
2019-01-11,15.168,-4995.9,390.0,4995.9,1591.2,12.81,5915.542
2019-01-14,15.012,-4995.9,390.0,4995.9,1591.2,12.81,5854.523
2019-01-15,15.333,-4995.9,390.0,4995.9,1591.2,12.81,5979.772
2019-01-16,15.456,-4995.9,390.0,4995.9,1591.2,12.81,6027.943
2019-01-17,15.308,-4995.9,390.0,4995.9,1591.2,12.81,5970.137
2019-01-18,15.275,-4995.9,390.0,4995.9,1591.2,12.81,5957.291
2019-01-22,14.962,-4995.9,390.0,4995.9,1591.2,12.81,5835.254
2019-01-23,14.715,-4995.9,390.0,4995.9,1591.2,12.81,5738.91
2019-01-24,14.756,-4995.9,390.0,4995.9,1591.2,12.81,5754.968
2019-01-25,14.773,-4995.9,390.0,4995.9,1591.2,12.81,5761.39
2019-01-28,14.641,-4995.9,390.0,4995.9,1591.2,12.81,5710.007
2019-01-29,14.847,-4995.9,390.0,4995.9,1591.2,12.81,5790.294
2019-01-30,15.16,-4995.9,390.0,4995.9,1591.2,12.81,5912.33
2019-01-31,15.522,-4995.9,390.0,4995.9,1591.2,12.81,6053.635
2019-02-01,15.547,-4995.9,390.0,4995.9,1591.2,12.81,6063.269
2019-02-04,15.547,-4995.9,390.0,4995.9,1591.2,12.81,6063.269
2019-02-05,15.58,-4995.9,390.0,4995.9,1591.2,12.81,6076.116
2019-02-06,15.489,-4995.9,390.0,4995.9,1591.2,12.81,6040.789
2019-02-07,15.143,-4995.9,390.0,4995.9,1591.2,12.81,5905.907
2019-02-08,15.185,-4995.9,390.0,4995.9,1591.2,12.81,5921.965
2019-02-11,14.905,-4995.9,390.0,4995.9,1591.2,12.81,5812.774
2019-02-12,15.464,-4995.9,390.0,4995.9,1591.2,12.81,6031.155
2019-02-13,15.506,-4995.9,390.0,4995.9,1591.2,12.81,6047.212
2019-02-14,15.481,-4995.9,390.0,4995.9,1591.2,12.81,6037.578
2019-02-15,15.992,-4995.9,390.0,4995.9,1591.2,12.81,6236.69
2019-02-19,16.066,-4995.9,390.0,4995.9,1591.2,12.81,6265.593
2019-02-20,16.329,-4995.9,390.0,4995.9,1591.2,12.81,6368.36
2019-02-21,16.09,-4995.9,390.0,4995.9,1591.2,12.81,6275.227
2019-02-22,16.304,-4995.9,390.0,4995.9,1591.2,12.81,6358.725
2019-02-25,16.659,-4995.9,390.0,4995.9,1591.2,12.81,6496.819
2019-02-26,16.971,-4995.9,390.0,4995.9,1591.2,12.81,6618.855
2019-02-27,17.342,-4995.9,390.0,4995.9,1591.2,12.81,6763.371
2019-02-28,16.667,-4995.9,390.0,4995.9,1591.2,12.81,6500.03
2019-03-01,16.873,-4995.9,390.0,4995.9,1591.2,12.81,6580.317
2019-03-04,17.111,-4995.9,390.0,4995.9,1591.2,12.81,6673.45
2019-03-05,17.128,-4995.9,390.0,4995.9,1591.2,12.81,6679.872
2019-03-06,16.889,-4995.9,390.0,4995.9,1591.2,12.81,6586.74
2019-03-07,16.659,-4995.9,390.0,4995.9,1591.2,12.81,6496.819
2019-03-08,16.288,-4995.9,390.0,4995.9,1591.2,12.81,6352.303
2019-03-11,16.642,-4995.9,390.0,4995.9,1591.2,12.81,6490.396
2019-03-12,16.897,-4995.9,390.0,4995.9,1591.2,12.81,6589.952
2019-03-13,17.457,-4995.9,390.0,4995.9,1591.2,12.81,6808.332
2019-03-14,17.367,-4995.9,390.0,4995.9,1591.2,12.81,6773.006
