date,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue
2019-01-01,0.0,-4991.0,310.0,4991.0,446.4,16.1,0.0
2019-01-02,2.41,-4991.0,310.0,4991.0,446.4,16.1,747.1
2019-01-03,2.41,-4991.0,310.0,4991.0,446.4,16.1,747.1
2019-01-04,2.68,-4991.0,310.0,4991.0,446.4,16.1,830.8
2019-01-07,3.22,-4991.0,310.0,4991.0,446.4,16.1,998.2
2019-01-08,3.34,-4991.0,310.0,4991.0,446.4,16.1,1035.4
2019-01-09,3.75,-4991.0,310.0,4991.0,446.4,16.1,1162.5
2019-01-10,3.46,-4991.0,310.0,4991.0,446.4,16.1,1072.6
2019-01-11,3.3,-4991.0,310.0,4991.0,446.4,16.1,1023.0
2019-01-14,3.33,-4991.0,310.0,4991.0,446.4,16.1,1032.3
2019-01-15,3.52,-4991.0,310.0,4991.0,446.4,16.1,1091.2
2019-01-16,3.31,-4991.0,310.0,4991.0,446.4,16.1,1026.1
2019-01-17,3.25,-4991.0,310.0,4991.0,446.4,16.1,1007.5
2019-01-18,3.18,-4991.0,310.0,4991.0,446.4,16.1,985.8
2019-01-22,3.03,-4991.0,310.0,4991.0,446.4,16.1,939.3
2019-01-23,2.97,-4991.0,310.0,4991.0,446.4,16.1,920.7
2019-01-24,2.79,-4991.0,310.0,4991.0,446.4,16.1,864.9
2019-01-25,3.17,-4991.0,310.0,4991.0,446.4,16.1,982.7
2019-01-28,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2019-01-29,3.2,-4991.0,310.0,4991.0,446.4,16.1,992.0
2019-01-30,3.28,-4991.0,310.0,4991.0,446.4,16.1,1016.8
2019-01-31,3.21,-4991.0,310.0,4991.0,446.4,16.1,995.1
2019-02-01,3.12,-4991.0,310.0,4991.0,446.4,16.1,967.2
2019-02-04,3.16,-4991.0,310.0,4991.0,446.4,16.1,979.6
2019-02-05,3.44,-4991.0,310.0,4991.0,446.4,16.1,1066.4
2019-02-06,3.23,-4991.0,310.0,4991.0,446.4,16.1,1001.3
2019-02-07,3.28,-4991.0,310.0,4991.0,446.4,16.1,1016.8
2019-02-08,3.21,-4991.0,310.0,4991.0,446.4,16.1,995.1
2019-02-11,3.14,-4991.0,310.0,4991.0,446.4,16.1,973.4
2019-02-12,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2019-02-13,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2019-02-14,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2019-02-15,3.15,-4991.0,310.0,4991.0,446.4,16.1,976.5
2019-02-19,3.17,-4991.0,310.0,4991.0,446.4,16.1,982.7
2019-02-20,3.14,-4991.0,310.0,4991.0,446.4,16.1,973.4
2019-02-21,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2019-02-22,3.1,-4991.0,310.0,4991.0,446.4,16.1,961.0
2019-02-25,3.06,-4991.0,310.0,4991.0,446.4,16.1,948.6
2019-02-26,2.9,-4991.0,310.0,4991.0,446.4,16.1,899.0
2019-02-27,2.96,-4991.0,310.0,4991.0,446.4,16.1,917.6
2019-02-28,2.85,-4991.0,310.0,4991.0,446.4,16.1,883.5
2019-03-01,2.97,-4991.0,310.0,4991.0,446.4,16.1,920.7
2019-03-04,3.14,-4991.0,310.0,4991.0,446.4,16.1,973.4
2019-03-05,3.04,-4991.0,310.0,4991.0,446.4,16.1,942.4
2019-03-06,2.84,-4991.0,310.0,4991.0,446.4,16.1,880.4
2019-03-07,3.71,-4991.0,310.0,4991.0,446.4,16.1,1150.1
2019-03-08,3.87,-4991.0,310.0,4991.0,446.4,16.1,1199.7
2019-03-11,4.19,-4991.0,310.0,4991.0,446.4,16.1,1298.9
2019-03-12,4.12,-4991.0,310.0,4991.0,446.4,16.1,1277.2
2019-03-13,4.0,-4991.0,310.0,4991.0,446.4,16.1,1240.0
