date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue
2019-01-01,0.0,-4997.58,978.0,4997.58,21046.56,5.11,0.0
2019-01-02,25.99,-4997.58,978.0,4997.58,21046.56,5.11,25418.22
2019-01-03,24.73,-4997.58,978.0,4997.58,21046.56,5.11,24185.94
2019-01-04,26.52,-4997.58,978.0,4997.58,21046.56,5.11,25936.56
2019-01-07,26.86,-4997.58,978.0,4997.58,21046.56,5.11,26269.081
2019-01-08,27.46,-4997.58,978.0,4997.58,21046.56,5.11,26855.879
2019-01-09,28.95,-4997.58,978.0,4997.58,21046.56,5.11,28313.101
2019-01-10,29.02,-4997.58,978.0,4997.58,21046.56,5.11,28381.56
2019-01-11,29.23,-4997.58,978.0,4997.58,21046.56,5.11,28586.94
2019-01-14,29.21,-4997.58,978.0,4997.58,21046.56,5.11,28567.379
2019-01-15,30.26,-4997.58,978.0,4997.58,21046.56,5.11,29594.28
2019-01-16,29.97,-4997.58,978.0,4997.58,21046.56,5.11,29310.659
2019-01-17,29.76,-4997.58,978.0,4997.58,21046.56,5.11,29105.28
2019-01-18,30.19,-4997.58,978.0,4997.58,21046.56,5.11,29525.821
2019-01-22,31.2,-4997.58,978.0,4997.58,21046.56,5.11,30513.601
2019-01-23,31.22,-4997.58,978.0,4997.58,21046.56,5.11,30533.159
2019-01-24,29.81,-4997.58,978.0,4997.58,21046.56,5.11,29154.179
2019-01-25,30.6,-4997.58,978.0,4997.58,21046.56,5.11,29926.8
2019-01-28,29.93,-4997.58,978.0,4997.58,21046.56,5.11,29271.54
2019-01-29,30.54,-4997.58,978.0,4997.58,21046.56,5.11,29868.121
2019-01-30,30.21,-4997.58,978.0,4997.58,21046.56,5.11,29545.379
2019-01-31,31.03,-4997.58,978.0,4997.58,21046.56,5.11,30347.341
2019-02-01,31.06,-4997.58,978.0,4997.58,21046.56,5.11,30376.679
2019-02-04,31.26,-4997.58,978.0,4997.58,21046.56,5.11,30572.28
2019-02-05,31.7,-4997.58,978.0,4997.58,21046.56,5.11,31002.601
2019-02-06,31.84,-4997.58,978.0,4997.58,21046.56,5.11,31139.52
2019-02-07,30.9,-4997.58,978.0,4997.58,21046.56,5.11,30220.2
2019-02-08,31.68,-4997.58,978.0,4997.58,21046.56,5.11,30983.04
2019-02-11,32.92,-4997.58,978.0,4997.58,21046.56,5.11,32195.758
2019-02-12,32.91,-4997.58,978.0,4997.58,21046.56,5.11,32185.98
2019-02-13,33.29,-4997.58,978.0,4997.58,21046.56,5.11,32557.621
2019-02-14,32.74,-4997.58,978.0,4997.58,21046.56,5.11,32019.722
2019-02-15,32.58,-4997.58,978.0,4997.58,21046.56,5.11,31863.242
2019-02-19,31.95,-4997.58,978.0,4997.58,21046.56,5.11,31247.101
2019-02-20,32.57,-4997.58,978.0,4997.58,21046.56,5.11,31853.46
2019-02-21,32.88,-4997.58,978.0,4997.58,21046.56,5.11,32156.641
2019-02-22,33.97,-4997.58,978.0,4997.58,21046.56,5.11,33222.661
