date,MMM_adj_close,MMM_cashflow,MMM_cml_units,MMM_cml_cost,MMM_gain_loss,MMM_avg_price,MMM_mktvalue
2019-01-02,172.615,0.0,0.0,0.0,0.0,,0.0
2019-01-03,166.116,0.0,0.0,0.0,0.0,,0.0
2019-01-04,172.95,0.0,0.0,0.0,0.0,,0.0
2019-01-07,172.552,0.0,0.0,0.0,0.0,,0.0
2019-01-08,173.275,0.0,0.0,0.0,0.0,,0.0
2019-01-09,173.836,0.0,0.0,0.0,0.0,,0.0
2019-01-10,175.011,0.0,0.0,0.0,0.0,,0.0
2019-01-11,173.754,0.0,0.0,0.0,0.0,,0.0
2019-01-14,173.718,0.0,0.0,0.0,0.0,,0.0
2019-01-15,170.798,0.0,0.0,0.0,0.0,,0.0
2019-01-16,171.286,0.0,0.0,0.0,0.0,,0.0
2019-01-17,173.302,0.0,0.0,0.0,0.0,,0.0
2019-01-18,177.054,0.0,0.0,0.0,0.0,,0.0
2019-01-22,173.8,0.0,0.0,0.0,0.0,,0.0
2019-01-23,173.827,0.0,0.0,0.0,0.0,,0.0
2019-01-24,174.035,0.0,0.0,0.0,0.0,,0.0
2019-01-25,177.09,0.0,0.0,0.0,0.0,,0.0
2019-01-28,174.649,0.0,0.0,0.0,0.0,,0.0
2019-01-29,178.039,0.0,0.0,0.0,0.0,,0.0
2019-01-30,180.136,0.0,0.0,0.0,0.0,,0.0
2019-01-31,181.068,0.0,0.0,0.0,0.0,,0.0
2019-02-01,180.037,0.0,0.0,0.0,0.0,,0.0
2019-02-04,180.986,0.0,0.0,0.0,0.0,,0.0
2019-02-05,181.809,0.0,0.0,0.0,0.0,,0.0
2019-02-06,183.12,0.0,0.0,0.0,0.0,,0.0
2019-02-07,180.652,0.0,0.0,0.0,0.0,,0.0
2019-02-08,180.634,0.0,0.0,0.0,0.0,,0.0
2019-02-11,181.619,0.0,0.0,0.0,0.0,,0.0
2019-02-12,186.736,0.0,0.0,0.0,0.0,,0.0
2019-02-13,189.583,0.0,0.0,0.0,0.0,,0.0
2019-02-14,186.534,0.0,0.0,0.0,0.0,,0.0
2019-02-15,190.111,0.0,0.0,0.0,0.0,,0.0
2019-02-19,189.701,0.0,0.0,0.0,0.0,,0.0
2019-02-20,189.811,0.0,0.0,0.0,0.0,,0.0
2019-02-21,189.119,0.0,0.0,0.0,0.0,,0.0
2019-02-22,190.557,0.0,0.0,0.0,0.0,,0.0
2019-02-25,191.677,0.0,0.0,0.0,0.0,,0.0
2019-02-26,190.584,0.0,0.0,0.0,0.0,,0.0
2019-02-27,190.266,0.0,0.0,0.0,0.0,,0.0
2019-02-28,188.773,0.0,0.0,0.0,0.0,,0.0
2019-03-01,188.864,0.0,0.0,0.0,0.0,,0.0
2019-03-04,188.291,0.0,0.0,0.0,0.0,,0.0
2019-03-05,185.542,0.0,0.0,0.0,0.0,,0.0
2019-03-06,184.595,0.0,0.0,0.0,0.0,,0.0
2019-03-07,181.919,0.0,0.0,0.0,0.0,,0.0
2019-03-08,182.856,0.0,0.0,0.0,0.0,,0.0
2019-03-11,188.509,0.0,0.0,0.0,0.0,,0.0
2019-03-12,187.326,0.0,0.0,0.0,0.0,,0.0
2019-03-13,188.109,0.0,0.0,0.0,0.0,,0.0
2019-03-14,188.764,0.0,0.0,0.0,0.0,,0.0
2019-03-15,189.401,0.0,0.0,0.0,0.0,,0.0
2019-03-18,189.774,0.0,0.0,0.0,0.0,,0.0
2019-03-19,190.257,0.0,0.0,0.0,0.0,,0.0
2019-03-20,189.601,0.0,0.0,0.0,0.0,,0.0
2019-03-21,190.794,0.0,0.0,0.0,0.0,,0.0
2019-03-22,186.288,0.0,0.0,0.0,0.0,,0.0
2019-03-25,184.968,0.0,0.0,0.0,0.0,,0.0
2019-03-26,188.636,0.0,0.0,0.0,0.0,,0.0
2019-03-27,188.564,0.0,0.0,0.0,0.0,,0.0
2019-03-28,189.811,0.0,0.0,0.0,0.0,,0.0
2019-03-29,189.128,0.0,0.0,0.0,0.0,,0.0
2019-04-01,192.915,0.0,0.0,0.0,0.0,,0.0
2019-04-02,193.087,0.0,0.0,0.0,0.0,,0.0
2019-04-03,193.998,0.0,0.0,0.0,0.0,,0.0
2019-04-04,195.727,0.0,0.0,0.0,0.0,,0.0
2019-04-05,196.073,0.0,0.0,0.0,0.0,,0.0
2019-04-08,195.718,0.0,0.0,0.0,0.0,,0.0
2019-04-09,192.933,0.0,0.0,0.0,0.0,,0.0
2019-04-10,193.069,0.0,0.0,0.0,0.0,,0.0
2019-04-11,194.362,0.0,0.0,0.0,0.0,,0.0
2019-04-12,197.903,0.0,0.0,0.0,0.0,,0.0
2019-04-15,196.455,0.0,0.0,0.0,0.0,,0.0
2019-04-16,197.429,0.0,0.0,0.0,0.0,,0.0
2019-04-17,198.103,0.0,0.0,0.0,0.0,,0.0
2019-04-18,199.232,0.0,0.0,0.0,0.0,,0.0
2019-04-22,198.922,0.0,0.0,0.0,0.0,,0.0
2019-04-23,199.796,0.0,0.0,0.0,0.0,,0.0
2019-04-24,199.414,0.0,0.0,0.0,0.0,,0.0
2019-04-25,173.599,0.0,0.0,0.0,0.0,,0.0
2019-04-26,174.464,0.0,0.0,0.0,0.0,,0.0
2019-04-29,173.135,0.0,0.0,0.0,0.0,,0.0
2019-04-30,172.498,0.0,0.0,0.0,0.0,,0.0
2019-05-01,169.367,0.0,0.0,0.0,0.0,,0.0
2019-05-02,168.165,0.0,0.0,0.0,0.0,,0.0
2019-05-03,168.593,0.0,0.0,0.0,0.0,,0.0
2019-05-06,166.609,0.0,0.0,0.0,0.0,,0.0
2019-05-07,163.041,0.0,0.0,0.0,0.0,,0.0
2019-05-08,162.558,0.0,0.0,0.0,0.0,,0.0
2019-05-09,159.545,0.0,0.0,0.0,0.0,,0.0
2019-05-10,160.073,0.0,0.0,0.0,0.0,,0.0
2019-05-13,158.444,0.0,0.0,0.0,0.0,,0.0
2019-05-14,159.482,0.0,0.0,0.0,0.0,,0.0
2019-05-15,158.49,0.0,0.0,0.0,0.0,,0.0
2019-05-16,156.387,0.0,0.0,0.0,0.0,,0.0
2019-05-17,153.911,0.0,0.0,0.0,0.0,,0.0
2019-05-20,151.326,0.0,0.0,0.0,0.0,,0.0
2019-05-21,152.282,0.0,0.0,0.0,0.0,,0.0
2019-05-22,154.503,0.0,0.0,0.0,0.0,,0.0
2019-05-23,152.272,0.0,0.0,0.0,0.0,,0.0
2019-05-24,152.474,0.0,0.0,0.0,0.0,,0.0
2019-05-28,149.959,0.0,0.0,0.0,0.0,,0.0
2019-05-29,148.168,0.0,0.0,0.0,0.0,,0.0
2019-05-30,147.416,0.0,0.0,0.0,0.0,,0.0
2019-05-31,146.654,0.0,0.0,0.0,0.0,,0.0
2019-06-03,146.92,0.0,0.0,0.0,0.0,,0.0
2019-06-04,150.821,0.0,0.0,0.0,0.0,,0.0
2019-06-05,150.418,0.0,0.0,0.0,0.0,,0.0
2019-06-06,151.216,0.0,0.0,0.0,0.0,,0.0
2019-06-07,152.951,0.0,0.0,0.0,0.0,,0.0
