date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue
2019-01-01,0.0,-4995.62,42.017,4995.62,0.0,118.896,0.0
2019-01-02,38.613,-4995.62,42.017,4995.62,0.0,118.896,1622.386
2019-01-03,38.041,-4995.62,42.017,4995.62,0.0,118.896,1598.379
2019-01-04,38.475,-4995.62,42.017,4995.62,0.0,118.896,1616.578
2019-01-07,37.903,-4995.62,42.017,4995.62,0.0,118.896,1592.571
2019-01-08,37.71,-4995.62,42.017,4995.62,0.0,118.896,1584.44
2019-01-09,38.594,-4995.62,42.017,4995.62,0.0,118.896,1621.612
2019-01-10,37.673,-4995.62,42.017,4995.62,0.0,118.896,1582.891
2019-01-11,37.857,-4995.62,42.017,4995.62,0.0,118.896,1590.635
2019-01-14,36.991,-4995.62,42.017,4995.62,0.0,118.896,1554.238
2019-01-15,38.244,-4995.62,42.017,4995.62,0.0,118.896,1606.898
2019-01-16,39.027,-4995.62,42.017,4995.62,0.0,118.896,1639.81
2019-01-17,39.175,-4995.62,42.017,4995.62,0.0,118.896,1646.005
2019-01-18,38.687,-4995.62,42.017,4995.62,0.0,118.896,1625.484
2019-01-22,37.332,-4995.62,42.017,4995.62,0.0,118.896,1568.565
2019-01-23,37.037,-4995.62,42.017,4995.62,0.0,118.896,1556.174
2019-01-24,37.267,-4995.62,42.017,4995.62,0.0,118.896,1565.854
2019-01-25,38.115,-4995.62,42.017,4995.62,0.0,118.896,1601.477
2019-01-28,37.737,-4995.62,42.017,4995.62,0.0,118.896,1585.602
2019-01-29,37.931,-4995.62,42.017,4995.62,0.0,118.896,1593.733
2019-01-30,38.557,-4995.62,42.017,4995.62,0.0,118.896,1620.063
2019-01-31,39.359,-4995.62,42.017,4995.62,0.0,118.896,1653.749
2019-02-01,39.58,-4995.62,42.017,4995.62,0.0,118.896,1663.043
2019-02-04,39.553,-4995.62,42.017,4995.62,0.0,118.896,1661.881
2019-02-05,39.986,-4995.62,42.017,4995.62,0.0,118.896,1680.079
2019-02-06,40.06,-4995.62,42.017,4995.62,0.0,118.896,1683.177
2019-02-07,39.35,-4995.62,42.017,4995.62,0.0,118.896,1653.363
2019-02-08,37.728,-4995.62,42.017,4995.62,0.0,118.896,1585.214
2019-02-11,37.774,-4995.62,42.017,4995.62,0.0,118.896,1587.15
2019-02-12,37.304,-4995.62,42.017,4995.62,0.0,118.896,1567.403
2019-02-13,37.479,-4995.62,42.017,4995.62,0.0,118.896,1574.76
2019-02-14,37.553,-4995.62,42.017,4995.62,0.0,118.896,1577.858
2019-02-15,37.691,-4995.62,42.017,4995.62,0.0,118.896,1583.666
2019-02-19,37.535,-4995.62,42.017,4995.62,0.0,118.896,1577.083
2019-02-20,37.295,-4995.62,42.017,4995.62,0.0,118.896,1567.016
2019-02-21,36.567,-4995.62,42.017,4995.62,0.0,118.896,1536.427
2019-02-22,37.267,-4995.62,42.017,4995.62,0.0,118.896,1565.854
2019-02-25,37.599,-4995.62,42.017,4995.62,0.0,118.896,1579.794
2019-02-26,37.019,-4995.62,42.017,4995.62,0.0,118.896,1555.4
2019-02-27,36.705,-4995.62,42.017,4995.62,0.0,118.896,1542.235
2019-02-28,36.244,-4995.62,42.017,4995.62,0.0,118.896,1522.875
2019-03-01,35.977,-4995.62,42.017,4995.62,0.0,118.896,1511.646
2019-03-04,34.954,-4995.62,42.017,4995.62,0.0,118.896,1468.666
2019-03-05,35.01,-4995.62,42.017,4995.62,0.0,118.896,1470.989
2019-03-06,34.705,-4995.62,42.017,4995.62,0.0,118.896,1458.211
2019-03-07,34.521,-4995.62,42.017,4995.62,0.0,118.896,1450.467
2019-03-08,34.07,-4995.62,42.017,4995.62,0.0,118.896,1431.494
2019-03-11,34.798,-4995.62,42.017,4995.62,0.0,118.896,1462.083
2019-03-12,34.761,-4995.62,42.017,4995.62,0.0,118.896,1460.535
2019-03-13,34.576,-4995.62,42.017,4995.62,0.0,118.896,1452.791
2019-03-14,34.687,-4995.62,42.017,4995.62,0.0,118.896,1457.437
