date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,COOP_adj_close,COOP_cashflow,COOP_cml_units,COOP_cml_cost,COOP_gain_loss,COOP_avg_price,COOP_mktvalue,VRME_adj_close,VRME_cashflow,VRME_cml_units,VRME_cml_cost,VRME_gain_loss,VRME_avg_price,VRME_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,TMGI_adj_close,TMGI_cashflow,TMGI_cml_units,TMGI_cml_cost,TMGI_gain_loss,TMGI_avg_price,TMGI_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-01-01,0.0,-4973.336,138.889,4973.336,0.0,35.808,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4994.76,454.545,4994.76,0.0,10.988,0.0,0.0,-4993.625,500.0,4993.625,0.0,9.987,0.0,0.0,-4998.96,5000.0,4998.96,0.0,1.0,0.0,0.0,-4973.8,131.579,4973.8,0.0,37.801,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0,0.0,-4998.96,5000.0,4998.96,0.0,1.0,0.0
2019-01-02,35.837,-4973.336,138.889,4973.336,0.0,35.808,4977.367,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,12.08,-4994.76,454.545,4994.76,0.0,10.988,5490.909,10.975,-4993.625,500.0,4993.625,0.0,9.987,5487.5,1.09,-4998.96,5000.0,4998.96,0.0,1.0,5450.0,43.96,-4973.8,131.579,4973.8,0.0,37.801,5784.21,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.1,-4998.96,5000.0,4998.96,0.0,1.0,5500.0
2019-01-03,35.443,-4973.336,138.889,4973.336,0.0,35.808,4922.577,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,12.0,-4994.76,454.545,4994.76,0.0,10.988,5454.545,13.0,-4993.625,500.0,4993.625,0.0,9.987,6500.0,1.13,-4998.96,5000.0,4998.96,0.0,1.0,5650.0,32.0,-4973.8,131.579,4973.8,0.0,37.801,4210.526,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.15,-4998.96,5000.0,4998.96,0.0,1.0,5750.0
2019-01-04,36.477,-4973.336,138.889,4973.336,0.0,35.808,5066.248,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,12.79,-4994.76,454.545,4994.76,0.0,10.988,5813.636,14.0,-4993.625,500.0,4993.625,0.0,9.987,7000.0,1.24,-4998.96,5000.0,4998.96,0.0,1.0,6200.0,30.52,-4973.8,131.579,4973.8,0.0,37.801,4015.79,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.23,-4998.96,5000.0,4998.96,0.0,1.0,6150.0
2019-01-07,35.986,-4973.336,138.889,4973.336,0.0,35.808,4998.065,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,13.29,-4994.76,454.545,4994.76,0.0,10.988,6040.909,12.5,-4993.625,500.0,4993.625,0.0,9.987,6250.0,1.41,-4998.96,5000.0,4998.96,0.0,1.0,7050.0,52.0,-4973.8,131.579,4973.8,0.0,37.801,6842.105,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0,1.43,-4998.96,5000.0,4998.96,0.0,1.0,7150.0
2019-01-08,36.082,-4973.336,138.889,4973.336,0.0,35.808,5011.458,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,13.48,-4994.76,454.545,4994.76,0.0,10.988,6127.273,12.5,-4993.625,500.0,4993.625,0.0,9.987,6250.0,1.62,-4998.96,5000.0,4998.96,0.0,1.0,8100.0,37.7,-4973.8,131.579,4973.8,0.0,37.801,4960.526,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333,1.61,-4998.96,5000.0,4998.96,0.0,1.0,8050.0
2019-01-09,36.328,-4973.336,138.889,4973.336,0.0,35.808,5045.549,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,13.62,-4994.76,454.545,4994.76,0.0,10.988,6190.909,12.925,-4993.625,500.0,4993.625,0.0,9.987,6462.5,1.86,-4998.96,5000.0,4998.96,0.0,1.0,9300.0,41.56,-4973.8,131.579,4973.8,0.0,37.801,5468.421,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0,1.88,-4998.96,5000.0,4998.96,0.0,1.0,9400.0
2019-01-10,36.407,-4973.336,138.889,4973.336,0.0,35.808,5056.508,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,13.91,-4994.76,454.545,4994.76,0.0,10.988,6322.727,12.925,-4993.625,500.0,4993.625,0.0,9.987,6462.5,1.77,-4998.96,5000.0,4998.96,0.0,1.0,8850.0,39.98,-4973.8,131.579,4973.8,0.0,37.801,5260.526,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.79,-4998.96,5000.0,4998.96,0.0,1.0,8950.0
2019-01-11,36.31,-4973.336,138.889,4973.336,0.0,35.808,5043.114,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,13.75,-4994.76,454.545,4994.76,0.0,10.988,6250.0,12.5,-4993.625,500.0,4993.625,0.0,9.987,6250.0,1.63,-4998.96,5000.0,4998.96,0.0,1.0,8150.0,36.0,-4973.8,131.579,4973.8,0.0,37.801,4736.842,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.64,-4998.96,5000.0,4998.96,0.0,1.0,8200.0
2019-01-14,35.925,-4973.336,138.889,4973.336,0.0,35.808,4989.541,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,13.6,-4994.76,454.545,4994.76,0.0,10.988,6181.818,12.5,-4993.625,500.0,4993.625,0.0,9.987,6250.0,1.75,-4998.96,5000.0,4998.96,0.0,1.0,8750.0,37.48,-4973.8,131.579,4973.8,0.0,37.801,4931.579,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0,1.76,-4998.96,5000.0,4998.96,0.0,1.0,8800.0
