date,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,ZLAB_adj_close,ZLAB_cashflow,ZLAB_cml_units,ZLAB_cml_cost,ZLAB_gain_loss,ZLAB_avg_price,ZLAB_mktvalue,CBIO_adj_close,CBIO_cashflow,CBIO_cml_units,CBIO_cml_cost,CBIO_gain_loss,CBIO_avg_price,CBIO_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-01-01,0.0,-4999.04,5000.0,4999.04,0.0,1.0,0.0,0.0,-4992.3,217.391,4992.3,0.0,22.965,0.0,0.0,-4994.37,714.286,4994.37,0.0,6.992,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0,0.0,-4998.96,5000.0,4998.96,0.0,1.0,0.0
2019-01-02,1.15,-4999.04,5000.0,4999.04,0.0,1.0,5750.0,22.3,-4992.3,217.391,4992.3,0.0,22.965,4847.826,8.25,-4994.37,714.286,4994.37,0.0,6.992,5892.857,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.1,-4998.96,5000.0,4998.96,0.0,1.0,5500.0
2019-01-03,1.25,-4999.04,5000.0,4999.04,0.0,1.0,6250.0,21.71,-4992.3,217.391,4992.3,0.0,22.965,4719.565,8.16,-4994.37,714.286,4994.37,0.0,6.992,5828.571,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.15,-4998.96,5000.0,4998.96,0.0,1.0,5750.0
2019-01-04,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,22.0,-4992.3,217.391,4992.3,0.0,22.965,4782.609,9.39,-4994.37,714.286,4994.37,0.0,6.992,6707.143,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.23,-4998.96,5000.0,4998.96,0.0,1.0,6150.0
2019-01-07,1.19,-4999.04,5000.0,4999.04,0.0,1.0,5950.0,22.6,-4992.3,217.391,4992.3,0.0,22.965,4913.044,9.96,-4994.37,714.286,4994.37,0.0,6.992,7114.286,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0,1.43,-4998.96,5000.0,4998.96,0.0,1.0,7150.0
2019-01-08,1.2,-4999.04,5000.0,4999.04,0.0,1.0,6000.0,22.73,-4992.3,217.391,4992.3,0.0,22.965,4941.304,9.52,-4994.37,714.286,4994.37,0.0,6.992,6800.0,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333,1.61,-4998.96,5000.0,4998.96,0.0,1.0,8050.0
2019-01-09,1.18,-4999.04,5000.0,4999.04,0.0,1.0,5900.0,23.18,-4992.3,217.391,4992.3,0.0,22.965,5039.131,9.32,-4994.37,714.286,4994.37,0.0,6.992,6657.143,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0,1.88,-4998.96,5000.0,4998.96,0.0,1.0,9400.0
2019-01-10,1.2,-4999.04,5000.0,4999.04,0.0,1.0,6000.0,24.33,-4992.3,217.391,4992.3,0.0,22.965,5289.13,8.69,-4994.37,714.286,4994.37,0.0,6.992,6207.143,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.79,-4998.96,5000.0,4998.96,0.0,1.0,8950.0
2019-01-11,1.21,-4999.04,5000.0,4999.04,0.0,1.0,6050.0,24.6,-4992.3,217.391,4992.3,0.0,22.965,5347.826,8.75,-4994.37,714.286,4994.37,0.0,6.992,6250.0,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.64,-4998.96,5000.0,4998.96,0.0,1.0,8200.0
2019-01-14,1.12,-4999.04,5000.0,4999.04,0.0,1.0,5600.0,23.99,-4992.3,217.391,4992.3,0.0,22.965,5215.217,8.24,-4994.37,714.286,4994.37,0.0,6.992,5885.714,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0,1.76,-4998.96,5000.0,4998.96,0.0,1.0,8800.0
