date,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4990.56,131.579,4990.56,0.0,37.928,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4997.3,625.0,4997.3,0.0,7.996,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0
2019-01-02,38.613,-4990.56,131.579,4990.56,0.0,37.928,5080.631,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,8.28,-4997.3,625.0,4997.3,0.0,7.996,5175.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-03,38.041,-4990.56,131.579,4990.56,0.0,37.928,5005.451,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,7.99,-4997.3,625.0,4997.3,0.0,7.996,4993.75,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-04,38.475,-4990.56,131.579,4990.56,0.0,37.928,5062.442,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,8.53,-4997.3,625.0,4997.3,0.0,7.996,5331.25,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-07,37.903,-4990.56,131.579,4990.56,0.0,37.928,4987.263,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0
2019-01-08,37.71,-4990.56,131.579,4990.56,0.0,37.928,4961.799,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2019-01-09,38.594,-4990.56,131.579,4990.56,0.0,37.928,5078.205,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2019-01-10,37.673,-4990.56,131.579,4990.56,0.0,37.928,4956.949,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.99,-4997.3,625.0,4997.3,0.0,7.996,5618.75,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-11,37.857,-4990.56,131.579,4990.56,0.0,37.928,4981.2,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,9.0,-4997.3,625.0,4997.3,0.0,7.996,5625.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-14,36.991,-4990.56,131.579,4990.56,0.0,37.928,4867.219,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
2019-01-15,38.244,-4990.56,131.579,4990.56,0.0,37.928,5032.128,2.96,-4999.54,2500.0,4999.54,0.0,2.0,7400.0,4.662,-4998.737,1250.0,4998.737,0.0,3.999,5826.902,9.12,-4997.3,625.0,4997.3,0.0,7.996,5700.0,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
2019-01-16,39.027,-4990.56,131.579,4990.56,0.0,37.928,5135.195,2.95,-4999.54,2500.0,4999.54,0.0,2.0,7375.0,4.903,-4998.737,1250.0,4998.737,0.0,3.999,6128.48,9.18,-4997.3,625.0,4997.3,0.0,7.996,5737.5,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-17,39.175,-4990.56,131.579,4990.56,0.0,37.928,5154.596,2.92,-4999.54,2500.0,4999.54,0.0,2.0,7300.0,5.11,-4998.737,1250.0,4998.737,0.0,3.999,6386.974,9.3,-4997.3,625.0,4997.3,0.0,7.996,5812.5,7.75,-4998.0,833.333,4998.0,0.0,5.998,6458.333
2019-01-18,38.687,-4990.56,131.579,4990.56,0.0,37.928,5090.331,2.72,-4999.54,2500.0,4999.54,0.0,2.0,6800.0,5.256,-4998.737,1250.0,4998.737,0.0,3.999,6570.075,9.46,-4997.3,625.0,4997.3,0.0,7.996,5912.5,7.71,-4998.0,833.333,4998.0,0.0,5.998,6425.0
2019-01-22,37.332,-4990.56,131.579,4990.56,0.0,37.928,4912.084,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.998,-4998.737,1250.0,4998.737,0.0,3.999,6246.957,9.18,-4997.3,625.0,4997.3,0.0,7.996,5737.5,7.7,-4998.0,833.333,4998.0,0.0,5.998,6416.667
2019-01-23,37.037,-4990.56,131.579,4990.56,0.0,37.928,4873.282,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.084,-4998.737,1250.0,4998.737,0.0,3.999,6354.663,8.85,-4997.3,625.0,4997.3,0.0,7.996,5531.25,7.9,-4998.0,833.333,4998.0,0.0,5.998,6583.333
2019-01-24,37.267,-4990.56,131.579,4990.56,0.0,37.928,4903.596,2.7,-4999.54,2500.0,4999.54,0.0,2.0,6750.0,5.247,-4998.737,1250.0,4998.737,0.0,3.999,6559.305,8.54,-4997.3,625.0,4997.3,0.0,7.996,5337.5,8.4,-4998.0,833.333,4998.0,0.0,5.998,7000.0
2019-01-25,38.115,-4990.56,131.579,4990.56,0.0,37.928,5015.152,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.23,-4998.737,1250.0,4998.737,0.0,3.999,6537.763,8.0,-4997.3,625.0,4997.3,0.0,7.996,5000.0,7.8,-4998.0,833.333,4998.0,0.0,5.998,6500.0
