date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLSD_adj_close,CLSD_cashflow,CLSD_cml_units,CLSD_cml_cost,CLSD_gain_loss,CLSD_avg_price,CLSD_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CBIO_adj_close,CBIO_cashflow,CBIO_cml_units,CBIO_cml_cost,CBIO_gain_loss,CBIO_avg_price,CBIO_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4994.313,500.0,4994.313,0.0,9.989,0.0,0.0,-4994.581,384.615,4994.581,0.0,12.986,0.0,0.0,-4977.852,142.857,4977.852,0.0,34.845,0.0,0.0,-4999.04,5000.0,4999.04,0.0,1.0,0.0,0.0,-4998.036,1000.0,4998.036,0.0,4.998,0.0,0.0,-4994.37,714.286,4994.37,0.0,6.992,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4997.3,625.0,4997.3,0.0,7.996,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0
2019-01-02,10.403,-4994.313,500.0,4994.313,0.0,9.989,5201.663,14.341,-4994.581,384.615,4994.581,0.0,12.986,5515.664,36.444,-4977.852,142.857,4977.852,0.0,34.845,5206.236,1.15,-4999.04,5000.0,4999.04,0.0,1.0,5750.0,5.22,-4998.036,1000.0,4998.036,0.0,4.998,5220.353,8.25,-4994.37,714.286,4994.37,0.0,6.992,5892.857,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,8.28,-4997.3,625.0,4997.3,0.0,7.996,5175.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-03,10.095,-4994.313,500.0,4994.313,0.0,9.989,5047.503,14.376,-4994.581,384.615,4994.581,0.0,12.986,5529.068,36.221,-4977.852,142.857,4977.852,0.0,34.845,5174.466,1.25,-4999.04,5000.0,4999.04,0.0,1.0,6250.0,5.255,-4998.036,1000.0,4998.036,0.0,4.998,5254.753,8.16,-4994.37,714.286,4994.37,0.0,6.992,5828.571,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,7.99,-4997.3,625.0,4997.3,0.0,7.996,4993.75,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-04,10.443,-4994.313,500.0,4994.313,0.0,9.989,5221.555,15.256,-4994.581,384.615,4994.581,0.0,12.986,5867.515,37.787,-4977.852,142.857,4977.852,0.0,34.845,5398.177,1.24,-4999.04,5000.0,4999.04,0.0,1.0,6200.0,5.547,-4998.036,1000.0,4998.036,0.0,4.998,5547.163,9.39,-4994.37,714.286,4994.37,0.0,6.992,6707.143,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,8.53,-4997.3,625.0,4997.3,0.0,7.996,5331.25,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-07,10.393,-4994.313,500.0,4994.313,0.0,9.989,5196.69,15.482,-4994.581,384.615,4994.581,0.0,12.986,5954.639,37.704,-4977.852,142.857,4977.852,0.0,34.845,5386.263,1.19,-4999.04,5000.0,4999.04,0.0,1.0,5950.0,5.556,-4998.036,1000.0,4998.036,0.0,4.998,5555.762,9.96,-4994.37,714.286,4994.37,0.0,6.992,7114.286,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0
2019-01-08,10.702,-4994.313,500.0,4994.313,0.0,9.989,5350.851,15.926,-4994.581,384.615,4994.581,0.0,12.986,6125.537,38.482,-4977.852,142.857,4977.852,0.0,34.845,5497.457,1.2,-4999.04,5000.0,4999.04,0.0,1.0,6000.0,5.582,-4998.036,1000.0,4998.036,0.0,4.998,5581.563,9.52,-4994.37,714.286,4994.37,0.0,6.992,6800.0,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2019-01-09,10.722,-4994.313,500.0,4994.313,0.0,9.989,5360.796,16.345,-4994.581,384.615,4994.581,0.0,12.986,6286.383,39.918,-4977.852,142.857,4977.852,0.0,34.845,5702.636,1.18,-4999.04,5000.0,4999.04,0.0,1.0,5900.0,5.668,-4998.036,1000.0,4998.036,0.0,4.998,5667.566,9.32,-4994.37,714.286,4994.37,0.0,6.992,6657.143,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2019-01-10,10.712,-4994.313,500.0,4994.313,0.0,9.989,5355.824,16.284,-4994.581,384.615,4994.581,0.0,12.986,6262.927,40.141,-4977.852,142.857,4977.852,0.0,34.845,5734.404,1.2,-4999.04,5000.0,4999.04,0.0,1.0,6000.0,5.857,-4998.036,1000.0,4998.036,0.0,4.998,5856.771,8.69,-4994.37,714.286,4994.37,0.0,6.992,6207.143,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.99,-4997.3,625.0,4997.3,0.0,7.996,5618.75,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-11,10.612,-4994.313,500.0,4994.313,0.0,9.989,5306.095,16.048,-4994.581,384.615,4994.581,0.0,12.986,6172.45,40.289,-4977.852,142.857,4977.852,0.0,34.845,5755.584,1.21,-4999.04,5000.0,4999.04,0.0,1.0,6050.0,5.883,-4998.036,1000.0,4998.036,0.0,4.998,5882.57,8.75,-4994.37,714.286,4994.37,0.0,6.992,6250.0,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,9.0,-4997.3,625.0,4997.3,0.0,7.996,5625.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-14,10.373,-4994.313,500.0,4994.313,0.0,9.989,5186.745,15.883,-4994.581,384.615,4994.581,0.0,12.986,6108.782,40.4,-4977.852,142.857,4977.852,0.0,34.845,5771.469,1.12,-4999.04,5000.0,4999.04,0.0,1.0,5600.0,5.9,-4998.036,1000.0,4998.036,0.0,4.998,5899.771,8.24,-4994.37,714.286,4994.37,0.0,6.992,5885.714,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
