date,IBN_adj_close,IBN_cashflow,IBN_cml_units,IBN_cml_cost,IBN_gain_loss,IBN_avg_price,IBN_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,BTZ_adj_close,BTZ_cashflow,BTZ_cml_units,BTZ_cml_cost,BTZ_gain_loss,BTZ_avg_price,BTZ_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue,FNMA_adj_close,FNMA_cashflow,FNMA_cml_units,FNMA_cml_cost,FNMA_gain_loss,FNMA_avg_price,FNMA_mktvalue
2019-01-01,0.0,-4994.313,500.0,4994.313,0.0,9.989,0.0,0.0,-4997.067,312.5,4997.067,0.0,15.991,0.0,0.0,-4997.024,263.158,4997.024,0.0,18.989,0.0,0.0,-4977.852,142.857,4977.852,0.0,34.845,0.0,0.0,-4999.02,2500.0,4999.02,0.0,2.0,0.0,0.0,-4998.036,1000.0,4998.036,0.0,4.998,0.0,0.0,-4993.819,555.556,4993.819,0.0,8.989,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4997.3,625.0,4997.3,0.0,7.996,0.0,0.0,-4998.96,5000.0,4998.96,0.0,1.0,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0,0.0,-4998.96,5000.0,4998.96,0.0,1.0,0.0
2019-01-02,10.403,-4994.313,500.0,4994.313,0.0,9.989,5201.663,15.965,-4997.067,312.5,4997.067,0.0,15.991,4989.083,19.778,-4997.024,263.158,4997.024,0.0,18.989,5204.846,36.444,-4977.852,142.857,4977.852,0.0,34.845,5206.236,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.22,-4998.036,1000.0,4998.036,0.0,4.998,5220.353,9.279,-4993.819,555.556,4993.819,0.0,8.989,5154.99,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,8.28,-4997.3,625.0,4997.3,0.0,7.996,5175.0,1.09,-4998.96,5000.0,4998.96,0.0,1.0,5450.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.1,-4998.96,5000.0,4998.96,0.0,1.0,5500.0
2019-01-03,10.095,-4994.313,500.0,4994.313,0.0,9.989,5047.503,16.216,-4997.067,312.5,4997.067,0.0,15.991,5067.375,19.851,-4997.024,263.158,4997.024,0.0,18.989,5224.037,36.221,-4977.852,142.857,4977.852,0.0,34.845,5174.466,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.255,-4998.036,1000.0,4998.036,0.0,4.998,5254.753,9.254,-4993.819,555.556,4993.819,0.0,8.989,5141.278,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,7.99,-4997.3,625.0,4997.3,0.0,7.996,4993.75,1.13,-4998.96,5000.0,4998.96,0.0,1.0,5650.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.15,-4998.96,5000.0,4998.96,0.0,1.0,5750.0
2019-01-04,10.443,-4994.313,500.0,4994.313,0.0,9.989,5221.555,16.397,-4997.067,312.5,4997.067,0.0,15.991,5124.07,20.099,-4997.024,263.158,4997.024,0.0,18.989,5289.289,37.787,-4977.852,142.857,4977.852,0.0,34.845,5398.177,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,5.547,-4998.036,1000.0,4998.036,0.0,4.998,5547.163,9.411,-4993.819,555.556,4993.819,0.0,8.989,5228.109,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,8.53,-4997.3,625.0,4997.3,0.0,7.996,5331.25,1.24,-4998.96,5000.0,4998.96,0.0,1.0,6200.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667,1.23,-4998.96,5000.0,4998.96,0.0,1.0,6150.0
2019-01-07,10.393,-4994.313,500.0,4994.313,0.0,9.989,5196.69,16.44,-4997.067,312.5,4997.067,0.0,15.991,5137.569,20.457,-4997.024,263.158,4997.024,0.0,18.989,5383.33,37.704,-4977.852,142.857,4977.852,0.0,34.845,5386.263,3.22,-4999.02,2500.0,4999.02,0.0,2.0,8050.0,5.556,-4998.036,1000.0,4998.036,0.0,4.998,5555.762,9.616,-4993.819,555.556,4993.819,0.0,8.989,5342.359,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,1.41,-4998.96,5000.0,4998.96,0.0,1.0,7050.0,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0,1.43,-4998.96,5000.0,4998.96,0.0,1.0,7150.0
2019-01-08,10.702,-4994.313,500.0,4994.313,0.0,9.989,5350.851,16.941,-4997.067,312.5,4997.067,0.0,15.991,5294.152,20.646,-4997.024,263.158,4997.024,0.0,18.989,5433.229,38.482,-4977.852,142.857,4977.852,0.0,34.845,5497.457,3.34,-4999.02,2500.0,4999.02,0.0,2.0,8350.0,5.582,-4998.036,1000.0,4998.036,0.0,4.998,5581.563,9.608,-4993.819,555.556,4993.819,0.0,8.989,5337.789,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,1.62,-4998.96,5000.0,4998.96,0.0,1.0,8100.0,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333,1.61,-4998.96,5000.0,4998.96,0.0,1.0,8050.0
2019-01-09,10.722,-4994.313,500.0,4994.313,0.0,9.989,5360.796,17.166,-4997.067,312.5,4997.067,0.0,15.991,5364.345,20.836,-4997.024,263.158,4997.024,0.0,18.989,5483.128,39.918,-4977.852,142.857,4977.852,0.0,34.845,5702.636,3.75,-4999.02,2500.0,4999.02,0.0,2.0,9375.0,5.668,-4998.036,1000.0,4998.036,0.0,4.998,5667.566,9.641,-4993.819,555.556,4993.819,0.0,8.989,5356.07,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,1.86,-4998.96,5000.0,4998.96,0.0,1.0,9300.0,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0,1.88,-4998.96,5000.0,4998.96,0.0,1.0,9400.0
2019-01-10,10.712,-4994.313,500.0,4994.313,0.0,9.989,5355.824,17.339,-4997.067,312.5,4997.067,0.0,15.991,5418.339,20.814,-4997.024,263.158,4997.024,0.0,18.989,5477.371,40.141,-4977.852,142.857,4977.852,0.0,34.845,5734.404,3.46,-4999.02,2500.0,4999.02,0.0,2.0,8650.0,5.857,-4998.036,1000.0,4998.036,0.0,4.998,5856.771,9.592,-4993.819,555.556,4993.819,0.0,8.989,5328.648,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.99,-4997.3,625.0,4997.3,0.0,7.996,5618.75,1.77,-4998.96,5000.0,4998.96,0.0,1.0,8850.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.79,-4998.96,5000.0,4998.96,0.0,1.0,8950.0
2019-01-11,10.612,-4994.313,500.0,4994.313,0.0,9.989,5306.095,17.537,-4997.067,312.5,4997.067,0.0,15.991,5480.433,20.595,-4997.024,263.158,4997.024,0.0,18.989,5419.794,40.289,-4977.852,142.857,4977.852,0.0,34.845,5755.584,3.3,-4999.02,2500.0,4999.02,0.0,2.0,8250.0,5.883,-4998.036,1000.0,4998.036,0.0,4.998,5882.57,9.583,-4993.819,555.556,4993.819,0.0,8.989,5324.078,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,9.0,-4997.3,625.0,4997.3,0.0,7.996,5625.0,1.63,-4998.96,5000.0,4998.96,0.0,1.0,8150.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667,1.64,-4998.96,5000.0,4998.96,0.0,1.0,8200.0
2019-01-14,10.373,-4994.313,500.0,4994.313,0.0,9.989,5186.745,17.667,-4997.067,312.5,4997.067,0.0,15.991,5520.93,21.011,-4997.024,263.158,4997.024,0.0,18.989,5529.189,40.4,-4977.852,142.857,4977.852,0.0,34.845,5771.469,3.33,-4999.02,2500.0,4999.02,0.0,2.0,8325.0,5.9,-4998.036,1000.0,4998.036,0.0,4.998,5899.771,9.608,-4993.819,555.556,4993.819,0.0,8.989,5337.789,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,1.75,-4998.96,5000.0,4998.96,0.0,1.0,8750.0,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0,1.76,-4998.96,5000.0,4998.96,0.0,1.0,8800.0
