date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4997.067,312.5,4997.067,0.0,15.991,0.0,0.0,-4999.02,2500.0,4999.02,0.0,2.0,0.0,0.0,-4998.036,1000.0,4998.036,0.0,4.998,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4997.3,625.0,4997.3,0.0,7.996,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0
2019-01-02,15.965,-4997.067,312.5,4997.067,0.0,15.991,4988.958,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.384,-4998.036,1000.0,4998.036,0.0,4.998,5383.709,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,8.28,-4997.3,625.0,4997.3,0.0,7.996,5175.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-03,16.215,-4997.067,312.5,4997.067,0.0,15.991,5067.247,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.419,-4998.036,1000.0,4998.036,0.0,4.998,5419.188,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,7.99,-4997.3,625.0,4997.3,0.0,7.996,4993.75,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-04,16.397,-4997.067,312.5,4997.067,0.0,15.991,5123.94,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,5.721,-4998.036,1000.0,4998.036,0.0,4.998,5720.747,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,8.53,-4997.3,625.0,4997.3,0.0,7.996,5331.25,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-07,16.44,-4997.067,312.5,4997.067,0.0,15.991,5137.438,3.22,-4999.02,2500.0,4999.02,0.0,2.0,8050.0,5.73,-4998.036,1000.0,4998.036,0.0,4.998,5729.616,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0
2019-01-08,16.941,-4997.067,312.5,4997.067,0.0,15.991,5294.018,3.34,-4999.02,2500.0,4999.02,0.0,2.0,8350.0,5.756,-4998.036,1000.0,4998.036,0.0,4.998,5756.224,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2019-01-09,17.165,-4997.067,312.5,4997.067,0.0,15.991,5364.209,3.75,-4999.02,2500.0,4999.02,0.0,2.0,9375.0,5.845,-4998.036,1000.0,4998.036,0.0,4.998,5844.919,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2019-01-10,17.338,-4997.067,312.5,4997.067,0.0,15.991,5418.202,3.46,-4999.02,2500.0,4999.02,0.0,2.0,8650.0,6.04,-4998.036,1000.0,4998.036,0.0,4.998,6040.043,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.99,-4997.3,625.0,4997.3,0.0,7.996,5618.75,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-11,17.537,-4997.067,312.5,4997.067,0.0,15.991,5480.293,3.3,-4999.02,2500.0,4999.02,0.0,2.0,8250.0,6.067,-4998.036,1000.0,4998.036,0.0,4.998,6066.652,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,9.0,-4997.3,625.0,4997.3,0.0,7.996,5625.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-14,17.667,-4997.067,312.5,4997.067,0.0,15.991,5520.788,3.33,-4999.02,2500.0,4999.02,0.0,2.0,8325.0,6.084,-4998.036,1000.0,4998.036,0.0,4.998,6084.39,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
