date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4934.52,36.496,4934.52,0.0,135.206,0.0,0.0,-4989.16,192.308,4989.16,0.0,25.944,0.0,0.0,-4996.94,312.5,4996.94,0.0,15.99,0.0,0.0,-4996.557,263.158,4996.557,0.0,18.987,0.0,0.0,-4999.02,2500.0,4999.02,0.0,2.0,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4997.3,625.0,4997.3,0.0,7.996,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0
2019-01-02,136.7,-4934.52,36.496,4934.52,0.0,135.206,4989.051,25.99,-4989.16,192.308,4989.16,0.0,25.944,4998.077,15.965,-4996.94,312.5,4996.94,0.0,15.99,4988.957,19.777,-4996.557,263.158,4996.557,0.0,18.987,5204.358,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,8.28,-4997.3,625.0,4997.3,0.0,7.996,5175.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-03,130.6,-4934.52,36.496,4934.52,0.0,135.206,4766.424,24.73,-4989.16,192.308,4989.16,0.0,25.944,4755.769,16.215,-4996.94,312.5,4996.94,0.0,15.99,5067.247,19.849,-4996.557,263.158,4996.557,0.0,18.987,5223.549,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,7.99,-4997.3,625.0,4997.3,0.0,7.996,4993.75,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-04,139.75,-4934.52,36.496,4934.52,0.0,135.206,5100.365,26.52,-4989.16,192.308,4989.16,0.0,25.944,5100.0,16.397,-4996.94,312.5,4996.94,0.0,15.99,5123.939,20.097,-4996.557,263.158,4996.557,0.0,18.987,5288.795,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,8.53,-4997.3,625.0,4997.3,0.0,7.996,5331.25,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-07,143.1,-4934.52,36.496,4934.52,0.0,135.206,5222.628,26.86,-4989.16,192.308,4989.16,0.0,25.944,5165.385,16.44,-4996.94,312.5,4996.94,0.0,15.99,5137.438,20.455,-4996.557,263.158,4996.557,0.0,18.987,5382.826,3.22,-4999.02,2500.0,4999.02,0.0,2.0,8050.0,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0
2019-01-08,146.79,-4934.52,36.496,4934.52,0.0,135.206,5357.299,27.46,-4989.16,192.308,4989.16,0.0,25.944,5280.769,16.941,-4996.94,312.5,4996.94,0.0,15.99,5294.017,20.644,-4996.557,263.158,4996.557,0.0,18.987,5432.721,3.34,-4999.02,2500.0,4999.02,0.0,2.0,8350.0,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2019-01-09,151.92,-4934.52,36.496,4934.52,0.0,135.206,5544.525,28.95,-4989.16,192.308,4989.16,0.0,25.944,5567.308,17.165,-4996.94,312.5,4996.94,0.0,15.99,5364.21,20.834,-4996.557,263.158,4996.557,0.0,18.987,5482.615,3.75,-4999.02,2500.0,4999.02,0.0,2.0,9375.0,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2019-01-10,151.69,-4934.52,36.496,4934.52,0.0,135.206,5536.131,29.02,-4989.16,192.308,4989.16,0.0,25.944,5580.769,17.338,-4996.94,312.5,4996.94,0.0,15.99,5418.202,20.812,-4996.557,263.158,4996.557,0.0,18.987,5476.859,3.46,-4999.02,2500.0,4999.02,0.0,2.0,8650.0,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.99,-4997.3,625.0,4997.3,0.0,7.996,5618.75,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-11,151.32,-4934.52,36.496,4934.52,0.0,135.206,5522.628,29.23,-4989.16,192.308,4989.16,0.0,25.944,5621.154,17.537,-4996.94,312.5,4996.94,0.0,15.99,5480.294,20.593,-4996.557,263.158,4996.557,0.0,18.987,5419.288,3.3,-4999.02,2500.0,4999.02,0.0,2.0,8250.0,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,9.0,-4997.3,625.0,4997.3,0.0,7.996,5625.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-14,149.27,-4934.52,36.496,4934.52,0.0,135.206,5447.81,29.21,-4989.16,192.308,4989.16,0.0,25.944,5617.308,17.667,-4996.94,312.5,4996.94,0.0,15.99,5520.789,21.009,-4996.557,263.158,4996.557,0.0,18.987,5528.672,3.33,-4999.02,2500.0,4999.02,0.0,2.0,8325.0,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
