date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-01-01,0.0,-4989.16,192.308,4989.16,0.0,25.944,0.0,0.0,-4997.449,1000.0,4997.449,0.0,4.997,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0
2019-01-02,25.99,-4989.16,192.308,4989.16,0.0,25.944,4998.077,5.384,-4997.449,1000.0,4997.449,0.0,4.997,5383.71,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867
2019-01-03,24.73,-4989.16,192.308,4989.16,0.0,25.944,4755.769,5.419,-4997.449,1000.0,4997.449,0.0,4.997,5419.187,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16
2019-01-04,26.52,-4989.16,192.308,4989.16,0.0,25.944,5100.0,5.721,-4997.449,1000.0,4997.449,0.0,4.997,5720.747,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343
2019-01-07,26.86,-4989.16,192.308,4989.16,0.0,25.944,5165.385,5.73,-4997.449,1000.0,4997.449,0.0,4.997,5729.617,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196
2019-01-08,27.46,-4989.16,192.308,4989.16,0.0,25.944,5280.769,5.756,-4997.449,1000.0,4997.449,0.0,4.997,5756.224,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673
2019-01-09,28.95,-4989.16,192.308,4989.16,0.0,25.944,5567.308,5.845,-4997.449,1000.0,4997.449,0.0,4.997,5844.918,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609
2019-01-10,29.02,-4989.16,192.308,4989.16,0.0,25.944,5580.769,6.04,-4997.449,1000.0,4997.449,0.0,4.997,6040.043,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168
2019-01-11,29.23,-4989.16,192.308,4989.16,0.0,25.944,5621.154,6.067,-4997.449,1000.0,4997.449,0.0,4.997,6066.652,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039
2019-01-14,29.21,-4989.16,192.308,4989.16,0.0,25.944,5617.308,6.084,-4997.449,1000.0,4997.449,0.0,4.997,6084.391,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792
2019-01-15,30.26,-4989.16,192.308,4989.16,0.0,25.944,5819.231,6.04,-4997.449,1000.0,4997.449,0.0,4.997,6040.043,2.96,-4999.54,2500.0,4999.54,0.0,2.0,7400.0,4.662,-4998.737,1250.0,4998.737,0.0,3.999,5826.902
2019-01-16,29.97,-4989.16,192.308,4989.16,0.0,25.944,5763.461,6.084,-4997.449,1000.0,4997.449,0.0,4.997,6084.391,2.95,-4999.54,2500.0,4999.54,0.0,2.0,7375.0,4.903,-4998.737,1250.0,4998.737,0.0,3.999,6128.48
2019-01-17,29.76,-4989.16,192.308,4989.16,0.0,25.944,5723.077,6.013,-4997.449,1000.0,4997.449,0.0,4.997,6013.437,2.92,-4999.54,2500.0,4999.54,0.0,2.0,7300.0,5.11,-4998.737,1250.0,4998.737,0.0,3.999,6386.974
2019-01-18,30.19,-4989.16,192.308,4989.16,0.0,25.944,5805.769,5.978,-4997.449,1000.0,4997.449,0.0,4.997,5977.958,2.72,-4999.54,2500.0,4999.54,0.0,2.0,6800.0,5.256,-4998.737,1250.0,4998.737,0.0,3.999,6570.075
2019-01-22,31.2,-4989.16,192.308,4989.16,0.0,25.944,6000.0,5.845,-4997.449,1000.0,4997.449,0.0,4.997,5844.918,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.998,-4998.737,1250.0,4998.737,0.0,3.999,6246.957
2019-01-23,31.22,-4989.16,192.308,4989.16,0.0,25.944,6003.846,5.809,-4997.449,1000.0,4997.449,0.0,4.997,5809.44,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.084,-4998.737,1250.0,4998.737,0.0,3.999,6354.663
2019-01-24,29.81,-4989.16,192.308,4989.16,0.0,25.944,5732.692,5.942,-4997.449,1000.0,4997.449,0.0,4.997,5942.479,2.7,-4999.54,2500.0,4999.54,0.0,2.0,6750.0,5.247,-4998.737,1250.0,4998.737,0.0,3.999,6559.305
2019-01-25,30.6,-4989.16,192.308,4989.16,0.0,25.944,5884.615,6.067,-4997.449,1000.0,4997.449,0.0,4.997,6066.652,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.23,-4998.737,1250.0,4998.737,0.0,3.999,6537.763
2019-01-28,29.93,-4989.16,192.308,4989.16,0.0,25.944,5755.769,6.04,-4997.449,1000.0,4997.449,0.0,4.997,6040.043,2.75,-4999.54,2500.0,4999.54,0.0,2.0,6875.0,5.161,-4998.737,1250.0,4998.737,0.0,3.999,6451.598
2019-01-29,30.54,-4989.16,192.308,4989.16,0.0,25.944,5873.077,6.058,-4997.449,1000.0,4997.449,0.0,4.997,6057.782,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,5.394,-4998.737,1250.0,4998.737,0.0,3.999,6742.405
2019-01-30,30.21,-4989.16,192.308,4989.16,0.0,25.944,5809.615,6.082,-4997.449,1000.0,4997.449,0.0,4.997,6081.825,2.85,-4999.54,2500.0,4999.54,0.0,2.0,7125.0,5.558,-4998.737,1250.0,4998.737,0.0,3.999,6947.046
2019-01-31,31.03,-4989.16,192.308,4989.16,0.0,25.944,5967.308,6.171,-4997.449,1000.0,4997.449,0.0,4.997,6170.871,2.92,-4999.54,2500.0,4999.54,0.0,2.0,7300.0,5.687,-4998.737,1250.0,4998.737,0.0,3.999,7108.606
2019-02-01,31.06,-4989.16,192.308,4989.16,0.0,25.944,5973.077,6.126,-4997.449,1000.0,4997.449,0.0,4.997,6126.348,2.88,-4999.54,2500.0,4999.54,0.0,2.0,7200.0,5.764,-4998.737,1250.0,4998.737,0.0,3.999,7205.541
2019-02-04,31.26,-4989.16,192.308,4989.16,0.0,25.944,6011.539,6.322,-4997.449,1000.0,4997.449,0.0,4.997,6322.248,2.86,-4999.54,2500.0,4999.54,0.0,2.0,7150.0,6.238,-4998.737,1250.0,4998.737,0.0,3.999,7797.925
2019-02-05,31.7,-4989.16,192.308,4989.16,0.0,25.944,6096.154,6.385,-4997.449,1000.0,4997.449,0.0,4.997,6384.581,2.87,-4999.54,2500.0,4999.54,0.0,2.0,7175.0,7.255,-4998.737,1250.0,4998.737,0.0,3.999,9068.857
2019-02-06,31.84,-4989.16,192.308,4989.16,0.0,25.944,6123.077,6.349,-4997.449,1000.0,4997.449,0.0,4.997,6348.963,2.92,-4999.54,2500.0,4999.54,0.0,2.0,7300.0,8.487,-4998.737,1250.0,4998.737,0.0,3.999,10609.056
2019-02-07,30.9,-4989.16,192.308,4989.16,0.0,25.944,5942.308,6.313,-4997.449,1000.0,4997.449,0.0,4.997,6313.344,2.84,-4999.54,2500.0,4999.54,0.0,2.0,7100.0,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177
2019-02-08,31.68,-4989.16,192.308,4989.16,0.0,25.944,6092.308,6.287,-4997.449,1000.0,4997.449,0.0,4.997,6286.63,2.82,-4999.54,2500.0,4999.54,0.0,2.0,7050.0,7.29,-4998.737,1250.0,4998.737,0.0,3.999,9111.94
2019-02-11,32.92,-4989.16,192.308,4989.16,0.0,25.944,6330.769,6.287,-4997.449,1000.0,4997.449,0.0,4.997,6286.63,2.86,-4999.54,2500.0,4999.54,0.0,2.0,7150.0,7.453,-4998.737,1250.0,4998.737,0.0,3.999,9316.581
2019-02-12,32.91,-4989.16,192.308,4989.16,0.0,25.944,6328.846,6.358,-4997.449,1000.0,4997.449,0.0,4.997,6357.866,2.82,-4999.54,2500.0,4999.54,0.0,2.0,7050.0,7.238,-4998.737,1250.0,4998.737,0.0,3.999,9047.316
2019-02-13,33.29,-4989.16,192.308,4989.16,0.0,25.944,6401.923,6.331,-4997.449,1000.0,4997.449,0.0,4.997,6331.153,2.87,-4999.54,2500.0,4999.54,0.0,2.0,7175.0,7.091,-4998.737,1250.0,4998.737,0.0,3.999,8864.215
2019-02-14,32.74,-4989.16,192.308,4989.16,0.0,25.944,6296.154,6.34,-4997.449,1000.0,4997.449,0.0,4.997,6340.058,2.84,-4999.54,2500.0,4999.54,0.0,2.0,7100.0,7.583,-4998.737,1250.0,4998.737,0.0,3.999,9478.141
