date,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CVM_adj_close,CVM_cashflow,CVM_cml_units,CVM_cml_cost,CVM_gain_loss,CVM_avg_price,CVM_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4989.16,192.308,4989.16,0.0,25.944,0.0,0.0,-4996.558,263.158,4996.558,0.0,18.987,0.0,0.0,-4999.02,2500.0,4999.02,0.0,2.0,0.0,0.0,-4997.448,1000.0,4997.448,0.0,4.997,0.0,0.0,-4999.54,2500.0,4999.54,0.0,2.0,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0
2019-01-02,25.99,-4989.16,192.308,4989.16,0.0,25.944,4998.077,19.777,-4996.558,263.158,4996.558,0.0,18.987,5204.358,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.384,-4997.448,1000.0,4997.448,0.0,4.997,5383.711,2.89,-4999.54,2500.0,4999.54,0.0,2.0,7225.0,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-03,24.73,-4989.16,192.308,4989.16,0.0,25.944,4755.769,19.849,-4996.558,263.158,4996.558,0.0,18.987,5223.548,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.419,-4997.448,1000.0,4997.448,0.0,4.997,5419.188,2.62,-4999.54,2500.0,4999.54,0.0,2.0,6550.0,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-04,26.52,-4989.16,192.308,4989.16,0.0,25.944,5100.0,20.097,-4996.558,263.158,4996.558,0.0,18.987,5288.796,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,5.721,-4997.448,1000.0,4997.448,0.0,4.997,5720.746,2.63,-4999.54,2500.0,4999.54,0.0,2.0,6575.0,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-07,26.86,-4989.16,192.308,4989.16,0.0,25.944,5165.385,20.455,-4996.558,263.158,4996.558,0.0,18.987,5382.827,3.22,-4999.02,2500.0,4999.02,0.0,2.0,8050.0,5.73,-4997.448,1000.0,4997.448,0.0,4.997,5729.616,2.67,-4999.54,2500.0,4999.54,0.0,2.0,6675.0,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0
2019-01-08,27.46,-4989.16,192.308,4989.16,0.0,25.944,5280.769,20.644,-4996.558,263.158,4996.558,0.0,18.987,5432.721,3.34,-4999.02,2500.0,4999.02,0.0,2.0,8350.0,5.756,-4997.448,1000.0,4997.448,0.0,4.997,5756.225,2.58,-4999.54,2500.0,4999.54,0.0,2.0,6450.0,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2019-01-09,28.95,-4989.16,192.308,4989.16,0.0,25.944,5567.308,20.834,-4996.558,263.158,4996.558,0.0,18.987,5482.615,3.75,-4999.02,2500.0,4999.02,0.0,2.0,9375.0,5.845,-4997.448,1000.0,4997.448,0.0,4.997,5844.918,2.64,-4999.54,2500.0,4999.54,0.0,2.0,6600.0,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2019-01-10,29.02,-4989.16,192.308,4989.16,0.0,25.944,5580.769,20.812,-4996.558,263.158,4996.558,0.0,18.987,5476.859,3.46,-4999.02,2500.0,4999.02,0.0,2.0,8650.0,6.04,-4997.448,1000.0,4997.448,0.0,4.997,6040.043,2.74,-4999.54,2500.0,4999.54,0.0,2.0,6850.0,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-11,29.23,-4989.16,192.308,4989.16,0.0,25.944,5621.154,20.593,-4996.558,263.158,4996.558,0.0,18.987,5419.287,3.3,-4999.02,2500.0,4999.02,0.0,2.0,8250.0,6.067,-4997.448,1000.0,4997.448,0.0,4.997,6066.651,2.76,-4999.54,2500.0,4999.54,0.0,2.0,6900.0,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-14,29.21,-4989.16,192.308,4989.16,0.0,25.944,5617.308,21.009,-4996.558,263.158,4996.558,0.0,18.987,5528.671,3.33,-4999.02,2500.0,4999.02,0.0,2.0,8325.0,6.084,-4997.448,1000.0,4997.448,0.0,4.997,6084.391,2.66,-4999.54,2500.0,4999.54,0.0,2.0,6650.0,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
