date,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,DBP_adj_close,DBP_cashflow,DBP_cml_units,DBP_cml_cost,DBP_gain_loss,DBP_avg_price,DBP_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-01-01,0.0,-4995.215,384.615,4995.215,0.0,12.988,0.0,0.0,-4995.62,121.951,4995.62,0.0,40.964,0.0,0.0,-4999.54,92.593,4999.54,0.0,53.995,0.0,0.0,-4990.601,142.857,4990.601,0.0,34.934,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0
2019-01-02,13.554,-4995.215,384.615,4995.215,0.0,12.988,5213.108,41.9,-4995.62,121.951,4995.62,0.0,40.964,5109.756,53.96,-4999.54,92.593,4999.54,0.0,53.995,4996.296,35.874,-4990.601,142.857,4990.601,0.0,34.934,5124.856,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867
2019-01-03,13.587,-4995.215,384.615,4995.215,0.0,12.988,5225.777,41.28,-4995.62,121.951,4995.62,0.0,40.964,5034.146,52.33,-4999.54,92.593,4999.54,0.0,53.995,4845.371,36.308,-4990.601,142.857,4990.601,0.0,34.934,5186.907,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16
2019-01-04,14.419,-4995.215,384.615,4995.215,0.0,12.988,5545.658,41.75,-4995.62,121.951,4995.62,0.0,40.964,5091.463,55.24,-4999.54,92.593,4999.54,0.0,53.995,5114.815,36.062,-4990.601,142.857,4990.601,0.0,34.934,5151.65,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343
2019-01-07,14.633,-4995.215,384.615,4995.215,0.0,12.988,5628.003,41.13,-4995.62,121.951,4995.62,0.0,40.964,5015.854,55.35,-4999.54,92.593,4999.54,0.0,53.995,5125.0,36.131,-4990.601,142.857,4990.601,0.0,34.934,5161.522,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196
2019-01-08,15.053,-4995.215,384.615,4995.215,0.0,12.988,5789.528,40.92,-4995.62,121.951,4995.62,0.0,40.964,4990.244,55.3,-4999.54,92.593,4999.54,0.0,53.995,5120.37,36.052,-4990.601,142.857,4990.601,0.0,34.934,5150.24,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673
2019-01-09,15.448,-4995.215,384.615,4995.215,0.0,12.988,5941.55,41.88,-4995.62,121.951,4995.62,0.0,40.964,5107.317,57.33,-4999.54,92.593,4999.54,0.0,53.995,5308.334,36.259,-4990.601,142.857,4990.601,0.0,34.934,5179.855,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609
2019-01-10,15.39,-4995.215,384.615,4995.215,0.0,12.988,5919.38,40.88,-4995.62,121.951,4995.62,0.0,40.964,4985.366,57.71,-4999.54,92.593,4999.54,0.0,53.995,5343.518,36.032,-4990.601,142.857,4990.601,0.0,34.934,5147.42,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168
2019-01-11,15.168,-4995.215,384.615,4995.215,0.0,12.988,5833.867,41.08,-4995.62,121.951,4995.62,0.0,40.964,5009.756,56.96,-4999.54,92.593,4999.54,0.0,53.995,5274.074,36.071,-4990.601,142.857,4990.601,0.0,34.934,5153.061,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039
2019-01-14,15.012,-4995.215,384.615,4995.215,0.0,12.988,5773.692,40.14,-4995.62,121.951,4995.62,0.0,40.964,4895.122,56.37,-4999.54,92.593,4999.54,0.0,53.995,5219.444,36.16,-4990.601,142.857,4990.601,0.0,34.934,5165.753,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792
2019-01-15,15.333,-4995.215,384.615,4995.215,0.0,12.988,5897.211,41.5,-4995.62,121.951,4995.62,0.0,40.964,5060.976,56.48,-4999.54,92.593,4999.54,0.0,53.995,5229.63,36.032,-4990.601,142.857,4990.601,0.0,34.934,5147.42,4.662,-4998.737,1250.0,4998.737,0.0,3.999,5826.902
2019-01-16,15.456,-4995.215,384.615,4995.215,0.0,12.988,5944.717,42.35,-4995.62,121.951,4995.62,0.0,40.964,5164.634,58.07,-4999.54,92.593,4999.54,0.0,53.995,5376.852,36.17,-4990.601,142.857,4990.601,0.0,34.934,5167.163,4.903,-4998.737,1250.0,4998.737,0.0,3.999,6128.48
