date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,TAL_adj_close,TAL_cashflow,TAL_cml_units,TAL_cml_cost,TAL_gain_loss,TAL_avg_price,TAL_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,SKM_adj_close,SKM_cashflow,SKM_cml_units,SKM_cml_cost,SKM_gain_loss,SKM_avg_price,SKM_mktvalue,KEP_adj_close,KEP_cashflow,KEP_cml_units,KEP_cml_cost,KEP_gain_loss,KEP_avg_price,KEP_mktvalue,PKX_adj_close,PKX_cashflow,PKX_cml_units,PKX_cml_cost,PKX_gain_loss,PKX_avg_price,PKX_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,JP_adj_close,JP_cashflow,JP_cml_units,JP_cml_cost,JP_gain_loss,JP_avg_price,JP_mktvalue,IBA_adj_close,IBA_cashflow,IBA_cml_units,IBA_cml_cost,IBA_gain_loss,IBA_avg_price,IBA_mktvalue,MUFG_adj_close,MUFG_cashflow,MUFG_cml_units,MUFG_cml_cost,MUFG_gain_loss,MUFG_avg_price,MUFG_mktvalue,TAK_adj_close,TAK_cashflow,TAK_cml_units,TAK_cml_cost,TAK_gain_loss,TAK_avg_price,TAK_mktvalue,AMIH_adj_close,AMIH_cashflow,AMIH_cml_units,AMIH_cml_cost,AMIH_gain_loss,AMIH_avg_price,AMIH_mktvalue
2019-01-01,0.0,-4934.52,36.496,4934.52,0.0,135.206,0.0,0.0,-4989.16,192.308,4989.16,0.0,25.944,0.0,0.0,-4995.214,384.615,4995.214,0.0,12.988,0.0,0.0,-4984.8,192.308,4984.8,0.0,25.921,0.0,0.0,-4985.5,357.143,4985.5,0.0,13.959,0.0,0.0,-4999.54,92.593,4999.54,0.0,53.995,0.0,0.0,-4997.449,1000.0,4997.449,0.0,4.997,0.0,0.0,-4995.82,1250.0,4995.82,0.0,3.997,0.0,0.0,-4977.545,135.135,4977.545,0.0,36.834,0.0,0.0,-4996.62,1250.0,4996.62,0.0,3.997,0.0,0.0,-4995.54,312.5,4995.54,0.0,15.986,0.0,0.0,-4999.2,2500.0,4999.2,0.0,2.0,0.0
2019-01-02,136.7,-4934.52,36.496,4934.52,0.0,135.206,4989.051,25.99,-4989.16,192.308,4989.16,0.0,25.944,4998.077,13.554,-4995.214,384.615,4995.214,0.0,12.988,5213.108,26.89,-4984.8,192.308,4984.8,0.0,25.921,5171.154,15.03,-4985.5,357.143,4985.5,0.0,13.959,5367.857,53.96,-4999.54,92.593,4999.54,0.0,53.995,4996.296,5.384,-4997.449,1000.0,4997.449,0.0,4.997,5383.711,4.31,-4995.82,1250.0,4995.82,0.0,3.997,5387.5,38.551,-4977.545,135.135,4977.545,0.0,36.834,5209.586,4.96,-4996.62,1250.0,4996.62,0.0,3.997,6200.0,16.82,-4995.54,312.5,4995.54,0.0,15.986,5256.25,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-03,130.6,-4934.52,36.496,4934.52,0.0,135.206,4766.424,24.73,-4989.16,192.308,4989.16,0.0,25.944,4755.769,13.587,-4995.214,384.615,4995.214,0.0,12.988,5225.777,26.79,-4984.8,192.308,4984.8,0.0,25.921,5151.923,15.31,-4985.5,357.143,4985.5,0.0,13.959,5467.857,52.33,-4999.54,92.593,4999.54,0.0,53.995,4845.371,5.419,-4997.449,1000.0,4997.449,0.0,4.997,5419.188,4.28,-4995.82,1250.0,4995.82,0.0,3.997,5350.0,37.908,-4977.545,135.135,4977.545,0.0,36.834,5122.652,4.9,-4996.62,1250.0,4996.62,0.0,3.997,6125.0,16.7,-4995.54,312.5,4995.54,0.0,15.986,5218.75,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-04,139.75,-4934.52,36.496,4934.52,0.0,135.206,5100.365,26.52,-4989.16,192.308,4989.16,0.0,25.944,5100.0,14.419,-4995.214,384.615,4995.214,0.0,12.988,5545.658,27.52,-4984.8,192.308,4984.8,0.0,25.921,5292.308,15.0,-4985.5,357.143,4985.5,0.0,13.959,5357.143,55.24,-4999.54,92.593,4999.54,0.0,53.995,5114.815,5.721,-4997.449,1000.0,4997.449,0.0,4.997,5720.746,4.29,-4995.82,1250.0,4995.82,0.0,3.997,5362.5,39.686,-4977.545,135.135,4977.545,0.0,36.834,5362.996,5.15,-4996.62,1250.0,4996.62,0.0,3.997,6437.5,17.79,-4995.54,312.5,4995.54,0.0,15.986,5559.375,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-07,143.1,-4934.52,36.496,4934.52,0.0,135.206,5222.628,26.86,-4989.16,192.308,4989.16,0.0,25.944,5165.385,14.633,-4995.214,384.615,4995.214,0.0,12.988,5628.003,27.48,-4984.8,192.308,4984.8,0.0,25.921,5284.615,15.07,-4985.5,357.143,4985.5,0.0,13.959,5382.143,55.35,-4999.54,92.593,4999.54,0.0,53.995,5125.0,5.73,-4997.449,1000.0,4997.449,0.0,4.997,5729.616,4.15,-4995.82,1250.0,4995.82,0.0,3.997,5187.5,39.421,-4977.545,135.135,4977.545,0.0,36.834,5327.2,5.11,-4996.62,1250.0,4996.62,0.0,3.997,6387.5,18.58,-4995.54,312.5,4995.54,0.0,15.986,5806.25,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-08,146.79,-4934.52,36.496,4934.52,0.0,135.206,5357.299,27.46,-4989.16,192.308,4989.16,0.0,25.944,5280.769,15.053,-4995.214,384.615,4995.214,0.0,12.988,5789.528,27.36,-4984.8,192.308,4984.8,0.0,25.921,5261.539,15.7,-4985.5,357.143,4985.5,0.0,13.959,5607.143,55.3,-4999.54,92.593,4999.54,0.0,53.995,5120.37,5.756,-4997.449,1000.0,4997.449,0.0,4.997,5756.223,4.08,-4995.82,1250.0,4995.82,0.0,3.997,5100.0,39.771,-4977.545,135.135,4977.545,0.0,36.834,5374.502,5.17,-4996.62,1250.0,4996.62,0.0,3.997,6462.5,19.0,-4995.54,312.5,4995.54,0.0,15.986,5937.5,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-09,151.92,-4934.52,36.496,4934.52,0.0,135.206,5544.525,28.95,-4989.16,192.308,4989.16,0.0,25.944,5567.308,15.448,-4995.214,384.615,4995.214,0.0,12.988,5941.551,27.0,-4984.8,192.308,4984.8,0.0,25.921,5192.308,14.79,-4985.5,357.143,4985.5,0.0,13.959,5282.143,57.33,-4999.54,92.593,4999.54,0.0,53.995,5308.334,5.845,-4997.449,1000.0,4997.449,0.0,4.997,5844.917,4.22,-4995.82,1250.0,4995.82,0.0,3.997,5275.0,40.831,-4977.545,135.135,4977.545,0.0,36.834,5517.686,5.15,-4996.62,1250.0,4996.62,0.0,3.997,6437.5,19.21,-4995.54,312.5,4995.54,0.0,15.986,6003.125,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-10,151.69,-4934.52,36.496,4934.52,0.0,135.206,5536.131,29.02,-4989.16,192.308,4989.16,0.0,25.944,5580.769,15.39,-4995.214,384.615,4995.214,0.0,12.988,5919.38,27.0,-4984.8,192.308,4984.8,0.0,25.921,5192.308,15.49,-4985.5,357.143,4985.5,0.0,13.959,5532.143,57.71,-4999.54,92.593,4999.54,0.0,53.995,5343.518,6.04,-4997.449,1000.0,4997.449,0.0,4.997,6040.043,4.07,-4995.82,1250.0,4995.82,0.0,3.997,5087.5,40.869,-4977.545,135.135,4977.545,0.0,36.834,5522.8,5.23,-4996.62,1250.0,4996.62,0.0,3.997,6537.5,19.13,-4995.54,312.5,4995.54,0.0,15.986,5978.125,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-11,151.32,-4934.52,36.496,4934.52,0.0,135.206,5522.628,29.23,-4989.16,192.308,4989.16,0.0,25.944,5621.154,15.168,-4995.214,384.615,4995.214,0.0,12.988,5833.867,26.41,-4984.8,192.308,4984.8,0.0,25.921,5078.846,15.37,-4985.5,357.143,4985.5,0.0,13.959,5489.286,56.96,-4999.54,92.593,4999.54,0.0,53.995,5274.074,6.067,-4997.449,1000.0,4997.449,0.0,4.997,6066.652,4.05,-4995.82,1250.0,4995.82,0.0,3.997,5062.5,42.117,-4977.545,135.135,4977.545,0.0,36.834,5691.552,5.26,-4996.62,1250.0,4996.62,0.0,3.997,6575.0,20.02,-4995.54,312.5,4995.54,0.0,15.986,6256.25,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
2019-01-14,149.27,-4934.52,36.496,4934.52,0.0,135.206,5447.81,29.21,-4989.16,192.308,4989.16,0.0,25.944,5617.308,15.012,-4995.214,384.615,4995.214,0.0,12.988,5773.691,26.44,-4984.8,192.308,4984.8,0.0,25.921,5084.615,15.24,-4985.5,357.143,4985.5,0.0,13.959,5442.857,56.37,-4999.54,92.593,4999.54,0.0,53.995,5219.444,6.084,-4997.449,1000.0,4997.449,0.0,4.997,6084.391,3.89,-4995.82,1250.0,4995.82,0.0,3.997,4862.5,43.187,-4977.545,135.135,4977.545,0.0,36.834,5836.014,5.26,-4996.62,1250.0,4996.62,0.0,3.997,6575.0,20.08,-4995.54,312.5,4995.54,0.0,15.986,6275.0,2.4,-4999.2,2500.0,4999.2,0.0,2.0,6000.0
