date,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue
2019-01-01,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0
2019-01-02,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867
2019-01-03,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16
2019-01-04,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343
2019-01-07,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196
2019-01-08,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673
2019-01-09,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609
2019-01-10,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168
2019-01-11,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039
2019-01-14,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792
2019-01-15,4.662,-4998.737,1250.0,4998.737,0.0,3.999,5826.902
2019-01-16,4.903,-4998.737,1250.0,4998.737,0.0,3.999,6128.48
2019-01-17,5.11,-4998.737,1250.0,4998.737,0.0,3.999,6386.974
2019-01-18,5.256,-4998.737,1250.0,4998.737,0.0,3.999,6570.075
2019-01-22,4.998,-4998.737,1250.0,4998.737,0.0,3.999,6246.957
2019-01-23,5.084,-4998.737,1250.0,4998.737,0.0,3.999,6354.663
2019-01-24,5.247,-4998.737,1250.0,4998.737,0.0,3.999,6559.305
2019-01-25,5.23,-4998.737,1250.0,4998.737,0.0,3.999,6537.763
2019-01-28,5.161,-4998.737,1250.0,4998.737,0.0,3.999,6451.598
2019-01-29,5.394,-4998.737,1250.0,4998.737,0.0,3.999,6742.405
2019-01-30,5.558,-4998.737,1250.0,4998.737,0.0,3.999,6947.046
2019-01-31,5.687,-4998.737,1250.0,4998.737,0.0,3.999,7108.606
2019-02-01,5.764,-4998.737,1250.0,4998.737,0.0,3.999,7205.541
2019-02-04,6.238,-4998.737,1250.0,4998.737,0.0,3.999,7797.925
2019-02-05,7.255,-4998.737,1250.0,4998.737,0.0,3.999,9068.857
2019-02-06,8.487,-4998.737,1250.0,4998.737,0.0,3.999,10609.056
2019-02-07,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177
2019-02-08,7.29,-4998.737,1250.0,4998.737,0.0,3.999,9111.94
2019-02-11,7.453,-4998.737,1250.0,4998.737,0.0,3.999,9316.581
2019-02-12,7.238,-4998.737,1250.0,4998.737,0.0,3.999,9047.316
2019-02-13,7.091,-4998.737,1250.0,4998.737,0.0,3.999,8864.215
2019-02-14,7.583,-4998.737,1250.0,4998.737,0.0,3.999,9478.141
2019-02-15,7.462,-4998.737,1250.0,4998.737,0.0,3.999,9327.352
2019-02-19,7.402,-4998.737,1250.0,4998.737,0.0,3.999,9251.958
2019-02-20,7.358,-4998.737,1250.0,4998.737,0.0,3.999,9198.105
2019-02-21,7.307,-4998.737,1250.0,4998.737,0.0,3.999,9133.481
2019-02-22,7.333,-4998.737,1250.0,4998.737,0.0,3.999,9165.793
2019-02-25,7.014,-4998.737,1250.0,4998.737,0.0,3.999,8767.281
2019-02-26,7.143,-4998.737,1250.0,4998.737,0.0,3.999,8928.84
2019-02-27,6.85,-4998.737,1250.0,4998.737,0.0,3.999,8562.638
2019-02-28,6.833,-4998.737,1250.0,4998.737,0.0,3.999,8541.097
2019-03-01,8.048,-4998.737,1250.0,4998.737,0.0,3.999,10059.754
2019-03-04,7.979,-4998.737,1250.0,4998.737,0.0,3.999,9973.589
2019-03-05,8.22,-4998.737,1250.0,4998.737,0.0,3.999,10275.166
2019-03-06,7.97,-4998.737,1250.0,4998.737,0.0,3.999,9962.819
2019-03-07,8.651,-4998.737,1250.0,4998.737,0.0,3.999,10813.696
2019-03-08,9.271,-4998.737,1250.0,4998.737,0.0,3.999,11589.181
2019-03-11,8.66,-4998.737,1250.0,4998.737,0.0,3.999,10824.468
2019-03-12,8.599,-4998.737,1250.0,4998.737,0.0,3.999,10749.073
2019-03-13,8.28,-4998.737,1250.0,4998.737,0.0,3.999,10350.56
2019-03-14,7.832,-4998.737,1250.0,4998.737,0.0,3.999,9790.488
2019-03-15,7.901,-4998.737,1250.0,4998.737,0.0,3.999,9876.654
2019-03-18,8.479,-4998.737,1250.0,4998.737,0.0,3.999,10598.285
2019-03-19,9.133,-4998.737,1250.0,4998.737,0.0,3.999,11416.851
2019-03-20,9.478,-4998.737,1250.0,4998.737,0.0,3.999,11847.676
2019-03-21,10.012,-4998.737,1250.0,4998.737,0.0,3.999,12515.454
2019-03-22,9.426,-4998.737,1250.0,4998.737,0.0,3.999,11783.051
2019-03-25,9.065,-4998.737,1250.0,4998.737,0.0,3.999,11330.687
2019-03-26,9.392,-4998.737,1250.0,4998.737,0.0,3.999,11739.969
2019-03-27,9.616,-4998.737,1250.0,4998.737,0.0,3.999,12020.005
2019-03-28,9.289,-4998.737,1250.0,4998.737,0.0,3.999,11610.723
2019-03-29,9.495,-4998.737,1250.0,4998.737,0.0,3.999,11869.217
2019-04-01,9.711,-4998.737,1250.0,4998.737,0.0,3.999,12138.484
2019-04-02,9.383,-4998.737,1250.0,4998.737,0.0,3.999,11729.2
2019-04-03,9.444,-4998.737,1250.0,4998.737,0.0,3.999,11804.594
2019-04-04,8.866,-4998.737,1250.0,4998.737,0.0,3.999,11082.963
2019-04-05,8.634,-4998.737,1250.0,4998.737,0.0,3.999,10792.156
2019-04-08,8.427,-4998.737,1250.0,4998.737,0.0,3.999,10533.661
2019-04-09,8.143,-4998.737,1250.0,4998.737,0.0,3.999,10178.231
2019-04-10,8.255,-4998.737,1250.0,4998.737,0.0,3.999,10318.248
2019-04-11,8.151,-4998.737,1250.0,4998.737,0.0,3.999,10189.002
2019-04-12,7.867,-4998.737,1250.0,4998.737,0.0,3.999,9833.571
2019-04-15,7.746,-4998.737,1250.0,4998.737,0.0,3.999,9682.782
2019-04-16,7.591,-4998.737,1250.0,4998.737,0.0,3.999,9488.912
2019-04-17,7.462,-4998.737,1250.0,4998.737,0.0,3.999,9327.352
2019-04-18,7.496,-4998.737,1250.0,4998.737,0.0,3.999,9370.434
2019-04-22,7.858,-4998.737,1250.0,4998.737,0.0,3.999,9822.8
2019-04-23,8.108,-4998.737,1250.0,4998.737,0.0,3.999,10135.148
2019-04-24,7.919,-4998.737,1250.0,4998.737,0.0,3.999,9898.194
2019-04-25,8.186,-4998.737,1250.0,4998.737,0.0,3.999,10232.084
2019-04-26,8.186,-4998.737,1250.0,4998.737,0.0,3.999,10232.084
2019-04-29,8.125,-4998.737,1250.0,4998.737,0.0,3.999,10156.69
2019-04-30,7.677,-4998.737,1250.0,4998.737,0.0,3.999,9596.617
2019-05-01,7.539,-4998.737,1250.0,4998.737,0.0,3.999,9424.288
2019-05-02,7.936,-4998.737,1250.0,4998.737,0.0,3.999,9919.736
2019-05-03,7.927,-4998.737,1250.0,4998.737,0.0,3.999,9908.965
2019-05-06,7.919,-4998.737,1250.0,4998.737,0.0,3.999,9898.194
2019-05-07,7.884,-4998.737,1250.0,4998.737,0.0,3.999,9855.112
2019-05-08,8.186,-4998.737,1250.0,4998.737,0.0,3.999,10232.084
2019-05-09,8.039,-4998.737,1250.0,4998.737,0.0,3.999,10048.983
2019-05-10,8.453,-4998.737,1250.0,4998.737,0.0,3.999,10565.974
2019-05-13,8.082,-4998.737,1250.0,4998.737,0.0,3.999,10102.836
2019-05-14,7.97,-4998.737,1250.0,4998.737,0.0,3.999,9962.819
2019-05-15,8.1,-4998.737,1250.0,4998.737,0.0,3.999,10124.377
2019-05-16,7.962,-4998.737,1250.0,4998.737,0.0,3.999,9952.047
2019-05-17,7.824,-4998.737,1250.0,4998.737,0.0,3.999,9779.718
2019-05-20,7.712,-4998.737,1250.0,4998.737,0.0,3.999,9639.699
2019-05-21,7.919,-4998.737,1250.0,4998.737,0.0,3.999,9898.194
2019-05-22,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177
2019-05-23,7.686,-4998.737,1250.0,4998.737,0.0,3.999,9607.388
2019-05-24,7.763,-4998.737,1250.0,4998.737,0.0,3.999,9704.324
2019-05-28,7.807,-4998.737,1250.0,4998.737,0.0,3.999,9758.177
2019-05-29,7.557,-4998.737,1250.0,4998.737,0.0,3.999,9445.829
2019-05-30,7.824,-4998.737,1250.0,4998.737,0.0,3.999,9779.718
2019-05-31,6.204,-4998.737,1250.0,4998.737,0.0,3.999,7754.842
2019-06-03,6.497,-4998.737,1250.0,4998.737,0.0,3.999,8121.043
2019-06-04,6.135,-4998.737,1250.0,4998.737,0.0,3.999,7668.678
2019-06-05,6.126,-4998.737,1250.0,4998.737,0.0,3.999,7657.907
2019-06-06,6.583,-4998.737,1250.0,4998.737,0.0,3.999,8228.749
2019-06-07,6.721,-4998.737,1250.0,4998.737,0.0,3.999,8401.079
2019-06-10,6.195,-4998.737,1250.0,4998.737,0.0,3.999,7744.072
2019-06-11,6.118,-4998.737,1250.0,4998.737,0.0,3.999,7647.136
2019-06-12,6.144,-4998.737,1250.0,4998.737,0.0,3.999,7679.448
2019-06-13,6.023,-4998.737,1250.0,4998.737,0.0,3.999,7528.659
2019-06-14,6.161,-4998.737,1250.0,4998.737,0.0,3.999,7700.989
2019-06-17,6.273,-4998.737,1250.0,4998.737,0.0,3.999,7841.008
2019-06-18,6.6,-4998.737,1250.0,4998.737,0.0,3.999,8250.291
2019-06-19,6.376,-4998.737,1250.0,4998.737,0.0,3.999,7970.255
2019-06-20,6.325,-4998.737,1250.0,4998.737,0.0,3.999,7905.631
2019-06-21,6.497,-4998.737,1250.0,4998.737,0.0,3.999,8121.043
2019-06-24,6.333,-4998.737,1250.0,4998.737,0.0,3.999,7916.402
2019-06-25,6.462,-4998.737,1250.0,4998.737,0.0,3.999,8077.961
2019-06-26,6.281,-4998.737,1250.0,4998.737,0.0,3.999,7851.778
2019-06-27,6.419,-4998.737,1250.0,4998.737,0.0,3.999,8024.108
