date,VICI_adj_close,VICI_cashflow,VICI_cml_units,VICI_cml_cost,VICI_gain_loss,VICI_avg_price,VICI_mktvalue,SUN_adj_close,SUN_cashflow,SUN_cml_units,SUN_cml_cost,SUN_gain_loss,SUN_avg_price,SUN_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,CLMT_adj_close,CLMT_cashflow,CLMT_cml_units,CLMT_cml_cost,CLMT_gain_loss,CLMT_avg_price,CLMT_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,XBIT_adj_close,XBIT_cashflow,XBIT_cml_units,XBIT_cml_cost,XBIT_gain_loss,XBIT_avg_price,XBIT_mktvalue,FRHC_adj_close,FRHC_cashflow,FRHC_cml_units,FRHC_cml_cost,FRHC_gain_loss,FRHC_avg_price,FRHC_mktvalue,TOGL_adj_close,TOGL_cashflow,TOGL_cml_units,TOGL_cml_cost,TOGL_gain_loss,TOGL_avg_price,TOGL_mktvalue
2019-01-01,0.0,-4996.939,312.5,4996.939,0.0,15.99,0.0,0.0,-4996.558,263.158,4996.558,0.0,18.987,0.0,0.0,-4968.993,142.857,4968.993,0.0,34.783,0.0,0.0,-4999.02,2500.0,4999.02,0.0,2.0,0.0,0.0,-4997.449,1000.0,4997.449,0.0,4.997,0.0,0.0,-4998.737,1250.0,4998.737,0.0,3.999,0.0,0.0,-4997.3,625.0,4997.3,0.0,7.996,0.0,0.0,-4998.0,833.333,4998.0,0.0,5.998,0.0
2019-01-02,15.965,-4996.939,312.5,4996.939,0.0,15.99,4988.957,19.777,-4996.558,263.158,4996.558,0.0,18.987,5204.358,36.902,-4968.993,142.857,4968.993,0.0,34.783,5271.748,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.384,-4997.449,1000.0,4997.449,0.0,4.997,5383.71,4.437,-4998.737,1250.0,4998.737,0.0,3.999,5546.867,8.28,-4997.3,625.0,4997.3,0.0,7.996,5175.0,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-03,16.215,-4996.939,312.5,4996.939,0.0,15.99,5067.248,19.849,-4996.558,263.158,4996.558,0.0,18.987,5223.549,36.677,-4968.993,142.857,4968.993,0.0,34.783,5239.578,2.41,-4999.02,2500.0,4999.02,0.0,2.0,6025.0,5.419,-4997.449,1000.0,4997.449,0.0,4.997,5419.188,4.351,-4998.737,1250.0,4998.737,0.0,3.999,5439.16,7.99,-4997.3,625.0,4997.3,0.0,7.996,4993.75,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-04,16.397,-4996.939,312.5,4996.939,0.0,15.99,5123.94,20.097,-4996.558,263.158,4996.558,0.0,18.987,5288.796,38.263,-4968.993,142.857,4968.993,0.0,34.783,5466.103,2.68,-4999.02,2500.0,4999.02,0.0,2.0,6700.0,5.721,-4997.449,1000.0,4997.449,0.0,4.997,5720.747,4.532,-4998.737,1250.0,4998.737,0.0,3.999,5665.343,8.53,-4997.3,625.0,4997.3,0.0,7.996,5331.25,6.8,-4998.0,833.333,4998.0,0.0,5.998,5666.667
2019-01-07,16.44,-4996.939,312.5,4996.939,0.0,15.99,5137.439,20.455,-4996.558,263.158,4996.558,0.0,18.987,5382.827,38.178,-4968.993,142.857,4968.993,0.0,34.783,5454.04,3.22,-4999.02,2500.0,4999.02,0.0,2.0,8050.0,5.73,-4997.449,1000.0,4997.449,0.0,4.997,5729.615,4.575,-4998.737,1250.0,4998.737,0.0,3.999,5719.196,8.64,-4997.3,625.0,4997.3,0.0,7.996,5400.0,6.0,-4998.0,833.333,4998.0,0.0,5.998,5000.0
2019-01-08,16.941,-4996.939,312.5,4996.939,0.0,15.99,5294.018,20.644,-4996.558,263.158,4996.558,0.0,18.987,5432.721,38.966,-4968.993,142.857,4968.993,0.0,34.783,5566.633,3.34,-4999.02,2500.0,4999.02,0.0,2.0,8350.0,5.756,-4997.449,1000.0,4997.449,0.0,4.997,5756.224,4.67,-4998.737,1250.0,4998.737,0.0,3.999,5837.673,8.82,-4997.3,625.0,4997.3,0.0,7.996,5512.5,7.0,-4998.0,833.333,4998.0,0.0,5.998,5833.333
2019-01-09,17.165,-4996.939,312.5,4996.939,0.0,15.99,5364.209,20.834,-4996.558,263.158,4996.558,0.0,18.987,5482.615,40.421,-4968.993,142.857,4968.993,0.0,34.783,5774.394,3.75,-4999.02,2500.0,4999.02,0.0,2.0,9375.0,5.845,-4997.449,1000.0,4997.449,0.0,4.997,5844.917,4.748,-4998.737,1250.0,4998.737,0.0,3.999,5934.609,8.9,-4997.3,625.0,4997.3,0.0,7.996,5562.5,7.5,-4998.0,833.333,4998.0,0.0,5.998,6250.0
2019-01-10,17.338,-4996.939,312.5,4996.939,0.0,15.99,5418.202,20.812,-4996.558,263.158,4996.558,0.0,18.987,5476.858,40.646,-4968.993,142.857,4968.993,0.0,34.783,5806.563,3.46,-4999.02,2500.0,4999.02,0.0,2.0,8650.0,6.04,-4997.449,1000.0,4997.449,0.0,4.997,6040.043,4.877,-4998.737,1250.0,4998.737,0.0,3.999,6096.168,8.99,-4997.3,625.0,4997.3,0.0,7.996,5618.75,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-11,17.537,-4996.939,312.5,4996.939,0.0,15.99,5480.294,20.593,-4996.558,263.158,4996.558,0.0,18.987,5419.288,40.796,-4968.993,142.857,4968.993,0.0,34.783,5828.009,3.3,-4999.02,2500.0,4999.02,0.0,2.0,8250.0,6.067,-4997.449,1000.0,4997.449,0.0,4.997,6066.651,5.032,-4998.737,1250.0,4998.737,0.0,3.999,6290.039,9.0,-4997.3,625.0,4997.3,0.0,7.996,5625.0,8.0,-4998.0,833.333,4998.0,0.0,5.998,6666.667
2019-01-14,17.667,-4996.939,312.5,4996.939,0.0,15.99,5520.789,21.009,-4996.558,263.158,4996.558,0.0,18.987,5528.671,40.909,-4968.993,142.857,4968.993,0.0,34.783,5844.093,3.33,-4999.02,2500.0,4999.02,0.0,2.0,8325.0,6.084,-4997.449,1000.0,4997.449,0.0,4.997,6084.391,4.929,-4998.737,1250.0,4998.737,0.0,3.999,6160.792,8.95,-4997.3,625.0,4997.3,0.0,7.996,5593.75,8.1,-4998.0,833.333,4998.0,0.0,5.998,6750.0
