date,USO_adj_close,USO_cashflow,USO_cml_units,USO_cml_cost,USO_gain_loss,USO_avg_price,USO_mktvalue,ADAP_adj_close,ADAP_cashflow,ADAP_cml_units,ADAP_cml_cost,ADAP_gain_loss,ADAP_avg_price,ADAP_mktvalue,WINR_adj_close,WINR_cashflow,WINR_cml_units,WINR_cml_cost,WINR_gain_loss,WINR_avg_price,WINR_mktvalue,PETV_adj_close,PETV_cashflow,PETV_cml_units,PETV_cml_cost,PETV_gain_loss,PETV_avg_price,PETV_mktvalue
2020-01-01,0.0,-4919.04,49.02,4919.04,0.0,100.348,0.0,0.0,-4999.2,5000.0,4999.2,0.0,1.0,0.0,0.0,-4993.92,625.0,4993.92,0.0,7.99,0.0,0.0,-4999.072,5000.0,4999.072,0.0,1.0,0.0
2020-01-02,102.48,-4919.04,49.02,4919.04,0.0,100.348,5023.53,1.22,-4999.2,5000.0,4999.2,0.0,1.0,6100.0,8.16,-4993.92,625.0,4993.92,0.0,7.99,5100.0,1.92,-4999.072,5000.0,4999.072,0.0,1.0,9600.0
2020-01-03,105.44,-4919.04,49.02,4919.04,0.0,100.348,5168.628,1.2,-4999.2,5000.0,4999.2,0.0,1.0,6000.0,8.16,-4993.92,625.0,4993.92,0.0,7.99,5100.0,1.8,-4999.072,5000.0,4999.072,0.0,1.0,9000.0
2020-01-06,105.28,-4919.04,49.02,4919.04,0.0,100.348,5160.784,1.21,-4999.2,5000.0,4999.2,0.0,1.0,6050.0,8.24,-4993.92,625.0,4993.92,0.0,7.99,5150.0,1.8,-4999.072,5000.0,4999.072,0.0,1.0,9000.0
2020-01-07,105.04,-4919.04,49.02,4919.04,0.0,100.348,5149.02,1.27,-4999.2,5000.0,4999.2,0.0,1.0,6350.0,8.08,-4993.92,625.0,4993.92,0.0,7.99,5050.0,1.8,-4999.072,5000.0,4999.072,0.0,1.0,9000.0
2020-01-08,101.28,-4919.04,49.02,4919.04,0.0,100.348,4964.706,1.26,-4999.2,5000.0,4999.2,0.0,1.0,6300.0,8.0,-4993.92,625.0,4993.92,0.0,7.99,5000.0,1.8,-4999.072,5000.0,4999.072,0.0,1.0,9000.0
2020-01-09,99.92,-4919.04,49.02,4919.04,0.0,100.348,4898.039,1.37,-4999.2,5000.0,4999.2,0.0,1.0,6850.0,7.92,-4993.92,625.0,4993.92,0.0,7.99,4950.0,1.8,-4999.072,5000.0,4999.072,0.0,1.0,9000.0
2020-01-10,99.28,-4919.04,49.02,4919.04,0.0,100.348,4866.667,1.33,-4999.2,5000.0,4999.2,0.0,1.0,6650.0,8.0,-4993.92,625.0,4993.92,0.0,7.99,5000.0,1.44,-4999.072,5000.0,4999.072,0.0,1.0,7200.0
2020-01-13,97.6,-4919.04,49.02,4919.04,0.0,100.348,4784.314,3.99,-4999.2,5000.0,4999.2,0.0,1.0,19950.0,7.2,-4993.92,625.0,4993.92,0.0,7.99,4500.0,1.576,-4999.072,5000.0,4999.072,0.0,1.0,7880.0
2020-01-14,98.24,-4919.04,49.02,4919.04,0.0,100.348,4815.686,4.04,-4999.2,5000.0,4999.2,0.0,1.0,20200.0,8.0,-4993.92,625.0,4993.92,0.0,7.99,5000.0,1.576,-4999.072,5000.0,4999.072,0.0,1.0,7880.0
2020-01-15,97.44,-4919.04,49.02,4919.04,0.0,100.348,4776.471,4.44,-4999.2,5000.0,4999.2,0.0,1.0,22200.0,8.8,-4993.92,625.0,4993.92,0.0,7.99,5500.0,1.68,-4999.072,5000.0,4999.072,0.0,1.0,8400.0
2020-01-16,98.32,-4919.04,49.02,4919.04,0.0,100.348,4819.608,4.49,-4999.2,5000.0,4999.2,0.0,1.0,22449.999,7.2,-4993.92,625.0,4993.92,0.0,7.99,4500.0,1.96,-4999.072,5000.0,4999.072,0.0,1.0,9800.0
2020-01-17,98.64,-4919.04,49.02,4919.04,0.0,100.348,4835.294,4.52,-4999.2,5000.0,4999.2,0.0,1.0,22600.0,6.48,-4993.92,625.0,4993.92,0.0,7.99,4050.0,1.96,-4999.072,5000.0,4999.072,0.0,1.0,9800.0
2020-01-21,97.92,-4919.04,49.02,4919.04,0.0,100.348,4800.0,4.14,-4999.2,5000.0,4999.2,0.0,1.0,20699.999,8.24,-4993.92,625.0,4993.92,0.0,7.99,5150.0,1.96,-4999.072,5000.0,4999.072,0.0,1.0,9800.0
2020-01-22,95.2,-4919.04,49.02,4919.04,0.0,100.348,4666.667,4.0,-4999.2,5000.0,4999.2,0.0,1.0,20000.0,9.04,-4993.92,625.0,4993.92,0.0,7.99,5650.0,2.16,-4999.072,5000.0,4999.072,0.0,1.0,10800.0
2020-01-23,93.28,-4919.04,49.02,4919.04,0.0,100.348,4572.549,4.03,-4999.2,5000.0,4999.2,0.0,1.0,20150.001,9.04,-4993.92,625.0,4993.92,0.0,7.99,5650.0,2.16,-4999.072,5000.0,4999.072,0.0,1.0,10800.0
2020-01-24,91.44,-4919.04,49.02,4919.04,0.0,100.348,4482.353,3.92,-4999.2,5000.0,4999.2,0.0,1.0,19600.0,7.24,-4993.92,625.0,4993.92,0.0,7.99,4525.0,2.16,-4999.072,5000.0,4999.072,0.0,1.0,10800.0
2020-01-27,88.8,-4919.04,49.02,4919.04,0.0,100.348,4352.941,3.68,-4999.2,5000.0,4999.2,0.0,1.0,18400.0,7.64,-4993.92,625.0,4993.92,0.0,7.99,4775.0,2.08,-4999.072,5000.0,4999.072,0.0,1.0,10400.0
2020-01-28,90.0,-4919.04,49.02,4919.04,0.0,100.348,4411.765,3.96,-4999.2,5000.0,4999.2,0.0,1.0,19800.0,7.64,-4993.92,625.0,4993.92,0.0,7.99,4775.0,2.08,-4999.072,5000.0,4999.072,0.0,1.0,10400.0
2020-01-29,89.28,-4919.04,49.02,4919.04,0.0,100.348,4376.471,4.05,-4999.2,5000.0,4999.2,0.0,1.0,20250.001,7.6,-4993.92,625.0,4993.92,0.0,7.99,4750.0,2.08,-4999.072,5000.0,4999.072,0.0,1.0,10400.0
2020-01-30,88.64,-4919.04,49.02,4919.04,0.0,100.348,4345.098,4.0,-4999.2,5000.0,4999.2,0.0,1.0,20000.0,7.84,-4993.92,625.0,4993.92,0.0,7.99,4900.0,2.12,-4999.072,5000.0,4999.072,0.0,1.0,10599.999
2020-01-31,86.72,-4919.04,49.02,4919.04,0.0,100.348,4250.98,3.9,-4999.2,5000.0,4999.2,0.0,1.0,19500.0,8.08,-4993.92,625.0,4993.92,0.0,7.99,5050.0,2.12,-4999.072,5000.0,4999.072,0.0,1.0,10599.999
2020-02-03,83.92,-4919.04,49.02,4919.04,0.0,100.348,4113.725,4.04,-4999.2,5000.0,4999.2,0.0,1.0,20200.0,8.08,-4993.92,625.0,4993.92,0.0,7.99,5050.0,2.12,-4999.072,5000.0,4999.072,0.0,1.0,10599.999
2020-02-04,83.52,-4919.04,49.02,4919.04,0.0,100.348,4094.117,4.04,-4999.2,5000.0,4999.2,0.0,1.0,20200.0,8.4,-4993.92,625.0,4993.92,0.0,7.99,5250.0,1.96,-4999.072,5000.0,4999.072,0.0,1.0,9800.0
2020-02-05,85.6,-4919.04,49.02,4919.04,0.0,100.348,4196.078,4.5,-4999.2,5000.0,4999.2,0.0,1.0,22500.0,8.64,-4993.92,625.0,4993.92,0.0,7.99,5400.0,2.12,-4999.072,5000.0,4999.072,0.0,1.0,10599.999
2020-02-06,85.92,-4919.04,49.02,4919.04,0.0,100.348,4211.765,4.15,-4999.2,5000.0,4999.2,0.0,1.0,20750.0,8.64,-4993.92,625.0,4993.92,0.0,7.99,5400.0,2.2,-4999.072,5000.0,4999.072,0.0,1.0,11000.0
2020-02-07,84.64,-4919.04,49.02,4919.04,0.0,100.348,4149.02,4.08,-4999.2,5000.0,4999.2,0.0,1.0,20400.0,9.6,-4993.92,625.0,4993.92,0.0,7.99,6000.0,2.2,-4999.072,5000.0,4999.072,0.0,1.0,11000.0
2020-02-10,83.36,-4919.04,49.02,4919.04,0.0,100.348,4086.275,4.19,-4999.2,5000.0,4999.2,0.0,1.0,20950.0,10.56,-4993.92,625.0,4993.92,0.0,7.99,6600.0,2.2,-4999.072,5000.0,4999.072,0.0,1.0,11000.0
2020-02-11,84.0,-4919.04,49.02,4919.04,0.0,100.348,4117.647,4.16,-4999.2,5000.0,4999.2,0.0,1.0,20799.999,11.04,-4993.92,625.0,4993.92,0.0,7.99,6900.0,2.2,-4999.072,5000.0,4999.072,0.0,1.0,11000.0
2020-02-12,86.48,-4919.04,49.02,4919.04,0.0,100.348,4239.216,4.17,-4999.2,5000.0,4999.2,0.0,1.0,20850.0,12.4,-4993.92,625.0,4993.92,0.0,7.99,7750.0,1.692,-4999.072,5000.0,4999.072,0.0,1.0,8460.0
2020-02-13,86.72,-4919.04,49.02,4919.04,0.0,100.348,4250.98,3.97,-4999.2,5000.0,4999.2,0.0,1.0,19850.0,11.82,-4993.92,625.0,4993.92,0.0,7.99,7387.5,1.96,-4999.072,5000.0,4999.072,0.0,1.0,9800.0
2020-02-14,87.6,-4919.04,49.02,4919.04,0.0,100.348,4294.118,4.02,-4999.2,5000.0,4999.2,0.0,1.0,20100.0,11.82,-4993.92,625.0,4993.92,0.0,7.99,7387.5,2.16,-4999.072,5000.0,4999.072,0.0,1.0,10800.0
2020-02-18,87.6,-4919.04,49.02,4919.04,0.0,100.348,4294.118,4.02,-4999.2,5000.0,4999.2,0.0,1.0,20100.0,11.92,-4993.92,625.0,4993.92,0.0,7.99,7450.0,2.16,-4999.072,5000.0,4999.072,0.0,1.0,10800.0
