date,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue
2020-01-01,0.0,-4998.685,625.0,4998.685,0.0,7.998,0.0,0.0,-4954.851,96.154,4954.851,0.0,51.53,0.0
2020-01-02,8.15,-4998.685,625.0,4998.685,0.0,7.998,5093.44,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.161
2020-01-03,8.159,-4998.685,625.0,4998.685,0.0,7.998,5099.231,52.913,-4954.851,96.154,4954.851,0.0,51.53,5087.809
2020-01-06,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.161
2020-01-07,8.112,-4998.685,625.0,4998.685,0.0,7.998,5070.289,53.394,-4954.851,96.154,4954.851,0.0,51.53,5134.062
2020-01-08,8.205,-4998.685,625.0,4998.685,0.0,7.998,5128.17,53.818,-4954.851,96.154,4954.851,0.0,51.53,5174.764
2020-01-09,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381,52.403,-4954.851,96.154,4954.851,0.0,51.53,5038.781
2020-01-10,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593,51.951,-4954.851,96.154,4954.851,0.0,51.53,4995.304
2020-01-13,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381,52.432,-4954.851,96.154,4954.851,0.0,51.53,5041.556
2020-01-14,8.224,-4998.685,625.0,4998.685,0.0,7.998,5139.745,52.086,-4954.851,96.154,4954.851,0.0,51.53,5008.254
2020-01-15,8.131,-4998.685,625.0,4998.685,0.0,7.998,5081.865,51.961,-4954.851,96.154,4954.851,0.0,51.53,4996.228
2020-01-16,8.038,-4998.685,625.0,4998.685,0.0,7.998,5023.987,52.172,-4954.851,96.154,4954.851,0.0,51.53,5016.58
