date,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue
2020-01-01,0.0,-4954.851,96.154,4954.851,0.0,51.53,0.0,0.0,-4998.685,625.0,4998.685,0.0,7.998,0.0
2020-01-02,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.161,8.15,-4998.685,625.0,4998.685,0.0,7.998,5093.442
2020-01-03,52.913,-4954.851,96.154,4954.851,0.0,51.53,5087.809,8.159,-4998.685,625.0,4998.685,0.0,7.998,5099.229
2020-01-06,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.161,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593
2020-01-07,53.394,-4954.851,96.154,4954.851,0.0,51.53,5134.061,8.112,-4998.685,625.0,4998.685,0.0,7.998,5070.289
2020-01-08,53.818,-4954.851,96.154,4954.851,0.0,51.53,5174.764,8.205,-4998.685,625.0,4998.685,0.0,7.998,5128.17
2020-01-09,52.403,-4954.851,96.154,4954.851,0.0,51.53,5038.781,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381
2020-01-10,51.951,-4954.851,96.154,4954.851,0.0,51.53,4995.304,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593
2020-01-13,52.432,-4954.851,96.154,4954.851,0.0,51.53,5041.556,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381
2020-01-14,52.086,-4954.851,96.154,4954.851,0.0,51.53,5008.254,8.224,-4998.685,625.0,4998.685,0.0,7.998,5139.744
2020-01-15,51.961,-4954.851,96.154,4954.851,0.0,51.53,4996.228,8.131,-4998.685,625.0,4998.685,0.0,7.998,5081.864
2020-01-16,52.172,-4954.851,96.154,4954.851,0.0,51.53,5016.58,8.038,-4998.685,625.0,4998.685,0.0,7.998,5023.986
2020-01-17,52.875,-4954.851,96.154,4954.851,0.0,51.53,5084.109,8.038,-4998.685,625.0,4998.685,0.0,7.998,5023.986
2020-01-21,52.153,-4954.851,96.154,4954.851,0.0,51.53,5014.729,7.964,-4998.685,625.0,4998.685,0.0,7.998,4977.683
2020-01-22,52.557,-4954.851,96.154,4954.851,0.0,51.53,5053.582,8.085,-4998.685,625.0,4998.685,0.0,7.998,5052.925
2020-01-23,52.067,-4954.851,96.154,4954.851,0.0,51.53,5006.404,8.029,-4998.685,625.0,4998.685,0.0,7.998,5018.196
2020-01-24,51.98,-4954.851,96.154,4954.851,0.0,51.53,4998.078,7.918,-4998.685,625.0,4998.685,0.0,7.998,4948.743
2020-01-27,50.652,-4954.851,96.154,4954.851,0.0,51.53,4870.421,7.705,-4998.685,625.0,4998.685,0.0,7.998,4815.617
2020-01-28,51.393,-4954.851,96.154,4954.851,0.0,51.53,4941.65,7.825,-4998.685,625.0,4998.685,0.0,7.998,4890.862
2020-01-29,51.374,-4954.851,96.154,4954.851,0.0,51.53,4939.8,7.825,-4998.685,625.0,4998.685,0.0,7.998,4890.862
2020-01-30,51.287,-4954.851,96.154,4954.851,0.0,51.53,4931.475,7.872,-4998.685,625.0,4998.685,0.0,7.998,4919.904
2020-01-31,50.479,-4954.851,96.154,4954.851,0.0,51.53,4853.77,7.853,-4998.685,625.0,4998.685,0.0,7.998,4908.287
2020-02-03,50.989,-4954.851,96.154,4954.851,0.0,51.53,4902.798,7.872,-4998.685,625.0,4998.685,0.0,7.998,4919.904
2020-02-04,52.538,-4954.851,96.154,4954.851,0.0,51.53,5051.732,8.002,-4998.685,625.0,4998.685,0.0,7.998,5001.225
2020-02-05,52.846,-4954.851,96.154,4954.851,0.0,51.53,5081.333,8.067,-4998.685,625.0,4998.685,0.0,7.998,5041.885
2020-02-06,53.385,-4954.851,96.154,4954.851,0.0,51.53,5133.137,8.048,-4998.685,625.0,4998.685,0.0,7.998,5030.269
2020-02-07,53.298,-4954.851,96.154,4954.851,0.0,51.53,5124.811,7.946,-4998.685,625.0,4998.685,0.0,7.998,4966.374
2020-02-10,52.971,-4954.851,96.154,4954.851,0.0,51.53,5093.359,7.89,-4998.685,625.0,4998.685,0.0,7.998,4931.521
2020-02-11,52.49,-4954.851,96.154,4954.851,0.0,51.53,5047.107,7.946,-4998.685,625.0,4998.685,0.0,7.998,4966.374
2020-02-12,52.875,-4954.851,96.154,4954.851,0.0,51.53,5084.109,8.021,-4998.685,625.0,4998.685,0.0,7.998,5012.842
2020-02-13,52.865,-4954.851,96.154,4954.851,0.0,51.53,5083.184,8.076,-4998.685,625.0,4998.685,0.0,7.998,5047.694
2020-02-14,52.721,-4954.851,96.154,4954.851,0.0,51.53,5069.308,8.067,-4998.685,625.0,4998.685,0.0,7.998,5041.885
2020-02-18,52.461,-4954.851,96.154,4954.851,0.0,51.53,5044.331,8.132,-4998.685,625.0,4998.685,0.0,7.998,5082.546
2020-02-19,53.231,-4954.851,96.154,4954.851,0.0,51.53,5118.336,8.197,-4998.685,625.0,4998.685,0.0,7.998,5123.207
2020-02-20,52.336,-4954.851,96.154,4954.851,0.0,51.53,5032.306,8.113,-4998.685,625.0,4998.685,0.0,7.998,5070.93
2020-02-21,48.305,-4954.851,96.154,4954.851,0.0,51.53,4644.706,8.086,-4998.685,625.0,4998.685,0.0,7.998,5053.502
2020-02-24,46.583,-4954.851,96.154,4954.851,0.0,51.53,4479.122,8.011,-4998.685,625.0,4998.685,0.0,7.998,5007.033
2020-02-25,47.122,-4954.851,96.154,4954.851,0.0,51.53,4530.925,8.002,-4998.685,625.0,4998.685,0.0,7.998,5001.225
