date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue
2020-01-01,0.0,-4878.3,23.585,4878.3,0.0,206.84,0.0,0.0,-4964.4,121.951,4964.4,0.0,40.708,0.0,0.0,-4954.851,96.154,4954.851,0.0,51.53,0.0,0.0,-4998.686,625.0,4998.686,0.0,7.998,0.0,0.0,-4997.2,416.667,4997.2,0.0,11.993,0.0
2020-01-02,219.77,-4878.3,23.585,4878.3,0.0,206.84,5183.255,40.87,-4964.4,121.951,4964.4,0.0,40.708,4984.146,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.16,8.15,-4998.686,625.0,4998.686,0.0,7.998,5093.44,12.82,-4997.2,416.667,4997.2,0.0,11.993,5341.667
2020-01-03,217.0,-4878.3,23.585,4878.3,0.0,206.84,5117.925,40.43,-4964.4,121.951,4964.4,0.0,40.708,4930.488,52.913,-4954.851,96.154,4954.851,0.0,51.53,5087.809,8.159,-4998.686,625.0,4998.686,0.0,7.998,5099.23,11.76,-4997.2,416.667,4997.2,0.0,11.993,4900.0
2020-01-06,216.64,-4878.3,23.585,4878.3,0.0,206.84,5109.434,40.22,-4964.4,121.951,4964.4,0.0,40.708,4904.878,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.16,8.187,-4998.686,625.0,4998.686,0.0,7.998,5116.593,11.07,-4997.2,416.667,4997.2,0.0,11.993,4612.5
2020-01-07,217.63,-4878.3,23.585,4878.3,0.0,206.84,5132.783,40.19,-4964.4,121.951,4964.4,0.0,40.708,4901.219,53.394,-4954.851,96.154,4954.851,0.0,51.53,5134.062,8.112,-4998.686,625.0,4998.686,0.0,7.998,5070.29,10.66,-4997.2,416.667,4997.2,0.0,11.993,4441.667
2020-01-08,218.0,-4878.3,23.585,4878.3,0.0,206.84,5141.509,39.93,-4964.4,121.951,4964.4,0.0,40.708,4869.512,53.818,-4954.851,96.154,4954.851,0.0,51.53,5174.764,8.205,-4998.686,625.0,4998.686,0.0,7.998,5128.169,9.5,-4997.2,416.667,4997.2,0.0,11.993,3958.333
2020-01-09,221.78,-4878.3,23.585,4878.3,0.0,206.84,5230.66,39.99,-4964.4,121.951,4964.4,0.0,40.708,4876.829,52.403,-4954.851,96.154,4954.851,0.0,51.53,5038.781,8.196,-4998.686,625.0,4998.686,0.0,7.998,5122.381,9.24,-4997.2,416.667,4997.2,0.0,11.993,3850.0
2020-01-10,223.83,-4878.3,23.585,4878.3,0.0,206.84,5279.009,39.82,-4964.4,121.951,4964.4,0.0,40.708,4856.098,51.951,-4954.851,96.154,4954.851,0.0,51.53,4995.304,8.187,-4998.686,625.0,4998.686,0.0,7.998,5116.593,10.0,-4997.2,416.667,4997.2,0.0,11.993,4166.667
2020-01-13,230.48,-4878.3,23.585,4878.3,0.0,206.84,5435.849,40.22,-4964.4,121.951,4964.4,0.0,40.708,4904.878,52.432,-4954.851,96.154,4954.851,0.0,51.53,5041.556,8.196,-4998.686,625.0,4998.686,0.0,7.998,5122.381,9.33,-4997.2,416.667,4997.2,0.0,11.993,3887.5
2020-01-14,226.49,-4878.3,23.585,4878.3,0.0,206.84,5341.745,40.8,-4964.4,121.951,4964.4,0.0,40.708,4975.61,52.086,-4954.851,96.154,4954.851,0.0,51.53,5008.254,8.224,-4998.686,625.0,4998.686,0.0,7.998,5139.747,9.73,-4997.2,416.667,4997.2,0.0,11.993,4054.166
2020-01-15,225.06,-4878.3,23.585,4878.3,0.0,206.84,5308.019,40.93,-4964.4,121.951,4964.4,0.0,40.708,4991.463,51.961,-4954.851,96.154,4954.851,0.0,51.53,4996.228,8.131,-4998.686,625.0,4998.686,0.0,7.998,5081.865,10.15,-4997.2,416.667,4997.2,0.0,11.993,4229.167
2020-01-16,223.94,-4878.3,23.585,4878.3,0.0,206.84,5281.604,41.12,-4964.4,121.951,4964.4,0.0,40.708,5014.634,52.172,-4954.851,96.154,4954.851,0.0,51.53,5016.579,8.038,-4998.686,625.0,4998.686,0.0,7.998,5023.986,10.13,-4997.2,416.667,4997.2,0.0,11.993,4220.833
2020-01-17,227.43,-4878.3,23.585,4878.3,0.0,206.84,5363.915,41.02,-4964.4,121.951,4964.4,0.0,40.708,5002.439,52.875,-4954.851,96.154,4954.851,0.0,51.53,5084.109,8.038,-4998.686,625.0,4998.686,0.0,7.998,5023.986,11.41,-4997.2,416.667,4997.2,0.0,11.993,4754.167
2020-01-21,222.26,-4878.3,23.585,4878.3,0.0,206.84,5241.981,40.13,-4964.4,121.951,4964.4,0.0,40.708,4893.903,52.153,-4954.851,96.154,4954.851,0.0,51.53,5014.73,7.964,-4998.686,625.0,4998.686,0.0,7.998,4977.681,13.28,-4997.2,416.667,4997.2,0.0,11.993,5533.333
2020-01-22,222.37,-4878.3,23.585,4878.3,0.0,206.84,5244.575,40.58,-4964.4,121.951,4964.4,0.0,40.708,4948.781,52.557,-4954.851,96.154,4954.851,0.0,51.53,5053.582,8.085,-4998.686,625.0,4998.686,0.0,7.998,5052.925,13.07,-4997.2,416.667,4997.2,0.0,11.993,5445.833
2020-01-23,219.13,-4878.3,23.585,4878.3,0.0,206.84,5168.16,39.74,-4964.4,121.951,4964.4,0.0,40.708,4846.342,52.067,-4954.851,96.154,4954.851,0.0,51.53,5006.404,8.029,-4998.686,625.0,4998.686,0.0,7.998,5018.198,13.03,-4997.2,416.667,4997.2,0.0,11.993,5429.167
2020-01-24,213.75,-4878.3,23.585,4878.3,0.0,206.84,5041.274,39.74,-4964.4,121.951,4964.4,0.0,40.708,4846.342,51.98,-4954.851,96.154,4954.851,0.0,51.53,4998.078,7.918,-4998.686,625.0,4998.686,0.0,7.998,4948.741,13.25,-4997.2,416.667,4997.2,0.0,11.993,5520.833
2020-01-27,205.47,-4878.3,23.585,4878.3,0.0,206.84,4845.991,38.99,-4964.4,121.951,4964.4,0.0,40.708,4754.878,50.652,-4954.851,96.154,4954.851,0.0,51.53,4870.421,7.705,-4998.686,625.0,4998.686,0.0,7.998,4815.618,14.38,-4997.2,416.667,4997.2,0.0,11.993,5991.667
2020-01-28,210.23,-4878.3,23.585,4878.3,0.0,206.84,4958.255,38.48,-4964.4,121.951,4964.4,0.0,40.708,4692.683,51.393,-4954.851,96.154,4954.851,0.0,51.53,4941.65,7.825,-4998.686,625.0,4998.686,0.0,7.998,4890.861,13.82,-4997.2,416.667,4997.2,0.0,11.993,5758.333
2020-01-29,212.02,-4878.3,23.585,4878.3,0.0,206.84,5000.472,37.68,-4964.4,121.951,4964.4,0.0,40.708,4595.122,51.374,-4954.851,96.154,4954.851,0.0,51.53,4939.8,7.825,-4998.686,625.0,4998.686,0.0,7.998,4890.861,13.88,-4997.2,416.667,4997.2,0.0,11.993,5783.333
2020-01-30,208.58,-4878.3,23.585,4878.3,0.0,206.84,4919.34,37.45,-4964.4,121.951,4964.4,0.0,40.708,4567.073,51.287,-4954.851,96.154,4954.851,0.0,51.53,4931.474,7.872,-4998.686,625.0,4998.686,0.0,7.998,4919.905,12.35,-4997.2,416.667,4997.2,0.0,11.993,5145.833
2020-01-31,206.59,-4878.3,23.585,4878.3,0.0,206.84,4872.406,36.53,-4964.4,121.951,4964.4,0.0,40.708,4454.878,50.479,-4954.851,96.154,4954.851,0.0,51.53,4853.77,7.853,-4998.686,625.0,4998.686,0.0,7.998,4908.287,12.35,-4997.2,416.667,4997.2,0.0,11.993,5145.833
2020-02-03,213.1,-4878.3,23.585,4878.3,0.0,206.84,5025.944,36.92,-4964.4,121.951,4964.4,0.0,40.708,4502.439,50.989,-4954.851,96.154,4954.851,0.0,51.53,4902.798,7.872,-4998.686,625.0,4998.686,0.0,7.998,4919.905,12.91,-4997.2,416.667,4997.2,0.0,11.993,5379.167
2020-02-04,222.88,-4878.3,23.585,4878.3,0.0,206.84,5256.604,36.95,-4964.4,121.951,4964.4,0.0,40.708,4506.098,52.538,-4954.851,96.154,4954.851,0.0,51.53,5051.732,8.002,-4998.686,625.0,4998.686,0.0,7.998,5001.224,13.11,-4997.2,416.667,4997.2,0.0,11.993,5462.5
2020-02-05,220.22,-4878.3,23.585,4878.3,0.0,206.84,5193.868,37.65,-4964.4,121.951,4964.4,0.0,40.708,4591.464,52.846,-4954.851,96.154,4954.851,0.0,51.53,5081.334,8.067,-4998.686,625.0,4998.686,0.0,7.998,5041.886,12.98,-4997.2,416.667,4997.2,0.0,11.993,5408.333
2020-02-06,220.9,-4878.3,23.585,4878.3,0.0,206.84,5209.906,37.55,-4964.4,121.951,4964.4,0.0,40.708,4579.268,53.385,-4954.851,96.154,4954.851,0.0,51.53,5133.137,8.048,-4998.686,625.0,4998.686,0.0,7.998,5030.268,12.55,-4997.2,416.667,4997.2,0.0,11.993,5229.167
2020-02-07,216.53,-4878.3,23.585,4878.3,0.0,206.84,5106.84,37.03,-4964.4,121.951,4964.4,0.0,40.708,4515.854,53.298,-4954.851,96.154,4954.851,0.0,51.53,5124.812,7.946,-4998.686,625.0,4998.686,0.0,7.998,4966.373,13.73,-4997.2,416.667,4997.2,0.0,11.993,5720.833
2020-02-10,215.77,-4878.3,23.585,4878.3,0.0,206.84,5088.915,36.46,-4964.4,121.951,4964.4,0.0,40.708,4446.341,52.971,-4954.851,96.154,4954.851,0.0,51.53,5093.359,7.89,-4998.686,625.0,4998.686,0.0,7.998,4931.521,13.64,-4997.2,416.667,4997.2,0.0,11.993,5683.333
2020-02-11,217.21,-4878.3,23.585,4878.3,0.0,206.84,5122.878,36.46,-4964.4,121.951,4964.4,0.0,40.708,4446.341,52.49,-4954.851,96.154,4954.851,0.0,51.53,5047.107,7.946,-4998.686,625.0,4998.686,0.0,7.998,4966.373,13.0,-4997.2,416.667,4997.2,0.0,11.993,5416.667
2020-02-12,224.31,-4878.3,23.585,4878.3,0.0,206.84,5290.33,36.95,-4964.4,121.951,4964.4,0.0,40.708,4506.098,52.875,-4954.851,96.154,4954.851,0.0,51.53,5084.109,8.021,-4998.686,625.0,4998.686,0.0,7.998,5012.842,13.55,-4997.2,416.667,4997.2,0.0,11.993,5645.833
2020-02-13,220.36,-4878.3,23.585,4878.3,0.0,206.84,5197.17,36.42,-4964.4,121.951,4964.4,0.0,40.708,4441.463,52.865,-4954.851,96.154,4954.851,0.0,51.53,5083.184,8.076,-4998.686,625.0,4998.686,0.0,7.998,5047.693,13.45,-4997.2,416.667,4997.2,0.0,11.993,5604.167
2020-02-14,219.63,-4878.3,23.585,4878.3,0.0,206.84,5179.953,36.06,-4964.4,121.951,4964.4,0.0,40.708,4397.561,52.721,-4954.851,96.154,4954.851,0.0,51.53,5069.308,8.067,-4998.686,625.0,4998.686,0.0,7.998,5041.886,13.9,-4997.2,416.667,4997.2,0.0,11.993,5791.667
2020-02-18,220.52,-4878.3,23.585,4878.3,0.0,206.84,5200.943,35.18,-4964.4,121.951,4964.4,0.0,40.708,4290.244,52.461,-4954.851,96.154,4954.851,0.0,51.53,5044.331,8.132,-4998.686,625.0,4998.686,0.0,7.998,5082.546,14.15,-4997.2,416.667,4997.2,0.0,11.993,5895.833
2020-02-19,222.14,-4878.3,23.585,4878.3,0.0,206.84,5239.151,34.99,-4964.4,121.951,4964.4,0.0,40.708,4267.073,53.231,-4954.851,96.154,4954.851,0.0,51.53,5118.336,8.197,-4998.686,625.0,4998.686,0.0,7.998,5123.206,14.33,-4997.2,416.667,4997.2,0.0,11.993,5970.833
2020-02-20,218.04,-4878.3,23.585,4878.3,0.0,206.84,5142.453,34.83,-4964.4,121.951,4964.4,0.0,40.708,4247.561,52.336,-4954.851,96.154,4954.851,0.0,51.53,5032.306,8.113,-4998.686,625.0,4998.686,0.0,7.998,5070.928,12.99,-4997.2,416.667,4997.2,0.0,11.993,5412.5
2020-02-21,212.59,-4878.3,23.585,4878.3,0.0,206.84,5013.915,34.0,-4964.4,121.951,4964.4,0.0,40.708,4146.341,48.305,-4954.851,96.154,4954.851,0.0,51.53,4644.707,8.086,-4998.686,625.0,4998.686,0.0,7.998,5053.503,13.33,-4997.2,416.667,4997.2,0.0,11.993,5554.167
2020-02-24,206.16,-4878.3,23.585,4878.3,0.0,206.84,4862.264,31.8,-4964.4,121.951,4964.4,0.0,40.708,3878.049,46.583,-4954.851,96.154,4954.851,0.0,51.53,4479.122,8.011,-4998.686,625.0,4998.686,0.0,7.998,5007.033,12.72,-4997.2,416.667,4997.2,0.0,11.993,5300.0
2020-02-25,205.61,-4878.3,23.585,4878.3,0.0,206.84,4849.292,31.78,-4964.4,121.951,4964.4,0.0,40.708,3875.61,47.122,-4954.851,96.154,4954.851,0.0,51.53,4530.925,8.002,-4998.686,625.0,4998.686,0.0,7.998,5001.224,12.27,-4997.2,416.667,4997.2,0.0,11.993,5112.5
2020-02-26,208.74,-4878.3,23.585,4878.3,0.0,206.84,4923.113,32.08,-4964.4,121.951,4964.4,0.0,40.708,3912.195,47.074,-4954.851,96.154,4954.851,0.0,51.53,4526.3,7.844,-4998.686,625.0,4998.686,0.0,7.998,4902.477,12.27,-4997.2,416.667,4997.2,0.0,11.993,5112.5
2020-02-27,205.03,-4878.3,23.585,4878.3,0.0,206.84,4835.613,31.73,-4964.4,121.951,4964.4,0.0,40.708,3869.512,46.516,-4954.851,96.154,4954.851,0.0,51.53,4472.646,7.667,-4998.686,625.0,4998.686,0.0,7.998,4791.722,12.175,-4997.2,416.667,4997.2,0.0,11.993,5072.917
2020-02-28,208.0,-4878.3,23.585,4878.3,0.0,206.84,4905.66,32.27,-4964.4,121.951,4964.4,0.0,40.708,3935.366,45.679,-4954.851,96.154,4954.851,0.0,51.53,4392.167,7.583,-4998.686,625.0,4998.686,0.0,7.998,4739.256,11.97,-4997.2,416.667,4997.2,0.0,11.993,4987.5
2020-03-02,210.98,-4878.3,23.585,4878.3,0.0,206.84,4975.943,32.38,-4964.4,121.951,4964.4,0.0,40.708,3948.781,44.822,-4954.851,96.154,4954.851,0.0,51.53,4309.837,7.629,-4998.686,625.0,4998.686,0.0,7.998,4768.404,13.0,-4997.2,416.667,4997.2,0.0,11.993,5416.667
