date,BABA_adj_close,BABA_cashflow,BABA_cml_units,BABA_cml_cost,BABA_gain_loss,BABA_avg_price,BABA_mktvalue,GOOGL_adj_close,GOOGL_cashflow,GOOGL_cml_units,GOOGL_cml_cost,GOOGL_gain_loss,GOOGL_avg_price,GOOGL_mktvalue,GOOG_adj_close,GOOG_cashflow,GOOG_cml_units,GOOG_cml_cost,GOOG_gain_loss,GOOG_avg_price,GOOG_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,SMFG_adj_close,SMFG_cashflow,SMFG_cml_units,SMFG_cml_cost,SMFG_gain_loss,SMFG_avg_price,SMFG_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,SPWR_adj_close,SPWR_cashflow,SPWR_cml_units,SPWR_cml_cost,SPWR_gain_loss,SPWR_avg_price,SPWR_mktvalue,ENR_adj_close,ENR_cashflow,ENR_cml_units,ENR_cml_cost,ENR_gain_loss,ENR_avg_price,ENR_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,MFG_adj_close,MFG_cashflow,MFG_cml_units,MFG_cml_cost,MFG_gain_loss,MFG_avg_price,MFG_mktvalue,NMR_adj_close,NMR_cashflow,NMR_cml_units,NMR_cml_cost,NMR_gain_loss,NMR_avg_price,NMR_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,NSP_adj_close,NSP_cashflow,NSP_cml_units,NSP_cml_cost,NSP_gain_loss,NSP_avg_price,NSP_mktvalue,SHG_adj_close,SHG_cashflow,SHG_cml_units,SHG_cml_cost,SHG_gain_loss,SHG_avg_price,SHG_mktvalue,IMOS_adj_close,IMOS_cashflow,IMOS_cml_units,IMOS_cml_cost,IMOS_gain_loss,IMOS_avg_price,IMOS_mktvalue,WF_adj_close,WF_cashflow,WF_cml_units,WF_cml_cost,WF_gain_loss,WF_avg_price,WF_mktvalue,COHN_adj_close,COHN_cashflow,COHN_cml_units,COHN_cml_cost,COHN_gain_loss,COHN_avg_price,COHN_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,MUFG_adj_close,MUFG_cashflow,MUFG_cml_units,MUFG_cml_cost,MUFG_gain_loss,MUFG_avg_price,MUFG_mktvalue,TAK_adj_close,TAK_cashflow,TAK_cml_units,TAK_cml_cost,TAK_gain_loss,TAK_avg_price,TAK_mktvalue,DMTK_adj_close,DMTK_cashflow,DMTK_cml_units,DMTK_cml_cost,DMTK_gain_loss,DMTK_avg_price,DMTK_mktvalue,VERB_adj_close,VERB_cashflow,VERB_cml_units,VERB_cml_cost,VERB_gain_loss,VERB_avg_price,VERB_mktvalue,FMCC_adj_close,FMCC_cashflow,FMCC_cml_units,FMCC_cml_cost,FMCC_gain_loss,FMCC_avg_price,FMCC_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue
2020-01-01,0.0,-4878.3,23.585,4878.3,0.0,206.84,0.0,0.0,-4018.17,3.734,4018.17,0.0,1076.066,0.0,0.0,-4011.06,3.74,4011.06,0.0,1072.557,0.0,0.0,-4985.833,277.778,4985.833,0.0,17.949,0.0,0.0,-4994.34,714.286,4994.34,0.0,6.992,0.0,0.0,-4964.4,121.951,4964.4,0.0,40.708,0.0,0.0,-4995.678,1000.0,4995.678,0.0,4.996,0.0,0.0,-4992.51,106.383,4992.51,0.0,46.93,0.0,0.0,-4954.851,96.154,4954.851,0.0,51.53,0.0,0.0,-4999.62,1666.667,4999.62,0.0,3.0,0.0,0.0,-4994.88,1000.0,4994.88,0.0,4.995,0.0,0.0,-4998.685,625.0,4998.685,0.0,7.998,0.0,0.0,-4973.363,60.976,4973.363,0.0,81.563,0.0,0.0,-4987.17,131.579,4987.17,0.0,37.902,0.0,0.0,-4987.854,250.0,4987.854,0.0,19.951,0.0,0.0,-4992.9,166.667,4992.9,0.0,29.957,0.0,0.0,-4996.814,1666.667,4996.814,0.0,2.998,0.0,0.0,-4986.314,294.118,4986.314,0.0,16.953,0.0,0.0,-4995.6,1000.0,4995.6,0.0,4.996,0.0,0.0,-4991.69,263.158,4991.69,0.0,18.968,0.0,0.0,-4997.2,416.667,4997.2,0.0,11.993,0.0,0.0,-4998.75,5000.0,4998.75,0.0,1.0,0.0,0.0,-4998.0,1666.667,4998.0,0.0,2.999,0.0,0.0,-4999.7,5000.0,4999.7,0.0,1.0,0.0
2020-01-02,219.77,-4878.3,23.585,4878.3,0.0,206.84,5183.255,1368.68,-4018.17,3.734,4018.17,0.0,1076.066,5110.829,1367.37,-4011.06,3.74,4011.06,0.0,1072.557,5113.575,18.448,-4985.833,277.778,4985.833,0.0,17.949,5124.505,7.47,-4994.34,714.286,4994.34,0.0,6.992,5335.714,40.87,-4964.4,121.951,4964.4,0.0,40.708,4984.146,5.128,-4995.678,1000.0,4995.678,0.0,4.996,5127.701,45.967,-4992.51,106.383,4992.51,0.0,46.93,4890.061,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.16,3.09,-4999.62,1666.667,4999.62,0.0,3.0,5150.0,5.21,-4994.88,1000.0,4994.88,0.0,4.995,5210.0,8.15,-4998.685,625.0,4998.685,0.0,7.998,5093.442,83.93,-4973.363,60.976,4973.363,0.0,81.563,5117.672,37.45,-4987.17,131.579,4987.17,0.0,37.902,4927.632,21.167,-4987.854,250.0,4987.854,0.0,19.951,5291.758,30.09,-4992.9,166.667,4992.9,0.0,29.957,5015.0,3.671,-4996.814,1666.667,4996.814,0.0,2.998,6118.952,17.143,-4986.314,294.118,4986.314,0.0,16.953,5041.963,5.45,-4995.6,1000.0,4995.6,0.0,4.996,5450.0,19.92,-4991.69,263.158,4991.69,0.0,18.968,5242.105,12.82,-4997.2,416.667,4997.2,0.0,11.993,5341.667,1.69,-4998.75,5000.0,4998.75,0.0,1.0,8450.0,3.12,-4998.0,1666.667,4998.0,0.0,2.999,5200.0,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-03,217.0,-4878.3,23.585,4878.3,0.0,206.84,5117.925,1361.52,-4018.17,3.734,4018.17,0.0,1076.066,5084.093,1360.66,-4011.06,3.74,4011.06,0.0,1072.557,5088.482,18.603,-4985.833,277.778,4985.833,0.0,17.949,5167.398,7.4,-4994.34,714.286,4994.34,0.0,6.992,5285.714,40.43,-4964.4,121.951,4964.4,0.0,40.708,4930.488,4.826,-4995.678,1000.0,4995.678,0.0,4.996,4826.457,46.004,-4992.51,106.383,4992.51,0.0,46.93,4894.09,52.913,-4954.851,96.154,4954.851,0.0,51.53,5087.809,3.08,-4999.62,1666.667,4999.62,0.0,3.0,5133.333,5.15,-4994.88,1000.0,4994.88,0.0,4.995,5150.0,8.159,-4998.685,625.0,4998.685,0.0,7.998,5099.229,83.323,-4973.363,60.976,4973.363,0.0,81.563,5080.664,36.84,-4987.17,131.579,4987.17,0.0,37.902,4847.368,20.547,-4987.854,250.0,4987.854,0.0,19.951,5136.788,29.19,-4992.9,166.667,4992.9,0.0,29.957,4865.0,3.691,-4996.814,1666.667,4996.814,0.0,2.998,6151.413,17.077,-4986.314,294.118,4986.314,0.0,16.953,5022.571,5.42,-4995.6,1000.0,4995.6,0.0,4.996,5420.0,19.8,-4991.69,263.158,4991.69,0.0,18.968,5210.526,11.76,-4997.2,416.667,4997.2,0.0,11.993,4900.0,1.71,-4998.75,5000.0,4998.75,0.0,1.0,8550.0,3.06,-4998.0,1666.667,4998.0,0.0,2.999,5100.0,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-06,216.64,-4878.3,23.585,4878.3,0.0,206.84,5109.434,1397.81,-4018.17,3.734,4018.17,0.0,1076.066,5219.604,1394.21,-4011.06,3.74,4011.06,0.0,1072.557,5213.949,18.53,-4985.833,277.778,4985.833,0.0,17.949,5147.213,7.37,-4994.34,714.286,4994.34,0.0,6.992,5264.286,40.22,-4964.4,121.951,4964.4,0.0,40.708,4904.878,4.892,-4995.678,1000.0,4995.678,0.0,4.996,4891.945,46.468,-4992.51,106.383,4992.51,0.0,46.93,4943.444,53.125,-4954.851,96.154,4954.851,0.0,51.53,5108.16,3.1,-4999.62,1666.667,4999.62,0.0,3.0,5166.667,5.15,-4994.88,1000.0,4994.88,0.0,4.995,5150.0,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593,84.623,-4973.363,60.976,4973.363,0.0,81.563,5159.967,36.51,-4987.17,131.579,4987.17,0.0,37.902,4803.947,20.1,-4987.854,250.0,4987.854,0.0,19.951,5025.119,28.75,-4992.9,166.667,4992.9,0.0,29.957,4791.667,4.158,-4996.814,1666.667,4996.814,0.0,2.998,6930.483,17.265,-4986.314,294.118,4986.314,0.0,16.953,5077.976,5.42,-4995.6,1000.0,4995.6,0.0,4.996,5420.0,19.78,-4991.69,263.158,4991.69,0.0,18.968,5205.263,11.07,-4997.2,416.667,4997.2,0.0,11.993,4612.5,1.61,-4998.75,5000.0,4998.75,0.0,1.0,8050.0,3.08,-4998.0,1666.667,4998.0,0.0,2.999,5133.333,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-07,217.63,-4878.3,23.585,4878.3,0.0,206.84,5132.783,1395.11,-4018.17,3.734,4018.17,0.0,1076.066,5209.522,1393.34,-4011.06,3.74,4011.06,0.0,1072.557,5210.695,18.621,-4985.833,277.778,4985.833,0.0,17.949,5172.445,7.33,-4994.34,714.286,4994.34,0.0,6.992,5235.714,40.19,-4964.4,121.951,4964.4,0.0,40.708,4901.219,5.003,-4995.678,1000.0,4995.678,0.0,4.996,5003.274,46.847,-4992.51,106.383,4992.51,0.0,46.93,4983.732,53.394,-4954.851,96.154,4954.851,0.0,51.53,5134.062,3.11,-4999.62,1666.667,4999.62,0.0,3.0,5183.333,5.15,-4994.88,1000.0,4994.88,0.0,4.995,5150.0,8.112,-4998.685,625.0,4998.685,0.0,7.998,5070.289,83.448,-4973.363,60.976,4973.363,0.0,81.563,5088.301,36.73,-4987.17,131.579,4987.17,0.0,37.902,4832.895,19.946,-4987.854,250.0,4987.854,0.0,19.951,4986.377,28.73,-4992.9,166.667,4992.9,0.0,29.957,4788.333,4.197,-4996.814,1666.667,4996.814,0.0,2.998,6995.406,17.463,-4986.314,294.118,4986.314,0.0,16.953,5136.154,5.37,-4995.6,1000.0,4995.6,0.0,4.996,5370.0,19.6,-4991.69,263.158,4991.69,0.0,18.968,5157.895,10.66,-4997.2,416.667,4997.2,0.0,11.993,4441.667,1.51,-4998.75,5000.0,4998.75,0.0,1.0,7550.0,3.16,-4998.0,1666.667,4998.0,0.0,2.999,5266.667,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-08,218.0,-4878.3,23.585,4878.3,0.0,206.84,5141.509,1405.04,-4018.17,3.734,4018.17,0.0,1076.066,5246.602,1404.32,-4011.06,3.74,4011.06,0.0,1072.557,5251.757,18.475,-4985.833,277.778,4985.833,0.0,17.949,5132.075,7.41,-4994.34,714.286,4994.34,0.0,6.992,5292.857,39.93,-4964.4,121.951,4964.4,0.0,40.708,4869.512,5.029,-4995.678,1000.0,4995.678,0.0,4.996,5029.47,47.519,-4992.51,106.383,4992.51,0.0,46.93,5055.245,53.818,-4954.851,96.154,4954.851,0.0,51.53,5174.764,3.09,-4999.62,1666.667,4999.62,0.0,3.0,5150.0,5.23,-4994.88,1000.0,4994.88,0.0,4.995,5230.0,8.205,-4998.685,625.0,4998.685,0.0,7.998,5128.169,83.959,-4973.363,60.976,4973.363,0.0,81.563,5119.434,36.35,-4987.17,131.579,4987.17,0.0,37.902,4782.895,20.875,-4987.854,250.0,4987.854,0.0,19.951,5218.831,27.74,-4992.9,166.667,4992.9,0.0,29.957,4623.333,4.236,-4996.814,1666.667,4996.814,0.0,2.998,7060.329,16.973,-4986.314,294.118,4986.314,0.0,16.953,4992.097,5.36,-4995.6,1000.0,4995.6,0.0,4.996,5360.0,19.63,-4991.69,263.158,4991.69,0.0,18.968,5165.789,9.5,-4997.2,416.667,4997.2,0.0,11.993,3958.333,1.51,-4998.75,5000.0,4998.75,0.0,1.0,7550.0,3.13,-4998.0,1666.667,4998.0,0.0,2.999,5216.667,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-09,221.78,-4878.3,23.585,4878.3,0.0,206.84,5230.66,1419.79,-4018.17,3.734,4018.17,0.0,1076.066,5301.681,1419.83,-4011.06,3.74,4011.06,0.0,1072.557,5309.76,18.575,-4985.833,277.778,4985.833,0.0,17.949,5159.829,7.39,-4994.34,714.286,4994.34,0.0,6.992,5278.571,39.99,-4964.4,121.951,4964.4,0.0,40.708,4876.829,5.167,-4995.678,1000.0,4995.678,0.0,4.996,5166.994,46.866,-4992.51,106.383,4992.51,0.0,46.93,4985.747,52.403,-4954.851,96.154,4954.851,0.0,51.53,5038.781,3.1,-4999.62,1666.667,4999.62,0.0,3.0,5166.667,5.24,-4994.88,1000.0,4994.88,0.0,4.995,5240.0,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381,85.385,-4973.363,60.976,4973.363,0.0,81.563,5206.374,36.33,-4987.17,131.579,4987.17,0.0,37.902,4780.263,20.857,-4987.854,250.0,4987.854,0.0,19.951,5214.273,27.62,-4992.9,166.667,4992.9,0.0,29.957,4603.333,4.197,-4996.814,1666.667,4996.814,0.0,2.998,6995.406,17.369,-4986.314,294.118,4986.314,0.0,16.953,5108.45,5.34,-4995.6,1000.0,4995.6,0.0,4.996,5340.0,19.79,-4991.69,263.158,4991.69,0.0,18.968,5207.895,9.24,-4997.2,416.667,4997.2,0.0,11.993,3850.0,1.52,-4998.75,5000.0,4998.75,0.0,1.0,7600.0,3.16,-4998.0,1666.667,4998.0,0.0,2.999,5266.667,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0
2020-01-10,223.83,-4878.3,23.585,4878.3,0.0,206.84,5279.009,1428.96,-4018.17,3.734,4018.17,0.0,1076.066,5335.922,1429.73,-4011.06,3.74,4011.06,0.0,1072.557,5346.784,18.812,-4985.833,277.778,4985.833,0.0,17.949,5225.431,7.32,-4994.34,714.286,4994.34,0.0,6.992,5228.572,39.82,-4964.4,121.951,4964.4,0.0,40.708,4856.098,5.069,-4995.678,1000.0,4995.678,0.0,4.996,5068.762,45.9,-4992.51,106.383,4992.51,0.0,46.93,4883.01,51.951,-4954.851,96.154,4954.851,0.0,51.53,4995.303,3.06,-4999.62,1666.667,4999.62,0.0,3.0,5100.0,5.28,-4994.88,1000.0,4994.88,0.0,4.995,5280.0,8.187,-4998.685,625.0,4998.685,0.0,7.998,5116.593,86.203,-4973.363,60.976,4973.363,0.0,81.563,5256.305,35.65,-4987.17,131.579,4987.17,0.0,37.902,4690.79,20.52,-4987.854,250.0,4987.854,0.0,19.951,5129.951,27.15,-4992.9,166.667,4992.9,0.0,29.957,4525.0,4.217,-4996.814,1666.667,4996.814,0.0,2.998,7027.867,17.557,-4986.314,294.118,4986.314,0.0,16.953,5163.857,5.25,-4995.6,1000.0,4995.6,0.0,4.996,5250.0,19.92,-4991.69,263.158,4991.69,0.0,18.968,5242.105,10.0,-4997.2,416.667,4997.2,0.0,11.993,4166.667,1.5,-4998.75,5000.0,4998.75,0.0,1.0,7500.0,3.09,-4998.0,1666.667,4998.0,0.0,2.999,5150.0,1.75,-4999.7,5000.0,4999.7,0.0,1.0,8750.0
2020-01-13,230.48,-4878.3,23.585,4878.3,0.0,206.84,5435.849,1440.03,-4018.17,3.734,4018.17,0.0,1076.066,5377.259,1439.23,-4011.06,3.74,4011.06,0.0,1072.557,5382.311,19.03,-4985.833,277.778,4985.833,0.0,17.949,5285.987,7.39,-4994.34,714.286,4994.34,0.0,6.992,5278.571,40.22,-4964.4,121.951,4964.4,0.0,40.708,4904.878,5.508,-4995.678,1000.0,4995.678,0.0,4.996,5507.531,44.414,-4992.51,106.383,4992.51,0.0,46.93,4724.877,52.432,-4954.851,96.154,4954.851,0.0,51.53,5041.556,3.04,-4999.62,1666.667,4999.62,0.0,3.0,5066.667,5.3,-4994.88,1000.0,4994.88,0.0,4.995,5300.0,8.196,-4998.685,625.0,4998.685,0.0,7.998,5122.381,86.791,-4973.363,60.976,4973.363,0.0,81.563,5292.138,36.08,-4987.17,131.579,4987.17,0.0,37.902,4747.369,20.766,-4987.854,250.0,4987.854,0.0,19.951,5191.484,27.54,-4992.9,166.667,4992.9,0.0,29.957,4590.0,4.119,-4996.814,1666.667,4996.814,0.0,2.998,6865.561,17.576,-4986.314,294.118,4986.314,0.0,16.953,5169.398,5.31,-4995.6,1000.0,4995.6,0.0,4.996,5310.0,19.95,-4991.69,263.158,4991.69,0.0,18.968,5250.0,9.33,-4997.2,416.667,4997.2,0.0,11.993,3887.5,1.39,-4998.75,5000.0,4998.75,0.0,1.0,6950.0,3.05,-4998.0,1666.667,4998.0,0.0,2.999,5083.333,1.75,-4999.7,5000.0,4999.7,0.0,1.0,8750.0
2020-01-14,226.49,-4878.3,23.585,4878.3,0.0,206.84,5341.745,1430.59,-4018.17,3.734,4018.17,0.0,1076.066,5342.009,1430.88,-4011.06,3.74,4011.06,0.0,1072.557,5351.085,18.712,-4985.833,277.778,4985.833,0.0,17.949,5197.677,7.26,-4994.34,714.286,4994.34,0.0,6.992,5185.714,40.8,-4964.4,121.951,4964.4,0.0,40.708,4975.61,5.665,-4995.678,1000.0,4995.678,0.0,4.996,5664.702,44.594,-4992.51,106.383,4992.51,0.0,46.93,4744.014,52.086,-4954.851,96.154,4954.851,0.0,51.53,5008.254,3.01,-4999.62,1666.667,4999.62,0.0,3.0,5016.667,5.28,-4994.88,1000.0,4994.88,0.0,4.995,5280.0,8.224,-4998.685,625.0,4998.685,0.0,7.998,5139.745,87.485,-4973.363,60.976,4973.363,0.0,81.563,5334.434,35.88,-4987.17,131.579,4987.17,0.0,37.902,4721.053,20.748,-4987.854,250.0,4987.854,0.0,19.951,5186.925,27.45,-4992.9,166.667,4992.9,0.0,29.957,4575.0,3.964,-4996.814,1666.667,4996.814,0.0,2.998,6605.871,16.813,-4986.314,294.118,4986.314,0.0,16.953,4945.003,5.27,-4995.6,1000.0,4995.6,0.0,4.996,5270.0,19.98,-4991.69,263.158,4991.69,0.0,18.968,5257.895,9.73,-4997.2,416.667,4997.2,0.0,11.993,4054.166,1.52,-4998.75,5000.0,4998.75,0.0,1.0,7600.0,3.02,-4998.0,1666.667,4998.0,0.0,2.999,5033.333,1.5,-4999.7,5000.0,4999.7,0.0,1.0,7500.0
