date,WTI_adj_close,WTI_cashflow,WTI_cml_units,WTI_cml_cost,WTI_gain_loss,WTI_avg_price,WTI_mktvalue,HZNP_adj_close,HZNP_cashflow,HZNP_cml_units,HZNP_cml_cost,HZNP_gain_loss,HZNP_avg_price,HZNP_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,SMFG_adj_close,SMFG_cashflow,SMFG_cml_units,SMFG_cml_cost,SMFG_gain_loss,SMFG_avg_price,SMFG_mktvalue,WETF_adj_close,WETF_cashflow,WETF_cml_units,WETF_cml_cost,WETF_gain_loss,WETF_avg_price,WETF_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,ASPS_adj_close,ASPS_cashflow,ASPS_cml_units,ASPS_cml_cost,ASPS_gain_loss,ASPS_avg_price,ASPS_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,DYSL_adj_close,DYSL_cashflow,DYSL_cml_units,DYSL_cml_cost,DYSL_gain_loss,DYSL_avg_price,DYSL_mktvalue,ITCB_adj_close,ITCB_cashflow,ITCB_cml_units,ITCB_cml_cost,ITCB_gain_loss,ITCB_avg_price,ITCB_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,ARGO_adj_close,ARGO_cashflow,ARGO_cml_units,ARGO_cml_cost,ARGO_gain_loss,ARGO_avg_price,ARGO_mktvalue,MUFG_adj_close,MUFG_cashflow,MUFG_cml_units,MUFG_cml_cost,MUFG_gain_loss,MUFG_avg_price,MUFG_mktvalue,TAK_adj_close,TAK_cashflow,TAK_cml_units,TAK_cml_cost,TAK_gain_loss,TAK_avg_price,TAK_mktvalue,COOP_adj_close,COOP_cashflow,COOP_cml_units,COOP_cml_cost,COOP_gain_loss,COOP_avg_price,COOP_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,SCND_adj_close,SCND_cashflow,SCND_cml_units,SCND_cml_cost,SCND_gain_loss,SCND_avg_price,SCND_mktvalue
2020-01-02,5.42,-4997.24,1000.0,4997.24,0.0,4.997,5420.0,36.38,-4984.06,138.889,4984.06,0.0,35.885,5052.778,18.448,-4999.467,277.778,4999.467,0.0,17.998,5124.394,6.834,-4997.43,714.286,4997.43,0.0,6.996,4881.147,4.508,0.0,0.0,0.0,0.0,,0.0,39.303,-4986.14,125.0,4986.14,0.0,39.889,4912.859,52.465,-4993.738,94.34,4993.738,0.0,52.934,4949.499,19.51,0.0,0.0,0.0,0.0,,0.0,7.903,-4995.647,625.0,4995.647,0.0,7.993,4939.333,1.1,-4999.5,5000.0,4999.5,0.0,1.0,5500.0,7.742,0.0,0.0,0.0,0.0,,0.0,17.143,0.0,0.0,0.0,0.0,,0.0,63.455,0.0,0.0,0.0,0.0,,0.0,5.145,-4997.65,1000.0,4997.65,0.0,4.998,5144.812,18.94,-4999.92,263.158,4999.92,0.0,19.0,4984.3,12.22,-4997.98,416.667,4997.98,0.0,11.995,5091.667,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0,7.7,-4997.3,714.286,4997.3,0.0,6.996,5500.0
2020-01-03,5.8,-4997.24,1000.0,4997.24,0.0,4.997,5800.0,36.1,-4984.06,138.889,4984.06,0.0,35.885,5013.889,18.602,-4999.467,277.778,4999.467,0.0,17.998,5167.287,6.77,-4997.43,714.286,4997.43,0.0,6.996,4835.407,4.393,0.0,0.0,0.0,0.0,,0.0,38.88,-4986.14,125.0,4986.14,0.0,39.889,4859.968,52.256,-4993.738,94.34,4993.738,0.0,52.934,4929.78,19.44,0.0,0.0,0.0,0.0,,0.0,7.912,-4995.647,625.0,4995.647,0.0,7.993,4944.945,1.23,-4999.5,5000.0,4999.5,0.0,1.0,6150.0,7.918,0.0,0.0,0.0,0.0,,0.0,17.077,0.0,0.0,0.0,0.0,,0.0,63.73,0.0,0.0,0.0,0.0,,0.0,5.116,-4997.65,1000.0,4997.65,0.0,4.998,5116.492,18.826,-4999.92,263.158,4999.92,0.0,19.0,4954.274,12.16,-4997.98,416.667,4997.98,0.0,11.995,5066.667,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0,8.3,-4997.3,714.286,4997.3,0.0,6.996,5928.572
2020-01-06,5.75,-4997.24,1000.0,4997.24,0.0,4.997,5750.0,36.22,-4984.06,138.889,4984.06,0.0,35.885,5030.556,18.53,-4999.467,277.778,4999.467,0.0,17.998,5147.102,6.742,-4997.43,714.286,4997.43,0.0,6.996,4815.803,4.373,0.0,0.0,0.0,0.0,,0.0,38.678,-4986.14,125.0,4986.14,0.0,39.889,4834.725,52.465,-4993.738,94.34,4993.738,0.0,52.934,4949.499,19.51,0.0,0.0,0.0,0.0,,0.0,7.939,-4995.647,625.0,4995.647,0.0,7.993,4961.783,1.23,-4999.5,5000.0,4999.5,0.0,1.0,6150.0,7.786,0.0,0.0,0.0,0.0,,0.0,17.265,-4989.621,294.118,4989.621,0.0,16.965,5077.977,64.346,0.0,0.0,0.0,0.0,,0.0,5.116,-4997.65,1000.0,4997.65,0.0,4.998,5116.492,18.807,-4999.92,263.158,4999.92,0.0,19.0,4949.27,12.3,-4997.98,416.667,4997.98,0.0,11.995,5125.0,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0,8.3,-4997.3,714.286,4997.3,0.0,6.996,5928.572
2020-01-07,5.81,-4997.24,1000.0,4997.24,0.0,4.997,5810.0,36.37,-4984.06,138.889,4984.06,0.0,35.885,5051.389,18.62,-4999.467,277.778,4999.467,0.0,17.998,5172.333,6.706,-4997.43,714.286,4997.43,0.0,6.996,4789.666,4.249,0.0,0.0,0.0,0.0,,0.0,38.649,-4986.14,125.0,4986.14,0.0,39.889,4831.119,52.731,-4993.738,94.34,4993.738,0.0,52.934,4974.596,19.6,0.0,0.0,0.0,0.0,,0.0,7.867,-4995.647,625.0,4995.647,0.0,7.993,4916.88,1.1,-4999.5,5000.0,4999.5,0.0,1.0,5500.0,7.39,0.0,0.0,0.0,0.0,,0.0,17.463,-4989.621,294.118,4989.621,0.0,16.965,5136.154,64.299,0.0,0.0,0.0,0.0,,0.0,5.069,-4997.65,1000.0,4997.65,0.0,4.998,5069.292,18.636,-4999.92,263.158,4999.92,0.0,19.0,4904.231,12.35,-4997.98,416.667,4997.98,0.0,11.995,5145.833,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0,8.85,-4997.3,714.286,4997.3,0.0,6.996,6321.429
2020-01-08,5.37,-4997.24,1000.0,4997.24,0.0,4.997,5370.0,36.18,-4984.06,138.889,4984.06,0.0,35.885,5025.0,18.475,-4999.467,277.778,4999.467,0.0,17.998,5131.963,6.779,-4997.43,714.286,4997.43,0.0,6.996,4841.941,4.21,0.0,0.0,0.0,0.0,,0.0,38.399,-4986.14,125.0,4986.14,0.0,39.889,4799.865,53.149,-4993.738,94.34,4993.738,0.0,52.934,5014.034,19.26,0.0,0.0,0.0,0.0,,0.0,7.957,-4995.647,625.0,4995.647,0.0,7.993,4973.008,1.1,-9999.0,5000.0,4999.5,0.0,1.0,5500.0,7.698,0.0,0.0,0.0,0.0,,0.0,16.973,-4989.621,294.118,4989.621,0.0,16.965,4992.097,64.232,0.0,0.0,0.0,0.0,,0.0,5.06,-4997.65,1000.0,4997.65,0.0,4.998,5059.852,18.665,-4999.92,263.158,4999.92,0.0,19.0,4911.736,12.34,-4997.98,416.667,4997.98,0.0,11.995,5141.667,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0,8.85,-4997.3,714.286,4997.3,0.0,6.996,6321.429
2020-01-09,5.29,-4997.24,1000.0,4997.24,0.0,4.997,5290.0,36.28,-4984.06,138.889,4984.06,0.0,35.885,5038.889,18.575,-4999.467,277.778,4999.467,0.0,17.998,5159.718,6.76,-4997.43,714.286,4997.43,0.0,6.996,4828.872,4.114,0.0,0.0,0.0,0.0,,0.0,38.457,-4986.14,125.0,4986.14,0.0,39.889,4807.077,51.752,-4993.738,94.34,4993.738,0.0,52.934,4882.274,19.44,0.0,0.0,0.0,0.0,,0.0,7.948,-4995.647,625.0,4995.647,0.0,7.993,4967.397,1.02,-9999.0,5000.0,4999.5,0.0,1.0,5100.0,7.689,0.0,0.0,0.0,0.0,,0.0,17.369,-4989.621,294.118,4989.621,0.0,16.965,5108.451,64.953,0.0,0.0,0.0,0.0,,0.0,5.041,-4997.65,1000.0,4997.65,0.0,4.998,5040.972,18.817,-4999.92,263.158,4999.92,0.0,19.0,4951.772,13.37,-4997.98,416.667,4997.98,0.0,11.995,5570.833,1.7,-4999.7,5000.0,4999.7,0.0,1.0,8500.0,8.95,-4997.3,714.286,4997.3,0.0,6.996,6392.857
2020-01-10,5.13,-4997.24,1000.0,4997.24,0.0,4.997,5130.0,36.6,-4984.06,138.889,4984.06,0.0,35.885,5083.333,18.811,-4999.467,277.778,4999.467,0.0,17.998,5225.317,6.696,-4997.43,714.286,4997.43,0.0,6.996,4783.132,4.038,0.0,0.0,0.0,0.0,,0.0,38.293,-4986.14,125.0,4986.14,0.0,39.889,4786.642,51.306,-4993.738,94.34,4993.738,0.0,52.934,4840.147,19.42,0.0,0.0,0.0,0.0,,0.0,7.939,-4995.647,625.0,4995.647,0.0,7.993,4961.783,0.95,-9999.0,5000.0,4999.5,0.0,1.0,4750.0,7.592,0.0,0.0,0.0,0.0,,0.0,17.557,-4989.621,294.118,4989.621,0.0,16.965,5163.856,64.858,0.0,0.0,0.0,0.0,,0.0,4.956,-4997.65,1000.0,4997.65,0.0,4.998,4956.012,18.94,-4999.92,263.158,4999.92,0.0,19.0,4984.3,13.36,-4997.98,416.667,4997.98,0.0,11.995,5566.667,1.75,-4999.7,5000.0,4999.7,0.0,1.0,8750.0,8.95,-4997.3,714.286,4997.3,0.0,6.996,6392.857
2020-01-13,5.06,-4997.24,1000.0,4997.24,0.0,4.997,5060.0,38.26,-4984.06,138.889,4984.06,0.0,35.885,5313.889,19.029,-4999.467,277.778,4999.467,0.0,17.998,5285.872,6.76,-4997.43,714.286,4997.43,0.0,6.996,4828.872,4.009,0.0,0.0,0.0,0.0,,0.0,38.678,-4986.14,125.0,4986.14,0.0,39.889,4834.725,51.781,-4993.738,94.34,4993.738,0.0,52.934,4884.963,19.39,0.0,0.0,0.0,0.0,,0.0,7.948,-4995.647,625.0,4995.647,0.0,7.993,4967.397,1.0,-9999.0,5000.0,4999.5,0.0,1.0,5000.0,7.39,0.0,0.0,0.0,0.0,,0.0,17.576,-4989.621,294.118,4989.621,0.0,16.965,5169.397,65.303,0.0,0.0,0.0,0.0,,0.0,5.013,-4997.65,1000.0,4997.65,0.0,4.998,5012.651,18.969,-4999.92,263.158,4999.92,0.0,19.0,4991.806,13.77,-4997.98,416.667,4997.98,0.0,11.995,5737.5,1.75,-4999.7,5000.0,4999.7,0.0,1.0,8750.0,8.95,-4997.3,714.286,4997.3,0.0,6.996,6392.857
2020-01-14,5.25,-4997.24,1000.0,4997.24,0.0,4.997,5250.0,38.4,-4984.06,138.889,4984.06,0.0,35.885,5333.334,18.711,-4999.467,277.778,4999.467,0.0,17.998,5197.564,6.641,-4997.43,714.286,4997.43,0.0,6.996,4743.926,4.009,0.0,0.0,0.0,0.0,,0.0,39.236,-4986.14,125.0,4986.14,0.0,39.889,4904.445,51.439,-4993.738,94.34,4993.738,0.0,52.934,4852.696,19.04,0.0,0.0,0.0,0.0,,0.0,7.975,-4995.647,625.0,4995.647,0.0,7.993,4984.234,1.01,-9999.0,5000.0,4999.5,0.0,1.0,5050.0,7.249,0.0,0.0,0.0,0.0,,0.0,16.813,-4989.621,294.118,4989.621,0.0,16.965,4945.002,65.417,0.0,0.0,0.0,0.0,,0.0,4.975,-4997.65,1000.0,4997.65,0.0,4.998,4974.892,18.997,-4999.92,263.158,4999.92,0.0,19.0,4999.312,13.09,-4997.98,416.667,4997.98,0.0,11.995,5454.167,1.5,-4999.7,5000.0,4999.7,0.0,1.0,7500.0,9.0,-4997.3,714.286,4997.3,0.0,6.996,6428.571
2020-01-15,5.25,-4997.24,1000.0,4997.24,0.0,4.997,5250.0,37.74,-4984.06,138.889,4984.06,0.0,35.885,5241.667,18.584,-4999.467,277.778,4999.467,0.0,17.998,5162.24,6.596,-4997.43,714.286,4997.43,0.0,6.996,4711.254,3.961,0.0,0.0,0.0,0.0,,0.0,39.361,-4986.14,125.0,4986.14,0.0,39.889,4920.072,51.315,-4993.738,94.34,4993.738,0.0,52.934,4841.043,19.19,0.0,0.0,0.0,0.0,,0.0,7.885,-4995.647,625.0,4995.647,0.0,7.993,4928.106,1.01,-9999.0,5000.0,4999.5,0.0,1.0,5050.0,7.064,0.0,0.0,0.0,0.0,,0.0,16.728,-4989.621,294.118,4989.621,0.0,16.965,4920.069,65.313,0.0,0.0,0.0,0.0,,0.0,4.965,-4997.65,1000.0,4997.65,0.0,4.998,4965.452,19.035,-4999.92,263.158,4999.92,0.0,19.0,5009.321,12.77,-4997.98,416.667,4997.98,0.0,11.995,5320.834,0.28,-4999.7,5000.0,4999.7,0.0,1.0,1400.5,9.15,-4997.3,714.286,4997.3,0.0,6.996,6535.714
