date,WTI_adj_close,WTI_cashflow,WTI_cml_units,WTI_cml_cost,WTI_gain_loss,WTI_avg_price,WTI_mktvalue,HZNP_adj_close,HZNP_cashflow,HZNP_cml_units,HZNP_cml_cost,HZNP_gain_loss,HZNP_avg_price,HZNP_mktvalue,EC_adj_close,EC_cashflow,EC_cml_units,EC_cml_cost,EC_gain_loss,EC_avg_price,EC_mktvalue,SMFG_adj_close,SMFG_cashflow,SMFG_cml_units,SMFG_cml_cost,SMFG_gain_loss,SMFG_avg_price,SMFG_mktvalue,WETF_adj_close,WETF_cashflow,WETF_cml_units,WETF_cml_cost,WETF_gain_loss,WETF_avg_price,WETF_mktvalue,KB_adj_close,KB_cashflow,KB_cml_units,KB_cml_cost,KB_gain_loss,KB_avg_price,KB_mktvalue,CIB_adj_close,CIB_cashflow,CIB_cml_units,CIB_cml_cost,CIB_gain_loss,CIB_avg_price,CIB_mktvalue,ASPS_adj_close,ASPS_cashflow,ASPS_cml_units,ASPS_cml_cost,ASPS_gain_loss,ASPS_avg_price,ASPS_mktvalue,AVAL_adj_close,AVAL_cashflow,AVAL_cml_units,AVAL_cml_cost,AVAL_gain_loss,AVAL_avg_price,AVAL_mktvalue,DYSL_adj_close,DYSL_cashflow,DYSL_cml_units,DYSL_cml_cost,DYSL_gain_loss,DYSL_avg_price,DYSL_mktvalue,ITCB_adj_close,ITCB_cashflow,ITCB_cml_units,ITCB_cml_cost,ITCB_gain_loss,ITCB_avg_price,ITCB_mktvalue,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,ARGO_adj_close,ARGO_cashflow,ARGO_cml_units,ARGO_cml_cost,ARGO_gain_loss,ARGO_avg_price,ARGO_mktvalue,MUFG_adj_close,MUFG_cashflow,MUFG_cml_units,MUFG_cml_cost,MUFG_gain_loss,MUFG_avg_price,MUFG_mktvalue,TAK_adj_close,TAK_cashflow,TAK_cml_units,TAK_cml_cost,TAK_gain_loss,TAK_avg_price,TAK_mktvalue,COOP_adj_close,COOP_cashflow,COOP_cml_units,COOP_cml_cost,COOP_gain_loss,COOP_avg_price,COOP_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,KDOZF_adj_close,KDOZF_cashflow,KDOZF_cml_units,KDOZF_cml_cost,KDOZF_gain_loss,KDOZF_avg_price,KDOZF_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue,SCND_adj_close,SCND_cashflow,SCND_cml_units,SCND_cml_cost,SCND_gain_loss,SCND_avg_price,SCND_mktvalue
2020-01-02,5.42,-5000.0,922.509,5000.0,0.0,5.42,5000.0,36.38,-5000.0,137.438,5000.0,0.0,36.38,5000.0,18.448,-5000.0,271.029,5000.0,0.0,18.448,5000.0,7.47,-5000.0,669.344,5000.0,0.0,7.47,5000.0,4.467,0.0,0.0,0.0,0.0,,0.0,40.87,-5000.0,122.339,5000.0,0.0,40.87,5000.0,53.125,-5000.0,94.118,5000.0,0.0,53.125,5000.0,19.51,0.0,0.0,0.0,0.0,,0.0,8.15,-5000.0,613.534,5000.0,0.0,8.15,4999.998,1.1,-5000.0,4545.454,5000.0,0.0,1.1,5000.0,7.742,0.0,0.0,0.0,0.0,,0.0,17.143,0.0,0.0,0.0,0.0,,0.0,63.455,0.0,0.0,0.0,0.0,,0.0,5.45,-5000.0,917.431,5000.0,0.0,5.45,5000.0,19.92,-5000.0,251.004,5000.0,0.0,19.92,5000.0,12.22,-5000.0,409.165,5000.0,0.0,12.22,5000.0,1.7,-5000.0,2941.176,5000.0,0.0,1.7,5000.0,0.2,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,,0.0,7.7,-5000.0,649.351,5000.0,0.0,7.7,5000.0
2020-01-03,5.8,-5000.0,922.509,5000.0,0.0,5.42,5350.554,36.1,-5000.0,137.438,5000.0,0.0,36.38,4961.517,18.603,-5000.0,271.029,5000.0,0.0,18.448,5041.851,7.4,-5000.0,669.344,5000.0,0.0,7.47,4953.146,4.353,0.0,0.0,0.0,0.0,,0.0,40.43,-5000.0,122.339,5000.0,0.0,40.87,4946.171,52.913,-5000.0,94.118,5000.0,0.0,53.125,4980.079,19.44,0.0,0.0,0.0,0.0,,0.0,8.159,-5000.0,613.534,5000.0,0.0,8.15,5005.68,1.23,-5000.0,4545.454,5000.0,0.0,1.1,5590.909,7.918,0.0,0.0,0.0,0.0,,0.0,17.077,0.0,0.0,0.0,0.0,,0.0,63.73,0.0,0.0,0.0,0.0,,0.0,5.42,-5000.0,917.431,5000.0,0.0,5.45,4972.477,19.8,-5000.0,251.004,5000.0,0.0,19.92,4969.879,12.16,-5000.0,409.165,5000.0,0.0,12.22,4975.45,1.7,-5000.0,2941.176,5000.0,0.0,1.7,5000.0,0.22,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,,0.0,8.3,-5000.0,649.351,5000.0,0.0,7.7,5389.611
2020-01-06,5.75,-5000.0,922.509,5000.0,0.0,5.42,5304.428,36.22,-5000.0,137.438,5000.0,0.0,36.38,4978.01,18.53,-5000.0,271.029,5000.0,0.0,18.448,5022.156,7.37,-5000.0,669.344,5000.0,0.0,7.47,4933.066,4.334,0.0,0.0,0.0,0.0,,0.0,40.22,-5000.0,122.339,5000.0,0.0,40.87,4920.48,53.125,-5000.0,94.118,5000.0,0.0,53.125,5000.0,19.51,0.0,0.0,0.0,0.0,,0.0,8.187,-5000.0,613.534,5000.0,0.0,8.15,5022.725,1.23,-5000.0,4545.454,5000.0,0.0,1.1,5590.909,7.786,0.0,0.0,0.0,0.0,,0.0,17.265,-5000.0,289.601,5000.0,0.0,17.265,5000.001,64.346,0.0,0.0,0.0,0.0,,0.0,5.42,-5000.0,917.431,5000.0,0.0,5.45,4972.477,19.78,-5000.0,251.004,5000.0,0.0,19.92,4964.86,12.3,-5000.0,409.165,5000.0,0.0,12.22,5032.733,1.7,-5000.0,2941.176,5000.0,0.0,1.7,5000.0,0.22,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,,0.0,8.3,-5000.0,649.351,5000.0,0.0,7.7,5389.611
2020-01-07,5.81,-5000.0,922.509,5000.0,0.0,5.42,5359.778,36.37,-5000.0,137.438,5000.0,0.0,36.38,4998.625,18.621,-5000.0,271.029,5000.0,0.0,18.448,5046.775,7.33,-5000.0,669.344,5000.0,0.0,7.47,4906.292,4.21,0.0,0.0,0.0,0.0,,0.0,40.19,-5000.0,122.339,5000.0,0.0,40.87,4916.809,53.394,-5000.0,94.118,5000.0,0.0,53.125,5025.353,19.6,0.0,0.0,0.0,0.0,,0.0,8.112,-5000.0,613.534,5000.0,0.0,8.15,4977.273,1.1,-5000.0,4545.454,5000.0,0.0,1.1,5000.0,7.39,0.0,0.0,0.0,0.0,,0.0,17.463,-5000.0,289.601,5000.0,0.0,17.265,5057.284,64.299,0.0,0.0,0.0,0.0,,0.0,5.37,-5000.0,917.431,5000.0,0.0,5.45,4926.606,19.6,-5000.0,251.004,5000.0,0.0,19.92,4919.679,12.35,-5000.0,409.165,5000.0,0.0,12.22,5053.192,1.7,-5000.0,2941.176,5000.0,0.0,1.7,5000.0,0.22,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,0.0,0.0,0.0,,0.0,8.85,-5000.0,649.351,5000.0,0.0,7.7,5746.754
2020-01-08,5.37,-5000.0,922.509,5000.0,0.0,5.42,4953.874,36.18,-5000.0,137.438,5000.0,0.0,36.38,4972.512,18.475,-5000.0,271.029,5000.0,0.0,18.448,5007.386,7.41,-5000.0,669.344,5000.0,0.0,7.47,4959.839,4.172,0.0,0.0,0.0,0.0,,0.0,39.93,-5000.0,122.339,5000.0,0.0,40.87,4885.001,53.818,-5000.0,94.118,5000.0,0.0,53.125,5065.194,19.26,0.0,0.0,0.0,0.0,,0.0,8.205,-5000.0,613.534,5000.0,0.0,8.15,5034.089,1.1,-10000.0,4545.454,5000.0,0.0,1.1,5000.0,7.698,0.0,0.0,0.0,0.0,,0.0,16.973,-5000.0,289.601,5000.0,0.0,17.265,4915.439,64.232,0.0,0.0,0.0,0.0,,0.0,5.36,-5000.0,917.431,5000.0,0.0,5.45,4917.431,19.63,-5000.0,251.004,5000.0,0.0,19.92,4927.209,12.34,-5000.0,409.165,5000.0,0.0,12.22,5049.1,1.7,-5000.0,2941.176,5000.0,0.0,1.7,5000.0,0.19,0.0,0.0,0.0,0.0,,0.0,0.32,0.0,0.0,0.0,0.0,,0.0,8.85,-5000.0,649.351,5000.0,0.0,7.7,5746.754
2020-01-09,5.29,-5000.0,922.509,5000.0,0.0,5.42,4880.074,36.28,-5000.0,137.438,5000.0,0.0,36.38,4986.256,18.575,-5000.0,271.029,5000.0,0.0,18.448,5034.466,7.39,-5000.0,669.344,5000.0,0.0,7.47,4946.453,4.077,0.0,0.0,0.0,0.0,,0.0,39.99,-5000.0,122.339,5000.0,0.0,40.87,4892.342,52.403,-5000.0,94.118,5000.0,0.0,53.125,4932.09,19.44,0.0,0.0,0.0,0.0,,0.0,8.196,-5000.0,613.534,5000.0,0.0,8.15,5028.407,1.02,-10000.0,4545.454,5000.0,0.0,1.1,4636.363,7.689,0.0,0.0,0.0,0.0,,0.0,17.369,-5000.0,289.601,5000.0,0.0,17.265,5030.006,64.953,0.0,0.0,0.0,0.0,,0.0,5.34,-5000.0,917.431,5000.0,0.0,5.45,4899.083,19.79,-5000.0,251.004,5000.0,0.0,19.92,4967.37,13.37,-5000.0,409.165,5000.0,0.0,12.22,5470.54,1.7,-5000.0,2941.176,5000.0,0.0,1.7,5000.0,0.19,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,8.95,-5000.0,649.351,5000.0,0.0,7.7,5811.688
2020-01-10,5.13,-5000.0,922.509,5000.0,0.0,5.42,4732.472,36.6,-5000.0,137.438,5000.0,0.0,36.38,5030.236,18.812,-5000.0,271.029,5000.0,0.0,18.448,5098.474,7.32,-5000.0,669.344,5000.0,0.0,7.47,4899.599,4.001,0.0,0.0,0.0,0.0,,0.0,39.82,-5000.0,122.339,5000.0,0.0,40.87,4871.544,51.951,-5000.0,94.118,5000.0,0.0,53.125,4889.533,19.42,0.0,0.0,0.0,0.0,,0.0,8.187,-5000.0,613.534,5000.0,0.0,8.15,5022.725,0.95,-10000.0,4545.454,5000.0,0.0,1.1,4318.182,7.592,0.0,0.0,0.0,0.0,,0.0,17.557,-5000.0,289.601,5000.0,0.0,17.265,5084.561,64.858,0.0,0.0,0.0,0.0,,0.0,5.25,-5000.0,917.431,5000.0,0.0,5.45,4816.514,19.92,-5000.0,251.004,5000.0,0.0,19.92,5000.0,13.36,-5000.0,409.165,5000.0,0.0,12.22,5466.448,1.75,-5000.0,2941.176,5000.0,0.0,1.7,5147.059,0.18,0.0,0.0,0.0,0.0,,0.0,0.53,0.0,0.0,0.0,0.0,,0.0,8.95,-5000.0,649.351,5000.0,0.0,7.7,5811.688
2020-01-13,5.06,-5000.0,922.509,5000.0,0.0,5.42,4667.897,38.26,-5000.0,137.438,5000.0,0.0,36.38,5258.383,19.03,-5000.0,271.029,5000.0,0.0,18.448,5157.558,7.39,-5000.0,669.344,5000.0,0.0,7.47,4946.453,3.973,0.0,0.0,0.0,0.0,,0.0,40.22,-5000.0,122.339,5000.0,0.0,40.87,4920.48,52.432,-5000.0,94.118,5000.0,0.0,53.125,4934.806,19.39,0.0,0.0,0.0,0.0,,0.0,8.196,-5000.0,613.534,5000.0,0.0,8.15,5028.407,1.0,-10000.0,4545.454,5000.0,0.0,1.1,4545.454,7.39,0.0,0.0,0.0,0.0,,0.0,17.576,-5000.0,289.601,5000.0,0.0,17.265,5090.017,65.303,0.0,0.0,0.0,0.0,,0.0,5.31,-5000.0,917.431,5000.0,0.0,5.45,4871.56,19.95,-5000.0,251.004,5000.0,0.0,19.92,5007.53,13.77,-5000.0,409.165,5000.0,0.0,12.22,5634.206,1.75,-5000.0,2941.176,5000.0,0.0,1.7,5147.059,0.17,0.0,0.0,0.0,0.0,,0.0,0.53,0.0,0.0,0.0,0.0,,0.0,8.95,-5000.0,649.351,5000.0,0.0,7.7,5811.688
2020-01-14,5.25,-5000.0,922.509,5000.0,0.0,5.42,4843.173,38.4,-5000.0,137.438,5000.0,0.0,36.38,5277.625,18.712,-5000.0,271.029,5000.0,0.0,18.448,5071.394,7.26,-5000.0,669.344,5000.0,0.0,7.47,4859.438,3.973,0.0,0.0,0.0,0.0,,0.0,40.8,-5000.0,122.339,5000.0,0.0,40.87,4991.436,52.086,-5000.0,94.118,5000.0,0.0,53.125,4902.209,19.04,0.0,0.0,0.0,0.0,,0.0,8.224,-5000.0,613.534,5000.0,0.0,8.15,5045.454,1.01,-10000.0,4545.454,5000.0,0.0,1.1,4590.909,7.249,0.0,0.0,0.0,0.0,,0.0,16.813,-5000.0,289.601,5000.0,0.0,17.265,4869.068,65.417,0.0,0.0,0.0,0.0,,0.0,5.27,-5000.0,917.431,5000.0,0.0,5.45,4834.863,19.98,-5000.0,251.004,5000.0,0.0,19.92,5015.06,13.09,-5000.0,409.165,5000.0,0.0,12.22,5355.974,1.5,-5000.0,2941.176,5000.0,0.0,1.7,4411.765,0.21,0.0,0.0,0.0,0.0,,0.0,0.52,0.0,0.0,0.0,0.0,,0.0,9.0,-5000.0,649.351,5000.0,0.0,7.7,5844.156
2020-01-15,5.25,-5000.0,922.509,5000.0,0.0,5.42,4843.173,37.74,-5000.0,137.438,5000.0,0.0,36.38,5186.916,18.584,-5000.0,271.029,5000.0,0.0,18.448,5036.927,7.21,-5000.0,669.344,5000.0,0.0,7.47,4825.971,3.925,0.0,0.0,0.0,0.0,,0.0,40.93,-5000.0,122.339,5000.0,0.0,40.87,5007.341,51.961,-5000.0,94.118,5000.0,0.0,53.125,4890.438,19.19,0.0,0.0,0.0,0.0,,0.0,8.131,-5000.0,613.534,5000.0,0.0,8.15,4988.635,1.01,-10000.0,4545.454,5000.0,0.0,1.1,4590.909,7.064,0.0,0.0,0.0,0.0,,0.0,16.728,-5000.0,289.601,5000.0,0.0,17.265,4844.518,65.313,0.0,0.0,0.0,0.0,,0.0,5.26,-5000.0,917.431,5000.0,0.0,5.45,4825.688,20.02,-5000.0,251.004,5000.0,0.0,19.92,5025.1,12.77,-5000.0,409.165,5000.0,0.0,12.22,5225.041,0.28,-5000.0,2941.176,5000.0,0.0,1.7,823.823,0.21,0.0,0.0,0.0,0.0,,0.0,0.52,0.0,0.0,0.0,0.0,,0.0,9.15,-5000.0,649.351,5000.0,0.0,7.7,5941.558
