date,LXFR_adj_close,LXFR_cashflow,LXFR_cml_units,LXFR_cml_cost,LXFR_gain_loss,LXFR_avg_price,LXFR_mktvalue,BOXS_adj_close,BOXS_cashflow,BOXS_cml_units,BOXS_cml_cost,BOXS_gain_loss,BOXS_avg_price,BOXS_mktvalue,KDOZF_adj_close,KDOZF_cashflow,KDOZF_cml_units,KDOZF_cml_cost,KDOZF_gain_loss,KDOZF_avg_price,KDOZF_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue
2020-01-02,17.143,-5000.0,291.67,5000.0,0.0,17.143,5000.0,0.004,0.0,0.0,0.0,0.0,,0.0,0.2,-5000.0,25000.0,5000.0,0.0,0.2,5000.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-01-03,17.077,-5000.0,291.67,5000.0,0.0,17.143,4980.768,0.004,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-01-06,17.265,-10000.0,289.601,5000.0,35.633,17.265,4999.999,0.004,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-01-07,17.463,-10000.0,289.601,5000.0,35.633,17.265,5057.283,0.004,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-01-08,16.973,-10000.0,289.601,5000.0,35.633,17.265,4915.439,0.004,0.0,0.0,0.0,0.0,,0.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.32,-5000.0,12500.0,5000.0,0.0,0.4,4000.0
2020-01-09,17.369,-10000.0,289.601,5000.0,35.633,17.265,5030.005,0.004,0.0,0.0,0.0,0.0,,0.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-01-10,17.557,-10000.0,289.601,5000.0,35.633,17.265,5084.561,0.004,0.0,0.0,0.0,0.0,,0.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.53,-5000.0,12500.0,5000.0,0.0,0.4,6625.0
2020-01-13,17.576,-10000.0,289.601,5000.0,35.633,17.265,5090.015,0.004,0.0,0.0,0.0,0.0,,0.0,0.17,-5000.0,25000.0,5000.0,0.0,0.2,4250.0,0.53,-5000.0,12500.0,5000.0,0.0,0.4,6625.0
2020-01-14,16.813,-10000.0,289.601,5000.0,35.633,17.265,4869.067,0.004,0.0,0.0,0.0,0.0,,0.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-15,16.728,-10000.0,289.601,5000.0,35.633,17.265,4844.517,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-16,16.894,-10000.0,289.601,5000.0,35.633,17.265,4892.591,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-17,16.837,-10000.0,289.601,5000.0,35.633,17.265,4876.109,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-21,16.695,-10000.0,289.601,5000.0,35.633,17.265,4834.901,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.22,-5000.0,25000.0,5000.0,0.0,0.2,5500.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-22,16.41,-10000.0,289.601,5000.0,35.633,17.265,4752.489,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.16,-5000.0,25000.0,5000.0,0.0,0.2,4000.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-23,16.515,-10000.0,289.601,5000.0,35.633,17.265,4782.707,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-24,16.192,-10000.0,289.601,5000.0,35.633,17.265,4689.306,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-27,16.221,-10000.0,289.601,5000.0,35.633,17.265,4697.547,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-28,16.183,-10000.0,289.601,5000.0,35.633,17.265,4686.559,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-01-29,16.164,-10000.0,289.601,5000.0,35.633,17.265,4681.064,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-30,16.031,-10000.0,289.601,5000.0,35.633,17.265,4642.604,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-01-31,15.13,-10000.0,289.601,5000.0,35.633,17.265,4381.63,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.41,-5000.0,12500.0,5000.0,0.0,0.4,5125.0
2020-02-03,15.187,-10000.0,289.601,5000.0,35.633,17.265,4398.112,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.41,-5000.0,12500.0,5000.0,0.0,0.4,5125.0
2020-02-04,15.358,-10000.0,289.601,5000.0,35.633,17.265,4447.56,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.49,-5000.0,12500.0,5000.0,0.0,0.4,6125.0
2020-02-05,16.041,-10000.0,289.601,5000.0,35.633,17.265,4645.352,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-02-06,15.917,-10000.0,289.601,5000.0,35.633,17.265,4609.639,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-02-07,15.358,-10000.0,289.601,5000.0,35.633,17.265,4447.56,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.19,-5000.0,25000.0,5000.0,0.0,0.2,4750.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6248.75
2020-02-10,15.225,-10000.0,289.601,5000.0,35.633,17.265,4409.101,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6248.75
2020-02-11,15.803,-10000.0,289.601,5000.0,35.633,17.265,4576.674,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.49,-5000.0,12500.0,5000.0,0.0,0.4,6125.0
2020-02-12,16.145,-10000.0,289.601,5000.0,35.633,17.265,4675.57,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-02-13,16.192,-10000.0,289.601,5000.0,35.633,17.265,4689.306,0.001,-5000.0,1249999.941,5000.0,0.0,0.004,1250.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-02-14,16.116,-10000.0,289.601,5000.0,35.633,17.265,4667.329,0.003,-5000.0,1249999.941,5000.0,0.0,0.004,3750.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-02-18,15.69,-10000.0,289.601,5000.0,35.633,17.265,4543.71,0.009,-5000.0,1249999.941,5000.0,0.0,0.004,11249.999,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-02-19,15.395,-10000.0,289.601,5000.0,35.633,17.265,4458.549,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0
2020-02-20,15.481,-10000.0,289.601,5000.0,35.633,17.265,4483.273,0.009,-10000.0,1000000.022,5000.0,1249.999,0.005,9000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.45,-5000.0,12500.0,5000.0,0.0,0.4,5625.0
2020-02-21,15.414,-10000.0,289.601,5000.0,35.633,17.265,4464.043,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-02-24,15.699,-10000.0,289.601,5000.0,35.633,17.265,4546.456,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-02-25,15.206,-10000.0,289.601,5000.0,35.633,17.265,4403.607,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0
2020-02-26,15.149,-10000.0,289.601,5000.0,35.633,17.265,4387.124,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.45,-5000.0,12500.0,5000.0,0.0,0.4,5625.0
2020-02-27,14.798,-10000.0,289.601,5000.0,35.633,17.265,4285.482,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.35,-5000.0,12500.0,5000.0,0.0,0.4,4375.0
2020-02-28,14.713,-10000.0,289.601,5000.0,35.633,17.265,4260.758,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.3,-5000.0,12500.0,5000.0,0.0,0.4,3750.0
2020-03-02,14.912,-10000.0,289.601,5000.0,35.633,17.265,4318.447,0.006,-10000.0,1000000.022,5000.0,1249.999,0.005,6000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.32,-5000.0,12500.0,5000.0,0.0,0.4,4000.0
2020-03-03,14.504,-15000.0,344.737,5000.0,35.633,14.504,5000.0,0.006,-10000.0,1000000.022,5000.0,1249.999,0.005,6000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.35,-5000.0,12500.0,5000.0,0.0,0.4,4375.0
2020-03-04,15.272,-15000.0,344.737,5000.0,35.633,14.504,5264.879,0.006,-10000.0,1000000.022,5000.0,1249.999,0.005,6000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.35,-5000.0,12500.0,5000.0,0.0,0.4,4375.0
2020-03-05,14.504,-15000.0,344.737,5000.0,35.633,14.504,5000.0,0.004,-10000.0,1000000.022,5000.0,1249.999,0.005,4000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.25,-5000.0,12500.0,5000.0,0.0,0.4,3125.0
2020-03-06,14.618,-15000.0,344.737,5000.0,35.633,14.504,5039.242,0.004,-10000.0,1000000.022,5000.0,1249.999,0.005,4000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.3,-5000.0,12500.0,5000.0,0.0,0.4,3750.0
2020-03-09,13.754,-15000.0,344.737,5000.0,35.633,14.504,4741.661,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.3,-5000.0,12500.0,5000.0,0.0,0.4,3750.0
2020-03-10,13.384,-15000.0,344.737,5000.0,35.633,14.504,4614.127,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-03-11,12.407,-15000.0,344.737,5000.0,35.633,14.504,4277.305,0.005,-10000.0,1000000.022,5000.0,1249.999,0.005,5000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-03-12,10.577,-15000.0,344.737,5000.0,35.633,14.504,3646.174,0.004,-10000.0,1000000.022,5000.0,1249.999,0.005,4000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-03-13,11.592,-15000.0,344.737,5000.0,35.633,14.504,3996.076,0.002,-10000.0,1000000.022,5000.0,1249.999,0.005,2000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-03-16,10.444,-15000.0,344.737,5000.0,35.633,14.504,3600.392,0.002,-10000.0,1000000.022,5000.0,1249.999,0.005,2000.0,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-03-17,12.436,-15000.0,344.737,5000.0,35.633,14.504,4287.116,0.008,-10000.0,1000000.022,5000.0,1249.999,0.005,8000.001,0.18,-5000.0,25000.0,5000.0,0.0,0.2,4500.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0
2020-03-18,13.337,-15000.0,344.737,5000.0,35.633,14.504,4597.776,0.008,-10000.0,1000000.022,5000.0,1249.999,0.005,8000.001,0.2,-5000.0,25000.0,5000.0,0.0,0.2,5000.0,0.456,-5000.0,12500.0,5000.0,0.0,0.4,5697.5
2020-03-19,13.612,-15000.0,344.737,5000.0,35.633,14.504,4692.61,0.008,-10000.0,1000000.022,5000.0,1249.999,0.005,8000.001,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.456,-5000.0,12500.0,5000.0,0.0,0.4,5697.5
2020-03-20,11.99,-15000.0,344.737,5000.0,35.633,14.504,4133.42,0.008,-10000.0,1000000.022,5000.0,1249.999,0.005,8000.001,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.456,-5000.0,12500.0,5000.0,0.0,0.4,5697.5
2020-03-23,12.142,-15000.0,344.737,5000.0,35.633,14.504,4185.742,0.008,-10000.0,1000000.022,5000.0,1249.999,0.005,8000.001,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.456,-5000.0,12500.0,5000.0,0.0,0.4,5697.5
2020-03-24,13.166,-15000.0,344.737,5000.0,35.633,14.504,4538.914,0.008,-10000.0,1000000.022,5000.0,1249.999,0.005,8000.001,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.456,-5000.0,12500.0,5000.0,0.0,0.4,5697.5
2020-03-25,12.796,-15000.0,344.737,5000.0,35.633,14.504,4411.38,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.529,-5000.0,12500.0,5000.0,0.0,0.4,6612.5
2020-03-26,13.043,-15000.0,344.737,5000.0,35.633,14.504,4496.403,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.51,-5000.0,12500.0,5000.0,0.0,0.4,6375.0
2020-03-27,12.019,-15000.0,344.737,5000.0,35.633,14.504,4143.231,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.51,-5000.0,12500.0,5000.0,0.0,0.4,6375.0
2020-03-30,13.034,-15000.0,344.737,5000.0,35.633,14.504,4493.133,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.6,-5000.0,12500.0,5000.0,0.0,0.4,7500.0
2020-03-31,13.413,-15000.0,344.737,5000.0,35.633,14.504,4623.937,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.6,-5000.0,12500.0,5000.0,0.0,0.4,7500.0
2020-04-01,11.933,-15000.0,344.737,5000.0,35.633,14.504,4113.8,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.63,-5000.0,12500.0,5000.0,0.0,0.4,7875.0
2020-04-02,12.597,-15000.0,344.737,5000.0,35.633,14.504,4342.708,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.64,-5000.0,12500.0,5000.0,0.0,0.4,8000.0
2020-04-03,12.654,-15000.0,344.737,5000.0,35.633,14.504,4362.328,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.23,-5000.0,25000.0,5000.0,0.0,0.2,5750.0,0.6,-5000.0,12500.0,5000.0,0.0,0.4,7500.0
2020-04-06,13.28,-15000.0,344.737,5000.0,35.633,14.504,4578.155,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.65,-5000.0,12500.0,5000.0,0.0,0.4,8125.0
2020-04-07,12.92,-15000.0,344.737,5000.0,35.633,14.504,4453.891,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.64,-5000.0,12500.0,5000.0,0.0,0.4,7998.75
2020-04-08,12.844,-15000.0,344.737,5000.0,35.633,14.504,4427.73,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.66,-5000.0,12500.0,5000.0,0.0,0.4,8248.75
2020-04-09,14.314,-15000.0,344.737,5000.0,35.633,14.504,4934.598,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.685,-5000.0,12500.0,5000.0,0.0,0.4,8562.5
2020-04-13,13.897,-15000.0,344.737,5000.0,35.633,14.504,4790.713,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.79,-5000.0,12500.0,5000.0,0.0,0.4,9875.0
2020-04-14,13.593,-15000.0,344.737,5000.0,35.633,14.504,4686.069,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.83,-5000.0,12500.0,5000.0,0.0,0.4,10375.0
2020-04-15,13.138,-15000.0,344.737,5000.0,35.633,14.504,4529.104,0.003,-10000.0,1000000.022,5000.0,1249.999,0.005,3000.0,0.21,-5000.0,25000.0,5000.0,0.0,0.2,5250.0,0.86,-10000.0,5813.953,5000.0,5749.54,0.86,5000.0
2020-04-16,12.798,-15000.0,344.737,5000.0,35.633,14.504,4411.958,0.004,-10000.0,1000000.022,5000.0,1249.999,0.005,4000.0,0.07,-5000.0,25000.0,5000.0,0.0,0.2,1750.0,0.8,-10000.0,5813.953,5000.0,5749.54,0.86,4651.163
