date,IMOS_adj_close,IMOS_cashflow,IMOS_cml_units,IMOS_cml_cost,IMOS_gain_loss,IMOS_avg_price,IMOS_mktvalue,AIHS_adj_close,AIHS_cashflow,AIHS_cml_units,AIHS_cml_cost,AIHS_gain_loss,AIHS_avg_price,AIHS_mktvalue,JHB_adj_close,JHB_cashflow,JHB_cml_units,JHB_cml_cost,JHB_gain_loss,JHB_avg_price,JHB_mktvalue,VERB_adj_close,VERB_cashflow,VERB_cml_units,VERB_cml_cost,VERB_gain_loss,VERB_avg_price,VERB_mktvalue,CHUC_adj_close,CHUC_cashflow,CHUC_cml_units,CHUC_cml_cost,CHUC_gain_loss,CHUC_avg_price,CHUC_mktvalue,GLBD_adj_close,GLBD_cashflow,GLBD_cml_units,GLBD_cml_cost,GLBD_gain_loss,GLBD_avg_price,GLBD_mktvalue,MLFB_adj_close,MLFB_cashflow,MLFB_cml_units,MLFB_cml_cost,MLFB_gain_loss,MLFB_avg_price,MLFB_mktvalue,MMNT_adj_close,MMNT_cashflow,MMNT_cml_units,MMNT_cml_cost,MMNT_gain_loss,MMNT_avg_price,MMNT_mktvalue,UAVS_adj_close,UAVS_cashflow,UAVS_cml_units,UAVS_cml_cost,UAVS_gain_loss,UAVS_avg_price,UAVS_mktvalue,LOMA_adj_close,LOMA_cashflow,LOMA_cml_units,LOMA_cml_cost,LOMA_gain_loss,LOMA_avg_price,LOMA_mktvalue,GURE_adj_close,GURE_cashflow,GURE_cml_units,GURE_cml_cost,GURE_gain_loss,GURE_avg_price,GURE_mktvalue,ABQQ_adj_close,ABQQ_cashflow,ABQQ_cml_units,ABQQ_cml_cost,ABQQ_gain_loss,ABQQ_avg_price,ABQQ_mktvalue,AREB_adj_close,AREB_cashflow,AREB_cml_units,AREB_cml_cost,AREB_gain_loss,AREB_avg_price,AREB_mktvalue,BOXS_adj_close,BOXS_cashflow,BOXS_cml_units,BOXS_cml_cost,BOXS_gain_loss,BOXS_avg_price,BOXS_mktvalue,LCHD_adj_close,LCHD_cashflow,LCHD_cml_units,LCHD_cml_cost,LCHD_gain_loss,LCHD_avg_price,LCHD_mktvalue,PGTK_adj_close,PGTK_cashflow,PGTK_cml_units,PGTK_cml_cost,PGTK_gain_loss,PGTK_avg_price,PGTK_mktvalue
2020-01-02,21.982,0.0,0.0,0.0,0.0,,0.0,0.705,-5000.0,7092.199,5000.0,0.0,0.705,5000.709,9.417,0.0,0.0,0.0,0.0,,0.0,1.69,-5000.0,2958.58,5000.0,0.0,1.69,5000.0,0.18,-5000.0,2777777.825,5000.0,0.0,0.002,500000.028,1.7,0.0,0.0,0.0,0.0,,0.0,0.011,-5000.0,450044.992,5000.0,0.0,0.011,5000.0,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,0.47,0.0,0.0,0.0,0.0,,0.0,7.187,-5000.0,695.677,5000.0,0.0,7.187,5000.0,2.6,-5000.0,1923.077,5000.0,0.0,2.6,5000.0,8.0,0.0,0.0,0.0,0.0,,0.0,0.285,-5000.0,17543.86,5000.0,0.0,0.285,5000.0,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.95,-5000.0,1694.915,5000.0,0.0,2.95,5000.0
2020-01-03,21.338,0.0,0.0,0.0,0.0,,0.0,0.692,-5000.0,7092.199,5000.0,0.0,0.705,4908.511,9.388,0.0,0.0,0.0,0.0,,0.0,1.71,-5000.0,2958.58,5000.0,0.0,1.69,5059.172,0.2,-5000.0,2777777.825,5000.0,0.0,0.002,555555.573,1.7,0.0,0.0,0.0,0.0,,0.0,0.013,-5000.0,450044.992,5000.0,0.0,0.011,5850.585,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,0.54,0.0,0.0,0.0,0.0,,0.0,7.017,-5000.0,695.677,5000.0,0.0,7.187,4881.89,2.95,-5000.0,1923.077,5000.0,0.0,2.6,5673.077,8.0,0.0,0.0,0.0,0.0,,0.0,0.283,-5000.0,17543.86,5000.0,0.0,0.285,4970.176,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.29,-5000.0,1694.915,5000.0,0.0,2.95,5576.271
2020-01-06,20.874,0.0,0.0,0.0,0.0,,0.0,0.705,-5000.0,7092.199,5000.0,0.0,0.705,4998.582,9.417,0.0,0.0,0.0,0.0,,0.0,1.61,-5000.0,2958.58,5000.0,0.0,1.69,4763.313,0.18,-5000.0,2777777.825,5000.0,0.0,0.002,500000.028,1.7,0.0,0.0,0.0,0.0,,0.0,0.01,-5000.0,450044.992,5000.0,0.0,0.011,4500.45,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,0.55,0.0,0.0,0.0,0.0,,0.0,6.885,-5000.0,695.677,5000.0,0.0,7.187,4790.027,2.8,-5000.0,1923.077,5000.0,0.0,2.6,5384.615,10.0,0.0,0.0,0.0,0.0,,0.0,0.283,-5000.0,17543.86,5000.0,0.0,0.285,4970.176,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.25,-5000.0,1694.915,5000.0,0.0,2.95,5508.474
2020-01-07,20.713,0.0,0.0,0.0,0.0,,0.0,0.736,-5000.0,7092.199,5000.0,0.0,0.705,5219.858,9.426,0.0,0.0,0.0,0.0,,0.0,1.51,-5000.0,2958.58,5000.0,0.0,1.69,4467.455,0.22,-5000.0,2777777.825,5000.0,0.0,0.002,611111.118,1.7,0.0,0.0,0.0,0.0,,0.0,0.01,-5000.0,450044.992,5000.0,0.0,0.011,4500.45,0.4,-5000.0,12500.0,5000.0,0.0,0.4,5000.0,0.525,0.0,0.0,0.0,0.0,,0.0,6.819,-5000.0,695.677,5000.0,0.0,7.187,4744.095,3.55,-5000.0,1923.077,5000.0,0.0,2.6,6826.923,10.0,0.0,0.0,0.0,0.0,,0.0,0.283,-5000.0,17543.86,5000.0,0.0,0.285,4970.176,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.25,-5000.0,1694.915,5000.0,0.0,2.95,5508.474
2020-01-08,21.679,0.0,0.0,0.0,0.0,,0.0,0.743,-5000.0,7092.199,5000.0,0.0,0.705,5270.922,9.426,0.0,0.0,0.0,0.0,,0.0,1.51,-5000.0,2958.58,5000.0,0.0,1.69,4467.455,0.2,-5000.0,2777777.825,5000.0,0.0,0.002,555555.573,1.7,0.0,0.0,0.0,0.0,,0.0,0.01,-5000.0,450044.992,5000.0,0.0,0.011,4500.45,0.32,-5000.0,12500.0,5000.0,0.0,0.4,4000.0,0.53,0.0,0.0,0.0,0.0,,0.0,6.867,-5000.0,695.677,5000.0,0.0,7.187,4776.903,3.7,-5000.0,1923.077,5000.0,0.0,2.6,7115.385,10.0,0.0,0.0,0.0,0.0,,0.0,0.283,-5000.0,17543.86,5000.0,0.0,0.285,4970.176,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.25,-5000.0,1694.915,5000.0,0.0,2.95,5508.474
2020-01-09,21.66,0.0,0.0,0.0,0.0,,0.0,0.715,-5000.0,7092.199,5000.0,0.0,0.705,5068.794,9.43,0.0,0.0,0.0,0.0,,0.0,1.52,-5000.0,2958.58,5000.0,0.0,1.69,4497.041,0.209,-5000.0,2777777.825,5000.0,0.0,0.002,580555.583,1.7,0.0,0.0,0.0,0.0,,0.0,0.01,-5000.0,450044.992,5000.0,0.0,0.011,4500.45,0.5,-5000.0,12500.0,5000.0,0.0,0.4,6250.0,0.55,0.0,0.0,0.0,0.0,,0.0,6.829,-5000.0,695.677,5000.0,0.0,7.187,4750.656,3.35,-5000.0,1923.077,5000.0,0.0,2.6,6442.308,10.0,0.0,0.0,0.0,0.0,,0.0,0.283,-5000.0,17543.86,5000.0,0.0,0.285,4970.176,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.15,-5000.0,1694.915,5000.0,0.0,2.95,5338.983
2020-01-10,21.31,0.0,0.0,0.0,0.0,,0.0,0.75,-5000.0,7092.199,5000.0,0.0,0.705,5318.44,9.426,0.0,0.0,0.0,0.0,,0.0,1.5,-5000.0,2958.58,5000.0,0.0,1.69,4437.574,0.23,-5000.0,2777777.825,5000.0,0.0,0.002,638888.911,1.75,0.0,0.0,0.0,0.0,,0.0,0.01,-5000.0,450044.992,5000.0,0.0,0.011,4500.45,0.53,-5000.0,12500.0,5000.0,0.0,0.4,6625.0,0.535,0.0,0.0,0.0,0.0,,0.0,6.753,-5000.0,695.677,5000.0,0.0,7.187,4698.163,3.45,-5000.0,1923.077,5000.0,0.0,2.6,6634.616,10.0,0.0,0.0,0.0,0.0,,0.0,0.283,-5000.0,17543.86,5000.0,0.0,0.285,4970.176,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.15,-5000.0,1694.915,5000.0,0.0,2.95,5338.983
2020-01-13,21.565,0.0,0.0,0.0,0.0,,0.0,0.705,-5000.0,7092.199,5000.0,0.0,0.705,5000.0,9.426,0.0,0.0,0.0,0.0,,0.0,1.39,-5000.0,2958.58,5000.0,0.0,1.69,4112.426,0.24,-5000.0,2777777.825,5000.0,0.0,0.002,666666.663,1.75,0.0,0.0,0.0,0.0,,0.0,0.008,-5000.0,450044.992,5000.0,0.0,0.011,3690.369,0.53,-5000.0,12500.0,5000.0,0.0,0.4,6625.0,0.563,0.0,0.0,0.0,0.0,,0.0,6.508,-5000.0,695.677,5000.0,0.0,7.187,4527.559,3.65,-5000.0,1923.077,5000.0,0.0,2.6,7019.231,10.0,0.0,0.0,0.0,0.0,,0.0,0.2,-5000.0,17543.86,5000.0,0.0,0.285,3508.772,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.15,-5000.0,1694.915,5000.0,0.0,2.95,5338.983
2020-01-14,21.546,0.0,0.0,0.0,0.0,,0.0,0.67,-5000.0,7092.199,5000.0,0.0,0.705,4752.482,9.437,0.0,0.0,0.0,0.0,,0.0,1.52,-5000.0,2958.58,5000.0,0.0,1.69,4497.041,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,1.5,0.0,0.0,0.0,0.0,,0.0,0.014,-5000.0,450044.992,5000.0,0.0,0.011,6300.63,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0,0.545,0.0,0.0,0.0,0.0,,0.0,6.64,-5000.0,695.677,5000.0,0.0,7.187,4619.423,3.4,-5000.0,1923.077,5000.0,0.0,2.6,6538.462,10.0,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,17543.86,5000.0,0.0,0.285,3859.649,0.004,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.8,-5000.0,1694.915,5000.0,0.0,2.95,4745.763
2020-01-15,21.423,0.0,0.0,0.0,0.0,,0.0,0.674,-5000.0,7092.199,5000.0,0.0,0.705,4777.305,9.475,0.0,0.0,0.0,0.0,,0.0,1.46,-5000.0,2958.58,5000.0,0.0,1.69,4319.527,0.25,-5000.0,2777777.825,5000.0,0.0,0.002,694444.456,0.28,0.0,0.0,0.0,0.0,,0.0,0.008,-5000.0,450044.992,5000.0,0.0,0.011,3600.36,0.52,-5000.0,12500.0,5000.0,0.0,0.4,6500.0,0.547,0.0,0.0,0.0,0.0,,0.0,6.612,-5000.0,695.677,5000.0,0.0,7.187,4599.738,3.35,-5000.0,1923.077,5000.0,0.0,2.6,6442.308,10.0,0.0,0.0,0.0,0.0,,0.0,0.22,-5000.0,17543.86,5000.0,0.0,0.285,3859.649,0.004,-5000.0,1249999.941,5000.0,0.0,0.004,5000.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.25,-5000.0,1694.915,5000.0,0.0,2.95,5508.474
