date,HSBC_adj_close,HSBC_cashflow,HSBC_cml_units,HSBC_cml_cost,HSBC_gain_loss,HSBC_avg_price,HSBC_mktvalue
2019-02-11,0.0,-5000.0,119.962,5000.0,0.0,41.68,0.0
2019-02-13,0.0,37.27,118.12,5000.0,77.35,42.33,0.0
2019-02-21,0.0,-5000.0,123.432,5037.27,77.35,40.81,0.0
2019-03-12,0.0,-112.67,122.651,5037.27,30.94,41.07,0.0
2019-03-25,0.0,-5000.0,120.884,4887.33,30.94,40.43,0.0
2019-04-02,0.0,15.85,115.951,4887.33,204.68,42.15,0.0
2019-04-29,0.0,-5000.0,115.839,5015.85,204.68,43.3,0.0
2019-04-30,0.0,184.83,115.122,5015.85,32.13,43.57,0.0
2019-05-09,0.0,-5000.0,121.198,5184.83,32.13,42.78,0.0
2019-06-11,0.0,-31.75,124.188,5184.83,-122.57,41.75,0.0
2019-06-17,0.0,-5000.0,122.25,4968.25,-122.57,40.64,0.0
2019-06-20,0.0,-43.65,119.286,4968.25,120.19,41.65,0.0
2019-06-21,0.0,-5000.0,120.592,4956.35,120.19,41.1,0.0
2019-06-24,0.0,-113.86,120.71,4956.35,-4.76,41.06,0.0
2019-06-25,0.0,-5000.0,119.232,4886.14,-4.76,40.98,0.0
2019-06-28,0.0,-32.94,117.061,4886.14,90.44,41.74,0.0
2019-07-15,0.0,-5000.0,119.114,4967.06,90.44,41.7,0.0
2019-09-04,0.0,-630.32,135.269,4967.06,-592.62,36.72,0.0
2019-09-25,0.0,-5000.0,115.052,4369.68,-592.62,37.98,0.0
2019-10-15,0.0,-406.6,113.204,4369.68,73.78,38.6,0.0
2019-10-30,0.0,-5000.0,121.102,4593.4,73.78,37.93,0.0
2019-11-27,0.0,-523.22,122.1,4593.4,-36.89,37.62,0.0
2019-12-03,0.0,-5000.0,123.225,4476.78,-36.89,36.33,0.0
2019-12-12,0.0,-486.33,118.027,4476.78,190.4,37.93,0.0
2020-01-02,36.819,-486.33,118.027,4476.78,190.4,37.93,4345.675
2020-01-03,36.249,-486.33,118.027,4476.78,190.4,37.93,4278.343
2020-01-06,36.127,-486.33,118.027,4476.78,190.4,37.93,4263.993
2020-01-07,35.856,-486.33,118.027,4476.78,190.4,37.93,4231.983
2020-01-08,35.772,-486.33,118.027,4476.78,190.4,37.93,4222.049
2020-01-09,36.006,-486.33,118.027,4476.78,190.4,37.93,4249.644
2020-01-10,35.669,-486.33,118.027,4476.78,190.4,37.93,4209.907
2020-01-13,36.024,-486.33,118.027,4476.78,190.4,37.93,4251.851
2020-01-14,35.893,-486.33,118.027,4476.78,190.4,37.93,4236.398
2020-01-15,35.865,-486.33,118.027,4476.78,190.4,37.93,4233.086
2020-01-16,36.118,-486.33,118.027,4476.78,190.4,37.93,4262.889
2020-01-17,36.258,-486.33,118.027,4476.78,190.4,37.93,4279.446
2020-01-21,35.472,-486.33,118.027,4476.78,190.4,37.93,4186.727
2020-01-22,35.603,-486.33,118.027,4476.78,190.4,37.93,4202.18
2020-01-23,35.276,-486.33,118.027,4476.78,190.4,37.93,4163.547
2020-01-24,35.089,-486.33,118.027,4476.78,190.4,37.93,4141.471
2020-01-27,34.144,-486.33,118.027,4476.78,190.4,37.93,4029.987
2020-01-28,34.35,-486.33,118.027,4476.78,190.4,37.93,4054.27
2020-01-29,34.322,-486.33,118.027,4476.78,190.4,37.93,4050.959
2020-01-30,34.64,-486.33,118.027,4476.78,190.4,37.93,4088.488
2020-01-31,33.939,-486.33,118.027,4476.78,190.4,37.93,4005.703
2020-02-03,33.724,-486.33,118.027,4476.78,190.4,37.93,3980.316
2020-02-04,34.173,-486.33,118.027,4476.78,190.4,37.93,4033.299
2020-02-05,34.584,-486.33,118.027,4476.78,190.4,37.93,4081.865
2020-02-06,34.696,-486.33,118.027,4476.78,190.4,37.93,4095.111
2020-02-07,34.883,-486.33,118.027,4476.78,190.4,37.93,4117.187
2020-02-10,35.014,-486.33,118.027,4476.78,190.4,37.93,4132.64
2020-02-11,35.772,-486.33,118.027,4476.78,190.4,37.93,4222.049
2020-02-12,36.099,-486.33,118.027,4476.78,190.4,37.93,4260.682
2020-02-13,35.734,-486.33,118.027,4476.78,190.4,37.93,4217.633
2020-02-14,35.482,-486.33,118.027,4476.78,190.4,37.93,4187.831
2020-02-18,33.499,-486.33,118.027,4476.78,190.4,37.93,3953.824
2020-02-19,33.883,-486.33,118.027,4476.78,190.4,37.93,3999.08
2020-02-20,33.827,-486.33,118.027,4476.78,190.4,37.93,3992.457
2020-02-21,34.098,-486.33,118.027,4476.78,190.4,37.93,4024.468
2020-02-24,33.2,-486.33,118.027,4476.78,190.4,37.93,3918.503
2020-02-25,32.564,-486.33,118.027,4476.78,190.4,37.93,3843.444
2020-02-26,33.359,-486.33,118.027,4476.78,190.4,37.93,3937.267
2020-02-27,32.588,-486.33,118.027,4476.78,190.4,37.93,3846.285
2020-02-28,32.347,-486.33,118.027,4476.78,190.4,37.93,3817.853
2020-03-02,32.54,-486.33,118.027,4476.78,190.4,37.93,3840.599
2020-03-03,31.384,-486.33,118.027,4476.78,190.4,37.93,3704.125
2020-03-04,32.02,-486.33,118.027,4476.78,190.4,37.93,3779.186
2020-03-05,31.538,-486.33,118.027,4476.78,190.4,37.93,3722.321
2020-03-06,31.085,-486.33,118.027,4476.78,190.4,37.93,3668.869
2020-03-09,29.341,-486.33,118.027,4476.78,190.4,37.93,3463.021
2020-03-10,30.516,-486.33,118.027,4476.78,190.4,37.93,3601.769
2020-03-11,29.784,-486.33,118.027,4476.78,190.4,37.93,3515.336
2020-03-12,27.51,-486.33,118.027,4476.78,190.4,37.93,3246.938
2020-03-13,28.811,-486.33,118.027,4476.78,190.4,37.93,3400.471
2020-03-16,27.115,-486.33,118.027,4476.78,190.4,37.93,3200.309
2020-03-17,28.618,-486.33,118.027,4476.78,190.4,37.93,3377.725
2020-03-18,27.558,-486.33,118.027,4476.78,190.4,37.93,3252.624
2020-03-19,28.021,-486.33,118.027,4476.78,190.4,37.93,3307.214
2020-03-20,27.761,-486.33,118.027,4476.78,190.4,37.93,3276.507
2020-03-23,27.105,-486.33,118.027,4476.78,190.4,37.93,3199.172
2020-03-24,28.512,-486.33,118.027,4476.78,190.4,37.93,3365.215
2020-03-25,28.618,-486.33,118.027,4476.78,190.4,37.93,3377.725
2020-03-26,29.032,-486.33,118.027,4476.78,190.4,37.93,3426.628
2020-03-27,27.818,-486.33,118.027,4476.78,190.4,37.93,3283.331
2020-03-30,27.809,-486.33,118.027,4476.78,190.4,37.93,3282.194
2020-03-31,26.99,-486.33,118.027,4476.78,190.4,37.93,3185.525
2020-04-01,24.224,-486.33,118.027,4476.78,190.4,37.93,2859.125
2020-04-02,23.636,-486.33,118.027,4476.78,190.4,37.93,2789.751
2020-04-03,23.444,-486.33,118.027,4476.78,190.4,37.93,2767.005
2020-04-06,24.504,-486.33,118.027,4476.78,190.4,37.93,2892.106
2020-04-07,24.667,-486.33,118.027,4476.78,190.4,37.93,2911.44
