,0
0,SPY
1,CMCSA
2,KMI
3,INTC
4,MU
5,GDX
6,GE
7,BAC
8,EEM
9,XLF
10,AAPL
11,MSFT
12,SIRI
13,HPQ
14,CX
15,EFA
16,CZR
17,QQQ
18,F
19,AMD
20,SNAP
21,FB
22,WFC
23,AIG
24,T
25,C
26,VALE
27,MS
28,JPM
29,ORCL
30,NKE
31,VWO
32,PG
33,FXI
34,IWM
35,GSM
36,BBD
37,PFE
38,JD
39,NOK
40,TWTR
41,AMLP
42,AVGO
43,AMAT
44,UVXY
45,VEA
46,ZNGA
47,XOM
48,QCOM
49,VIPS
50,GLD
51,CSCO
52,AXP
53,BMY
54,V
55,USO
56,GRPN
57,OIH
58,GERN
59,KEY
60,RF
61,KR
62,HAL
63,BABA
64,MRO
65,GILD
66,IEMG
67,GM
68,FCX
69,CRM
70,ATVI
71,SQ
72,XLK
73,NUE
74,XOP
75,SWN
76,LOW
77,RAD
78,VEON
79,HYG
80,JNK
81,EWJ
82,XLU
83,SLB
84,FLEX
85,ABBV
86,GIS
87,VZ
88,XRX
89,CVLT
90,IEFA
91,X
92,MAT
93,DVN
94,BKLN
95,IBN
96,MPC
97,EZU
98,PM
99,MSCI
100,RDN
101,KO
102,SRC
103,COP
104,DIS
105,LEN
106,CVX
107,PYPL
108,GDXJ
109,AUY
110,DBEF
111,WMT
112,CLF
113,MRK
114,MDLZ
115,MGM
116,GFI
117,KGC
118,SCHW
119,NBR
120,NVDA
121,JNJ
122,WDC
123,BSX
124,ON
125,ITUB
126,BK
127,HMY
128,APA
129,NGD
130,KOS
131,DAL
132,INFY
133,CCL
134,MFGP
135,PBR
136,DISCA
137,LPI
138,ABT
139,FITB
140,PTEN
141,USB
142,BA
143,GGB
144,JBLU
145,EBAY
146,HBAN
147,DB
148,MRVL
149,WBA
150,CDNA
151,RSX
152,KNX
153,KBH
154,DISCK
155,PGR
156,XLE
157,MO
158,MDT
159,RIG
160,BCS
161,CDEV
162,EOG
